Date,WFC,Price
2004-01-09,15,
2004-01-16,15,
2004-01-23,11,
2004-01-30,12,
2004-02-06,12,57.96
2004-02-13,14,57.37
2004-02-20,12,56.89
2004-02-27,0,57.35
2004-03-05,0,58.39
2004-03-12,0,57.92
2004-03-19,0,57.57
2004-03-26,0,56.95
2004-04-02,10,56.61
2004-04-09,13,
2004-04-16,11,56.07
2004-04-23,11,56.40
2004-04-30,12,56.46
2004-05-07,13,55.09
2004-05-14,14,56.99
2004-05-21,15,58.05
2004-05-28,12,58.80
2004-06-04,14,58.59
2004-06-11,14,
2004-06-18,14,58.60
2004-06-25,14,57.53
2004-07-02,11,57.23
2004-07-09,13,57.02
2004-07-16,10,57.91
2004-07-23,10,56.64
2004-07-30,10,57.41
2004-08-06,10,56.36
2004-08-13,11,57.54
2004-08-20,10,58.05
2004-08-27,10,58.66
2004-09-03,10,59.27
2004-09-10,10,59.13
2004-09-17,9,59.34
2004-09-24,10,58.64
2004-10-01,12,60.19
2004-10-08,15,60.48
2004-10-15,10,60.05
2004-10-22,13,57.88
2004-10-29,16,59.72
2004-11-05,10,61.50
2004-11-12,14,62.57
2004-11-19,14,61.55
2004-11-26,11,62.50
2004-12-03,10,62.40
2004-12-10,15,63.02
2004-12-17,14,62.00
2004-12-24,10,
2004-12-31,11,62.15
2005-01-07,12,62.17
2005-01-14,12,60.69
2005-01-21,8,60.12
2005-01-28,10,60.52
2005-02-04,11,60.98
2005-02-11,12,60.30
2005-02-18,13,59.81
2005-02-25,7,59.90
2005-03-04,12,60.50
2005-03-11,9,59.80
2005-03-18,9,59.38
2005-03-25,16,
2005-04-01,13,59.43
2005-04-08,17,59.56
2005-04-15,9,59.13
2005-04-22,13,58.67
2005-04-29,8,59.94
2005-05-06,18,59.76
2005-05-13,18,59.25
2005-05-20,11,61.33
2005-05-27,13,60.79
2005-06-03,14,61.35
2005-06-10,20,61.31
2005-06-17,18,61.59
2005-06-24,10,60.72
2005-07-01,10,61.27
2005-07-08,10,61.27
2005-07-15,11,62.87
2005-07-22,11,61.75
2005-07-29,13,61.34
2005-08-05,12,60.37
2005-08-12,10,60.17
2005-08-19,13,60.63
2005-08-26,12,58.79
2005-09-02,14,59.29
2005-09-09,14,59.82
2005-09-16,11,59.97
2005-09-23,12,58.97
2005-09-30,14,58.57
2005-10-07,13,58.57
2005-10-14,11,58.98
2005-10-21,21,59.16
2005-10-28,12,60.66
2005-11-04,12,59.72
2005-11-11,15,62.15
2005-11-18,16,62.51
2005-11-25,20,64.34
2005-12-02,19,62.80
2005-12-09,16,62.61
2005-12-16,13,63.75
2005-12-23,17,64.03
2005-12-30,27,62.83
2006-01-06,14,63.36
2006-01-13,18,63.25
2006-01-20,16,61.50
2006-01-27,21,62.70
2006-02-03,12,61.04
2006-02-10,15,61.73
2006-02-17,14,63.61
2006-02-24,10,64.57
2006-03-03,21,63.82
2006-03-10,17,64.25
2006-03-17,17,65.06
2006-03-24,17,64.98
2006-03-31,17,63.87
2006-04-07,17,64.37
2006-04-14,16,
2006-04-21,18,65.03
2006-04-28,14,68.69
2006-05-05,17,68.87
2006-05-12,18,67.16
2006-05-19,16,66.06
2006-05-26,25,67.25
2006-06-02,11,68.14
2006-06-09,20,69.12
2006-06-16,19,66.65
2006-06-23,16,65.51
2006-06-30,21,67.08
2006-07-07,16,68.11
2006-07-14,17,67.77
2006-07-21,20,71.19
2006-07-28,19,72.41
2006-08-04,22,73.00
2006-08-11,25,69.59
2006-08-18,27,35.14
2006-08-25,23,34.90
2006-09-01,19,34.82
2006-09-08,19,34.98
2006-09-15,22,35.87
2006-09-22,21,36.01
2006-09-29,19,36.18
2006-10-06,18,36.34
2006-10-13,18,36.33
2006-10-20,18,36.63
2006-10-27,18,36.32
2006-11-03,15,36.00
2006-11-10,20,36.67
2006-11-17,18,36.27
2006-11-24,19,35.57
2006-12-01,13,35.23
2006-12-08,12,35.43
2006-12-15,16,35.65
2006-12-22,15,35.84
2006-12-29,13,35.56
2007-01-05,20,35.60
2007-01-12,13,35.51
2007-01-19,20,36.04
2007-01-26,15,36.03
2007-02-02,18,35.86
2007-02-09,17,35.36
2007-02-16,17,35.76
2007-02-23,17,35.63
2007-03-02,18,34.44
2007-03-09,15,34.50
2007-03-16,18,33.95
2007-03-23,20,34.96
2007-03-30,15,34.43
2007-04-06,20,
2007-04-13,18,34.63
2007-04-20,18,36.30
2007-04-27,21,35.94
2007-05-04,22,35.92
2007-05-11,24,35.52
2007-05-18,19,36.42
2007-05-25,21,36.13
2007-06-01,17,36.40
2007-06-08,16,35.34
2007-06-15,21,35.97
2007-06-22,19,35.02
2007-06-29,21,35.17
2007-07-06,16,35.33
2007-07-13,25,35.54
2007-07-20,19,34.72
2007-07-27,24,33.56
2007-08-03,22,32.81
2007-08-10,26,34.40
2007-08-17,29,37.24
2007-08-24,28,36.57
2007-08-31,22,36.54
2007-09-07,18,35.20
2007-09-14,25,35.66
2007-09-21,25,36.24
2007-09-28,19,35.62
2007-10-05,20,37.47
2007-10-12,18,36.04
2007-10-19,19,32.86
2007-10-26,21,34.55
2007-11-02,20,32.31
2007-11-09,27,31.66
2007-11-16,22,31.14
2007-11-23,24,30.84
2007-11-30,26,32.43
