Date,sell LOW,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,54.67
2004-02-13,0,57.60
2004-02-20,0,58.38
2004-02-27,0,56.00
2004-03-05,0,55.47
2004-03-12,0,53.09
2004-03-19,0,54.32
2004-03-26,0,55.62
2004-04-02,0,54.90
2004-04-09,0,
2004-04-16,0,53.24
2004-04-23,0,53.54
2004-04-30,0,52.06
2004-05-07,0,50.00
2004-05-14,0,50.58
2004-05-21,0,51.20
2004-05-28,0,53.57
2004-06-04,0,54.37
2004-06-11,0,
2004-06-18,0,53.60
2004-06-25,0,54.07
2004-07-02,0,53.48
2004-07-09,0,51.51
2004-07-16,0,50.32
2004-07-23,0,48.39
2004-07-30,0,48.72
2004-08-06,0,46.49
2004-08-13,0,46.65
2004-08-20,0,50.32
2004-08-27,0,50.47
2004-09-03,0,52.35
2004-09-10,0,53.57
2004-09-17,0,53.54
2004-09-24,0,53.66
2004-10-01,0,55.18
2004-10-08,0,54.20
2004-10-15,0,55.07
2004-10-22,0,55.24
2004-10-29,0,56.28
2004-11-05,0,59.44
2004-11-12,0,60.25
2004-11-19,0,56.77
2004-11-26,0,57.22
2004-12-03,0,57.47
2004-12-10,0,58.58
2004-12-17,0,56.78
2004-12-24,0,
2004-12-31,0,57.59
2005-01-07,0,56.66
2005-01-14,0,56.87
2005-01-21,0,55.91
2005-01-28,0,56.18
2005-02-04,0,58.65
2005-02-11,0,59.60
2005-02-18,0,58.75
2005-02-25,0,59.00
2005-03-04,0,58.20
2005-03-11,99,57.65
2005-03-18,0,57.01
2005-03-25,0,
2005-04-01,0,56.19
2005-04-08,0,54.81
2005-04-15,0,51.64
2005-04-22,0,51.88
2005-04-29,0,52.11
2005-05-06,0,53.54
2005-05-13,0,52.86
2005-05-20,0,57.44
2005-05-27,0,57.15
2005-06-03,0,56.96
2005-06-10,0,58.30
2005-06-17,0,59.42
2005-06-24,0,56.75
2005-07-01,0,57.60
2005-07-08,0,59.52
2005-07-15,0,63.65
2005-07-22,0,65.73
2005-07-29,0,66.22
2005-08-05,0,63.07
2005-08-12,0,65.19
2005-08-19,0,64.69
2005-08-26,0,63.18
2005-09-02,0,64.25
2005-09-09,0,68.09
2005-09-16,100,65.40
2005-09-23,0,65.39
2005-09-30,0,64.40
2005-10-07,0,62.83
2005-10-14,0,61.21
2005-10-21,0,61.22
2005-10-28,0,59.82
2005-11-04,0,60.95
2005-11-11,0,61.97
2005-11-18,0,65.95
2005-11-25,0,66.75
2005-12-02,0,67.83
2005-12-09,0,68.00
2005-12-16,0,69.41
2005-12-23,0,67.46
2005-12-30,0,66.66
2006-01-06,0,64.70
2006-01-13,0,66.24
2006-01-20,0,63.13
2006-01-27,0,65.11
2006-02-03,74,63.52
2006-02-10,0,62.62
2006-02-17,0,66.27
2006-02-24,0,65.52
2006-03-03,0,67.39
2006-03-10,0,65.40
2006-03-17,0,68.63
2006-03-24,0,66.16
2006-03-31,0,64.44
2006-04-07,0,65.39
2006-04-14,0,
2006-04-21,0,63.28
2006-04-28,0,63.05
2006-05-05,0,65.32
2006-05-12,0,63.27
2006-05-19,0,62.64
2006-05-26,0,61.85
2006-06-02,0,63.46
2006-06-09,0,62.23
2006-06-16,0,62.24
2006-06-23,0,60.86
2006-06-30,0,60.67
2006-07-07,0,28.96
2006-07-14,0,27.88
2006-07-21,0,28.11
2006-07-28,0,28.70
2006-08-04,0,28.78
2006-08-11,0,28.10
2006-08-18,0,29.52
2006-08-25,0,26.75
2006-09-01,0,27.33
2006-09-08,0,27.24
2006-09-15,0,29.35
2006-09-22,0,28.33
2006-09-29,0,28.06
2006-10-06,0,29.21
2006-10-13,63,30.95
2006-10-20,48,30.25
2006-10-27,48,30.34
2006-11-03,48,29.05
2006-11-10,48,29.17
2006-11-17,48,30.48
2006-11-24,65,30.00
2006-12-01,0,30.89
2006-12-08,0,30.81
2006-12-15,0,31.41
2006-12-22,0,30.43
2006-12-29,0,31.15
2007-01-05,58,31.79
2007-01-12,49,33.06
2007-01-19,47,33.71
2007-01-26,47,32.58
2007-02-02,47,34.15
2007-02-09,47,33.42
2007-02-16,47,33.27
2007-02-23,53,34.93
2007-03-02,42,31.94
2007-03-09,42,32.34
2007-03-16,42,30.93
2007-03-23,41,32.37
2007-03-30,43,31.49
2007-04-06,44,
2007-04-13,43,31.14
2007-04-20,41,32.02
2007-04-27,41,30.85
2007-05-04,41,30.45
2007-05-11,56,30.87
2007-05-18,72,32.67
2007-05-25,57,32.13
2007-06-01,57,32.66
2007-06-08,49,32.05
2007-06-15,48,31.55
2007-06-22,57,31.04
2007-06-29,38,30.69
2007-07-06,38,31.11
2007-07-13,53,30.76
2007-07-20,46,29.63
2007-07-27,53,27.77
2007-08-03,60,27.45
2007-08-10,49,27.76
2007-08-17,56,26.87
2007-08-24,54,30.20
2007-08-31,54,31.06
2007-09-07,54,29.43
2007-09-14,54,30.80
2007-09-21,34,30.62
2007-09-28,46,28.02
2007-10-05,52,29.29
2007-10-12,35,28.93
2007-10-19,35,26.13
2007-10-26,38,27.15
2007-11-02,40,26.00
2007-11-09,43,23.92
2007-11-16,39,25.01
2007-11-23,59,22.27
2007-11-30,33,24.41
2007-12-07,77,25.08
2007-12-14,42,22.72
2007-12-21,43,23.35
2007-12-28,44,22.66
2008-01-04,45,21.08
2008-01-11,45,20.31
2008-01-18,48,22.19
2008-01-25,51,24.71
2008-02-01,34,25.55
2008-02-08,49,23.61
2008-02-15,45,23.33
2008-02-22,48,23.59
2008-02-29,46,23.97
2008-03-07,30,22.40
2008-03-14,38,21.12
2008-03-21,38,
2008-03-28,44,22.67
2008-04-04,38,24.26
2008-04-11,54,23.99
2008-04-18,45,24.85
2008-04-25,41,26.02
2008-05-02,48,26.13
2008-05-09,71,24.20
2008-05-16,54,24.89
2008-05-23,45,23.30
2008-05-30,64,24.00
2008-06-06,44,23.52
2008-06-13,41,24.14
2008-06-20,49,22.83
2008-06-27,33,20.87
2008-07-04,40,
2008-07-11,55,18.90
2008-07-18,50,19.93
2008-07-25,31,19.98
2008-08-01,78,20.30
2008-08-08,33,22.78
2008-08-15,53,24.50
2008-08-22,73,24.86
2008-08-29,50,24.64
2008-09-05,45,25.75
2008-09-12,56,25.42
2008-09-19,42,25.53
2008-09-26,32,24.46
2008-10-03,53,21.52
2008-10-10,83,17.90
2008-10-17,59,19.31
2008-10-24,37,17.20
2008-10-31,37,21.70
2008-11-07,57,19.66
2008-11-14,61,18.23
2008-11-21,45,17.15
2008-11-28,61,20.66
2008-12-05,62,22.34
2008-12-12,62,21.99
2008-12-19,34,22.54
2008-12-26,36,21.13
2009-01-02,49,22.64
2009-01-09,55,21.19
2009-01-16,39,21.04
2009-01-23,44,20.05
2009-01-30,45,18.27
2009-02-06,54,19.24
2009-02-13,31,17.80
2009-02-20,48,15.86
2009-02-27,48,15.84
2009-03-06,51,13.39
2009-03-13,55,15.89
2009-03-20,33,17.03
2009-03-27,62,18.81
2009-04-03,55,19.12
2009-04-10,56,
2009-04-17,31,20.73
2009-04-24,60,21.09
2009-05-01,53,20.85
2009-05-08,50,19.80
2009-05-15,48,18.45
2009-05-22,33,19.37
2009-05-29,66,19.01
2009-06-05,47,20.04
2009-06-12,41,19.85
2009-06-19,46,18.78
2009-06-26,42,19.22
2009-07-03,49,
2009-07-10,54,18.85
2009-07-17,58,20.42
2009-07-24,48,22.00
2009-07-31,50,22.46
2009-08-07,44,23.85
2009-08-14,50,22.83
2009-08-21,48,21.16
2009-08-28,38,21.70
2009-09-04,56,21.62
2009-09-11,33,21.43
2009-09-18,53,21.97
2009-09-25,38,21.05
2009-10-02,50,20.03
2009-10-09,52,20.94
2009-10-16,51,21.36
2009-10-23,43,20.71
2009-10-30,39,19.57
2009-11-06,31,20.94
2009-11-13,67,21.85
2009-11-20,55,21.35
2009-11-27,40,21.96
2009-12-04,45,22.88
2009-12-11,49,23.88
2009-12-18,51,23.62
2009-12-25,24,
2010-01-01,34,
2010-01-08,66,23.59
2010-01-15,58,23.13
2010-01-22,54,22.31
2010-01-29,60,21.65
2010-02-05,48,21.59
2010-02-12,45,22.16
2010-02-19,44,23.13
2010-02-26,44,23.71
2010-03-05,57,24.05
2010-03-12,52,24.95
2010-03-19,66,24.78
2010-03-26,52,24.48
2010-04-02,68,
2010-04-09,66,25.63
2010-04-16,52,26.29
2010-04-23,54,28.22
2010-04-30,53,27.12
2010-05-07,56,25.31
2010-05-14,49,26.07
2010-05-21,44,24.20
2010-05-28,51,24.75
2010-06-04,48,23.52
2010-06-11,38,23.48
2010-06-18,48,22.62
2010-06-25,62,21.33
2010-07-02,78,20.27
2010-07-09,58,20.43
2010-07-16,66,20.04
2010-07-23,53,21.11
2010-07-30,52,20.74
2010-08-06,57,20.28
2010-08-13,46,19.59
2010-08-20,51,20.64
2010-08-27,61,21.10
2010-09-03,36,21.96
2010-09-10,26,21.52
2010-09-17,41,21.02
2010-09-24,61,22.48
2010-10-01,47,22.35
2010-10-08,49,22.70
2010-10-15,39,21.56
2010-10-22,41,22.00
2010-10-29,36,21.34
2010-11-05,35,22.29
2010-11-12,59,21.69
2010-11-19,44,22.09
2010-11-26,28,22.24
2010-12-03,55,24.86
2010-12-10,36,25.22
2010-12-17,40,25.17
2010-12-24,49,
2010-12-31,42,25.08
2011-01-07,56,23.99
2011-01-14,66,25.00
2011-01-21,56,25.01
2011-01-28,40,25.25
2011-02-04,41,24.71
2011-02-11,45,25.09
2011-02-18,58,26.30
2011-02-25,54,25.27
2011-03-04,48,26.24
2011-03-11,54,26.94
2011-03-18,51,26.20
2011-03-25,50,27.19
2011-04-01,40,26.74
2011-04-08,61,26.82
2011-04-15,51,27.05
2011-04-22,46,
2011-04-29,41,26.25
2011-05-06,64,25.64
2011-05-13,66,25.76
2011-05-20,43,24.46
2011-05-27,44,24.25
2011-06-03,48,23.40
2011-06-10,46,22.26
2011-06-17,61,22.83
2011-06-24,45,23.25
2011-07-01,46,23.82
2011-07-08,48,23.61
2011-07-15,50,22.86
2011-07-22,56,22.62
2011-07-29,53,21.58
2011-08-05,55,20.15
2011-08-12,54,19.51
2011-08-19,64,19.31
2011-08-26,56,20.24
2011-09-02,36,18.94
2011-09-09,43,18.96
2011-09-16,58,20.38
2011-09-23,53,19.74
2011-09-30,42,19.34
2011-10-07,63,20.34
2011-10-14,49,20.93
2011-10-21,54,22.13
2011-10-28,59,21.37
2011-11-04,46,21.54
2011-11-11,51,23.11
2011-11-18,46,23.31
2011-11-25,43,22.68
2011-12-02,45,24.31
2011-12-09,61,24.97
2011-12-16,50,25.02
2011-12-23,40,25.27
2011-12-30,54,25.38
2012-01-06,40,26.34
2012-01-13,65,26.32
2012-01-20,48,26.53
2012-01-27,49,26.91
2012-02-03,58,27.20
2012-02-10,56,27.09
2012-02-17,61,27.68
2012-02-24,44,27.16
2012-03-02,63,28.13
2012-03-09,60,29.77
2012-03-16,43,30.41
2012-03-23,57,30.74
2012-03-30,57,31.38
2012-04-06,64,
2012-04-13,60,31.69
2012-04-20,47,31.65
2012-04-27,60,31.61
2012-05-04,72,31.09
2012-05-11,54,29.62
2012-05-18,49,28.48
2012-05-25,56,27.24
2012-06-01,52,26.36
2012-06-08,62,27.92
2012-06-15,42,28.05
2012-06-22,50,27.31
2012-06-29,64,28.44
2012-07-06,48,27.85
2012-07-13,61,26.72
2012-07-20,40,25.79
2012-07-27,61,27.07
2012-08-03,50,25.49
2012-08-10,68,26.77
2012-08-17,56,27.87
2012-08-24,59,27.73
2012-08-31,54,28.48
2012-09-07,59,28.32
2012-09-14,53,29.40
2012-09-21,68,30.19
2012-09-28,68,30.24
2012-10-05,61,31.77
2012-10-12,68,31.18
2012-10-19,66,32.64
2012-10-26,71,31.36
2012-11-02,53,33.15
2012-11-09,55,31.47
2012-11-16,48,31.98
2012-11-23,61,35.15
2012-11-30,60,36.09
2012-12-07,61,35.11
2012-12-14,52,34.46
2012-12-21,49,35.04
2012-12-28,46,34.98
2013-01-04,58,35.58
2013-01-11,61,35.83
2013-01-18,56,36.99
2013-01-25,56,38.58
2013-02-01,66,38.56
2013-02-08,59,39.03
2013-02-15,59,39.14
2013-02-22,57,37.67
2013-03-01,50,38.38
2013-03-08,59,39.31
2013-03-15,58,38.81
2013-03-22,52,37.83
2013-03-29,58,
2013-04-05,46,38.39
2013-04-12,59,38.92
2013-04-19,62,38.12
2013-04-26,58,37.70
2013-05-03,55,39.59
2013-05-10,48,42.07
2013-05-17,56,42.67
2013-05-24,60,42.64
2013-05-31,43,42.11
2013-06-07,69,41.60
2013-06-14,57,41.16
2013-06-21,58,39.55
2013-06-28,69,40.90
2013-07-05,59,42.78
2013-07-12,51,43.83
2013-07-19,55,44.27
2013-07-26,56,43.97
2013-08-02,55,44.99
2013-08-09,51,45.68
2013-08-16,66,43.96
2013-08-23,57,46.98
2013-08-30,51,45.82
2013-09-06,68,45.60
2013-09-13,58,46.86
2013-09-20,63,47.84
2013-09-27,53,47.77
2013-10-04,78,48.14
2013-10-11,67,48.80
2013-10-18,84,47.66
2013-10-25,67,50.59
2013-11-01,75,49.18
2013-11-08,73,48.72
2013-11-15,81,51.77
2013-11-22,62,47.90
2013-11-29,58,47.48
2013-12-06,45,47.98
2013-12-13,63,47.11
2013-12-20,58,47.97
2013-12-27,54,48.83
2014-01-03,64,48.95
2014-01-10,62,49.68
2014-01-17,46,47.61
2014-01-24,56,47.83
2014-01-31,53,46.29
2014-02-07,58,46.07
2014-02-14,65,47.28
2014-02-21,56,47.06
2014-02-28,53,50.03
2014-03-07,61,50.42
2014-03-14,54,49.09
2014-03-21,65,49.25
2014-03-28,57,48.92
2014-04-04,66,48.44
2014-04-11,62,46.31
2014-04-18,68,
2014-04-25,55,46.38
2014-05-02,75,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
