Date,COF,Price
2004-01-09,49,
2004-01-16,68,
2004-01-23,76,
2004-01-30,55,
2004-02-06,55,71.64
2004-02-13,48,73.05
2004-02-20,54,71.12
2004-02-27,38,70.72
2004-03-05,59,73.78
2004-03-12,43,73.50
2004-03-19,43,72.40
2004-03-26,61,73.65
2004-04-02,53,74.99
2004-04-09,33,
2004-04-16,43,73.72
2004-04-23,52,68.85
2004-04-30,50,65.53
2004-05-07,60,63.96
2004-05-14,56,65.84
2004-05-21,57,67.17
2004-05-28,57,70.06
2004-06-04,56,69.86
2004-06-11,41,
2004-06-18,67,71.38
2004-06-25,52,70.26
2004-07-02,50,68.09
2004-07-09,62,66.41
2004-07-16,62,66.02
2004-07-23,63,67.97
2004-07-30,53,69.32
2004-08-06,45,65.95
2004-08-13,35,68.02
2004-08-20,62,70.85
2004-08-27,62,68.92
2004-09-03,48,68.58
2004-09-10,58,72.55
2004-09-17,47,73.18
2004-09-24,65,73.60
2004-10-01,63,74.56
2004-10-08,59,72.94
2004-10-15,53,69.91
2004-10-22,63,69.80
2004-10-29,66,73.76
2004-11-05,45,77.14
2004-11-12,69,79.72
2004-11-19,40,77.67
2004-11-26,41,79.98
2004-12-03,62,79.24
2004-12-10,45,81.12
2004-12-17,56,82.04
2004-12-24,36,
2004-12-31,33,84.21
2005-01-07,49,81.96
2005-01-14,44,82.12
2005-01-21,44,78.39
2005-01-28,54,77.62
2005-02-04,52,78.83
2005-02-11,53,78.40
2005-02-18,52,76.82
2005-02-25,61,77.35
2005-03-04,65,78.08
2005-03-11,59,77.88
2005-03-18,60,76.64
2005-03-25,60,
2005-04-01,54,74.68
2005-04-08,63,74.36
2005-04-15,57,73.00
2005-04-22,69,70.65
2005-04-29,64,70.89
2005-05-06,57,71.56
2005-05-13,71,71.02
2005-05-20,42,74.34
2005-05-27,66,74.87
2005-06-03,60,74.93
2005-06-10,59,74.54
2005-06-17,52,74.98
2005-06-24,58,73.36
2005-07-01,74,78.80
2005-07-08,65,81.85
2005-07-15,47,82.17
2005-07-22,69,84.90
2005-07-29,48,82.50
2005-08-05,52,84.35
2005-08-12,57,83.33
2005-08-19,63,84.80
2005-08-26,57,81.14
2005-09-02,48,82.04
2005-09-09,50,79.30
2005-09-16,54,82.00
2005-09-23,59,79.86
2005-09-30,61,79.52
2005-10-07,63,75.54
2005-10-14,60,72.97
2005-10-21,68,74.45
2005-10-28,59,75.26
2005-11-04,61,76.26
2005-11-11,43,80.82
2005-11-18,61,84.34
2005-11-25,37,84.94
2005-12-02,80,84.53
2005-12-09,56,84.47
2005-12-16,54,85.74
2005-12-23,49,88.01
2005-12-30,46,86.40
2006-01-06,40,86.44
2006-01-13,67,86.64
2006-01-20,57,85.17
2006-01-27,69,84.74
2006-02-03,36,83.27
2006-02-10,50,85.17
2006-02-17,47,87.26
2006-02-24,53,88.85
2006-03-03,62,88.35
2006-03-10,50,89.92
2006-03-17,77,81.90
2006-03-24,63,82.10
2006-03-31,65,80.52
2006-04-07,71,83.09
2006-04-14,49,
2006-04-21,57,86.09
2006-04-28,89,86.64
2006-05-05,65,85.82
2006-05-12,53,86.00
2006-05-19,64,83.73
2006-05-26,63,83.55
2006-06-02,56,83.71
2006-06-09,38,83.21
2006-06-16,51,83.82
2006-06-23,63,85.39
2006-06-30,57,85.45
2006-07-07,64,84.72
2006-07-14,59,83.18
2006-07-21,45,77.70
2006-07-28,60,77.69
2006-08-04,66,79.15
2006-08-11,60,71.82
2006-08-18,43,74.29
2006-08-25,46,69.88
2006-09-01,54,73.46
2006-09-08,65,72.46
2006-09-15,67,76.09
2006-09-22,62,76.95
2006-09-29,68,78.66
2006-10-06,50,78.61
2006-10-13,65,81.62
2006-10-20,64,81.24
2006-10-27,61,81.66
2006-11-03,63,76.56
2006-11-10,79,77.52
2006-11-17,79,75.50
2006-11-24,60,75.40
2006-12-01,100,77.64
2006-12-08,66,76.18
2006-12-15,69,76.61
2006-12-22,65,77.40
2006-12-29,46,76.82
2007-01-05,59,77.16
2007-01-12,65,77.02
2007-01-19,58,78.88
2007-01-26,67,79.47
2007-02-02,69,80.81
2007-02-09,68,82.01
2007-02-16,52,82.07
2007-02-23,63,80.48
2007-03-02,64,76.78
2007-03-09,62,77.00
2007-03-16,72,74.95
2007-03-23,67,77.89
2007-03-30,54,75.46
2007-04-06,49,
2007-04-13,58,75.06
2007-04-20,67,72.80
2007-04-27,65,74.91
2007-05-04,51,74.43
2007-05-11,55,77.20
2007-05-18,72,77.44
2007-05-25,71,78.78
2007-06-01,58,80.15
2007-06-08,66,79.99
2007-06-15,68,80.75
2007-06-22,54,80.03
2007-06-29,55,78.44
2007-07-06,63,78.61
2007-07-13,55,75.35
2007-07-20,76,77.66
2007-07-27,67,73.02
2007-08-03,57,67.34
2007-08-10,55,69.10
2007-08-17,68,68.75
2007-08-24,75,66.32
2007-08-31,62,64.66
2007-09-07,69,62.70
2007-09-14,71,66.11
2007-09-21,55,69.02
2007-09-28,54,66.43
2007-10-05,69,72.94
2007-10-12,64,70.88
2007-10-19,55,62.68
2007-10-26,62,64.40
2007-11-02,51,61.17
2007-11-09,70,54.26
2007-11-16,73,53.05
2007-11-23,73,52.07
2007-11-30,77,53.31
2007-12-07,62,49.80
2007-12-14,70,47.20
2007-12-21,74,47.68
2007-12-28,59,46.57
2008-01-04,63,45.97
2008-01-11,79,42.59
2008-01-18,80,39.68
2008-01-25,76,46.51
2008-02-01,74,56.97
2008-02-08,60,48.98
2008-02-15,61,47.66
2008-02-22,61,47.92
2008-02-29,61,46.03
2008-03-07,69,43.36
2008-03-14,64,47.86
2008-03-21,69,
2008-03-28,61,48.99
2008-04-04,70,51.27
2008-04-11,73,48.30
2008-04-18,67,47.21
2008-04-25,69,50.91
2008-05-02,74,55.23
2008-05-09,64,52.91
2008-05-16,54,51.65
2008-05-23,55,47.47
2008-05-30,70,48.12
2008-06-06,72,46.15
2008-06-13,63,44.62
2008-06-20,68,40.90
2008-06-27,74,38.31
2008-07-04,61,
2008-07-11,75,38.56
2008-07-18,80,42.87
2008-07-25,64,39.27
2008-08-01,75,41.51
2008-08-08,67,43.39
2008-08-15,74,43.95
2008-08-22,69,42.35
2008-08-29,71,44.14
2008-09-05,67,44.71
2008-09-12,68,45.94
2008-09-19,74,56.05
2008-09-26,82,54.55
2008-10-03,82,44.90
2008-10-10,77,35.54
2008-10-17,79,39.92
2008-10-24,72,35.30
2008-10-31,67,39.12
2008-11-07,67,34.56
2008-11-14,69,31.19
2008-11-21,69,26.83
2008-11-28,73,34.41
2008-12-05,69,32.72
2008-12-12,60,28.12
2008-12-19,61,30.97
2008-12-26,53,29.48
2009-01-02,70,33.31
2009-01-09,72,29.33
2009-01-16,73,24.10
2009-01-23,80,19.32
2009-01-30,78,15.84
2009-02-06,85,14.50
2009-02-13,70,12.11
2009-02-20,77,10.01
2009-02-27,80,12.05
2009-03-06,77,8.31
2009-03-13,78,12.56
2009-03-20,74,11.34
2009-03-27,66,14.23
2009-04-03,64,13.82
2009-04-10,64,
2009-04-17,76,17.85
2009-04-24,84,19.02
2009-05-01,71,17.34
2009-05-08,82,31.34
2009-05-15,85,24.54
2009-05-22,76,21.92
2009-05-29,69,24.44
2009-06-05,65,24.11
2009-06-12,72,23.94
2009-06-19,67,22.33
2009-06-26,64,21.94
2009-07-03,70,
2009-07-10,66,20.63
2009-07-17,61,26.50
2009-07-24,76,30.07
2009-07-31,76,30.70
2009-08-07,74,34.12
2009-08-14,70,35.08
2009-08-21,67,36.48
2009-08-28,60,36.73
2009-09-04,73,35.23
2009-09-11,58,37.98
2009-09-18,59,37.50
2009-09-25,63,35.14
2009-10-02,55,33.19
2009-10-09,64,37.61
2009-10-16,58,36.35
2009-10-23,69,40.95
2009-10-30,54,36.60
2009-11-06,70,37.67
2009-11-13,62,38.80
2009-11-20,60,37.70
2009-11-27,60,37.24
2009-12-04,64,37.92
2009-12-11,66,40.40
2009-12-18,61,39.50
2009-12-25,60,
2010-01-01,66,
2010-01-08,71,42.46
2010-01-15,73,41.13
2010-01-22,64,37.53
2010-01-29,66,36.86
2010-02-05,71,35.36
2010-02-12,56,35.14
2010-02-19,59,37.79
2010-02-26,61,37.75
2010-03-05,53,37.94
2010-03-12,55,39.89
2010-03-19,56,39.77
2010-03-26,60,41.92
2010-04-02,55,
2010-04-09,60,43.86
2010-04-16,57,43.49
2010-04-23,58,46.73
2010-04-30,56,43.41
2010-05-07,53,42.14
2010-05-14,59,42.76
2010-05-21,67,41.81
2010-05-28,54,41.30
2010-06-04,52,39.31
2010-06-11,55,40.26
2010-06-18,63,42.64
2010-06-25,55,43.44
2010-07-02,56,39.43
2010-07-09,58,43.68
