Date,MAS,Price
2004-01-09,30,
2004-01-16,32,
2004-01-23,32,
2004-01-30,31,
2004-02-06,31,26.40
2004-02-13,33,27.33
2004-02-20,36,27.26
2004-02-27,32,28.04
2004-03-05,34,28.33
2004-03-12,37,29.28
2004-03-19,34,29.82
2004-03-26,37,29.79
2004-04-02,36,30.14
2004-04-09,32,
2004-04-16,39,29.42
2004-04-23,40,28.46
2004-04-30,39,28.01
2004-05-07,37,27.43
2004-05-14,37,28.04
2004-05-21,38,28.32
2004-05-28,39,28.95
2004-06-04,41,28.68
2004-06-11,40,
2004-06-18,38,29.94
2004-06-25,37,30.97
2004-07-02,35,31.04
2004-07-09,36,30.52
2004-07-16,36,31.18
2004-07-23,36,30.81
2004-07-30,37,30.24
2004-08-06,38,30.52
2004-08-13,38,31.11
2004-08-20,38,32.26
2004-08-27,41,32.08
2004-09-03,41,32.88
2004-09-10,43,32.87
2004-09-17,39,34.25
2004-09-24,39,34.18
2004-10-01,41,34.93
2004-10-08,41,33.56
2004-10-15,42,33.52
2004-10-22,40,33.90
2004-10-29,40,34.26
2004-11-05,38,35.87
2004-11-12,41,36.50
2004-11-19,41,35.80
2004-11-26,42,36.02
2004-12-03,39,35.68
2004-12-10,37,35.66
2004-12-17,37,35.93
2004-12-24,38,
2004-12-31,38,36.53
2005-01-07,36,35.31
2005-01-14,36,36.22
2005-01-21,38,36.12
2005-01-28,38,36.76
2005-02-04,38,38.03
2005-02-11,40,37.19
2005-02-18,41,36.84
2005-02-25,40,33.92
2005-03-04,42,34.70
2005-03-11,43,33.34
2005-03-18,44,33.59
2005-03-25,38,
2005-04-01,43,34.29
2005-04-08,47,33.94
2005-04-15,44,32.65
2005-04-22,44,32.22
2005-04-29,46,31.49
2005-05-06,46,30.73
2005-05-13,44,30.02
2005-05-20,44,31.94
2005-05-27,46,32.38
2005-06-03,48,32.37
2005-06-10,47,32.50
2005-06-17,46,33.66
2005-06-24,45,31.70
2005-07-01,43,31.44
2005-07-08,43,32.05
2005-07-15,42,32.53
2005-07-22,42,33.84
2005-07-29,42,33.91
2005-08-05,43,31.40
2005-08-12,43,31.39
2005-08-19,44,30.79
2005-08-26,47,29.79
2005-09-02,46,30.80
2005-09-09,47,31.02
2005-09-16,43,30.16
2005-09-23,48,29.76
2005-09-30,46,30.68
2005-10-07,47,29.45
2005-10-14,46,29.43
2005-10-21,47,28.12
2005-10-28,48,28.55
2005-11-04,44,28.91
2005-11-11,46,29.09
2005-11-18,46,29.82
2005-11-25,45,30.77
