Date,Occidental Petroleum,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,43.56
2004-02-13,0,44.70
2004-02-20,0,44.36
2004-02-27,0,44.40
2004-03-05,0,46.11
2004-03-12,0,45.15
2004-03-19,0,46.30
2004-03-26,0,43.50
2004-04-02,0,45.96
2004-04-09,0,
2004-04-16,0,48.61
2004-04-23,0,48.05
2004-04-30,0,47.20
2004-05-07,0,47.29
2004-05-14,0,46.27
2004-05-21,0,44.75
2004-05-28,0,44.20
2004-06-04,0,44.21
2004-06-11,0,
2004-06-18,0,48.24
2004-06-25,0,48.56
2004-07-02,0,48.29
2004-07-09,0,48.96
2004-07-16,0,50.47
2004-07-23,75,49.06
2004-07-30,0,49.27
2004-08-06,0,47.95
2004-08-13,0,50.11
2004-08-20,0,50.60
2004-08-27,0,50.89
2004-09-03,0,53.34
2004-09-10,0,52.60
2004-09-17,0,54.69
2004-09-24,0,54.95
2004-10-01,0,56.50
2004-10-08,0,58.19
2004-10-15,0,56.30
2004-10-22,0,57.77
2004-10-29,0,55.83
2004-11-05,0,58.00
2004-11-12,0,57.91
2004-11-19,0,58.43
2004-11-26,0,60.31
2004-12-03,0,56.75
2004-12-10,0,55.30
2004-12-17,0,56.90
2004-12-24,0,
2004-12-31,0,58.36
2005-01-07,0,55.75
2005-01-14,0,58.13
2005-01-21,0,57.63
2005-01-28,0,57.51
2005-02-04,100,59.94
2005-02-11,0,65.13
2005-02-18,0,67.87
2005-02-25,0,71.36
2005-03-04,0,73.65
2005-03-11,0,71.30
2005-03-18,0,74.02
2005-03-25,0,
2005-04-01,0,73.64
2005-04-08,0,72.22
2005-04-15,0,65.50
2005-04-22,0,71.47
2005-04-29,0,69.00
2005-05-06,50,70.45
2005-05-13,0,66.25
2005-05-20,0,68.04
2005-05-27,0,73.52
2005-06-03,0,75.42
2005-06-10,0,76.01
2005-06-17,0,80.13
2005-06-24,0,78.96
2005-07-01,0,79.66
2005-07-08,0,81.00
2005-07-15,0,78.80
2005-07-22,57,82.90
2005-07-29,0,82.28
2005-08-05,0,81.37
2005-08-12,0,83.68
2005-08-19,0,79.23
2005-08-26,0,78.17
2005-09-02,41,84.37
2005-09-09,0,86.94
2005-09-16,0,86.55
2005-09-23,0,85.93
2005-09-30,0,85.43
2005-10-07,0,77.59
2005-10-14,52,72.73
2005-10-21,50,71.14
2005-10-28,50,76.90
2005-11-04,50,78.80
2005-11-11,50,74.02
2005-11-18,38,75.05
2005-11-25,38,79.96
2005-12-02,38,81.96
2005-12-09,38,81.84
2005-12-16,38,80.85
2005-12-23,0,82.46
2005-12-30,0,79.88
2006-01-06,0,87.81
2006-01-13,0,89.84
2006-01-20,0,91.00
2006-01-27,0,91.21
2006-02-03,37,91.45
2006-02-10,48,87.00
2006-02-17,30,90.04
2006-02-24,30,92.38
2006-03-03,33,95.00
2006-03-10,29,90.12
2006-03-17,28,95.08
2006-03-24,28,93.80
2006-03-31,31,92.65
2006-04-07,33,95.13
2006-04-14,36,
2006-04-21,38,107.01
2006-04-28,39,102.74
2006-05-05,32,104.47
2006-05-12,31,102.30
2006-05-19,67,94.06
2006-05-26,39,97.74
2006-06-02,37,100.90
2006-06-09,34,96.93
2006-06-16,37,96.73
2006-06-23,40,96.71
2006-06-30,43,102.55
2006-07-07,37,102.62
2006-07-14,37,103.14
2006-07-21,29,99.56
2006-07-28,29,106.60
2006-08-04,28,105.24
2006-08-11,36,105.18
2006-08-18,48,52.42
2006-08-25,36,53.41
2006-09-01,36,51.48
2006-09-08,29,46.79
2006-09-15,29,44.05
2006-09-22,29,45.23
2006-09-29,29,48.11
2006-10-06,29,45.59
2006-10-13,30,46.67
2006-10-20,30,47.02
2006-10-27,26,47.68
2006-11-03,25,47.26
2006-11-10,25,48.65
2006-11-17,35,47.49
2006-11-24,24,47.94
2006-12-01,24,50.41
2006-12-08,24,49.51
2006-12-15,0,51.92
2006-12-22,0,49.13
2006-12-29,0,48.83
2007-01-05,0,45.45
2007-01-12,0,44.40
2007-01-19,22,44.75
2007-01-26,31,45.64
2007-02-02,40,47.29
2007-02-09,27,46.52
2007-02-16,35,47.52
2007-02-23,30,48.25
2007-03-02,30,45.90
2007-03-09,21,46.33
2007-03-16,26,45.75
2007-03-23,30,48.28
2007-03-30,34,49.31
2007-04-06,31,
2007-04-13,31,51.27
2007-04-20,20,51.71
2007-04-27,29,51.17
2007-05-04,37,51.65
2007-05-11,34,51.93
2007-05-18,17,54.67
2007-05-25,17,54.96
2007-06-01,17,56.33
2007-06-08,40,56.94
2007-06-15,43,59.31
2007-06-22,24,58.80
2007-06-29,33,57.88
2007-07-06,35,59.77
2007-07-13,24,63.60
2007-07-20,21,62.10
2007-07-27,29,56.90
2007-08-03,21,55.26
2007-08-10,21,55.64
2007-08-17,24,54.33
2007-08-24,21,56.73
2007-08-31,21,56.69
2007-09-07,20,59.03
2007-09-14,20,61.11
2007-09-21,20,64.41
2007-09-28,18,64.08
2007-10-05,24,66.41
2007-10-12,24,69.21
2007-10-19,22,66.71
2007-10-26,17,70.77
2007-11-02,18,68.74
2007-11-09,20,70.78
2007-11-16,22,68.50
2007-11-23,21,72.10
2007-11-30,21,69.77
2007-12-07,18,72.30
2007-12-14,21,71.00
2007-12-21,18,75.83
2007-12-28,18,78.10
2008-01-04,16,77.76
2008-01-11,14,72.72
2008-01-18,18,68.04
2008-01-25,22,64.81
2008-02-01,17,69.20
2008-02-08,17,66.68
2008-02-15,17,71.72
2008-02-22,19,73.57
2008-02-29,20,77.37
2008-03-07,22,74.29
2008-03-14,15,75.27
2008-03-21,17,
2008-03-28,19,73.22
2008-04-04,12,76.75
2008-04-11,29,77.23
2008-04-18,28,82.86
2008-04-25,30,86.87
2008-05-02,31,83.74
2008-05-09,15,87.85
2008-05-16,17,94.99
2008-05-23,17,93.34
2008-05-30,18,91.93
2008-06-06,15,92.70
2008-06-13,20,88.07
2008-06-20,22,85.64
2008-06-27,16,88.45
2008-07-04,26,
2008-07-11,21,84.05
2008-07-18,16,77.59
2008-07-25,19,75.71
2008-08-01,27,79.31
2008-08-08,19,76.09
2008-08-15,22,75.71
2008-08-22,25,81.78
2008-08-29,15,79.36
2008-09-05,16,73.27
2008-09-12,16,72.46
2008-09-19,26,80.50
2008-09-26,19,77.33
2008-10-03,23,61.53
2008-10-10,30,43.90
2008-10-17,23,46.50
2008-10-24,22,45.69
2008-10-31,23,55.54
2008-11-07,22,52.46
2008-11-14,22,48.19
2008-11-21,17,47.01
2008-11-28,12,54.14
2008-12-05,15,46.19
2008-12-12,22,55.12
2008-12-19,20,56.55
2008-12-26,19,54.14
2009-01-02,19,62.16
2009-01-09,21,56.30
2009-01-16,11,53.53
2009-01-23,19,55.54
2009-01-30,27,54.55
2009-02-06,17,56.77
2009-02-13,17,56.58
2009-02-20,25,50.06
2009-02-27,17,51.87
2009-03-06,25,50.54
2009-03-13,18,54.69
2009-03-20,11,56.74
2009-03-27,19,57.96
2009-04-03,20,60.39
2009-04-10,15,
2009-04-17,19,59.64
2009-04-24,28,55.87
2009-05-01,25,58.47
2009-05-08,21,65.32
2009-05-15,18,60.03
2009-05-22,21,62.03
2009-05-29,9,67.11
2009-06-05,11,68.56
2009-06-12,10,68.97
2009-06-19,21,64.52
2009-06-26,21,64.30
2009-07-03,15,
2009-07-10,18,60.75
2009-07-17,19,67.75
2009-07-24,38,72.43
2009-07-31,23,71.34
2009-08-07,14,70.06
2009-08-14,24,70.33
2009-08-21,22,74.78
2009-08-28,18,74.52
2009-09-04,23,72.73
2009-09-11,17,76.97
2009-09-18,20,77.15
2009-09-25,16,77.03
2009-10-02,27,74.33
2009-10-09,41,79.54
2009-10-16,34,82.40
2009-10-23,32,82.15
2009-10-30,24,75.88
2009-11-06,16,80.88
2009-11-13,21,82.45
2009-11-20,16,79.99
2009-11-27,17,81.20
2009-12-04,18,78.65
2009-12-11,24,76.00
2009-12-18,16,79.98
2009-12-25,15,
2010-01-01,13,
2010-01-08,17,83.72
2010-01-15,20,78.92
2010-01-22,18,76.10
2010-01-29,20,78.34
2010-02-05,22,76.71
2010-02-12,16,79.80
2010-02-19,16,81.51
2010-02-26,21,79.85
2010-03-05,19,81.94
2010-03-12,19,81.84
2010-03-19,13,82.58
2010-03-26,26,81.73
2010-04-02,18,
2010-04-09,33,86.56
2010-04-16,24,85.06
2010-04-23,25,87.48
2010-04-30,27,88.66
2010-05-07,21,80.61
2010-05-14,20,81.96
2010-05-21,22,79.41
2010-05-28,13,82.51
2010-06-04,26,78.42
2010-06-11,28,85.01
2010-06-18,23,86.98
2010-06-25,20,81.73
2010-07-02,12,76.37
2010-07-09,15,81.11
2010-07-16,25,79.38
2010-07-23,12,82.14
2010-07-30,37,77.93
2010-08-06,30,76.33
2010-08-13,18,75.39
2010-08-20,16,75.06
2010-08-27,16,75.42
2010-09-03,14,78.32
2010-09-10,12,78.20
2010-09-17,19,76.20
2010-09-24,17,76.30
2010-10-01,24,80.77
2010-10-08,16,83.18
2010-10-15,21,84.94
2010-10-22,20,79.58
2010-10-29,16,78.63
2010-11-05,18,84.23
2010-11-12,16,87.46
2010-11-19,18,88.19
2010-11-26,13,87.65
2010-12-03,17,91.74
2010-12-10,19,93.04
2010-12-17,23,95.20
2010-12-24,15,
2010-12-31,12,98.10
2011-01-07,21,96.19
2011-01-14,13,97.32
2011-01-21,22,97.97
2011-01-28,21,93.81
2011-02-04,17,97.51
2011-02-11,26,99.74
2011-02-18,24,107.37
2011-02-25,26,103.10
2011-03-04,21,103.15
2011-03-11,28,98.75
2011-03-18,17,98.33
2011-03-25,21,100.85
2011-04-01,20,104.30
2011-04-08,27,103.72
2011-04-15,24,98.76
2011-04-22,28,
2011-04-29,26,114.29
2011-05-06,24,106.42
2011-05-13,15,102.36
2011-05-20,19,100.40
2011-05-27,18,106.57
2011-06-03,20,104.20
2011-06-10,17,103.39
2011-06-17,26,102.19
2011-06-24,17,98.46
2011-07-01,18,105.52
2011-07-08,20,106.27
2011-07-15,21,105.34
2011-07-22,18,107.88
2011-07-29,21,98.18
2011-08-05,16,87.34
2011-08-12,14,85.12
2011-08-19,21,80.91
2011-08-26,19,82.09
2011-09-02,16,83.41
2011-09-09,15,80.54
2011-09-16,22,83.32
2011-09-23,19,72.26
2011-09-30,20,71.50
2011-10-07,20,77.25
2011-10-14,13,85.42
2011-10-21,17,86.74
2011-10-28,17,97.77
2011-11-04,17,97.64
2011-11-11,25,99.81
2011-11-18,17,94.32
2011-11-25,9,86.69
2011-12-02,15,95.92
2011-12-09,24,94.40
2011-12-16,22,89.27
2011-12-23,16,94.62
2011-12-30,16,93.70
2012-01-06,14,95.77
2012-01-13,16,97.62
2012-01-20,16,100.37
2012-01-27,20,100.25
2012-02-03,14,102.63
2012-02-10,17,102.70
2012-02-17,21,103.92
2012-02-24,17,103.86
2012-03-02,18,104.36
2012-03-09,21,100.70
2012-03-16,14,100.58
2012-03-23,19,97.62
2012-03-30,17,95.23
2012-04-06,16,
2012-04-13,17,88.57
2012-04-20,16,88.61
2012-04-27,17,91.74
2012-05-04,16,87.88
2012-05-11,19,83.76
2012-05-18,17,79.65
2012-05-25,16,81.02
2012-06-01,16,78.57
2012-06-08,17,85.05
2012-06-15,14,85.24
2012-06-22,21,79.49
2012-06-29,17,85.77
2012-07-06,19,85.25
2012-07-13,21,85.33
2012-07-20,12,87.20
2012-07-27,21,88.62
2012-08-03,19,88.57
2012-08-10,15,91.40
2012-08-17,15,88.71
2012-08-24,18,87.90
2012-08-31,21,85.01
2012-09-07,18,87.15
2012-09-14,22,91.95
2012-09-21,22,87.39
2012-09-28,23,86.06
2012-10-05,25,85.01
2012-10-12,14,81.93
2012-10-19,16,84.35
2012-10-26,14,80.44
2012-11-02,13,78.33
2012-11-09,17,76.65
2012-11-16,18,73.81
2012-11-23,15,76.17
2012-11-30,16,75.21
2012-12-07,16,75.37
2012-12-14,13,76.17
2012-12-21,13,78.14
2012-12-28,14,75.38
2013-01-04,11,79.84
2013-01-11,17,83.08
2013-01-18,19,82.58
2013-01-25,18,84.06
2013-02-01,15,87.68
2013-02-08,14,88.36
2013-02-15,18,84.71
2013-02-22,15,83.61
2013-03-01,10,82.65
2013-03-08,17,82.40
2013-03-15,12,83.67
2013-03-22,14,78.66
2013-03-29,17,
2013-04-05,20,81.85
2013-04-12,22,83.39
2013-04-19,17,79.61
2013-04-26,16,86.66
2013-05-03,29,90.76
2013-05-10,24,89.17
2013-05-17,17,92.84
2013-05-24,20,90.78
2013-05-31,17,92.07
2013-06-07,22,93.12
2013-06-14,14,91.89
2013-06-21,17,89.92
2013-06-28,16,89.23
2013-07-05,13,90.83
2013-07-12,23,90.22
2013-07-19,16,92.09
2013-07-26,16,90.75
2013-08-02,21,88.92
2013-08-09,16,88.28
2013-08-16,16,86.51
2013-08-23,14,88.17
2013-08-30,13,88.21
2013-09-06,11,89.00
2013-09-13,21,89.49
2013-09-20,22,91.56
2013-09-27,14,94.46
2013-10-04,20,95.41
2013-10-11,16,95.49
2013-10-18,22,98.29
2013-10-25,19,96.88
2013-11-01,19,95.65
2013-11-08,14,96.33
2013-11-15,13,97.54
2013-11-22,19,99.37
2013-11-29,15,94.96
2013-12-06,14,92.65
2013-12-13,12,91.11
2013-12-20,10,92.80
2013-12-27,9,94.85
2014-01-03,10,93.52
2014-01-10,13,93.85
2014-01-17,16,90.57
2014-01-24,16,88.00
2014-01-31,15,87.57
2014-02-07,16,90.59
2014-02-14,24,95.76
2014-02-21,20,95.39
2014-02-28,16,96.52
2014-03-07,20,97.13
2014-03-14,15,96.52
2014-03-21,14,94.07
2014-03-28,16,95.55
2014-04-04,21,94.55
2014-04-11,22,93.33
2014-04-18,17,
2014-04-25,12,96.37
2014-05-02,15,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
