Date,CAM,Price
2004-01-09,76,
2004-01-16,71,
2004-01-23,68,
2004-01-30,75,
2004-02-06,64,41.45
2004-02-13,62,44.15
2004-02-20,68,43.58
2004-02-27,73,44.22
2004-03-05,61,45.72
2004-03-12,66,45.63
2004-03-19,66,45.41
2004-03-26,65,43.90
2004-04-02,64,43.91
2004-04-09,68,
2004-04-16,64,47.24
2004-04-23,61,47.50
2004-04-30,63,48.35
2004-05-07,62,47.04
2004-05-14,61,45.85
2004-05-21,65,44.70
2004-05-28,63,46.37
2004-06-04,69,44.64
2004-06-11,67,
2004-06-18,65,48.17
2004-06-25,66,48.39
2004-07-02,66,48.74
2004-07-09,68,48.94
2004-07-16,68,51.65
2004-07-23,70,49.71
2004-07-30,68,51.09
2004-08-06,67,47.74
2004-08-13,80,47.70
2004-08-20,66,49.23
2004-08-27,64,50.83
2004-09-03,78,52.05
2004-09-10,74,52.63
2004-09-17,77,53.16
2004-09-24,64,53.99
2004-10-01,70,55.98
2004-10-08,84,54.62
2004-10-15,73,53.08
2004-10-22,65,52.14
2004-10-29,63,48.35
2004-11-05,65,49.49
2004-11-12,70,50.52
2004-11-19,63,50.65
2004-11-26,67,52.71
2004-12-03,69,50.50
2004-12-10,66,50.74
2004-12-17,68,53.25
2004-12-24,85,
2004-12-31,94,53.81
2005-01-07,75,51.53
2005-01-14,71,55.35
2005-01-21,72,55.66
2005-01-28,74,55.68
2005-02-04,67,58.49
2005-02-11,70,58.02
2005-02-18,66,56.47
2005-02-25,69,58.48
2005-03-04,70,59.50
2005-03-11,68,54.52
2005-03-18,63,54.85
2005-03-25,69,
2005-04-01,69,58.06
2005-04-08,71,56.99
2005-04-15,61,53.73
2005-04-22,66,55.92
2005-04-29,63,54.94
2005-05-06,66,57.82
2005-05-13,62,55.39
2005-05-20,67,58.11
2005-05-27,66,59.31
2005-06-03,65,60.03
2005-06-10,68,61.81
2005-06-17,69,63.11
2005-06-24,69,63.04
2005-07-01,70,62.50
2005-07-08,74,64.59
2005-07-15,77,63.37
2005-07-22,72,69.51
2005-07-29,74,70.98
2005-08-05,70,71.63
2005-08-12,70,72.34
2005-08-19,67,69.93
2005-08-26,73,69.29
2005-09-02,84,72.61
2005-09-09,65,73.39
2005-09-16,67,72.05
2005-09-23,72,71.63
2005-09-30,61,73.93
2005-10-07,66,69.95
2005-10-14,66,69.48
2005-10-21,67,66.78
2005-10-28,70,71.40
2005-11-04,67,73.83
2005-11-11,69,73.87
2005-11-18,69,78.39
2005-11-25,75,79.72
2005-12-02,74,82.81
2005-12-09,73,84.29
2005-12-16,73,41.29
2005-12-23,79,42.36
2005-12-30,95,41.40
2006-01-06,78,45.81
2006-01-13,69,47.36
2006-01-20,71,48.53
2006-01-27,72,48.89
2006-02-03,72,45.77
2006-02-10,69,43.49
2006-02-17,71,41.44
2006-02-24,70,42.05
2006-03-03,72,41.71
2006-03-10,69,39.01
2006-03-17,67,41.42
2006-03-24,65,43.26
2006-03-31,68,44.08
2006-04-07,70,46.61
2006-04-14,71,
2006-04-21,70,49.78
2006-04-28,73,50.24
2006-05-05,80,53.93
2006-05-12,71,51.92
2006-05-19,69,46.59
2006-05-26,71,46.66
2006-06-02,73,48.70
2006-06-09,70,45.40
2006-06-16,73,45.03
2006-06-23,71,44.84
2006-06-30,71,47.77
2006-07-07,73,45.73
2006-07-14,71,49.02
2006-07-21,72,43.69
2006-07-28,71,49.42
2006-08-04,73,49.75
2006-08-11,71,48.05
2006-08-18,70,48.83
2006-08-25,67,49.77
2006-09-01,70,48.94
2006-09-08,68,46.49
2006-09-15,68,44.60
2006-09-22,65,44.90
2006-09-29,64,48.31
2006-10-06,66,46.95
2006-10-13,67,48.71
2006-10-20,64,49.75
2006-10-27,65,50.93
2006-11-03,70,51.42
2006-11-10,67,53.66
2006-11-17,66,52.75
2006-11-24,70,53.12
2006-12-01,70,55.30
2006-12-08,72,55.59
2006-12-15,72,56.64
2006-12-22,80,53.65
2006-12-29,90,53.05
2007-01-05,85,49.86
2007-01-12,72,51.66
2007-01-19,72,51.44
2007-01-26,79,52.02
2007-02-02,68,53.25
2007-02-09,71,57.41
2007-02-16,73,57.34
2007-02-23,69,58.73
2007-03-02,69,55.83
2007-03-09,68,57.71
2007-03-16,67,58.53
2007-03-23,67,61.92
2007-03-30,66,62.79
2007-04-06,66,
2007-04-13,67,65.37
2007-04-20,65,65.08
2007-04-27,62,66.94
2007-05-04,66,67.92
2007-05-11,65,68.34
2007-05-18,64,70.79
2007-05-25,65,68.96
2007-06-01,69,70.65
2007-06-08,68,69.56
2007-06-15,64,73.37
2007-06-22,67,73.73
2007-06-29,68,71.47
2007-07-06,70,74.67
2007-07-13,66,77.73
2007-07-20,69,79.14
2007-07-27,66,76.91
2007-08-03,64,76.50
2007-08-10,67,78.67
2007-08-17,66,71.70
2007-08-24,69,78.26
2007-08-31,64,81.77
2007-09-07,64,85.27
2007-09-14,61,89.24
2007-09-21,60,93.54
2007-09-28,64,92.29
2007-10-05,62,96.08
2007-10-12,60,102.28
2007-10-19,62,98.13
2007-10-26,61,103.94
2007-11-02,65,98.60
2007-11-09,63,95.42
2007-11-16,65,89.33
2007-11-23,67,94.23
2007-11-30,67,93.23
2007-12-07,71,98.68
2007-12-14,70,95.71
2007-12-21,73,95.00
2007-12-28,85,98.33
2008-01-04,88,50.37
2008-01-11,70,48.73
2008-01-18,70,45.58
2008-01-25,68,43.99
2008-02-01,70,42.12
2008-02-08,72,39.39
2008-02-15,64,41.36
2008-02-22,67,43.34
2008-02-29,66,42.48
2008-03-07,69,39.26
2008-03-14,65,42.73
2008-03-21,69,
2008-03-28,67,41.83
2008-04-04,65,46.00
2008-04-11,66,45.71
2008-04-18,64,50.52
2008-04-25,64,49.75
2008-05-02,65,47.65
2008-05-09,65,51.76
2008-05-16,63,55.84
2008-05-23,63,52.48
2008-05-30,66,53.23
2008-06-06,65,55.25
2008-06-13,66,55.03
2008-06-20,66,54.56
2008-06-27,67,54.91
2008-07-04,73,
2008-07-11,67,51.37
2008-07-18,72,51.91
2008-07-25,71,47.98
2008-08-01,68,48.96
2008-08-08,69,45.66
2008-08-15,68,45.70
2008-08-22,66,47.61
2008-08-29,65,46.59
2008-09-05,69,43.67
2008-09-12,68,42.20
2008-09-19,64,44.85
2008-09-26,62,40.45
2008-10-03,65,31.23
2008-10-10,63,25.24
2008-10-17,63,23.80
2008-10-24,64,21.29
2008-10-31,66,24.26
2008-11-07,66,23.82
2008-11-14,69,20.62
2008-11-21,75,18.40
2008-11-28,79,21.10
2008-12-05,76,18.09
2008-12-12,80,20.84
2008-12-19,81,19.90
2008-12-26,90,19.53
2009-01-02,91,22.07
2009-01-09,81,23.14
