Date,Alliance Data Systems,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,30.17
2004-02-13,0,29.53
2004-02-20,0,29.25
2004-02-27,0,29.95
2004-03-05,0,30.20
2004-03-12,0,30.95
2004-03-19,0,32.07
2004-03-26,0,32.86
2004-04-02,0,33.70
2004-04-09,0,
2004-04-16,0,33.37
2004-04-23,0,37.43
2004-04-30,0,34.77
2004-05-07,0,35.58
2004-05-14,0,35.85
2004-05-21,0,35.92
2004-05-28,0,37.01
2004-06-04,0,39.38
2004-06-11,0,
2004-06-18,0,39.84
2004-06-25,0,41.15
2004-07-02,0,41.33
2004-07-09,0,40.23
2004-07-16,0,38.95
2004-07-23,0,37.55
2004-07-30,0,39.71
2004-08-06,0,36.11
2004-08-13,0,36.12
2004-08-20,0,36.92
2004-08-27,0,37.68
2004-09-03,0,38.94
2004-09-10,94,39.62
2004-09-17,0,40.00
2004-09-24,0,40.30
2004-10-01,0,41.44
2004-10-08,0,40.70
2004-10-15,0,43.25
2004-10-22,0,40.64
2004-10-29,0,42.28
2004-11-05,0,41.91
2004-11-12,0,43.00
2004-11-19,0,43.35
2004-11-26,0,42.93
2004-12-03,0,43.67
2004-12-10,0,44.37
2004-12-17,0,47.29
2004-12-24,0,
2004-12-31,0,47.48
2005-01-07,0,46.42
2005-01-14,0,44.04
2005-01-21,0,44.75
2005-01-28,0,43.52
2005-02-04,0,42.46
2005-02-11,0,41.51
2005-02-18,71,39.29
2005-02-25,75,39.45
2005-03-04,0,38.28
2005-03-11,0,38.96
2005-03-18,0,39.83
2005-03-25,0,
2005-04-01,0,41.18
2005-04-08,0,39.58
2005-04-15,0,37.38
2005-04-22,0,42.79
2005-04-29,0,40.40
2005-05-06,76,38.87
2005-05-13,77,35.95
2005-05-20,78,37.95
2005-05-27,79,37.71
2005-06-03,80,37.00
2005-06-10,90,36.90
2005-06-17,74,39.11
2005-06-24,74,39.95
2005-07-01,74,41.00
2005-07-08,74,41.85
2005-07-15,74,43.44
2005-07-22,100,43.55
2005-07-29,0,42.57
2005-08-05,0,41.44
2005-08-12,0,41.81
2005-08-19,0,41.22
2005-08-26,0,41.79
2005-09-02,0,40.65
2005-09-09,0,41.02
2005-09-16,68,40.86
2005-09-23,64,40.66
2005-09-30,66,39.15
2005-10-07,60,37.93
2005-10-14,60,37.62
2005-10-21,60,36.90
2005-10-28,60,34.73
2005-11-04,60,36.04
2005-11-11,0,36.90
2005-11-18,0,37.18
2005-11-25,0,38.76
2005-12-02,0,37.50
2005-12-09,0,36.70
2005-12-16,0,35.85
2005-12-23,0,36.47
2005-12-30,0,35.60
2006-01-06,0,38.81
2006-01-13,53,39.10
2006-01-20,50,40.63
2006-01-27,50,42.45
2006-02-03,50,43.73
2006-02-10,50,43.04
2006-02-17,0,43.56
2006-02-24,0,43.85
2006-03-03,0,43.62
2006-03-10,0,46.01
2006-03-17,0,46.32
2006-03-24,0,46.50
2006-03-31,0,46.77
2006-04-07,47,46.07
2006-04-14,48,
2006-04-21,49,56.07
2006-04-28,0,55.00
2006-05-05,0,54.18
2006-05-12,0,51.33
2006-05-19,0,52.69
2006-05-26,0,54.02
2006-06-02,0,55.17
2006-06-09,0,53.74
2006-06-16,0,55.22
2006-06-23,52,55.80
2006-06-30,43,58.82
2006-07-07,43,57.68
2006-07-14,43,53.98
2006-07-21,43,50.41
2006-07-28,43,51.39
2006-08-04,0,51.77
2006-08-11,0,47.57
2006-08-18,0,52.75
2006-08-25,0,48.55
2006-09-01,0,51.06
2006-09-08,0,51.50
2006-09-15,0,54.80
2006-09-22,0,54.65
2006-09-29,0,55.19
2006-10-06,0,57.33
2006-10-13,0,56.35
2006-10-20,46,60.46
2006-10-27,33,59.95
2006-11-03,33,59.20
2006-11-10,33,62.38
2006-11-17,33,64.83
2006-11-24,35,64.16
2006-12-01,36,64.95
2006-12-08,38,64.09
2006-12-15,39,63.88
2006-12-22,37,61.28
2006-12-29,37,62.47
2007-01-05,37,64.66
2007-01-12,39,65.42
2007-01-19,42,64.04
2007-01-26,45,66.95
2007-02-02,47,66.43
2007-02-09,39,63.56
2007-02-16,39,62.82
2007-02-23,39,62.95
2007-03-02,31,58.65
2007-03-09,31,57.56
2007-03-16,31,59.84
2007-03-23,31,63.39
2007-03-30,28,61.62
2007-04-06,28,
2007-04-13,28,65.54
2007-04-20,28,63.96
2007-04-27,28,64.27
2007-05-04,28,64.33
2007-05-11,28,62.88
2007-05-18,57,78.33
2007-05-25,39,77.75
2007-06-01,31,77.81
2007-06-08,26,77.74
2007-06-15,26,77.30
2007-06-22,26,77.56
2007-06-29,26,77.28
2007-07-06,26,78.16
2007-07-13,26,77.35
2007-07-20,0,77.69
2007-07-27,0,75.33
2007-08-03,0,77.25
2007-08-10,0,74.38
2007-08-17,0,72.90
2007-08-24,25,77.15
2007-08-31,27,78.45
2007-09-07,29,78.80
2007-09-14,23,78.64
2007-09-21,24,78.54
2007-09-28,24,77.44
2007-10-05,24,79.04
2007-10-12,25,79.65
2007-10-19,24,80.60
2007-10-26,24,80.41
2007-11-02,24,80.10
2007-11-09,19,77.26
2007-11-16,19,77.74
2007-11-23,23,77.46
2007-11-30,27,77.70
2007-12-07,31,78.25
2007-12-14,33,76.46
2007-12-21,35,74.70
2007-12-28,37,73.67
2008-01-04,39,72.00
2008-01-11,41,68.25
2008-01-18,32,61.93
2008-01-25,21,65.60
2008-02-01,66,53.90
2008-02-08,40,55.02
2008-02-15,27,55.40
2008-02-22,24,51.36
2008-02-29,24,50.63
2008-03-07,24,45.50
2008-03-14,24,46.63
2008-03-21,24,
2008-03-28,23,47.38
2008-04-04,22,48.48
2008-04-11,25,47.90
2008-04-18,28,52.84
2008-04-25,21,56.06
2008-05-02,21,58.83
2008-05-09,18,59.11
2008-05-16,18,59.94
2008-05-23,19,56.55
2008-05-30,20,60.04
2008-06-06,0,57.96
2008-06-13,0,60.78
2008-06-20,0,60.50
2008-06-27,0,55.98
2008-07-04,0,
2008-07-11,21,51.79
2008-07-18,32,59.60
2008-07-25,23,62.26
2008-08-01,23,64.68
2008-08-08,23,65.47
2008-08-15,22,65.14
2008-08-22,22,63.98
2008-08-29,22,64.24
2008-09-05,22,63.20
2008-09-12,20,64.64
2008-09-19,20,60.67
2008-09-26,20,62.24
2008-10-03,20,59.90
2008-10-10,20,44.40
2008-10-17,16,46.93
2008-10-24,16,45.29
2008-10-31,0,50.16
2008-11-07,0,50.94
2008-11-14,0,45.13
2008-11-21,0,38.40
2008-11-28,0,43.31
2008-12-05,0,44.94
2008-12-12,0,42.53
2008-12-19,0,47.28
2008-12-26,0,45.73
2009-01-02,0,47.60
2009-01-09,18,44.58
2009-01-16,16,42.34
2009-01-23,16,39.75
2009-01-30,17,41.59
2009-02-06,19,41.50
2009-02-13,20,35.97
2009-02-20,21,29.60
2009-02-27,23,29.60
2009-03-06,14,23.78
2009-03-13,14,30.78
2009-03-20,14,31.44
2009-03-27,14,36.34
2009-04-03,14,38.40
2009-04-10,14,
2009-04-17,14,44.22
2009-04-24,15,42.40
2009-05-01,14,41.56
2009-05-08,15,42.90
2009-05-15,15,38.82
2009-05-22,16,38.62
2009-05-29,16,40.50
2009-06-05,15,43.25
2009-06-12,17,48.28
2009-06-19,18,43.48
2009-06-26,19,40.30
2009-07-03,15,
2009-07-10,15,37.63
2009-07-17,18,46.30
2009-07-24,21,50.48
2009-07-31,18,51.00
2009-08-07,19,57.26
2009-08-14,19,59.51
2009-08-21,19,56.66
2009-08-28,13,56.96
2009-09-04,13,55.71
2009-09-11,14,58.83
2009-09-18,15,63.96
2009-09-25,16,59.07
2009-10-02,15,58.90
2009-10-09,15,60.94
2009-10-16,14,66.48
2009-10-23,14,60.28
2009-10-30,12,54.98
2009-11-06,13,59.13
2009-11-13,14,60.52
2009-11-20,0,59.10
2009-11-27,0,61.71
2009-12-04,0,61.16
2009-12-11,0,63.36
2009-12-18,0,64.66
2009-12-25,0,
2010-01-01,0,
2010-01-08,17,67.68
2010-01-15,13,65.64
2010-01-22,14,61.32
2010-01-29,14,59.46
2010-02-05,15,55.30
2010-02-12,11,53.86
2010-02-19,11,56.88
2010-02-26,11,55.44
2010-03-05,13,60.36
2010-03-12,14,62.75
2010-03-19,11,64.07
2010-03-26,12,64.12
2010-04-02,13,
2010-04-09,13,64.96
2010-04-16,13,66.87
2010-04-23,13,76.74
2010-04-30,13,75.06
2010-05-07,13,71.50
2010-05-14,14,69.93
2010-05-21,14,69.81
2010-05-28,14,70.66
2010-06-04,14,68.61
2010-06-11,14,69.39
2010-06-18,14,70.50
2010-06-25,14,63.90
2010-07-02,10,55.70
2010-07-09,10,58.20
2010-07-16,10,55.88
2010-07-23,10,56.66
2010-07-30,11,57.48
2010-08-06,11,61.42
2010-08-13,12,58.07
2010-08-20,12,56.59
2010-08-27,0,57.33
2010-09-03,0,61.00
2010-09-10,0,61.76
2010-09-17,0,63.30
2010-09-24,0,65.35
2010-10-01,0,65.71
2010-10-08,0,64.55
2010-10-15,12,68.35
2010-10-22,9,64.24
2010-10-29,13,60.72
2010-11-05,0,62.95
2010-11-12,0,62.18
2010-11-19,0,61.72
2010-11-26,0,63.70
2010-12-03,0,68.18
2010-12-10,0,69.84
2010-12-17,9,70.07
2010-12-24,9,
2010-12-31,9,71.03
2011-01-07,10,71.20
2011-01-14,9,72.16
2011-01-21,0,71.64
2011-01-28,0,71.25
2011-02-04,0,76.51
2011-02-11,0,78.53
2011-02-18,0,78.96
2011-02-25,8,78.35
2011-03-04,0,81.22
2011-03-11,0,78.73
2011-03-18,0,81.13
2011-03-25,0,84.86
2011-04-01,0,85.93
2011-04-08,24,85.00
2011-04-15,8,83.66
2011-04-22,8,
2011-04-29,14,95.00
2011-05-06,9,90.79
2011-05-13,9,91.78
2011-05-20,0,91.49
2011-05-27,0,93.72
2011-06-03,0,89.86
2011-06-10,0,86.40
2011-06-17,0,88.13
2011-06-24,10,89.35
2011-07-01,8,94.64
2011-07-08,8,97.73
2011-07-15,8,94.22
2011-07-22,8,97.65
2011-07-29,0,98.34
2011-08-05,0,88.17
2011-08-12,0,89.36
2011-08-19,0,83.01
2011-08-26,0,89.90
2011-09-02,0,90.52
2011-09-09,0,89.70
2011-09-16,0,95.04
2011-09-23,0,91.54
2011-09-30,0,92.70
2011-10-07,10,94.60
2011-10-14,8,94.15
2011-10-21,8,97.99
2011-10-28,7,104.97
2011-11-04,7,102.57
2011-11-11,7,101.95
2011-11-18,7,95.83
2011-11-25,8,93.08
2011-12-02,0,104.85
2011-12-09,0,103.70
2011-12-16,0,103.00
2011-12-23,0,105.74
2011-12-30,0,103.84
2012-01-06,8,102.54
2012-01-13,7,106.03
2012-01-20,7,108.49
2012-01-27,7,110.40
2012-02-03,8,115.57
2012-02-10,7,117.93
2012-02-17,8,119.62
2012-02-24,8,121.88
2012-03-02,8,120.70
2012-03-09,6,122.90
2012-03-16,6,124.87
2012-03-23,6,125.98
2012-03-30,9,125.96
2012-04-06,6,
2012-04-13,6,124.32
2012-04-20,6,128.40
2012-04-27,7,130.28
2012-05-04,8,126.41
2012-05-11,8,127.20
2012-05-18,6,121.25
2012-05-25,9,127.18
2012-06-01,7,122.19
2012-06-08,7,124.80
2012-06-15,7,128.91
2012-06-22,6,129.40
2012-06-29,6,135.00
2012-07-06,6,135.92
2012-07-13,6,132.23
2012-07-20,6,130.55
2012-07-27,7,130.60
2012-08-03,6,129.29
2012-08-10,7,131.28
2012-08-17,8,137.47
2012-08-24,7,138.49
2012-08-31,6,137.65
2012-09-07,6,141.19
2012-09-14,6,140.91
2012-09-21,7,142.21
2012-09-28,8,141.95
2012-10-05,7,144.02
2012-10-12,7,137.84
2012-10-19,7,144.33
2012-10-26,6,142.64
2012-11-02,6,143.43
2012-11-09,6,142.32
2012-11-16,7,139.66
2012-11-23,6,140.83
2012-11-30,5,142.49
2012-12-07,5,142.96
2012-12-14,5,144.10
2012-12-21,6,146.31
2012-12-28,7,144.02
2013-01-04,8,151.10
2013-01-11,8,155.53
2013-01-18,8,155.80
2013-01-25,6,158.05
2013-02-01,5,156.75
2013-02-08,5,154.08
2013-02-15,5,155.41
2013-02-22,5,154.02
2013-03-01,8,158.58
2013-03-08,5,157.85
2013-03-15,5,157.84
2013-03-22,5,157.46
2013-03-29,5,
2013-04-05,5,155.35
2013-04-12,5,157.87
2013-04-19,6,160.07
2013-04-26,5,166.89
2013-05-03,5,173.95
2013-05-10,5,177.19
2013-05-17,5,178.08
2013-05-24,5,181.63
2013-05-31,6,177.09
2013-06-07,6,178.37
2013-06-14,5,177.79
2013-06-21,6,172.63
2013-06-28,5,181.03
2013-07-05,5,182.32
2013-07-12,6,190.51
2013-07-19,6,188.79
2013-07-26,7,191.76
2013-08-02,7,203.11
2013-08-09,11,206.01
2013-08-16,8,202.55
2013-08-23,5,202.30
2013-08-30,5,195.70
2013-09-06,5,199.43
2013-09-13,5,206.09
2013-09-20,5,209.75
2013-09-27,6,209.28
2013-10-04,6,217.86
2013-10-11,8,223.55
2013-10-18,9,231.08
2013-10-25,5,234.47
2013-11-01,6,236.78
2013-11-08,8,242.86
2013-11-15,6,249.11
2013-11-22,5,243.27
2013-11-29,5,242.26
2013-12-06,5,248.70
2013-12-13,6,250.87
2013-12-20,6,250.50
2013-12-27,5,258.15
2014-01-03,5,263.70
2014-01-10,5,258.26
2014-01-17,7,256.89
2014-01-24,5,249.72
2014-01-31,4,239.66
2014-02-07,6,265.08
2014-02-14,6,280.11
2014-02-21,4,282.95
2014-02-28,9,285.11
2014-03-07,7,287.78
2014-03-14,6,278.59
2014-03-21,7,286.50
2014-03-28,4,274.23
2014-04-04,6,262.69
2014-04-11,6,246.38
2014-04-18,7,
2014-04-25,7,236.12
2014-05-02,0,
