Date,M&T Bank Corp.,Price
2004-01-09,57,
2004-01-16,58,
2004-01-23,60,
2004-01-30,60,
2004-02-06,58,91.91
2004-02-13,58,94.55
2004-02-20,59,92.75
2004-02-27,57,96.05
2004-03-05,59,96.88
2004-03-12,64,92.50
2004-03-19,60,90.47
2004-03-26,59,89.16
2004-04-02,59,89.18
2004-04-09,58,
2004-04-16,57,87.70
2004-04-23,57,84.60
2004-04-30,56,85.00
2004-05-07,57,85.63
2004-05-14,59,85.79
2004-05-21,58,86.67
2004-05-28,57,90.57
2004-06-04,59,91.67
2004-06-11,58,
2004-06-18,59,88.75
2004-06-25,57,88.20
2004-07-02,56,88.03
2004-07-09,58,87.90
2004-07-16,58,93.61
2004-07-23,61,93.02
2004-07-30,60,93.23
2004-08-06,60,92.57
2004-08-13,56,94.34
2004-08-20,59,96.35
2004-08-27,62,97.56
2004-09-03,59,96.00
2004-09-10,58,95.95
2004-09-17,61,96.34
2004-09-24,59,94.62
2004-10-01,59,97.59
2004-10-08,62,99.08
2004-10-15,61,100.30
2004-10-22,60,97.28
2004-10-29,59,103.00
2004-11-05,60,105.43
2004-11-12,65,106.30
2004-11-19,62,104.25
2004-11-26,63,106.06
2004-12-03,63,105.92
2004-12-10,63,103.83
2004-12-17,63,104.15
2004-12-24,63,
2004-12-31,65,107.84
2005-01-07,60,103.49
2005-01-14,62,100.77
2005-01-21,61,100.60
2005-01-28,62,100.24
2005-02-04,60,103.03
2005-02-11,63,101.25
2005-02-18,60,98.95
2005-02-25,64,100.20
2005-03-04,64,104.68
2005-03-11,65,101.21
2005-03-18,64,100.06
2005-03-25,66,
2005-04-01,66,100.89
2005-04-08,62,102.37
2005-04-15,63,101.30
2005-04-22,62,99.90
2005-04-29,64,103.45
2005-05-06,64,103.30
2005-05-13,64,100.93
2005-05-20,63,104.52
2005-05-27,63,103.05
2005-06-03,64,103.19
2005-06-10,64,102.78
2005-06-17,64,106.60
2005-06-24,64,104.50
2005-07-01,63,105.58
2005-07-08,62,106.46
2005-07-15,63,110.12
2005-07-22,63,110.46
2005-07-29,65,108.51
2005-08-05,64,107.34
2005-08-12,63,108.70
2005-08-19,63,108.39
2005-08-26,64,105.76
2005-09-02,66,107.05
2005-09-09,64,108.37
2005-09-16,67,106.85
2005-09-23,67,105.65
2005-09-30,63,105.71
2005-10-07,65,102.49
2005-10-14,67,103.93
2005-10-21,65,103.52
2005-10-28,65,106.65
2005-11-04,66,106.94
2005-11-11,68,110.80
2005-11-18,69,109.83
2005-11-25,68,110.84
2005-12-02,69,109.88
2005-12-09,68,109.62
2005-12-16,69,110.93
2005-12-23,68,110.35
2005-12-30,72,109.05
2006-01-06,65,112.03
2006-01-13,66,110.12
2006-01-20,67,106.50
2006-01-27,67,109.25
2006-02-03,68,106.82
2006-02-10,68,108.20
2006-02-17,67,111.82
2006-02-24,69,113.31
2006-03-03,69,112.52
2006-03-10,69,112.31
2006-03-17,68,117.19
2006-03-24,67,115.94
2006-03-31,69,114.14
2006-04-07,66,113.70
2006-04-14,67,
2006-04-21,67,114.30
2006-04-28,66,119.40
2006-05-05,66,118.92
2006-05-12,69,116.55
2006-05-19,67,115.33
2006-05-26,69,116.42
2006-06-02,68,116.89
2006-06-09,68,118.31
2006-06-16,66,116.18
2006-06-23,68,113.84
2006-06-30,66,117.92
2006-07-07,65,117.01
2006-07-14,67,116.39
2006-07-21,69,118.96
2006-07-28,69,122.77
2006-08-04,69,123.96
2006-08-11,68,121.57
2006-08-18,69,124.14
2006-08-25,69,122.45
2006-09-01,70,122.51
2006-09-08,71,118.72
2006-09-15,72,120.83
2006-09-22,72,119.78
2006-09-29,74,119.96
2006-10-06,72,119.00
2006-10-13,74,123.20
2006-10-20,74,121.76
2006-10-27,73,121.20
2006-11-03,75,119.73
2006-11-10,75,120.58
2006-11-17,76,121.55
2006-11-24,74,120.23
2006-12-01,74,118.66
2006-12-08,76,120.18
2006-12-15,77,122.11
2006-12-22,75,121.08
2006-12-29,78,122.16
2007-01-05,74,120.41
2007-01-12,71,120.31
2007-01-19,71,119.07
2007-01-26,72,119.47
2007-02-02,75,122.35
2007-02-09,72,121.67
2007-02-16,72,124.42
2007-02-23,75,124.18
2007-03-02,74,118.28
2007-03-09,75,117.44
2007-03-16,75,116.00
2007-03-23,77,118.56
2007-03-30,77,115.83
2007-04-06,75,
2007-04-13,72,105.88
2007-04-20,76,113.59
2007-04-27,76,111.62
2007-05-04,76,113.62
2007-05-11,78,112.05
2007-05-18,74,112.70
2007-05-25,77,110.75
2007-06-01,77,111.34
2007-06-08,76,109.57
2007-06-15,75,108.75
2007-06-22,75,106.94
2007-06-29,73,106.90
2007-07-06,74,108.70
2007-07-13,70,111.72
2007-07-20,72,108.71
2007-07-27,68,105.40
2007-08-03,69,99.85
2007-08-10,71,102.39
2007-08-17,72,111.67
2007-08-24,74,108.04
2007-08-31,75,105.88
2007-09-07,74,103.20
2007-09-14,74,104.80
2007-09-21,75,107.60
2007-09-28,76,103.45
2007-10-05,75,107.73
2007-10-12,75,101.34
2007-10-19,74,97.39
2007-10-26,73,100.26
2007-11-02,77,91.47
2007-11-09,77,92.28
2007-11-16,75,89.40
2007-11-23,85,89.97
2007-11-30,85,90.96
2007-12-07,85,88.87
2007-12-14,76,83.31
2007-12-21,77,82.12
2007-12-28,77,81.43
2008-01-04,74,75.85
2008-01-11,73,73.75
2008-01-18,72,73.69
2008-01-25,71,83.85
2008-02-01,73,94.03
2008-02-08,73,88.89
2008-02-15,71,88.40
2008-02-22,72,86.89
2008-02-29,74,82.08
2008-03-07,74,77.29
2008-03-14,74,79.96
2008-03-21,73,
2008-03-28,74,81.80
2008-04-04,72,83.01
2008-04-11,74,83.62
2008-04-18,73,90.50
2008-04-25,72,94.28
2008-05-02,72,95.31
2008-05-09,73,91.04
2008-05-16,71,91.64
2008-05-23,73,88.36
2008-05-30,74,86.66
2008-06-06,73,81.18
2008-06-13,73,77.88
2008-06-20,71,73.32
2008-06-27,71,71.57
2008-07-04,70,
2008-07-11,72,69.70
2008-07-18,80,68.63
2008-07-25,80,68.10
2008-08-01,75,71.57
2008-08-08,73,76.07
2008-08-15,77,74.52
2008-08-22,85,70.21
2008-08-29,80,71.34
2008-09-05,80,73.91
2008-09-12,79,78.17
2008-09-19,81,93.50
2008-09-26,78,91.50
2008-10-03,75,87.67
2008-10-10,78,72.75
2008-10-17,73,79.00
2008-10-24,78,75.25
2008-10-31,75,81.10
2008-11-07,75,73.78
2008-11-14,76,65.83
2008-11-21,78,58.21
2008-11-28,77,64.25
2008-12-05,78,67.88
2008-12-12,79,59.07
2008-12-19,76,55.96
2008-12-26,78,55.39
2009-01-02,76,57.32
2009-01-09,73,48.10
2009-01-16,73,39.93
2009-01-23,74,37.38
2009-01-30,72,38.91
2009-02-06,74,41.10
2009-02-13,73,36.91
2009-02-20,75,35.10
2009-02-27,76,36.60
2009-03-06,76,31.85
2009-03-13,75,39.34
2009-03-20,75,40.27
2009-03-27,77,47.74
2009-04-03,75,47.31
2009-04-10,75,
2009-04-17,74,59.97
2009-04-24,76,53.56
2009-05-01,75,49.39
2009-05-08,73,55.09
2009-05-15,75,46.16
2009-05-22,73,46.73
2009-05-29,72,50.30
2009-06-05,75,48.44
2009-06-12,72,48.86
2009-06-19,75,46.80
2009-06-26,70,49.15
2009-07-03,72,
2009-07-10,75,51.36
2009-07-17,73,54.44
2009-07-24,74,57.52
2009-07-31,76,58.32
2009-08-07,75,61.19
2009-08-14,74,60.02
2009-08-21,77,60.44
2009-08-28,74,61.64
2009-09-04,75,58.46
2009-09-11,75,59.33
2009-09-18,74,66.04
2009-09-25,76,62.47
2009-10-02,75,60.14
2009-10-09,75,66.02
2009-10-16,75,66.53
2009-10-23,75,68.77
2009-10-30,75,62.85
2009-11-06,73,62.83
2009-11-13,77,62.50
2009-11-20,76,65.85
2009-11-27,76,63.85
2009-12-04,76,63.44
2009-12-11,77,64.44
2009-12-18,75,64.87
2009-12-25,77,
2010-01-01,75,
2010-01-08,73,73.84
2010-01-15,73,73.16
2010-01-22,73,75.59
2010-01-29,72,73.75
2010-02-05,74,72.67
2010-02-12,73,72.07
2010-02-19,74,76.60
2010-02-26,72,77.43
2010-03-05,73,78.55
2010-03-12,73,80.00
2010-03-19,76,83.28
2010-03-26,75,80.81
2010-04-02,75,
2010-04-09,75,85.34
2010-04-16,74,84.25
2010-04-23,74,88.49
2010-04-30,75,87.35
2010-05-07,73,84.07
2010-05-14,74,87.25
2010-05-21,75,84.00
2010-05-28,74,79.24
2010-06-04,75,75.36
2010-06-11,75,78.39
2010-06-18,72,90.71
2010-06-25,71,88.37
2010-07-02,71,84.89
2010-07-09,71,90.23
2010-07-16,72,85.73
2010-07-23,73,89.56
2010-07-30,74,87.34
2010-08-06,76,86.88
2010-08-13,72,85.35
2010-08-20,74,89.76
2010-08-27,77,87.78
2010-09-03,81,88.93
2010-09-10,82,86.57
2010-09-17,83,86.70
2010-09-24,83,90.62
2010-10-01,82,81.91
2010-10-08,82,76.84
2010-10-15,79,75.22
2010-10-22,82,74.44
2010-10-29,84,74.75
2010-11-05,81,82.70
2010-11-12,81,80.98
2010-11-19,81,77.80
2010-11-26,86,76.45
2010-12-03,86,80.86
2010-12-10,86,85.02
2010-12-17,86,82.75
2010-12-24,83,
2010-12-31,94,87.05
2011-01-07,83,86.82
2011-01-14,82,86.38
2011-01-21,81,86.77
2011-01-28,83,86.35
2011-02-04,84,87.49
2011-02-11,87,89.86
2011-02-18,87,91.01
2011-02-25,87,88.56
2011-03-04,85,88.01
2011-03-11,85,87.70
2011-03-18,83,87.57
2011-03-25,90,87.54
2011-04-01,87,89.69
2011-04-08,91,87.70
2011-04-15,87,85.35
2011-04-22,87,
2011-04-29,86,88.37
2011-05-06,85,86.43
2011-05-13,90,86.39
2011-05-20,93,88.04
2011-05-27,91,87.62
2011-06-03,88,85.79
2011-06-10,87,84.41
2011-06-17,89,88.02
2011-06-24,87,85.32
2011-07-01,84,89.03
2011-07-08,82,87.56
2011-07-15,83,85.56
2011-07-22,84,89.08
2011-07-29,83,86.24
2011-08-05,84,78.65
2011-08-12,84,73.04
2011-08-19,83,69.86
2011-08-26,86,74.39
2011-09-02,91,72.29
2011-09-09,90,70.50
2011-09-16,94,74.15
2011-09-23,93,69.01
2011-09-30,91,69.90
2011-10-07,92,70.82
2011-10-14,89,75.72
2011-10-21,93,74.94
2011-10-28,94,78.30
2011-11-04,91,72.10
2011-11-11,98,73.91
2011-11-18,98,71.76
2011-11-25,98,67.70
2011-12-02,97,73.88
2011-12-09,99,73.01
2011-12-16,95,72.75
2011-12-23,93,76.89
2011-12-30,94,76.34
2012-01-06,95,79.45
2012-01-13,92,82.34
2012-01-20,93,81.72
2012-01-27,91,80.11
2012-02-03,90,82.45
2012-02-10,94,79.80
2012-02-17,90,82.92
2012-02-24,92,81.77
2012-03-02,93,80.59
2012-03-09,96,81.35
2012-03-16,96,85.69
2012-03-23,95,85.86
2012-03-30,94,86.88
2012-04-06,92,
2012-04-13,92,84.43
2012-04-20,92,87.39
2012-04-27,91,87.38
2012-05-04,94,85.56
2012-05-11,91,84.80
2012-05-18,92,80.71
2012-05-25,92,81.82
2012-06-01,92,78.57
2012-06-08,87,79.93
2012-06-15,89,81.04
2012-06-22,86,80.96
2012-06-29,88,82.57
2012-07-06,91,83.88
2012-07-13,87,83.98
2012-07-20,83,84.97
2012-07-27,88,86.45
2012-08-03,89,87.42
2012-08-10,100,86.66
2012-08-17,89,87.28
2012-08-24,90,85.87
2012-08-31,90,86.90
2012-09-07,92,90.74
2012-09-14,87,94.80
