Date,LLL,Price
2004-01-09,52,
2004-01-16,63,
2004-01-23,63,
2004-01-30,74,
2004-02-06,52,55.53
2004-02-13,53,55.06
2004-02-20,76,54.82
2004-02-27,68,53.52
2004-03-05,74,54.36
2004-03-12,55,53.25
2004-03-19,64,55.05
2004-03-26,48,57.92
2004-04-02,65,60.06
2004-04-09,54,
2004-04-16,55,61.59
2004-04-23,73,61.13
2004-04-30,74,61.74
2004-05-07,70,61.00
2004-05-14,54,60.01
2004-05-21,58,61.26
2004-05-28,57,63.74
2004-06-04,68,65.37
2004-06-11,53,
2004-06-18,56,63.76
2004-06-25,62,65.70
2004-07-02,63,64.64
2004-07-09,78,60.99
2004-07-16,63,60.21
2004-07-23,55,58.87
2004-07-30,56,61.15
2004-08-06,48,58.87
2004-08-13,59,58.38
2004-08-20,57,59.45
2004-08-27,56,62.46
2004-09-03,54,63.63
2004-09-10,62,64.30
2004-09-17,63,65.55
2004-09-24,66,65.41
2004-10-01,50,68.41
2004-10-08,50,65.11
2004-10-15,48,63.44
2004-10-22,56,62.80
2004-10-29,54,65.93
2004-11-05,61,68.86
2004-11-12,65,72.11
2004-11-19,56,69.54
2004-11-26,66,71.91
2004-12-03,61,74.62
2004-12-10,61,73.91
2004-12-17,66,75.83
2004-12-24,51,
2004-12-31,57,73.24
2005-01-07,60,69.01
2005-01-14,56,70.11
2005-01-21,63,69.60
2005-01-28,53,70.87
2005-02-04,53,71.49
2005-02-11,57,74.52
2005-02-18,67,72.46
2005-02-25,63,72.24
2005-03-04,74,73.12
2005-03-11,61,74.72
2005-03-18,76,75.04
2005-03-25,61,
2005-04-01,61,70.91
2005-04-08,61,72.96
2005-04-15,70,70.25
2005-04-22,63,70.92
2005-04-29,73,70.97
2005-05-06,70,70.08
2005-05-13,77,65.23
2005-05-20,100,69.97
2005-05-27,82,68.88
2005-06-03,76,74.15
2005-06-10,61,75.31
2005-06-17,56,76.34
2005-06-24,68,75.12
2005-07-01,70,76.07
2005-07-08,51,75.74
2005-07-15,60,75.90
2005-07-22,55,77.54
2005-07-29,64,78.23
2005-08-05,65,77.88
2005-08-12,67,78.06
2005-08-19,54,79.40
2005-08-26,64,80.58
2005-09-02,61,81.68
2005-09-09,53,83.62
2005-09-16,61,81.84
2005-09-23,67,80.58
2005-09-30,67,79.07
2005-10-07,66,78.36
2005-10-14,59,79.26
2005-10-21,66,80.26
2005-10-28,74,77.39
2005-11-04,60,77.10
2005-11-11,67,76.50
2005-11-18,65,74.10
2005-11-25,56,74.90
2005-12-02,58,75.51
2005-12-09,69,73.90
2005-12-16,63,72.17
2005-12-23,65,75.70
2005-12-30,57,74.35
2006-01-06,62,76.22
2006-01-13,63,75.45
2006-01-20,56,74.41
2006-01-27,65,78.44
2006-02-03,68,81.28
2006-02-10,67,81.98
2006-02-17,63,82.75
2006-02-24,63,82.95
2006-03-03,61,84.14
2006-03-10,61,84.15
2006-03-17,67,86.95
2006-03-24,64,85.85
2006-03-31,67,85.79
2006-04-07,58,83.69
2006-04-14,63,
2006-04-21,60,85.05
2006-04-28,61,81.70
2006-05-05,58,85.19
2006-05-12,62,83.15
2006-05-19,56,81.06
2006-05-26,66,78.33
2006-06-02,65,75.21
2006-06-09,58,76.77
2006-06-16,60,75.01
2006-06-23,63,75.06
2006-06-30,56,75.42
2006-07-07,55,73.13
2006-07-14,56,74.25
2006-07-21,53,75.26
2006-07-28,53,74.55
2006-08-04,53,71.50
2006-08-11,66,68.85
2006-08-18,61,73.20
2006-08-25,60,74.37
2006-09-01,52,75.81
2006-09-08,55,75.26
2006-09-15,52,76.25
2006-09-22,63,77.06
2006-09-29,59,78.33
2006-10-06,60,78.83
2006-10-13,58,78.68
2006-10-20,58,77.66
2006-10-27,62,78.68
2006-11-03,56,79.84
2006-11-10,60,79.06
2006-11-17,64,81.50
2006-11-24,63,81.24
2006-12-01,55,80.92
2006-12-08,64,82.82
2006-12-15,63,83.72
2006-12-22,52,80.86
2006-12-29,60,81.78
2007-01-05,63,81.04
2007-01-12,57,82.58
2007-01-19,49,82.20
2007-01-26,64,80.02
2007-02-02,55,86.39
2007-02-09,62,86.03
2007-02-16,59,87.80
2007-02-23,60,87.11
2007-03-02,54,85.17
2007-03-09,65,85.20
2007-03-16,60,83.84
2007-03-23,54,86.29
2007-03-30,54,87.47
2007-04-06,55,
2007-04-13,57,89.92
2007-04-20,54,92.52
2007-04-27,60,90.52
2007-05-04,59,92.48
2007-05-11,64,94.74
2007-05-18,55,94.30
2007-05-25,60,93.22
2007-06-01,60,95.79
2007-06-08,70,95.14
2007-06-15,57,98.54
2007-06-22,53,97.15
2007-06-29,52,97.39
2007-07-06,55,98.91
2007-07-13,60,99.98
2007-07-20,59,99.91
2007-07-27,61,97.73
2007-08-03,54,98.68
2007-08-10,59,99.58
2007-08-17,63,93.17
2007-08-24,65,99.92
2007-08-31,57,98.51
2007-09-07,59,96.95
2007-09-14,57,98.44
2007-09-21,59,99.16
2007-09-28,57,102.14
2007-10-05,54,104.74
2007-10-12,56,105.04
2007-10-19,61,103.91
2007-10-26,53,106.98
2007-11-02,58,110.06
2007-11-09,52,111.70
2007-11-16,56,111.50
2007-11-23,60,109.33
2007-11-30,72,110.65
2007-12-07,87,109.37
2007-12-14,65,108.62
2007-12-21,68,107.38
2007-12-28,66,106.48
2008-01-04,62,104.79
2008-01-11,62,105.58
2008-01-18,55,103.43
2008-01-25,65,106.96
2008-02-01,62,109.76
2008-02-08,65,105.25
2008-02-15,61,105.39
2008-02-22,60,106.79
2008-02-29,61,106.29
2008-03-07,56,105.41
2008-03-14,57,107.53
2008-03-21,59,
2008-03-28,58,109.14
2008-04-04,66,111.97
2008-04-11,60,109.54
2008-04-18,50,114.46
2008-04-25,51,111.93
2008-05-02,59,111.85
2008-05-09,58,107.61
2008-05-16,61,110.30
2008-05-23,56,106.35
2008-05-30,57,107.39
2008-06-06,62,98.01
2008-06-13,57,97.93
2008-06-20,61,94.82
2008-06-27,58,90.99
2008-07-04,66,
2008-07-11,61,90.89
2008-07-18,59,92.06
2008-07-25,58,94.64
2008-08-01,56,98.21
2008-08-08,61,102.12
2008-08-15,62,105.83
2008-08-22,52,104.87
2008-08-29,61,103.94
2008-09-05,56,102.64
2008-09-12,56,103.16
2008-09-19,60,101.45
2008-09-26,56,99.91
2008-10-03,55,94.05
2008-10-10,51,80.00
2008-10-17,60,82.78
2008-10-24,52,76.25
2008-10-31,56,81.17
2008-11-07,52,75.69
2008-11-14,60,69.33
2008-11-21,57,63.93
2008-11-28,55,67.17
2008-12-05,61,68.81
2008-12-12,58,68.59
2008-12-19,50,72.54
2008-12-26,55,72.06
2009-01-02,55,75.76
2009-01-09,58,76.71
2009-01-16,61,78.72
2009-01-23,61,78.29
2009-01-30,60,79.02
2009-02-06,62,78.80
2009-02-13,58,78.17
2009-02-20,52,75.47
2009-02-27,57,67.65
2009-03-06,59,58.70
2009-03-13,59,60.29
2009-03-20,57,63.53
2009-03-27,62,69.55
2009-04-03,56,68.73
2009-04-10,54,
2009-04-17,57,72.91
2009-04-24,56,75.93
2009-05-01,50,77.68
2009-05-08,55,79.71
2009-05-15,52,74.69
2009-05-22,50,71.89
2009-05-29,54,73.51
2009-06-05,51,74.50
2009-06-12,52,74.40
2009-06-19,57,71.70
2009-06-26,51,69.05
2009-07-03,49,
2009-07-10,54,65.13
2009-07-17,55,70.67
2009-07-24,54,72.73
2009-07-31,53,75.50
2009-08-07,55,76.06
2009-08-14,54,74.59
2009-08-21,52,74.76
2009-08-28,50,74.28
2009-09-04,54,76.52
2009-09-11,46,77.95
2009-09-18,57,82.19
2009-09-25,55,78.92
2009-10-02,52,76.41
2009-10-09,52,76.72
2009-10-16,47,76.51
2009-10-23,53,74.42
2009-10-30,49,72.29
2009-11-06,49,76.40
2009-11-13,47,77.65
2009-11-20,47,77.53
2009-11-27,49,78.45
2009-12-04,46,80.75
2009-12-11,50,83.64
2009-12-18,47,84.26
2009-12-25,46,
2010-01-01,53,
2010-01-08,54,87.75
2010-01-15,49,89.45
2010-01-22,54,84.94
2010-01-29,48,83.34
2010-02-05,52,84.24
2010-02-12,54,87.01
2010-02-19,46,90.34
2010-02-26,51,91.42
2010-03-05,52,93.16
2010-03-12,55,92.32
2010-03-19,53,94.17
2010-03-26,52,93.26
2010-04-02,54,
2010-04-09,55,93.91
2010-04-16,51,94.80
2010-04-23,56,96.82
2010-04-30,57,93.57
2010-05-07,55,86.52
2010-05-14,53,88.33
2010-05-21,56,83.67
2010-05-28,53,82.63
2010-06-04,52,81.12
2010-06-11,51,79.61
2010-06-18,51,81.61
2010-06-25,49,74.85
