Date,buy ACT,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,47.87
2004-02-13,0,49.11
2004-02-20,0,46.95
2004-02-27,0,45.92
2004-03-05,0,46.93
2004-03-12,0,44.85
2004-03-19,0,44.50
2004-03-26,0,43.80
2004-04-02,0,42.76
2004-04-09,0,
2004-04-16,0,43.02
2004-04-23,63,42.98
2004-04-30,67,35.61
2004-05-07,70,35.24
2004-05-14,73,36.57
2004-05-21,75,35.99
2004-05-28,70,37.35
2004-06-04,70,36.92
2004-06-11,70,
2004-06-18,70,34.97
2004-06-25,70,32.29
2004-07-02,0,26.99
2004-07-09,0,25.43
2004-07-16,0,26.03
2004-07-23,0,25.41
2004-07-30,0,25.21
2004-08-06,0,26.14
2004-08-13,0,27.31
2004-08-20,0,28.01
2004-08-27,0,28.00
2004-09-03,82,27.42
2004-09-10,0,27.38
2004-09-17,0,30.03
2004-09-24,0,29.69
2004-10-01,0,29.55
2004-10-08,0,27.89
2004-10-15,72,27.07
2004-10-22,100,26.24
2004-10-29,62,28.03
2004-11-05,63,27.69
2004-11-12,66,28.79
2004-11-19,69,29.00
2004-11-26,72,29.18
2004-12-03,75,29.43
2004-12-10,55,30.78
2004-12-17,55,31.95
2004-12-24,0,
2004-12-31,0,32.81
2005-01-07,0,30.84
2005-01-14,0,30.51
2005-01-21,0,29.99
2005-01-28,0,29.91
2005-02-04,0,29.33
2005-02-11,0,30.65
2005-02-18,53,29.95
2005-02-25,56,32.11
2005-03-04,72,31.46
2005-03-11,64,31.60
2005-03-18,64,31.66
2005-03-25,51,
2005-04-01,49,30.60
2005-04-08,0,31.73
2005-04-15,0,30.78
2005-04-22,0,30.16
2005-04-29,0,30.00
2005-05-06,0,29.34
2005-05-13,0,29.49
2005-05-20,41,30.00
2005-05-27,41,30.27
2005-06-03,41,30.37
2005-06-10,42,30.98
2005-06-17,43,30.85
2005-06-24,44,30.50
2005-07-01,45,29.41
2005-07-08,46,29.58
2005-07-15,42,29.90
2005-07-22,45,29.60
2005-07-29,47,33.40
2005-08-05,50,33.86
2005-08-12,53,34.77
2005-08-19,41,34.95
2005-08-26,41,34.70
2005-09-02,41,33.83
2005-09-09,41,35.83
2005-09-16,53,35.56
2005-09-23,65,34.59
2005-09-30,35,36.61
2005-10-07,39,35.55
2005-10-14,35,34.66
2005-10-21,34,35.31
2005-10-28,39,33.98
2005-11-04,44,33.30
2005-11-11,50,32.92
2005-11-18,55,33.52
2005-11-25,33,33.80
2005-12-02,47,33.20
2005-12-09,55,33.06
2005-12-16,45,32.80
2005-12-23,46,32.69
2005-12-30,53,32.51
2006-01-06,60,33.42
2006-01-13,43,33.88
2006-01-20,43,33.50
2006-01-27,44,33.55
2006-02-03,35,32.06
2006-02-10,42,32.13
2006-02-17,31,30.76
2006-02-24,40,30.10
2006-03-03,62,30.10
2006-03-10,30,29.55
2006-03-17,27,29.08
2006-03-24,32,28.85
2006-03-31,56,28.74
2006-04-07,57,27.93
2006-04-14,31,
2006-04-21,32,28.56
2006-04-28,32,28.44
2006-05-05,33,29.18
2006-05-12,34,26.63
2006-05-19,29,25.55
2006-05-26,33,25.57
2006-06-02,38,25.46
2006-06-09,35,24.84
2006-06-16,33,24.58
2006-06-23,43,23.21
2006-06-30,43,23.28
2006-07-07,35,22.75
2006-07-14,35,22.18
2006-07-21,43,21.42
2006-07-28,32,22.42
2006-08-04,29,22.59
2006-08-11,29,24.28
2006-08-18,29,25.60
2006-08-25,33,25.52
2006-09-01,29,25.86
2006-09-08,30,26.02
2006-09-15,31,27.07
2006-09-22,55,25.91
2006-09-29,50,26.17
2006-10-06,27,26.86
2006-10-13,29,26.30
2006-10-20,40,26.40
2006-10-27,53,26.67
2006-11-03,57,26.20
2006-11-10,27,24.84
2006-11-17,42,25.17
2006-11-24,23,25.07
2006-12-01,24,25.69
2006-12-08,45,25.62
2006-12-15,43,26.38
2006-12-22,36,26.01
2006-12-29,37,26.03
2007-01-05,38,26.31
2007-01-12,39,25.98
2007-01-19,48,26.52
2007-01-26,27,26.58
2007-02-02,28,27.81
2007-02-09,27,28.17
2007-02-16,37,28.98
2007-02-23,34,29.22
2007-03-02,33,25.72
2007-03-09,34,25.88
2007-03-16,25,25.52
2007-03-23,27,25.99
2007-03-30,36,26.43
2007-04-06,32,
2007-04-13,47,27.15
2007-04-20,33,27.65
2007-04-27,26,27.45
2007-05-04,30,31.20
2007-05-11,31,31.19
2007-05-18,34,31.66
2007-05-25,36,30.90
2007-06-01,41,31.53
2007-06-08,28,31.45
2007-06-15,40,31.93
2007-06-22,28,32.28
2007-06-29,32,32.53
2007-07-06,33,32.92
2007-07-13,44,33.04
2007-07-20,22,32.68
2007-07-27,19,30.81
2007-08-03,37,31.30
2007-08-10,31,31.12
2007-08-17,34,30.24
2007-08-24,36,30.91
2007-08-31,37,29.82
2007-09-07,32,30.49
2007-09-14,35,31.11
2007-09-21,35,31.70
2007-09-28,34,32.40
2007-10-05,45,31.93
2007-10-12,37,30.80
2007-10-19,26,29.99
2007-10-26,36,30.01
2007-11-02,25,29.85
2007-11-09,36,28.77
2007-11-16,30,27.74
2007-11-23,39,27.87
2007-11-30,43,29.31
2007-12-07,45,28.78
2007-12-14,40,27.95
2007-12-21,24,27.61
2007-12-28,30,27.46
2008-01-04,24,26.08
2008-01-11,41,27.85
2008-01-18,42,26.56
2008-01-25,28,26.37
2008-02-01,34,26.01
2008-02-08,28,26.00
2008-02-15,40,27.94
2008-02-22,32,27.58
2008-02-29,35,27.81
2008-03-07,44,27.66
2008-03-14,44,27.56
2008-03-21,36,
2008-03-28,44,29.34
2008-04-04,34,29.26
2008-04-11,35,29.47
2008-04-18,35,29.82
2008-04-25,36,29.49
2008-05-02,38,29.49
2008-05-09,40,28.28
2008-05-16,44,28.53
2008-05-23,26,28.37
2008-05-30,24,28.56
2008-06-06,33,28.39
2008-06-13,43,27.64
2008-06-20,39,26.70
2008-06-27,31,26.95
2008-07-04,38,
2008-07-11,26,28.39
2008-07-18,44,29.90
2008-07-25,26,29.69
2008-08-01,36,29.41
2008-08-08,31,28.71
2008-08-15,23,30.66
2008-08-22,28,30.69
2008-08-29,38,30.31
2008-09-05,37,29.95
2008-09-12,31,29.81
2008-09-19,31,28.29
2008-09-26,38,28.80
2008-10-03,25,27.54
2008-10-10,30,21.23
2008-10-17,34,22.70
2008-10-24,40,21.61
2008-10-31,37,26.17
2008-11-07,36,24.82
2008-11-14,47,23.61
2008-11-21,31,22.03
2008-11-28,32,23.75
2008-12-05,34,23.60
2008-12-12,37,23.80
2008-12-19,34,24.39
2008-12-26,36,24.58
2009-01-02,35,26.30
2009-01-09,46,24.61
2009-01-16,38,24.68
2009-01-23,45,25.26
2009-01-30,55,27.28
2009-02-06,60,28.42
2009-02-13,49,29.05
2009-02-20,67,29.81
2009-02-27,60,28.27
2009-03-06,55,26.36
2009-03-13,54,28.57
2009-03-20,55,27.56
2009-03-27,44,28.76
2009-04-03,48,29.84
2009-04-10,50,
2009-04-17,44,30.36
2009-04-24,41,31.89
2009-05-01,44,30.19
2009-05-08,45,30.00
2009-05-15,53,30.00
2009-05-22,36,29.94
2009-05-29,46,30.25
2009-06-05,54,30.44
2009-06-12,46,29.91
2009-06-19,46,31.60
2009-06-26,43,33.39
2009-07-03,46,
2009-07-10,47,33.06
2009-07-17,48,33.24
2009-07-24,47,34.50
2009-07-31,55,34.73
2009-08-07,43,34.46
2009-08-14,45,34.37
2009-08-21,37,35.24
2009-08-28,46,35.35
2009-09-04,38,34.81
2009-09-11,42,36.43
2009-09-18,45,36.81
2009-09-25,52,35.98
2009-10-02,48,35.68
2009-10-09,35,37.12
2009-10-16,43,37.68
2009-10-23,47,35.81
2009-10-30,46,34.42
2009-11-06,48,35.37
2009-11-13,52,35.96
2009-11-20,54,35.15
2009-11-27,50,36.96
2009-12-04,49,37.90
2009-12-11,56,38.28
2009-12-18,48,38.09
2009-12-25,33,
2010-01-01,37,
2010-01-08,44,39.41
2010-01-15,42,40.90
2010-01-22,34,39.51
2010-01-29,41,38.37
2010-02-05,57,38.19
2010-02-12,42,38.08
2010-02-19,52,39.11
2010-02-26,44,39.79
2010-03-05,54,40.56
2010-03-12,49,41.37
2010-03-19,49,40.42
2010-03-26,55,41.31
2010-04-02,50,
2010-04-09,47,42.31
2010-04-16,53,42.55
2010-04-23,51,43.15
2010-04-30,40,42.82
2010-05-07,48,41.99
2010-05-14,51,42.75
2010-05-21,50,42.87
2010-05-28,44,44.16
2010-06-04,44,43.70
2010-06-11,39,42.67
2010-06-18,51,44.01
2010-06-25,48,42.59
2010-07-02,38,40.59
2010-07-09,41,42.58
2010-07-16,46,42.84
2010-07-23,56,41.64
2010-07-30,49,40.50
2010-08-06,47,41.22
2010-08-13,43,41.73
2010-08-20,56,42.19
2010-08-27,53,43.75
2010-09-03,41,44.61
2010-09-10,43,43.08
2010-09-17,50,43.29
2010-09-24,55,44.67
2010-10-01,45,43.37
2010-10-08,43,45.04
2010-10-15,50,47.36
2010-10-22,44,46.76
2010-10-29,35,46.65
2010-11-05,52,51.24
2010-11-12,62,50.41
2010-11-19,51,50.25
2010-11-26,43,49.18
2010-12-03,47,49.55
2010-12-10,44,49.40
2010-12-17,44,51.61
2010-12-24,35,
2010-12-31,32,51.65
2011-01-07,49,52.62
2011-01-14,52,51.87
2011-01-21,39,54.09
2011-01-28,50,53.54
2011-02-04,49,55.42
2011-02-11,41,57.16
2011-02-18,47,55.75
2011-02-25,37,55.65
2011-03-04,52,56.79
2011-03-11,42,56.89
2011-03-18,50,54.30
2011-03-25,44,55.63
2011-04-01,44,56.51
2011-04-08,43,57.51
2011-04-15,45,58.64
2011-04-22,51,
2011-04-29,46,62.02
2011-05-06,43,62.84
2011-05-13,50,62.96
2011-05-20,35,62.12
2011-05-27,44,63.99
2011-06-03,39,63.44
2011-06-10,35,63.21
2011-06-17,44,63.53
2011-06-24,39,65.66
2011-07-01,69,69.85
2011-07-08,36,69.85
2011-07-15,45,69.00
2011-07-22,44,70.48
2011-07-29,35,67.13
2011-08-05,43,63.70
2011-08-12,41,64.29
2011-08-19,44,61.59
2011-08-26,47,65.55
2011-09-02,45,66.33
2011-09-09,42,65.88
2011-09-16,49,67.28
2011-09-23,38,70.70
2011-09-30,39,68.25
2011-10-07,38,66.04
2011-10-14,51,68.24
2011-10-21,44,69.15
2011-10-28,34,69.35
2011-11-04,38,64.72
2011-11-11,45,65.73
2011-11-18,44,65.79
2011-11-25,47,63.42
2011-12-02,49,62.86
2011-12-09,58,61.52
2011-12-16,47,60.12
2011-12-23,43,62.08
2011-12-30,38,60.34
2012-01-06,39,63.21
2012-01-13,51,62.21
2012-01-20,47,58.14
2012-01-27,48,59.74
2012-02-03,43,58.01
2012-02-10,54,57.99
2012-02-17,50,60.18
2012-02-24,55,58.17
2012-03-02,52,59.68
2012-03-09,52,59.61
2012-03-16,67,58.81
2012-03-23,53,65.23
2012-03-30,48,67.06
2012-04-06,44,
2012-04-13,49,67.26
2012-04-20,46,69.36
2012-04-27,53,76.16
2012-05-04,53,73.65
2012-05-11,46,72.73
2012-05-18,50,69.91
2012-05-25,62,72.67
2012-06-01,52,69.75
2012-06-08,64,70.89
2012-06-15,48,69.02
2012-06-22,54,71.02
2012-06-29,53,73.99
2012-07-06,50,75.01
2012-07-13,44,76.76
2012-07-20,51,75.81
2012-07-27,40,79.77
2012-08-03,37,79.36
2012-08-10,41,79.86
2012-08-17,44,79.90
2012-08-24,46,83.32
2012-08-31,41,81.35
2012-09-07,48,83.59
2012-09-14,44,81.86
2012-09-21,49,83.90
2012-09-28,45,85.16
2012-10-05,43,87.86
2012-10-12,41,86.67
2012-10-19,38,86.91
2012-10-26,45,86.64
2012-11-02,34,86.73
2012-11-09,46,85.11
2012-11-16,47,83.40
2012-11-23,40,86.08
2012-11-30,50,88.01
2012-12-07,43,88.62
2012-12-14,39,87.74
2012-12-21,40,90.85
2012-12-28,36,89.04
2013-01-04,34,85.30
2013-01-11,44,83.71
2013-01-18,40,85.48
2013-01-25,42,84.27
2013-02-01,47,87.88
2013-02-08,42,87.45
2013-02-15,49,85.24
2013-02-22,34,83.44
2013-03-01,46,85.54
2013-03-08,40,87.56
2013-03-15,49,91.59
2013-03-22,33,90.31
2013-03-29,43,
2013-04-05,41,97.19
2013-04-12,43,97.33
2013-04-19,44,98.48
2013-04-26,39,100.94
2013-05-03,42,106.46
2013-05-10,41,119.86
2013-05-17,41,125.50
2013-05-24,38,127.23
2013-05-31,40,123.29
2013-06-07,38,124.12
2013-06-14,34,126.45
2013-06-21,37,121.52
2013-06-28,41,126.22
2013-07-05,31,126.37
2013-07-12,34,126.18
2013-07-19,42,125.42
2013-07-26,36,132.71
2013-08-02,43,135.89
2013-08-09,40,133.87
2013-08-16,40,134.52
2013-08-23,37,133.89
2013-08-30,45,135.18
2013-09-06,39,137.39
2013-09-13,41,135.59
2013-09-20,39,135.50
2013-09-27,45,144.30
2013-10-04,52,146.90
2013-10-11,40,141.71
2013-10-18,41,146.92
2013-10-25,47,148.15
2013-11-01,46,158.12
2013-11-08,48,156.73
2013-11-15,50,165.27
2013-11-22,48,164.83
2013-11-29,41,163.07
2013-12-06,39,166.73
2013-12-13,47,159.82
2013-12-20,43,162.51
2013-12-27,33,165.14
2014-01-03,35,168.02
2014-01-10,44,183.32
2014-01-17,36,183.28
2014-01-24,41,177.19
2014-01-31,38,188.98
2014-02-07,54,188.21
2014-02-14,41,191.88
2014-02-21,47,218.41
2014-02-28,44,220.82
2014-03-07,43,213.18
2014-03-14,44,214.52
2014-03-21,36,209.37
2014-03-28,42,203.77
2014-04-04,49,201.31
2014-04-11,47,188.83
2014-04-18,36,
2014-04-25,40,198.07
2014-05-02,37,
