Date,Legg Mason,Price
2004-01-09,21,
2004-01-16,25,
2004-01-23,27,
2004-01-30,17,
2004-02-06,18,89.25
2004-02-13,15,92.32
2004-02-20,18,93.21
2004-02-27,8,94.34
2004-03-05,14,94.56
2004-03-12,10,91.77
2004-03-19,17,90.00
2004-03-26,8,90.19
2004-04-02,10,95.38
2004-04-09,10,
2004-04-16,19,94.27
2004-04-23,15,93.66
2004-04-30,9,92.06
2004-05-07,19,86.36
2004-05-14,11,86.40
2004-05-21,11,85.74
2004-05-28,16,87.71
2004-06-04,15,89.24
2004-06-11,16,
2004-06-18,13,88.95
2004-06-25,15,91.47
2004-07-02,15,90.08
2004-07-09,15,86.50
2004-07-16,12,82.80
2004-07-23,14,79.00
2004-07-30,20,78.54
2004-08-06,20,73.45
2004-08-13,27,75.87
2004-08-20,76,80.92
2004-08-27,19,82.31
2004-09-03,10,79.21
2004-09-10,12,82.26
2004-09-17,12,82.01
2004-09-24,14,79.61
2004-10-01,12,54.19
2004-10-08,16,53.25
2004-10-15,12,53.16
2004-10-22,8,61.36
2004-10-29,10,63.71
2004-11-05,10,65.58
2004-11-12,10,67.15
2004-11-19,10,64.47
2004-11-26,10,67.49
2004-12-03,15,69.95
2004-12-10,14,70.28
2004-12-17,15,70.68
2004-12-24,13,
2004-12-31,13,73.26
2005-01-07,20,70.62
2005-01-14,15,70.18
2005-01-21,10,70.70
2005-01-28,19,75.15
2005-02-04,22,79.68
2005-02-11,14,81.35
2005-02-18,16,79.88
2005-02-25,10,81.46
2005-03-04,14,82.75
2005-03-11,12,78.95
2005-03-18,13,84.10
2005-03-25,14,
2005-04-01,10,76.20
2005-04-08,12,74.81
2005-04-15,13,70.20
2005-04-22,9,71.63
2005-04-29,16,70.86
2005-05-06,13,80.49
2005-05-13,12,78.04
2005-05-20,11,82.97
2005-05-27,14,82.92
2005-06-03,21,85.82
2005-06-10,25,84.84
2005-06-17,26,85.98
2005-06-24,41,98.00
2005-07-01,27,104.51
2005-07-08,21,112.06
2005-07-15,19,110.50
2005-07-22,24,112.07
2005-07-29,33,102.15
2005-08-05,94,103.25
2005-08-12,28,109.09
2005-08-19,13,107.22
2005-08-26,15,105.97
2005-09-02,12,105.57
2005-09-09,13,107.68
2005-09-16,12,104.60
2005-09-23,12,108.20
2005-09-30,12,109.69
2005-10-07,11,106.59
2005-10-14,11,104.78
2005-10-21,12,105.60
2005-10-28,14,104.00
2005-11-04,12,113.57
2005-11-11,15,116.16
2005-11-18,11,120.43
2005-11-25,12,126.03
2005-12-02,19,121.80
2005-12-09,15,120.53
2005-12-16,15,120.67
2005-12-23,12,121.80
2005-12-30,13,119.69
2006-01-06,17,122.08
2006-01-13,19,128.20
2006-01-20,13,130.40
2006-01-27,18,133.58
2006-02-03,15,132.00
2006-02-10,14,131.38
2006-02-17,14,133.59
2006-02-24,15,136.13
2006-03-03,10,134.80
2006-03-10,13,125.14
2006-03-17,12,126.94
2006-03-24,12,126.83
2006-03-31,12,125.33
2006-04-07,12,125.03
2006-04-14,10,
2006-04-21,11,125.54
2006-04-28,11,118.48
2006-05-05,11,118.65
2006-05-12,10,101.40
2006-05-19,14,99.88
2006-05-26,8,98.95
2006-06-02,10,95.80
2006-06-09,10,97.08
2006-06-16,11,102.45
2006-06-23,12,100.90
2006-06-30,13,99.52
2006-07-07,14,97.33
2006-07-14,20,94.44
2006-07-21,24,95.20
2006-07-28,42,85.51
2006-08-04,100,87.55
2006-08-11,23,83.35
2006-08-18,12,92.23
2006-08-25,8,88.42
2006-09-01,9,91.13
2006-09-08,7,90.21
2006-09-15,9,102.20
2006-09-22,9,99.49
2006-09-29,9,100.86
2006-10-06,11,101.25
2006-10-13,13,87.45
2006-10-20,10,86.15
2006-10-27,12,89.20
2006-11-03,11,90.36
2006-11-10,13,91.90
2006-11-17,13,97.70
2006-11-24,8,97.22
2006-12-01,11,94.97
2006-12-08,12,97.60
2006-12-15,12,96.06
2006-12-22,10,94.31
2006-12-29,11,95.05
2007-01-05,15,97.19
2007-01-12,12,103.20
2007-01-19,12,102.01
2007-01-26,12,103.76
2007-02-02,12,104.89
2007-02-09,15,102.63
2007-02-16,11,104.18
2007-02-23,12,108.80
2007-03-02,11,99.43
2007-03-09,11,99.48
2007-03-16,10,94.56
2007-03-23,12,96.43
2007-03-30,8,94.21
2007-04-06,10,
2007-04-13,14,95.49
2007-04-20,10,99.90
2007-04-27,12,99.49
2007-05-04,10,105.26
2007-05-11,10,100.18
2007-05-18,9,99.50
2007-05-25,9,99.96
2007-06-01,9,99.95
2007-06-08,11,98.73
2007-06-15,11,100.19
2007-06-22,10,97.75
2007-06-29,13,98.38
2007-07-06,12,100.75
2007-07-13,15,102.05
2007-07-20,20,99.66
2007-07-27,23,91.01
2007-08-03,64,86.20
2007-08-10,28,86.63
2007-08-17,12,88.80
2007-08-24,10,88.76
2007-08-31,11,86.82
2007-09-07,9,81.24
2007-09-14,11,79.72
2007-09-21,11,81.99
2007-09-28,9,84.29
2007-10-05,11,85.79
2007-10-12,11,86.57
2007-10-19,9,81.07
2007-10-26,10,80.85
2007-11-02,12,77.66
2007-11-09,10,72.49
2007-11-16,10,71.73
2007-11-23,10,70.04
2007-11-30,9,76.31
2007-12-07,9,76.05
2007-12-14,8,73.28
2007-12-21,10,72.69
2007-12-28,9,71.23
2008-01-04,10,69.79
2008-01-11,9,71.64
2008-01-18,12,69.11
2008-01-25,9,69.96
2008-02-01,10,73.44
2008-02-08,9,69.36
2008-02-15,11,69.08
2008-02-22,7,69.97
2008-02-29,10,66.04
2008-03-07,10,63.23
2008-03-14,12,58.73
2008-03-21,10,
2008-03-28,9,54.12
2008-04-04,10,59.24
2008-04-11,10,56.12
2008-04-18,8,58.65
2008-04-25,9,61.89
2008-05-02,7,64.87
2008-05-09,11,55.09
2008-05-16,8,56.61
2008-05-23,7,52.76
2008-05-30,6,53.81
2008-06-06,7,52.92
2008-06-13,7,53.51
2008-06-20,8,50.65
2008-06-27,9,44.11
2008-07-04,10,
2008-07-11,11,33.49
2008-07-18,12,35.59
2008-07-25,13,39.51
2008-08-01,11,40.76
2008-08-08,15,42.29
2008-08-15,38,43.76
2008-08-22,11,42.33
2008-08-29,7,44.53
2008-09-05,5,44.52
2008-09-12,11,40.40
2008-09-19,12,40.45
2008-09-26,8,44.89
2008-10-03,9,34.00
2008-10-10,12,19.12
2008-10-17,7,21.96
2008-10-24,6,15.78
2008-10-31,10,22.19
2008-11-07,7,18.17
2008-11-14,7,15.65
2008-11-21,6,14.03
2008-11-28,5,18.02
2008-12-05,8,18.15
2008-12-12,8,19.92
2008-12-19,6,21.41
2008-12-26,4,20.00
2009-01-02,5,22.75
2009-01-09,4,23.36
2009-01-16,5,21.06
2009-01-23,4,19.07
2009-01-30,6,16.06
2009-02-06,6,16.44
2009-02-13,6,16.10
2009-02-20,6,13.89
2009-02-27,5,12.83
2009-03-06,6,11.14
2009-03-13,5,14.70
2009-03-20,7,13.78
2009-03-27,6,16.17
2009-04-03,6,17.44
2009-04-10,5,
2009-04-17,6,20.20
2009-04-24,5,20.27
2009-05-01,5,20.71
2009-05-08,6,21.23
2009-05-15,6,18.53
2009-05-22,5,18.55
2009-05-29,4,19.28
2009-06-05,6,23.97
2009-06-12,6,23.94
2009-06-19,6,23.97
2009-06-26,6,25.37
2009-07-03,5,
2009-07-10,7,23.08
2009-07-17,7,24.21
2009-07-24,10,27.13
2009-07-31,14,28.14
2009-08-07,54,28.50
2009-08-14,20,27.71
2009-08-21,6,28.63
2009-08-28,6,28.92
2009-09-04,4,27.48
2009-09-11,4,28.73
2009-09-18,4,32.60
2009-09-25,5,28.88
2009-10-02,5,28.79
2009-10-09,5,31.71
2009-10-16,5,32.69
2009-10-23,5,31.90
2009-10-30,6,29.11
2009-11-06,4,30.20
2009-11-13,5,30.77
2009-11-20,5,29.53
2009-11-27,4,28.10
2009-12-04,5,28.99
2009-12-11,5,27.55
2009-12-18,3,28.82
2009-12-25,3,
2010-01-01,4,
2010-01-08,5,30.77
2010-01-15,6,30.46
2010-01-22,5,26.99
2010-01-29,4,25.78
2010-02-05,4,24.87
2010-02-12,4,25.76
2010-02-19,4,26.09
2010-02-26,4,25.85
2010-03-05,5,28.86
2010-03-12,4,28.92
2010-03-19,4,29.40
2010-03-26,5,29.50
2010-04-02,5,
2010-04-09,4,31.13
2010-04-16,5,32.29
2010-04-23,4,32.37
2010-04-30,5,31.69
2010-05-07,4,27.78
2010-05-14,6,33.57
2010-05-21,5,30.14
2010-05-28,5,29.72
2010-06-04,4,29.98
2010-06-11,4,32.37
2010-06-18,4,32.00
2010-06-25,5,30.70
2010-07-02,6,27.44
2010-07-09,6,29.52
2010-07-16,5,28.12
2010-07-23,7,29.09
2010-07-30,12,28.89
2010-08-06,43,29.27
2010-08-13,12,27.78
2010-08-20,4,27.22
2010-08-27,4,25.84
2010-09-03,4,27.93
2010-09-10,4,28.53
2010-09-17,4,29.88
2010-09-24,4,30.62
2010-10-01,3,30.60
2010-10-08,4,31.01
2010-10-15,4,30.95
2010-10-22,5,31.18
2010-10-29,4,31.03
2010-11-05,4,35.41
2010-11-12,3,33.05
2010-11-19,4,33.76
2010-11-26,3,33.31
2010-12-03,3,35.05
2010-12-10,3,35.14
2010-12-17,3,36.34
2010-12-24,3,
2010-12-31,3,36.27
2011-01-07,4,34.80
2011-01-14,4,36.10
2011-01-21,4,34.60
2011-01-28,3,33.20
2011-02-04,3,34.73
2011-02-11,4,35.58
2011-02-18,4,37.24
2011-02-25,4,36.12
2011-03-04,4,35.76
2011-03-11,4,34.20
2011-03-18,4,33.50
2011-03-25,4,35.03
2011-04-01,4,36.76
2011-04-08,4,36.01
2011-04-15,4,36.69
2011-04-22,3,
2011-04-29,3,37.15
2011-05-06,4,34.37
2011-05-13,4,33.97
2011-05-20,4,33.55
2011-05-27,3,33.36
2011-06-03,4,31.97
2011-06-10,4,31.25
2011-06-17,3,31.87
2011-06-24,4,31.25
2011-07-01,4,33.74
2011-07-08,5,33.33
2011-07-15,5,31.49
2011-07-22,6,32.43
2011-07-29,10,29.42
2011-08-05,30,27.02
2011-08-12,12,26.65
2011-08-19,3,25.50
2011-08-26,3,27.18
2011-09-02,3,26.40
2011-09-09,3,26.02
2011-09-16,3,28.83
2011-09-23,3,25.51
2011-09-30,3,25.71
2011-10-07,3,25.72
2011-10-14,3,25.87
2011-10-21,3,26.96
2011-10-28,4,29.08
2011-11-04,3,26.93
2011-11-11,3,26.36
2011-11-18,5,25.03
2011-11-25,3,23.31
2011-12-02,3,26.27
2011-12-09,2,26.12
2011-12-16,3,23.51
2011-12-23,2,24.45
2011-12-30,2,24.05
2012-01-06,2,23.90
2012-01-13,2,26.36
2012-01-20,3,27.50
2012-01-27,3,26.02
2012-02-03,3,27.38
2012-02-10,3,27.53
2012-02-17,3,27.32
2012-02-24,4,26.94
2012-03-02,3,27.73
2012-03-09,3,27.48
2012-03-16,3,29.12
2012-03-23,3,28.63
2012-03-30,3,27.93
2012-04-06,2,
2012-04-13,3,25.46
2012-04-20,3,25.76
2012-04-27,3,26.23
2012-05-04,3,23.68
2012-05-11,3,23.43
2012-05-18,3,24.11
2012-05-25,2,25.52
2012-06-01,2,24.27
2012-06-08,3,25.60
2012-06-15,3,25.46
2012-06-22,2,25.16
2012-06-29,2,26.37
2012-07-06,2,26.32
2012-07-13,3,26.75
2012-07-20,3,25.61
2012-07-27,4,24.86
2012-08-03,5,25.70
2012-08-10,3,25.75
2012-08-17,2,25.71
2012-08-24,3,25.53
2012-08-31,2,24.58
2012-09-07,2,25.89
2012-09-14,4,26.95
2012-09-21,2,25.42
2012-09-28,3,24.68
2012-10-05,3,24.35
2012-10-12,3,24.39
2012-10-19,3,25.28
2012-10-26,3,24.93
2012-11-02,2,24.99
2012-11-09,2,25.00
2012-11-16,2,25.08
2012-11-23,2,26.03
2012-11-30,3,25.53
2012-12-07,3,25.90
2012-12-14,3,25.08
2012-12-21,2,26.18
2012-12-28,2,25.52
2013-01-04,2,26.32
2013-01-11,3,26.52
2013-01-18,3,27.49
2013-01-25,3,27.62
2013-02-01,3,26.79
2013-02-08,3,27.23
2013-02-15,3,27.52
2013-02-22,3,28.13
2013-03-01,2,28.27
2013-03-08,3,30.16
2013-03-15,3,31.95
2013-03-22,3,31.70
2013-03-29,3,
2013-04-05,3,30.74
2013-04-12,3,32.10
2013-04-19,2,30.19
2013-04-26,3,31.08
2013-05-03,3,32.15
2013-05-10,3,34.16
2013-05-17,3,36.13
2013-05-24,3,35.01
2013-05-31,3,35.04
2013-06-07,2,34.06
2013-06-14,3,32.62
2013-06-21,2,30.53
2013-06-28,2,31.01
2013-07-05,2,31.00
2013-07-12,3,32.64
2013-07-19,2,34.18
2013-07-26,3,35.04
2013-08-02,3,34.75
2013-08-09,3,33.59
2013-08-16,2,32.76
2013-08-23,2,33.39
2013-08-30,2,32.52
2013-09-06,2,33.49
2013-09-13,2,33.99
2013-09-20,2,34.55
2013-09-27,2,33.89
2013-10-04,2,34.06
2013-10-11,3,34.69
2013-10-18,2,36.75
2013-10-25,2,37.91
2013-11-01,2,38.61
2013-11-08,2,39.55
2013-11-15,2,39.52
2013-11-22,2,39.15
2013-11-29,2,39.11
2013-12-06,2,39.90
2013-12-13,2,41.38
2013-12-20,3,43.47
2013-12-27,2,43.68
2014-01-03,2,43.58
2014-01-10,3,43.85
2014-01-17,2,43.91
2014-01-24,2,42.23
2014-01-31,3,42.35
2014-02-07,2,41.85
2014-02-14,3,44.08
2014-02-21,2,44.03
2014-02-28,2,45.96
2014-03-07,3,46.79
2014-03-14,2,45.25
2014-03-21,3,47.40
2014-03-28,2,48.35
2014-04-04,2,47.27
2014-04-11,2,43.36
2014-04-18,2,
2014-04-25,2,45.80
2014-05-02,2,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
