Date,ADBE,Price
2004-01-09,73,
2004-01-16,63,
2004-01-23,51,
2004-01-30,62,
2004-02-06,62,38.92
2004-02-13,74,38.53
2004-02-20,58,37.94
2004-02-27,38,37.25
2004-03-05,58,36.46
2004-03-12,52,35.71
2004-03-19,52,39.85
2004-03-26,57,39.49
2004-04-02,63,40.90
2004-04-09,84,
2004-04-16,53,41.54
2004-04-23,44,43.69
2004-04-30,44,41.50
2004-05-07,64,43.46
2004-05-14,83,42.77
2004-05-21,43,44.42
2004-05-28,60,44.63
2004-06-04,60,45.42
2004-06-11,55,
2004-06-18,46,42.73
2004-06-25,55,44.59
2004-07-02,36,45.15
2004-07-09,60,44.31
2004-07-16,35,43.21
2004-07-23,59,40.35
2004-07-30,45,42.18
2004-08-06,53,42.29
2004-08-13,61,43.47
2004-08-20,58,46.09
2004-08-27,69,46.41
2004-09-03,51,46.53
2004-09-10,38,49.87
2004-09-17,74,48.14
2004-09-24,65,48.35
2004-10-01,52,49.99
2004-10-08,86,49.73
2004-10-15,39,51.48
2004-10-22,60,53.74
2004-10-29,63,56.03
2004-11-05,39,58.48
2004-11-12,70,58.97
2004-11-19,54,57.82
2004-11-26,46,60.66
2004-12-03,78,62.96
2004-12-10,45,61.00
2004-12-17,49,60.45
2004-12-24,93,
2004-12-31,87,62.74
2005-01-07,61,58.78
2005-01-14,68,58.23
2005-01-21,74,57.07
2005-01-28,72,55.48
2005-02-04,67,63.99
2005-02-11,64,63.70
2005-02-18,67,62.83
2005-02-25,71,61.43
2005-03-04,56,63.77
2005-03-11,51,64.42
2005-03-18,66,67.81
2005-03-25,68,
2005-04-01,60,66.76
2005-04-08,61,67.26
2005-04-15,50,60.66
2005-04-22,79,60.29
2005-04-29,76,59.47
2005-05-06,54,57.70
2005-05-13,67,58.10
2005-05-20,67,62.23
2005-05-27,100,33.17
2005-06-03,57,32.54
2005-06-10,66,31.13
2005-06-17,68,31.34
2005-06-24,66,29.24
2005-07-01,56,28.45
2005-07-08,70,27.93
2005-07-15,68,28.90
2005-07-22,55,29.78
2005-07-29,78,29.64
2005-08-05,56,27.10
2005-08-12,60,26.84
2005-08-19,64,26.16
2005-08-26,51,27.53
2005-09-02,62,26.64
2005-09-09,52,27.30
2005-09-16,80,29.43
2005-09-23,67,28.08
2005-09-30,58,29.85
2005-10-07,69,29.15
2005-10-14,75,29.94
2005-10-21,77,31.21
2005-10-28,77,32.31
2005-11-04,64,32.45
2005-11-11,57,32.91
2005-11-18,61,33.50
2005-11-25,46,33.91
2005-12-02,60,34.97
2005-12-09,94,35.60
2005-12-16,89,38.82
2005-12-23,59,37.11
2005-12-30,63,36.96
2006-01-06,69,39.00
2006-01-13,68,38.84
2006-01-20,71,38.43
2006-01-27,72,40.08
2006-02-03,75,39.20
2006-02-10,80,38.69
2006-02-17,77,37.80
2006-02-24,56,38.34
2006-03-03,71,39.05
2006-03-10,74,37.21
2006-03-17,69,35.98
2006-03-24,69,36.49
2006-03-31,59,34.95
2006-04-07,52,36.95
2006-04-14,66,
2006-04-21,59,37.46
2006-04-28,60,39.20
2006-05-05,66,34.18
2006-05-12,62,31.92
2006-05-19,62,30.31
2006-05-26,52,28.98
2006-06-02,62,29.00
2006-06-09,63,27.99
2006-06-16,64,29.12
2006-06-23,68,30.60
2006-06-30,69,30.36
2006-07-07,61,29.42
2006-07-14,58,28.01
2006-07-21,65,27.65
2006-07-28,62,27.63
2006-08-04,70,31.72
2006-08-11,60,31.85
2006-08-18,69,34.07
2006-08-25,62,32.53
2006-09-01,54,32.33
2006-09-08,47,31.81
2006-09-15,79,37.00
2006-09-22,58,37.06
2006-09-29,70,37.46
2006-10-06,67,38.15
2006-10-13,73,39.07
2006-10-20,76,38.20
2006-10-27,60,38.57
2006-11-03,54,37.75
2006-11-10,58,39.41
2006-11-17,60,41.45
2006-11-24,58,41.54
2006-12-01,59,39.35
2006-12-08,60,38.88
2006-12-15,79,42.81
2006-12-22,80,40.75
2006-12-29,60,41.12
2007-01-05,65,40.62
2007-01-12,69,39.96
2007-01-19,69,38.40
2007-01-26,87,39.26
2007-02-02,76,38.97
2007-02-09,54,37.68
2007-02-16,57,40.27
2007-02-23,66,40.63
2007-03-02,69,38.66
2007-03-09,76,39.17
2007-03-16,79,39.17
2007-03-23,99,42.79
