Date,CCI,Price
2004-01-09,74,
2004-01-16,94,
2004-01-23,94,
2004-01-30,86,
2004-02-06,85,12.57
2004-02-13,81,12.26
2004-02-20,91,11.98
2004-02-27,84,12.05
2004-03-05,87,13.53
2004-03-12,72,12.63
2004-03-19,84,12.85
2004-03-26,66,12.11
2004-04-02,78,12.97
2004-04-09,77,
2004-04-16,85,14.54
2004-04-23,86,15.32
2004-04-30,83,13.95
2004-05-07,77,14.44
2004-05-14,77,13.51
2004-05-21,71,14.00
2004-05-28,81,14.73
2004-06-04,80,14.60
2004-06-11,83,
2004-06-18,76,15.22
2004-06-25,72,16.08
2004-07-02,81,14.43
2004-07-09,82,14.87
2004-07-16,69,14.45
2004-07-23,71,13.48
2004-07-30,63,14.12
2004-08-06,54,13.11
2004-08-13,55,13.40
2004-08-20,56,13.65
2004-08-27,74,14.35
2004-09-03,76,14.20
2004-09-10,83,14.65
2004-09-17,83,14.83
2004-09-24,100,14.80
2004-10-01,92,15.05
2004-10-08,89,15.53
2004-10-15,81,15.26
2004-10-22,81,15.06
2004-10-29,76,15.31
2004-11-05,76,15.80
2004-11-12,60,16.98
2004-11-19,86,16.42
2004-11-26,85,16.90
2004-12-03,76,17.33
2004-12-10,75,16.40
2004-12-17,73,16.07
2004-12-24,61,
2004-12-31,51,16.64
2005-01-07,82,17.05
2005-01-14,84,17.07
2005-01-21,84,16.85
2005-01-28,87,16.38
2005-02-04,84,16.20
2005-02-11,85,16.25
2005-02-18,80,16.75
2005-02-25,93,16.37
2005-03-04,81,16.10
2005-03-11,76,16.50
2005-03-18,80,16.25
2005-03-25,74,
2005-04-01,74,16.29
2005-04-08,78,16.84
2005-04-15,77,16.15
2005-04-22,74,16.29
2005-04-29,71,16.13
2005-05-06,67,16.59
2005-05-13,78,16.63
2005-05-20,73,16.95
2005-05-27,77,17.73
2005-06-03,80,18.25
2005-06-10,76,18.08
2005-06-17,78,18.32
2005-06-24,80,20.28
2005-07-01,74,20.20
2005-07-08,70,21.14
2005-07-15,62,20.25
2005-07-22,70,20.68
2005-07-29,68,21.76
2005-08-05,55,21.87
2005-08-12,56,22.04
2005-08-19,55,23.25
2005-08-26,66,24.16
2005-09-02,71,25.01
2005-09-09,85,24.90
2005-09-16,81,24.65
2005-09-23,79,23.51
2005-09-30,82,24.63
2005-10-07,79,24.61
2005-10-14,80,24.47
2005-10-21,84,24.40
2005-10-28,73,24.23
2005-11-04,66,26.35
2005-11-11,64,27.80
2005-11-18,86,26.84
2005-11-25,75,26.50
2005-12-02,74,27.91
2005-12-09,72,27.57
2005-12-16,68,27.22
2005-12-23,54,27.29
2005-12-30,45,26.91
2006-01-06,84,28.12
2006-01-13,84,29.12
2006-01-20,76,29.69
2006-01-27,87,30.14
2006-02-03,82,31.16
2006-02-10,81,30.85
2006-02-17,79,30.34
2006-02-24,74,31.29
2006-03-03,74,30.75
2006-03-10,75,30.19
2006-03-17,78,29.10
2006-03-24,73,29.50
2006-03-31,72,28.35
2006-04-07,69,29.94
2006-04-14,75,
2006-04-21,64,31.08
2006-04-28,67,33.65
2006-05-05,65,34.30
2006-05-12,75,33.43
2006-05-19,74,31.78
2006-05-26,68,32.31
2006-06-02,71,33.66
2006-06-09,67,31.75
2006-06-16,68,32.44
2006-06-23,66,33.47
2006-06-30,61,34.54
2006-07-07,69,34.86
2006-07-14,56,33.49
2006-07-21,65,33.25
2006-07-28,65,34.58
2006-08-04,52,34.03
2006-08-11,52,33.00
2006-08-18,46,34.02
2006-08-25,59,33.37
2006-09-01,65,34.36
2006-09-08,67,34.07
2006-09-15,79,35.34
2006-09-22,79,34.40
2006-09-29,68,35.24
2006-10-06,74,33.10
2006-10-13,73,34.34
2006-10-20,70,33.13
2006-10-27,72,34.01
2006-11-03,57,33.45
2006-11-10,71,32.78
2006-11-17,73,34.55
2006-11-24,70,34.93
2006-12-01,65,34.19
2006-12-08,62,34.26
2006-12-15,63,33.80
2006-12-22,62,32.22
2006-12-29,38,32.30
2007-01-05,58,32.09
2007-01-12,72,34.38
2007-01-19,72,36.21
2007-01-26,74,35.41
2007-02-02,71,35.14
2007-02-09,65,34.85
2007-02-16,66,34.88
2007-02-23,71,34.45
2007-03-02,65,31.48
2007-03-09,66,32.47
2007-03-16,68,33.02
2007-03-23,70,33.47
2007-03-30,69,32.13
2007-04-06,66,
2007-04-13,59,34.15
2007-04-20,63,34.93
2007-04-27,62,35.00
2007-05-04,54,34.30
2007-05-11,59,34.95
2007-05-18,54,35.63
2007-05-25,69,35.44
2007-06-01,60,37.32
2007-06-08,64,35.63
2007-06-15,64,35.35
2007-06-22,64,34.93
2007-06-29,61,36.27
2007-07-06,62,37.35
2007-07-13,57,37.99
2007-07-20,57,38.18
2007-07-27,53,35.51
2007-08-03,50,36.75
2007-08-10,47,37.99
2007-08-17,41,36.43
2007-08-24,54,37.21
2007-08-31,60,36.76
2007-09-07,60,35.76
2007-09-14,63,37.86
2007-09-21,64,38.99
2007-09-28,66,40.63
2007-10-05,65,38.90
2007-10-12,59,39.00
2007-10-19,62,38.35
2007-10-26,62,41.20
2007-11-02,52,40.55
2007-11-09,60,36.86
2007-11-16,62,41.17
2007-11-23,65,41.13
2007-11-30,64,41.95
2007-12-07,68,42.05
2007-12-14,54,38.82
2007-12-21,49,41.16
2007-12-28,34,41.53
2008-01-04,42,38.63
2008-01-11,60,37.37
2008-01-18,65,34.02
2008-01-25,63,34.03
2008-02-01,63,37.00
2008-02-08,64,33.90
2008-02-15,64,35.36
2008-02-22,67,37.00
2008-02-29,63,36.09
2008-03-07,61,35.03
2008-03-14,62,34.45
2008-03-21,58,
2008-03-28,53,34.51
2008-04-04,59,37.39
2008-04-11,57,36.43
2008-04-18,55,38.83
2008-04-25,54,39.20
2008-05-02,49,39.44
2008-05-09,45,40.51
2008-05-16,54,42.62
2008-05-23,61,40.88
2008-05-30,60,42.49
2008-06-06,57,39.78
2008-06-13,58,41.35
2008-06-20,56,41.40
2008-06-27,57,38.83
2008-07-04,55,
2008-07-11,52,35.99
2008-07-18,47,35.43
2008-07-25,49,37.25
2008-08-01,47,37.42
2008-08-08,41,36.99
2008-08-15,37,38.07
2008-08-22,45,37.94
2008-08-29,51,37.40
2008-09-05,54,35.12
2008-09-12,55,34.09
2008-09-19,52,35.25
2008-09-26,53,31.47
2008-10-03,57,25.02
2008-10-10,56,18.50
2008-10-17,55,22.16
2008-10-24,58,18.11
2008-10-31,56,21.17
2008-11-07,50,17.28
2008-11-14,49,14.06
2008-11-21,56,10.19
2008-11-28,55,14.07
2008-12-05,53,17.52
2008-12-12,52,17.67
2008-12-19,46,17.46
2008-12-26,32,16.98
2009-01-02,35,18.43
2009-01-09,55,20.07
2009-01-16,56,18.70
2009-01-23,58,19.65
2009-01-30,60,19.52
2009-02-06,61,20.51
2009-02-13,59,19.17
2009-02-20,61,16.83
2009-02-27,64,17.54
2009-03-06,57,16.74
2009-03-13,59,20.23
2009-03-20,55,19.45
2009-03-27,54,21.57
2009-04-03,56,24.01
2009-04-10,56,
2009-04-17,51,23.77
2009-04-24,52,23.34
2009-05-01,48,24.14
2009-05-08,50,23.17
2009-05-15,57,21.90
2009-05-22,48,22.63
2009-05-29,53,24.26
2009-06-05,50,23.06
2009-06-12,57,23.21
2009-06-19,54,22.50
2009-06-26,52,24.55
