Date,HPQ,Price
2004-01-09,28,
2004-01-16,24,
2004-01-23,19,
2004-01-30,18,
2004-02-06,22,23.78
2004-02-13,0,23.01
2004-02-20,0,23.13
2004-02-27,0,22.71
2004-03-05,0,22.74
2004-03-12,0,22.36
2004-03-19,0,21.63
2004-03-26,0,22.36
2004-04-02,24,23.08
2004-04-09,24,
2004-04-16,25,22.00
2004-04-23,25,21.67
2004-04-30,25,19.70
2004-05-07,20,20.00
2004-05-14,33,19.61
2004-05-21,30,20.82
2004-05-28,19,21.24
2004-06-04,19,21.26
2004-06-11,25,
2004-06-18,22,20.92
2004-06-25,22,20.81
2004-07-02,22,20.41
2004-07-09,17,20.13
2004-07-16,17,19.64
2004-07-23,17,19.58
2004-07-30,24,20.15
2004-08-06,31,19.90
2004-08-13,38,16.50
2004-08-20,23,18.11
2004-08-27,17,18.26
2004-09-03,17,17.70
2004-09-10,17,18.29
2004-09-17,17,18.11
2004-09-24,16,18.58
2004-10-01,16,19.12
2004-10-08,16,18.56
2004-10-15,15,18.21
2004-10-22,15,17.94
2004-10-29,19,18.66
2004-11-05,22,19.69
2004-11-12,31,19.34
2004-11-19,40,20.08
2004-11-26,15,20.17
2004-12-03,23,20.99
2004-12-10,18,20.81
2004-12-17,16,20.96
2004-12-24,21,
2004-12-31,26,20.97
2005-01-07,25,20.84
2005-01-14,19,20.07
2005-01-21,24,19.99
2005-01-28,15,19.34
2005-02-04,16,20.45
2005-02-11,54,21.30
2005-02-18,29,21.00
2005-02-25,21,20.66
2005-03-04,18,20.56
2005-03-11,14,19.94
2005-03-18,13,20.10
2005-03-25,19,
2005-04-01,34,21.71
2005-04-08,22,21.64
2005-04-15,19,20.84
2005-04-22,14,20.78
2005-04-29,23,20.47
2005-05-06,30,20.98
2005-05-13,27,20.62
2005-05-20,42,22.50
2005-05-27,35,22.77
2005-06-03,27,22.72
2005-06-10,37,23.50
2005-06-17,33,23.91
2005-06-24,40,23.80
2005-07-01,27,23.48
2005-07-08,22,24.28
2005-07-15,47,24.94
2005-07-22,54,24.18
2005-07-29,14,24.62
2005-08-05,39,24.68
2005-08-12,39,24.03
2005-08-19,76,26.49
2005-08-26,53,27.01
2005-09-02,56,27.60
2005-09-09,37,27.81
2005-09-16,32,28.34
2005-09-23,50,28.47
2005-09-30,33,29.20
2005-10-07,40,27.10
2005-10-14,38,27.54
2005-10-21,32,27.57
2005-10-28,31,27.96
2005-11-04,52,28.53
2005-11-11,58,28.52
2005-11-18,76,29.40
2005-11-25,46,29.73
2005-12-02,48,29.23
2005-12-09,48,29.92
2005-12-16,50,28.92
2005-12-23,39,28.77
2005-12-30,29,28.63
2006-01-06,53,30.24
2006-01-13,56,31.90
2006-01-20,52,31.74
2006-01-27,49,31.29
2006-02-03,36,30.56
2006-02-10,36,31.51
2006-02-17,92,34.07
2006-02-24,55,32.02
2006-03-03,49,33.26
2006-03-10,42,32.99
2006-03-17,41,34.16
2006-03-24,42,33.17
2006-03-31,38,32.90
2006-04-07,47,33.37
2006-04-14,40,
2006-04-21,33,32.96
2006-04-28,32,32.47
2006-05-05,45,33.87
2006-05-12,36,32.13
2006-05-19,77,32.02
2006-05-26,44,32.54
2006-06-02,31,32.40
2006-06-09,38,29.94
2006-06-16,50,33.04
2006-06-23,51,32.66
2006-06-30,36,31.68
2006-07-07,31,32.85
2006-07-14,36,30.76
2006-07-21,54,30.52
2006-07-28,59,32.11
2006-08-04,41,32.44
2006-08-11,42,33.05
2006-08-18,98,35.52
2006-08-25,59,35.23
2006-09-01,46,36.53
2006-09-08,55,36.17
2006-09-15,72,36.18
2006-09-22,69,35.11
2006-09-29,67,36.69
2006-10-06,89,37.72
2006-10-13,58,38.86
2006-10-20,65,39.38
2006-10-27,60,38.46
2006-11-03,55,38.22
2006-11-10,57,39.99
2006-11-17,99,39.77
2006-11-24,55,39.56
2006-12-01,46,39.44
2006-12-08,47,39.64
2006-12-15,47,39.94
2006-12-22,49,40.63
2006-12-29,43,41.19
2007-01-05,51,42.20
2007-01-12,64,43.53
2007-01-19,53,42.00
2007-01-26,53,41.69
2007-02-02,55,42.07
2007-02-09,54,42.23
2007-02-16,48,42.77
2007-02-23,85,40.82
2007-03-02,62,38.67
2007-03-09,54,40.11
2007-03-16,47,39.91
2007-03-23,46,40.43
2007-03-30,44,40.14
2007-04-06,40,
2007-04-13,43,41.18
2007-04-20,39,41.37
2007-04-27,48,42.29
2007-05-04,56,43.79
2007-05-11,76,45.24
2007-05-18,81,44.58
2007-05-25,64,45.62
2007-06-01,42,45.81
2007-06-08,50,45.78
2007-06-15,42,45.71
2007-06-22,40,45.18
2007-06-29,34,44.62
2007-07-06,27,45.98
2007-07-13,46,47.25
2007-07-20,54,48.54
2007-07-27,94,46.46
2007-08-03,54,47.41
2007-08-10,62,47.21
2007-08-17,100,47.15
2007-08-24,48,48.10
2007-08-31,47,49.35
2007-09-07,55,48.85
2007-09-14,48,48.38
2007-09-21,45,50.53
2007-09-28,38,49.79
2007-10-05,44,50.90
2007-10-12,44,51.55
2007-10-19,51,51.40
2007-10-26,34,52.47
2007-11-02,42,52.40
2007-11-09,51,48.39
2007-11-16,45,50.75
2007-11-23,86,49.17
2007-11-30,56,51.16
2007-12-07,51,51.84
2007-12-14,45,52.14
2007-12-21,42,52.03
2007-12-28,29,51.36
2008-01-04,41,46.87
2008-01-11,52,45.00
2008-01-18,45,43.75
2008-01-25,51,43.74
2008-02-01,39,44.42
2008-02-08,28,41.88
2008-02-15,38,43.87
2008-02-22,60,47.40
2008-02-29,45,47.77
2008-03-07,35,47.31
2008-03-14,35,45.92
2008-03-21,34,
2008-03-28,34,46.09
2008-04-04,38,46.40
2008-04-11,28,45.47
2008-04-18,34,48.18
2008-04-25,36,47.45
2008-05-02,38,48.36
2008-05-09,38,49.13
2008-05-16,73,47.29
2008-05-23,58,44.96
2008-05-30,30,47.06
2008-06-06,35,47.63
2008-06-13,33,47.45
2008-06-20,32,45.64
2008-06-27,29,44.58
2008-07-04,24,
2008-07-11,28,41.59
2008-07-18,29,43.42
2008-07-25,29,43.71
2008-08-01,35,43.96
2008-08-08,35,45.82
2008-08-15,28,45.59
2008-08-22,54,47.06
2008-08-29,35,46.92
2008-09-05,30,44.96
2008-09-12,31,46.97
2008-09-19,59,48.26
2008-09-26,41,47.81
2008-10-03,52,43.00
2008-10-10,62,37.00
2008-10-17,50,39.71
2008-10-24,47,32.44
2008-10-31,51,38.28
2008-11-07,43,34.64
2008-11-14,43,30.46
2008-11-21,54,34.64
2008-11-28,45,35.28
2008-12-05,35,33.53
2008-12-12,42,35.97
2008-12-19,29,35.40
2008-12-26,21,34.97
2009-01-02,28,36.81
2009-01-09,40,37.49
2009-01-16,30,34.77
2009-01-23,29,35.79
2009-01-30,31,34.75
2009-02-06,23,36.85
2009-02-13,22,35.87
2009-02-20,57,31.24
2009-02-27,34,29.03
2009-03-06,32,26.98
2009-03-13,31,29.45
2009-03-20,30,28.85
2009-03-27,35,33.33
2009-04-03,34,34.15
2009-04-10,30,
2009-04-17,34,36.30
2009-04-24,27,35.80
2009-05-01,27,36.52
2009-05-08,30,34.68
2009-05-15,26,35.01
2009-05-22,39,34.14
2009-05-29,21,34.35
2009-06-05,26,37.35
2009-06-12,24,37.76
2009-06-19,24,38.35
2009-06-26,20,37.61
2009-07-03,21,
2009-07-10,28,37.24
2009-07-17,26,39.98
2009-07-24,34,41.72
2009-07-31,31,43.30
2009-08-07,34,43.54
2009-08-14,34,44.09
2009-08-21,49,44.78
2009-08-28,25,44.76
2009-09-04,27,45.10
2009-09-11,28,46.10
2009-09-18,29,46.15
2009-09-25,31,47.02
2009-10-02,30,45.28
2009-10-09,26,47.38
2009-10-16,30,48.37
2009-10-23,33,48.56
2009-10-30,32,47.46
2009-11-06,26,49.16
2009-11-13,42,49.91
2009-11-20,38,50.04
2009-11-27,49,49.07
2009-12-04,29,49.79
2009-12-11,21,50.05
2009-12-18,25,51.50
2009-12-25,19,
2010-01-01,24,
2010-01-08,25,52.59
2010-01-15,25,52.47
2010-01-22,24,49.29
2010-01-29,26,47.07
2010-02-05,29,47.32
2010-02-12,23,48.46
2010-02-19,29,50.79
2010-02-26,24,50.79
2010-03-05,21,52.03
2010-03-12,22,52.36
2010-03-19,20,52.49
2010-03-26,21,53.42
2010-04-02,22,
2010-04-09,22,53.87
2010-04-16,27,53.75
2010-04-23,22,53.90
2010-04-30,31,51.97
2010-05-07,27,46.73
2010-05-14,26,47.43
2010-05-21,34,46.58
2010-05-28,21,46.01
2010-06-04,18,46.05
2010-06-11,18,47.19
2010-06-18,21,47.98
2010-06-25,17,45.92
2010-07-02,12,42.81
2010-07-09,16,45.25
2010-07-16,17,46.20
2010-07-23,18,46.15
2010-07-30,16,46.04
2010-08-06,37,41.85
2010-08-13,80,40.45
2010-08-20,43,39.85
2010-08-27,34,38.00
2010-09-03,29,40.34
2010-09-10,26,38.28
2010-09-17,31,39.14
2010-09-24,29,40.98
2010-10-01,43,40.77
2010-10-08,24,41.15
2010-10-15,28,42.82
2010-10-22,27,42.87
2010-10-29,22,42.04
2010-11-05,28,43.72
2010-11-12,26,42.21
2010-11-19,23,42.49
2010-11-26,33,43.20
2010-12-03,22,43.03
