Date,LOW,Price
2004-01-09,94,
2004-01-16,100,
2004-01-23,98,
2004-01-30,94,
2004-02-06,89,54.67
2004-02-13,87,57.60
2004-02-20,87,58.38
2004-02-27,89,56.00
2004-03-05,91,55.47
2004-03-12,84,53.09
2004-03-19,86,54.32
2004-03-26,83,55.62
2004-04-02,86,54.90
2004-04-09,88,
2004-04-16,88,53.24
2004-04-23,88,53.54
2004-04-30,91,52.06
2004-05-07,89,50.00
2004-05-14,87,50.58
2004-05-21,91,51.20
2004-05-28,87,53.57
2004-06-04,84,54.37
2004-06-11,84,
2004-06-18,85,53.60
2004-06-25,90,54.07
2004-07-02,86,53.48
2004-07-09,86,51.51
2004-07-16,89,50.32
2004-07-23,87,48.39
2004-07-30,89,48.72
2004-08-06,88,46.49
2004-08-13,82,46.65
2004-08-20,82,50.32
2004-08-27,83,50.47
2004-09-03,79,52.35
2004-09-10,81,53.57
2004-09-17,79,53.54
2004-09-24,80,53.66
2004-10-01,76,55.18
2004-10-08,79,54.20
2004-10-15,79,55.07
2004-10-22,76,55.24
2004-10-29,76,56.28
2004-11-05,74,59.44
2004-11-12,74,60.25
2004-11-19,78,56.77
2004-11-26,73,57.22
2004-12-03,75,57.47
2004-12-10,71,58.58
2004-12-17,70,56.78
2004-12-24,65,
2004-12-31,72,57.59
2005-01-07,81,56.66
2005-01-14,86,56.87
2005-01-21,77,55.91
2005-01-28,79,56.18
2005-02-04,78,58.65
2005-02-11,81,59.60
2005-02-18,78,58.75
2005-02-25,77,59.00
2005-03-04,78,58.20
2005-03-11,79,57.65
2005-03-18,77,57.01
2005-03-25,79,
2005-04-01,76,56.19
2005-04-08,75,54.81
2005-04-15,76,51.64
2005-04-22,77,51.88
2005-04-29,76,52.11
2005-05-06,80,53.54
2005-05-13,74,52.86
2005-05-20,75,57.44
2005-05-27,76,57.15
2005-06-03,71,56.96
2005-06-10,75,58.30
2005-06-17,76,59.42
2005-06-24,75,56.75
2005-07-01,76,57.60
2005-07-08,74,59.52
2005-07-15,78,63.65
2005-07-22,76,65.73
2005-07-29,75,66.22
2005-08-05,75,63.07
2005-08-12,73,65.19
2005-08-19,72,64.69
2005-08-26,71,63.18
2005-09-02,66,64.25
2005-09-09,65,68.09
2005-09-16,68,65.40
2005-09-23,71,65.39
2005-09-30,68,64.40
2005-10-07,71,62.83
2005-10-14,67,61.21
2005-10-21,69,61.22
2005-10-28,67,59.82
2005-11-04,70,60.95
2005-11-11,67,61.97
2005-11-18,68,65.95
2005-11-25,65,66.75
2005-12-02,67,67.83
2005-12-09,64,68.00
2005-12-16,62,69.41
2005-12-23,59,67.46
2005-12-30,62,66.66
2006-01-06,72,64.70
2006-01-13,74,66.24
2006-01-20,72,63.13
2006-01-27,73,65.11
2006-02-03,72,63.52
2006-02-10,69,62.62
2006-02-17,68,66.27
2006-02-24,70,65.52
2006-03-03,69,67.39
2006-03-10,69,65.40
2006-03-17,67,68.63
2006-03-24,70,66.16
2006-03-31,70,64.44
2006-04-07,69,65.39
2006-04-14,67,
2006-04-21,67,63.28
2006-04-28,68,63.05
2006-05-05,71,65.32
