"Date","JNPR","Price"
2005-07-22,51,23.84
2005-07-29,51,23.99
2005-09-23,42,22.33
2005-09-30,46,23.8
2005-10-07,50,22.43
2005-10-14,55,21.59
2005-10-21,59,23.27
2005-10-28,38,22.67
2005-11-04,38,23.97
2005-12-23,51,22.3
2005-12-30,53,22.3
2006-01-06,55,22.06
2006-01-13,56,21.92
2006-01-20,54,21.61
2006-01-27,100,17.48
2006-02-03,99,18.37
2006-02-10,96,19.21
2006-02-17,78,17.97
2006-02-24,53,17.67
2006-03-03,72,19.6
2006-03-10,28,18.9
2006-03-17,81,19.45
2006-03-24,47,19.25
2006-03-31,44,19.12
2006-04-07,58,19.05
2006-04-21,60,17.87
2006-04-28,55,18.48
2006-05-05,51,17.87
2006-05-12,38,16.87
2006-05-19,43,15.06
2006-05-26,92,15.69
2006-06-02,61,16.95
2006-06-09,27,16.73
2006-06-16,53,16.75
2006-06-23,44,15.82
2006-06-30,39,15.99
2006-07-07,47,15.72
2006-07-14,56,14.09
2006-07-21,64,13.63
2006-07-28,45,13.67
2006-08-04,68,13.13
2006-08-11,51,12.2
2006-08-18,55,13.99
2006-08-25,54,13.76
2006-09-01,40,14.42
2006-09-08,47,14.38
2006-09-15,39,15.32
2006-09-22,52,16.17
2006-09-29,38,17.28
2006-10-06,38,18.1
2006-10-13,35,17.45
2006-10-20,70,17.96
2006-10-27,39,16.93
2006-11-03,34,16.82
2006-11-10,39,19.48
2006-11-17,36,20.31
2006-11-24,44,21.27
2006-12-01,57,20.78
2006-12-08,38,20.02
2006-12-15,43,19.8
2006-12-22,48,18.77
2006-12-29,30,18.94
2007-01-05,30,19.93
2007-01-12,38,20.58
2007-01-19,31,19.51
2007-01-26,41,18.96
2007-02-02,50,18.2
2007-02-09,25,19.21
2007-02-16,21,19.69
2007-02-23,31,19.78
2007-03-02,27,18.4
2007-03-09,19,18.31
2007-03-16,28,18.01
2007-03-23,40,18.95
2007-03-30,41,19.68
2007-04-13,32,20.59
2007-04-20,22,20.52
2007-04-27,56,22.7
2007-05-04,40,22.95
2007-05-11,50,23.91
2007-05-18,42,23.29
2007-05-25,35,23.19
2007-06-01,27,24.65
2007-06-08,52,24.5
2007-06-15,36,25.49
2007-06-22,37,25.08
2007-06-29,37,25.17
2007-07-06,41,27.04
2007-07-13,54,27.85
2007-07-20,90,30.4
2007-07-27,60,29.97
2007-08-03,67,31.23
2007-08-10,80,32.09
2007-08-17,52,31.64
2007-08-24,59,32.59
2007-08-31,54,32.92
2007-09-07,45,34.58
2007-09-14,57,35.61
2007-09-21,60,35.91
2007-09-28,38,36.61
2007-10-05,49,37.04
2007-10-12,53,37.12
2007-10-19,50,35.62
2007-10-26,64,33.95
2007-11-02,50,35.38
2007-11-09,49,31.21
2007-11-16,47,30.56
2007-11-23,51,29.49
2007-11-30,43,29.72
2007-12-07,47,30.9
2007-12-14,28,33.11
2007-12-21,43,34.7
2007-12-28,26,33.92
2008-01-04,31,31.12
2008-01-11,38,26.6
2008-01-18,41,26.5
2008-01-25,69,25.95
2008-02-01,44,27.25
2008-02-08,50,25.46
2008-02-15,28,26.12
2008-02-22,24,26.19
2008-02-29,40,26.82
2008-03-07,33,24.95
2008-03-14,36,24.68
2008-03-28,34,24.3
2008-04-04,35,24.03
2008-04-11,31,22.83
2008-04-18,28,24.48
2008-04-25,63,26.71
2008-05-02,46,28.79
2008-05-09,39,27.32
2008-05-16,30,28.89
2008-05-23,36,27.28
2008-05-30,38,27.52
2008-06-06,26,26.65
2008-06-13,24,24.19
2008-06-20,25,22.74
2008-06-27,28,22.64
2008-07-11,25,21.76
2008-07-18,21,22.55
2008-07-25,79,26.57
2008-08-01,46,26.17
2008-08-08,56,26.8
2008-08-15,32,26.97
2008-08-22,20,25.88
2008-08-29,21,25.7
2008-09-05,23,24.15
2008-09-12,18,25.81
2008-09-19,38,26.9
2008-09-26,34,23.02
