"Date","CRM","Price"
2004-06-25,94,15.8
2004-07-02,85,16.98
2004-07-09,86,16.4
2004-07-16,81,16
2004-07-23,82,13.04
2004-07-30,85,13.01
2004-08-06,84,10.77
2004-08-13,88,9.59
2004-08-20,90,12.6
2004-08-27,96,13.15
2004-09-03,84,13.75
2004-09-10,91,14.25
2004-09-17,88,15.67
2004-09-24,89,16.04
2004-10-01,84,16.65
2004-10-08,83,17.62
2004-10-15,87,17.98
2004-10-22,80,17.4
2004-10-29,88,20.32
2004-11-05,88,20.86
2004-11-12,80,20
2004-11-19,85,17.75
2004-11-26,86,17.73
2004-12-03,87,16.63
2004-12-10,87,15.92
2004-12-17,83,16.1
2004-12-31,55,16.94
2005-01-07,75,17.55
2005-01-14,83,15
2005-01-21,89,14.45
2005-01-28,83,13.46
2005-02-04,83,14.06
2005-02-11,80,13.45
2005-02-18,84,15.95
2005-02-25,85,16.47
2005-03-04,85,16.6
2005-03-11,79,15.5
2005-03-18,85,15.01
2005-04-01,78,15
2005-04-08,81,15.36
2005-04-15,84,14.43
2005-04-22,83,14.55
2005-04-29,84,14.43
2005-05-06,75,15.35
2005-05-13,83,14.88
2005-05-20,89,18.49
2005-05-27,80,19.86
2005-06-03,82,20.55
2005-06-10,80,19.74
2005-06-17,90,20.48
2005-06-24,88,20.8
2005-07-01,83,19.52
2005-07-08,75,19.5
2005-07-15,81,22.8
2005-07-22,75,22.59
2005-07-29,71,23.55
2005-08-05,78,23.68
2005-08-12,75,23.53
2005-08-19,73,20.48
2005-08-26,76,19.25
2005-09-02,80,19.37
2005-09-09,72,21.95
2005-09-16,82,23.6
2005-09-23,75,23.13
2005-09-30,81,23.12
2005-10-07,81,22.81
2005-10-14,77,22.22
2005-10-21,79,24.54
2005-10-28,85,24.59
2005-11-04,73,26.7
2005-11-11,78,27.46
2005-11-18,77,28.75
2005-11-25,81,31.43
2005-12-02,76,31.58
2005-12-09,82,35.5
2005-12-16,77,35.02
2005-12-23,75,33.81
2005-12-30,53,32.05
2006-01-06,70,39.85
2006-01-13,82,38.13
2006-01-20,76,39.93
2006-01-27,80,41.6
2006-02-03,76,38.23
2006-02-10,80,35.1
2006-02-17,84,34.34
2006-02-24,79,33.79
2006-03-03,81,38.04
2006-03-10,85,37.83
2006-03-17,76,39.15
2006-03-24,77,37.61
2006-03-31,79,36.33
2006-04-07,82,34.5
2006-04-21,75,33.11
2006-04-28,81,35.05
2006-05-05,76,34.12
2006-05-12,83,31.2
2006-05-19,85,28.55
2006-05-26,83,30.4
2006-06-02,80,29.87
2006-06-09,80,26.03
2006-06-16,77,27.74
2006-06-23,79,27.8
2006-06-30,71,26.66
2006-07-07,73,24.91
2006-07-14,70,22.02
2006-07-21,72,21.9
2006-07-28,74,25.31
2006-08-04,77,26.15
2006-08-11,71,26
2006-08-18,71,32.85
2006-08-25,71,33.56
2006-09-01,72,34.4
2006-09-08,74,33.33
2006-09-15,76,35
2006-09-22,74,36.17
2006-09-29,73,35.88
2006-10-06,76,40.36
2006-10-13,75,40.98
2006-10-20,76,39.87
2006-10-27,74,40.11
2006-11-03,73,40.48
2006-11-10,81,42.2
2006-11-17,75,41.72
2006-11-24,71,41.16
2006-12-01,76,38.35
2006-12-08,71,38.53
2006-12-15,67,39.94
2006-12-22,65,36.05
2006-12-29,48,36.45
2007-01-05,59,39.52
2007-01-12,76,42.42
2007-01-19,72,41.61
2007-01-26,71,42.23
2007-02-02,74,46.75
2007-02-09,73,47.01
2007-02-16,73,49.63
2007-02-23,71,47.44
2007-03-02,70,42.64
2007-03-09,74,42.97
2007-03-16,76,41.63
2007-03-23,75,43.3
2007-03-30,74,42.82
2007-04-13,69,42.58
2007-04-20,78,41.75
2007-04-27,75,42.1
2007-05-04,68,43.05
2007-05-11,73,42.42
2007-05-18,76,45.8
2007-05-25,77,46.09
2007-06-01,70,47.88
2007-06-08,74,46.25
2007-06-15,74,45.59
2007-06-22,71,40.55
2007-06-29,74,42.86
2007-07-06,69,44.68
2007-07-13,73,44.54
2007-07-20,73,43.45
2007-07-27,69,40.89
2007-08-03,68,39.94
2007-08-10,68,44.68
2007-08-17,66,40.02
2007-08-24,70,41.43
2007-08-31,68,40.43
2007-09-07,68,43.21
2007-09-14,74,46.38
2007-09-21,71,46.25
2007-09-28,71,51.32
2007-10-05,68,53.23
2007-10-12,71,57.06
2007-10-19,72,52.28
2007-10-26,71,51.44
2007-11-02,72,54.4
2007-11-09,70,50
2007-11-16,71,57.35
2007-11-23,68,55.16
