"Date","V","Price"
2008-03-28,41,62.76
2008-04-04,42,64.48
2008-04-11,40,66.11
2008-04-18,42,69
2008-04-25,43,75.1
2008-05-02,41,82.75
2008-05-09,41,82.86
2008-05-16,41,82.37
2008-05-23,41,76.35
2008-05-30,39,86.36
2008-06-06,40,83.65
2008-06-13,40,81.53
2008-06-20,39,83.57
2008-06-27,37,82.6
2008-07-11,38,74.55
2008-07-18,43,73.4
2008-07-25,42,71.96
2008-08-01,40,71.73
2008-08-08,40,72.6
2008-08-15,45,75.79
2008-08-22,42,74.09
2008-08-29,40,75.9
2008-09-05,41,71.76
2008-09-12,42,71.65
2008-09-19,41,69.57
2008-09-26,43,62.04
2008-10-03,41,56.84
2008-10-10,43,52
2008-10-17,44,52.22
2008-10-24,43,47.98
2008-10-31,45,55.35
2008-11-07,45,53.5
2008-11-14,44,54.24
2008-11-21,44,46.38
2008-11-28,42,52.56
2008-12-05,42,53.18
2008-12-12,42,52.95
2008-12-19,39,54.97
2008-12-26,38,53.25
2009-01-02,40,53.44
2009-01-09,42,55.62
2009-01-16,43,47.41
2009-01-23,43,44.32
2009-01-30,43,49.35
2009-02-06,43,55.41
2009-02-13,44,55.95
2009-02-20,44,55.66
2009-02-27,46,56.71
2009-03-06,47,50.19
2009-03-13,45,52.05
2009-03-20,45,52.53
2009-03-27,45,54.25
2009-04-03,44,60.08
2009-04-17,42,58
2009-04-24,44,60.38
2009-05-01,44,65.01
2009-05-08,45,68.43
2009-05-15,43,65.07
2009-05-22,42,65.75
2009-05-29,43,67.71
2009-06-05,41,69.28
2009-06-12,41,64.36
2009-06-19,41,61.37
2009-06-26,39,63.82
2009-07-10,40,59.86
2009-07-17,39,64.1
2009-07-24,40,67.29
2009-07-31,42,65.46
2009-08-07,42,69.17
2009-08-14,44,67.8
2009-08-21,46,69
2009-08-28,46,70.5
2009-09-04,43,70.36
2009-09-11,44,72.29
2009-09-18,44,73.79
2009-09-25,44,70.66
2009-10-02,42,67.79
2009-10-09,46,72.94
2009-10-16,43,74.29
2009-10-23,43,74.12
2009-10-30,46,75.76
2009-11-06,57,79.67
2009-11-13,51,80
2009-11-20,49,80
2009-11-27,49,80.33
2009-12-04,47,80.27
2009-12-11,46,81.34
2009-12-18,44,88.97
2010-01-08,45,87
2010-01-15,44,86.14
2010-01-22,46,82.73
2010-01-29,45,82.03
2010-02-05,45,82.56
2010-02-12,46,84.78
2010-02-19,48,86.81
2010-02-26,47,85.28
2010-03-05,54,88.51
2010-03-12,48,93.25
2010-03-19,48,88.84
2010-03-26,48,90.25
2010-04-09,49,92.52
