"Date","MCHP","Price"
2007-05-04,100,41.1
2007-05-11,61,40.76
2007-05-18,61,40.64
2007-09-07,68,37.53
2007-10-19,68,30.08
2007-10-26,73,32.08
2007-11-02,79,32.67
2007-11-09,85,31.51
2007-11-16,45,30.76
2007-11-23,50,28.52
2007-11-30,54,28.79
2007-12-07,65,30.52
2007-12-14,83,31.59
2008-03-14,58,32.07
2008-03-28,53,32.5
2008-04-04,53,34.01
2008-04-11,56,33.04
2008-04-18,59,35.04
2008-04-25,62,36
2008-05-02,45,37.28
2008-05-09,45,36.64
2008-05-16,57,38.13
2008-05-23,69,36.28
2008-05-30,47,36.84
2008-06-06,42,34.81
2008-06-13,61,31.75
2008-06-20,45,31.69
2008-06-27,45,30.87
2008-07-11,44,29.75
2008-07-18,56,32.11
2008-07-25,68,31.38
2008-08-01,54,31.57
2008-08-08,54,33.32
2008-08-15,50,33.9
2008-08-22,49,32.16
2008-08-29,49,32.01
2008-09-05,49,29.7
2008-09-12,40,29.43
2008-09-19,40,31.61
2008-09-26,59,30.66
2008-10-03,55,26.95
2008-10-10,54,24.21
2008-10-17,38,22.84
2008-10-24,75,22.38
2008-10-31,60,24.63
2008-11-07,44,22.15
2008-11-14,44,19.75
2008-11-21,59,17.56
2008-11-28,47,18.5
2008-12-05,47,18.18
2008-12-12,41,20.48
2008-12-19,41,19.61
2008-12-26,36,18.37
2009-01-02,36,19.57
2009-01-09,36,17.93
2009-01-16,42,17.71
2009-01-23,49,17.21
2009-01-30,55,18.97
2009-02-06,37,20.63
2009-02-13,47,19.9
2009-02-20,53,18.86
2009-02-27,60,18.77
2009-03-06,66,18.24
2009-03-13,72,20.4
2009-03-20,37,20.18
2009-03-27,42,21.67
2009-04-03,46,22.97
2009-04-17,42,23.11
2009-04-24,49,22.25
2009-05-01,50,22.84
2009-05-08,55,21.51
2009-05-15,42,20.16
2009-05-22,43,21.01
2009-05-29,43,21.57
2009-06-05,44,21.74
2009-06-12,54,22.75
2009-06-19,37,22.47
2009-06-26,37,22.41
2009-07-10,45,22.73
2009-07-17,49,25.7
2009-07-24,46,27.03
2009-07-31,42,26.93
2009-08-07,59,26.43
2009-08-14,32,27.03
2009-08-21,48,26.73
2009-08-28,30,26.86
2009-09-04,30,26.72
2009-09-11,42,27.44
2009-09-18,35,27.11
2009-09-25,32,26.29
2009-10-02,32,25
2009-10-09,36,26.16
2009-10-16,40,26.1
2009-10-23,45,25.29
2009-10-30,36,23.96
2009-11-06,33,25.59
2009-11-13,33,26.76
2009-11-20,30,25.53
2009-11-27,31,26.05
2009-12-04,33,27.77
2009-12-11,36,28.25
2009-12-18,36,28.42
2010-01-08,40,28.5
2010-01-15,41,27.39
2010-01-22,41,26.21
2010-01-29,53,25.81
2010-02-05,66,26.28
2010-02-12,28,27.23
2010-02-19,44,27.41
2010-02-26,39,27.06
2010-03-05,40,27.26
2010-03-12,42,28.23
2010-03-19,40,28.25
2010-03-26,40,28.43
2010-04-09,27,28.64
2010-04-16,27,30.14
2010-04-23,30,30.6
2010-04-30,39,29.21
2010-05-07,48,27.8
2010-05-14,31,28.08
2010-05-21,31,27.36
2010-05-28,46,27.85
2010-06-04,42,27.31
2010-06-11,29,28.26
2010-06-18,29,29.7
2010-06-25,26,28.86
2010-07-02,41,27.6
2010-07-09,29,29.23
2010-07-16,29,29.37
2010-07-23,42,30.78
2010-07-30,34,30.45
2010-08-06,42,30.51
2010-08-13,24,28.77
2010-08-20,44,28.61
2010-08-27,35,28.72
2010-09-03,30,29.35
2010-09-10,23,28.04
2010-09-17,22,29.72
2010-09-24,31,30.61
2010-10-01,70,31.41
2010-10-08,39,30.97
2010-10-15,30,31
2010-10-22,36,31.35
2010-10-29,40,32.18
2010-11-05,46,33.96
2010-11-12,29,33.55
2010-11-19,31,33.91
2010-11-26,27,34.29
2010-12-03,49,35.66
2010-12-10,31,35.16
2010-12-17,23,34.1
2010-12-31,28,34.21
2011-01-07,25,34.98
2011-01-14,31,37.03
2011-01-21,29,36.47
2011-01-28,42,36.89
2011-02-04,37,37.61
2011-02-11,27,37.98
2011-02-18,23,38.19
2011-02-25,41,37.33
2011-03-04,37,37.2
2011-03-11,30,35.61
2011-03-18,37,35.7
2011-03-25,19,37.72
2011-04-01,37,37.92
2011-04-08,32,37.96
2011-04-15,26,37.69
2011-04-29,31,41.04
2011-05-06,47,41.24
2011-05-13,34,40.87
2011-05-20,37,39.97
2011-05-27,36,39.13
2011-06-03,38,37.37
2011-06-10,24,36.46
2011-06-17,28,35.69
2011-06-24,22,36.55
2011-07-01,24,38.35
2011-07-08,21,37.87
2011-07-15,55,32.34
2011-07-22,37,34.11
2011-07-29,34,33.75
2011-08-05,34,31.18
2011-08-12,44,32.05
2011-08-19,26,29.6
2011-08-26,25,32.29
2011-09-02,35,31.36
2011-09-09,27,32.06
2011-09-16,39,34.55
2011-09-23,32,32.92
2011-09-30,29,31.11
2011-10-07,27,33.68
