"Date","EBAY","Price"
2004-02-06,38,67.76
2004-02-13,39,68.6
2004-02-20,41,69.27
2004-02-27,39,68.7
2004-03-05,39,69.31
2004-03-12,41,69.13
2004-03-19,39,68.3
2004-03-26,43,66.8
2004-04-02,40,73.77
2004-04-16,40,74.86
2004-04-23,41,82.14
2004-04-30,41,80.03
2004-05-07,40,79.82
2004-05-14,40,78.95
2004-05-21,40,80.34
2004-05-28,41,88.8
2004-06-04,39,88.08
2004-06-18,40,86.5
2004-06-25,44,90.72
2004-07-02,42,91.27
2004-07-09,44,83.78
2004-07-16,47,80.36
2004-07-23,45,75.01
2004-07-30,46,78.33
2004-08-06,44,73.76
2004-08-13,44,77.36
2004-08-20,45,81.37
2004-08-27,47,85.91
2004-09-03,44,89.38
2004-09-10,44,90.07
2004-09-17,44,93.1
2004-09-24,45,89.22
2004-10-01,45,92.44
2004-10-08,46,92.59
2004-10-15,46,93.76
2004-10-22,45,95.91
2004-10-29,46,97.63
2004-11-05,46,99.68
2004-11-12,48,109.89
2004-11-19,50,108.34
2004-11-26,50,111.5
2004-12-03,52,116.41
2004-12-10,53,114.41
2004-12-17,54,114.75
2004-12-31,51,116.34
2005-01-07,50,106.58
2005-01-14,53,105.2
2005-01-21,51,86.05
2005-01-28,51,81.1
2005-02-04,53,75.88
2005-02-11,53,82.07
2005-02-18,52,42.46
2005-02-25,53,42.24
2005-03-04,55,41.75
2005-03-11,54,38.25
2005-03-18,52,35.01
2005-04-01,53,37.07
2005-04-08,54,35.16
2005-04-15,53,31.97
2005-04-22,54,31.51
2005-04-29,55,31.71
2005-05-06,56,33.79
2005-05-13,55,35.06
2005-05-20,55,36.56
2005-05-27,53,38.3
2005-06-03,53,37.8
2005-06-10,56,36.63
2005-06-17,56,38.05
2005-06-24,55,34.37
2005-07-01,55,32.88
2005-07-08,55,34.5
2005-07-15,54,35.08
2005-07-22,56,41.02
2005-07-29,56,41.78
2005-08-05,57,43.34
2005-08-12,57,40.96
2005-08-19,59,40.01
2005-08-26,58,38.97
2005-09-02,57,39.69
2005-09-09,58,38.62
2005-09-16,58,37.1
2005-09-23,60,38.78
2005-09-30,58,41.2
2005-10-07,59,39.9
2005-10-14,60,39.7
2005-10-21,62,39.29
2005-10-28,60,38.43
2005-11-04,60,41.58
2005-11-11,60,43.89
2005-11-18,63,44.67
2005-11-25,67,46.71
2005-12-02,66,45.19
2005-12-09,68,43.42
2005-12-16,64,45.94
2005-12-23,63,44.61
2005-12-30,64,43.22
2006-01-06,64,46.65
2006-01-13,66,45.97
2006-01-20,64,44.97
2006-01-27,65,44.07
2006-02-03,68,40.58
2006-02-10,66,39.53
2006-02-17,65,41.31
2006-02-24,66,41.49
2006-03-03,65,40.37
2006-03-10,67,37.85
2006-03-17,66,38.22
2006-03-24,67,37.3
2006-03-31,65,39
2006-04-07,63,38.26
2006-04-21,68,35.09
2006-04-28,66,34.41
2006-05-05,65,32.39
2006-05-12,65,31.49
2006-05-19,64,29.7
2006-05-26,65,34.2
2006-06-02,65,32.63
2006-06-09,63,30.58
2006-06-16,63,30.28
2006-06-23,66,30
2006-06-30,64,29.29
2006-07-07,64,26.62
2006-07-14,63,25.58
2006-07-21,65,24.48
2006-07-28,67,24.43
2006-08-04,67,24.2
2006-08-11,69,24.2
2006-08-18,71,27.25
2006-08-25,72,25.3
2006-09-01,72,28.15
2006-09-08,69,28.51
2006-09-15,70,27.85
2006-09-22,70,26.11
2006-09-29,71,28.36
2006-10-06,70,29.39
2006-10-13,72,29.75
2006-10-20,70,30.49
2006-10-27,70,32.07
2006-11-03,73,32.39
2006-11-10,74,32.81
2006-11-17,79,33.74
2006-11-24,81,33.39
2006-12-01,80,31.5
2006-12-08,81,31.76
2006-12-15,79,32.92
2006-12-22,76,30.22
2006-12-29,77,30.07
2007-01-05,79,30.78
2007-01-12,73,30
2007-01-19,74,29.66
2007-01-26,78,31.65
2007-02-02,77,32.4
2007-02-09,76,33.51
2007-02-16,76,33.62
2007-02-23,79,33.99
2007-03-02,74,30.83
2007-03-09,78,30.82
2007-03-16,76,31.74
2007-03-23,74,31.83
2007-03-30,77,33.15
2007-04-13,73,34.78
2007-04-20,74,33.52
2007-04-27,74,34.17
2007-05-04,75,34.15
2007-05-11,77,34.2
2007-05-18,73,32.7
2007-05-25,74,32.65
2007-06-01,76,32.27
2007-06-08,76,31.42
2007-06-15,75,32.04
2007-06-22,76,31.76
2007-06-29,75,32.18
2007-07-06,79,33.39
2007-07-13,76,33.95
2007-07-20,76,33.53
2007-07-27,74,32.57
2007-08-03,73,33.32
2007-08-10,71,36
2007-08-17,73,34.14
2007-08-24,75,34.08
2007-08-31,75,34.1
2007-09-07,74,35.25
2007-09-14,72,37.81
2007-09-21,75,39
2007-09-28,76,39.02
2007-10-05,77,38.75
2007-10-12,76,39.9
2007-10-19,77,36.72
2007-10-26,77,36.64
2007-11-02,78,35.02
2007-11-09,80,33.46
2007-11-16,84,32.74
2007-11-23,100,31.94
2007-11-30,97,33.53
2007-12-07,97,33.73
2007-12-14,86,32.7
2007-12-21,82,34.3
2007-12-28,82,33.78
2008-01-04,82,31.3
2008-01-11,76,29.68
2008-01-18,77,28.33
2008-01-25,79,26.83
2008-02-01,77,28.81
2008-02-08,80,28.07
2008-02-15,78,27.79
2008-02-22,80,27.71
2008-02-29,79,26.36
2008-03-07,81,25.78
2008-03-14,79,26.25
2008-03-28,79,30.22
2008-04-04,80,32.94
2008-04-11,80,30.87
2008-04-18,77,31.71
2008-04-25,78,31.3
2008-05-02,77,31.11
2008-05-09,74,30
2008-05-16,76,31.17
2008-05-23,76,30.18
2008-05-30,75,30.01
2008-06-06,76,29.26
2008-06-13,75,28.38
2008-06-20,76,28.17
2008-06-27,74,27.61
2008-07-11,76,28.01
2008-07-18,77,23.98
2008-07-25,76,25.4
2008-08-01,78,24.58
2008-08-08,76,26.36
2008-08-15,76,25.98
2008-08-22,74,25.03
2008-08-29,76,24.93
2008-09-05,77,23.77
2008-09-12,75,22.55
2008-09-19,74,23.17
2008-09-26,74,22.57
2008-10-03,74,18.94
2008-10-10,75,16.73
2008-10-17,75,15.35
2008-10-24,73,14.89
2008-10-31,73,15.27
2008-11-07,72,14.19
2008-11-14,76,12.36
2008-11-21,79,12.01
2008-11-28,81,13.13
2008-12-05,80,13.96
2008-12-12,85,14.27
2008-12-19,80,14.45
2008-12-26,75,13.6
2009-01-02,81,14.66
2009-01-09,73,14.19
2009-01-16,77,13.26
2009-01-23,76,12
2009-01-30,77,12.02
2009-02-06,76,13.63
2009-02-13,75,13.19
2009-02-20,76,12.18
2009-02-27,75,10.87
2009-03-06,74,10.43
2009-03-13,74,11.93
2009-03-20,71,12.09
2009-03-27,71,12.85
2009-04-03,71,14.31
2009-04-17,72,14.39
2009-04-24,68,16.78
2009-05-01,70,16.51
2009-05-08,70,17.38
2009-05-15,71,16.91
2009-05-22,70,17.36
2009-05-29,68,17.62
2009-06-05,67,17.84
2009-06-12,73,17.8
2009-06-19,69,17.28
2009-06-26,68,17.35
2009-07-10,71,16.3
2009-07-17,71,18.55
2009-07-24,72,21.24
2009-07-31,70,21.25
2009-08-07,70,22.55
2009-08-14,71,21.64
2009-08-21,70,22.08
2009-08-28,72,22.46
2009-09-04,71,21.91
2009-09-11,70,23.56
2009-09-18,70,24.34
2009-09-25,70,23.45
2009-10-02,67,22.7
2009-10-09,69,24.42
2009-10-16,69,24.49
2009-10-23,68,23.56
2009-10-30,66,22.27
2009-11-06,68,23.34
2009-11-13,69,23.74
2009-11-20,70,22.79
2009-11-27,73,23.22
2009-12-04,71,23.67
2009-12-11,70,22.7
2009-12-18,67,22.67
2010-01-08,63,23.51
2010-01-15,64,22.47
2010-01-22,66,23.58
2010-01-29,66,23.02
2010-02-05,63,22.71
2010-02-12,64,21.77
2010-02-19,66,23.42
2010-02-26,66,23.02
2010-03-05,65,24.63
2010-03-12,64,25.97
2010-03-19,63,27.19
2010-03-26,64,27.45
2010-04-09,63,26.55
2010-04-16,60,26.33
2010-04-23,60,24.55
2010-04-30,62,23.78
2010-05-07,62,21.48
2010-05-14,63,22.25
2010-05-21,63,21.42
2010-05-28,59,21.41
2010-06-04,61,21.99
2010-06-11,61,22.65
2010-06-18,60,22.16
2010-06-25,62,20.95
2010-07-02,60,19.26
2010-07-09,60,20.29
2010-07-16,61,20.09
2010-07-23,63,21.09
2010-07-30,65,20.91
2010-08-06,64,21.45
2010-08-13,62,21.5
2010-08-20,65,23.37
2010-08-27,64,23.18
2010-09-03,63,24.13
2010-09-10,64,24.1
2010-09-17,65,24.22
2010-09-24,64,24.74
2010-10-01,66,24.46
2010-10-08,66,24.61
2010-10-15,65,25.68
2010-10-22,64,28.07
2010-10-29,65,29.86
2010-11-05,65,30.87
2010-11-12,67,30.14
2010-11-19,70,30.3
2010-11-26,70,31.15
2010-12-03,69,29.61
2010-12-10,69,30.69
2010-12-17,65,29.82
2010-12-31,64,27.83
2011-01-07,65,27.7
2011-01-14,63,29.18
2011-01-21,66,30.02
2011-01-28,64,30.31
2011-02-04,63,32.21
2011-02-11,65,34.51
2011-02-18,65,34.53
2011-02-25,63,33.63
2011-03-04,62,32.01
2011-03-11,62,30.92
2011-03-18,60,30.47
2011-03-25,62,31.7
2011-04-01,63,31.36
2011-04-08,66,31.14
2011-04-15,63,31.61
2011-04-29,60,34.39
2011-05-06,60,32.72
2011-05-13,64,33.57
2011-05-20,63,32.48
2011-05-27,63,30.68
2011-06-03,61,30.3
2011-06-10,62,29.96
2011-06-17,61,28.83
2011-06-24,64,28.35
2011-07-01,60,32.74
2011-07-08,60,33.42
2011-07-15,61,32.81
2011-07-22,63,33.5
2011-07-29,63,32.75
2011-08-05,63,29.3
2011-08-12,63,30.53
2011-08-19,63,27.16
2011-08-26,63,29.46
2011-09-02,62,29.41
2011-09-09,63,28.46
2011-09-16,62,33.69
2011-09-23,62,32.08
2011-09-30,62,29.49
2011-10-07,62,31.07
2011-10-14,64,33.69
2011-10-21,62,32.12
2011-10-28,62,33.25
2011-11-04,63,32.71
2011-11-11,66,31.76
2011-11-18,66,29.81
2011-11-25,67,28.23
2011-12-02,68,29.6
2011-12-09,69,31.64
2011-12-16,68,30.4
2011-12-23,58,30.84
2011-12-30,62,30.33
2012-01-06,64,30.63
2012-01-13,63,30.62
2012-01-20,64,31.93
2012-01-27,65,31.85
2012-02-03,64,32.95
2012-02-10,64,33.03
2012-02-17,61,35.06
2012-02-24,64,36.36
2012-03-02,64,36.25
2012-03-09,65,36.25
2012-03-16,63,37.69
2012-03-23,62,37.09
2012-03-30,59,36.9
2012-04-13,62,36.12
2012-04-20,62,40.29
2012-04-27,61,41.23
2012-05-04,62,39.44
2012-05-11,59,40.74
2012-05-18,59,38.36
2012-05-25,59,40.35
2012-06-01,59,38.82
2012-06-08,60,41.05
2012-06-15,59,40.67
2012-06-22,60,42.8
2012-06-29,59,42.01
2012-07-06,58,40.41
2012-07-13,62,39.95
2012-07-20,61,44.85
2012-07-27,59,45.22
2012-08-03,60,44.5
2012-08-10,58,43.99
2012-08-17,59,46.87
2012-08-24,62,47.1
2012-08-31,60,47.47
2012-09-07,60,49.24
2012-09-14,60,49.97
2012-09-21,62,49.47
2012-09-28,62,48.37
2012-10-05,66,48.73
2012-10-12,67,47.85
2012-10-19,67,49.97
2012-10-26,69,49.51
2012-11-02,68,48.69
2012-11-09,70,47.73
2012-11-16,70,47.26
2012-11-23,75,49.01
2012-11-30,75,52.82
2012-12-07,73,51.74
2012-12-14,72,50.36
2012-12-21,65,51.35
2012-12-28,66,49.81
2013-01-04,70,52.78
2013-01-11,67,53.7
2013-01-18,69,54.21
2013-01-25,71,56.53
2013-02-01,67,57.21
2013-02-08,66,56.62
2013-02-15,67,56.7
2013-02-22,66,55.02
2013-03-01,67,54.9
2013-03-08,67,53.13
2013-03-15,67,50.41
2013-03-22,66,53.27
2013-04-05,64,55.52
2013-04-12,67,57.31
2013-04-19,63,52.39
2013-04-26,63,52.54
2013-05-03,65,54.21
2013-05-10,62,55.65
2013-05-17,62,56.71
2013-05-24,61,54.64
2013-05-31,62,54.1
2013-06-07,61,51.45
2013-06-14,62,51.29
2013-06-21,61,51.13
2013-06-28,61,51.72
2013-07-05,61,53.85
2013-07-12,59,57.04
2013-07-19,62,52.19
2013-07-26,61,52.25
2013-08-02,63,52.54
2013-08-09,63,53.33
2013-08-16,62,52.92
2013-08-23,64,51.65
2013-08-30,62,49.99
2013-09-06,60,52.83
2013-09-13,62,53.82
2013-09-20,62,54.95
2013-09-27,59,55.78
2013-10-04,63,55.58
2013-10-11,62,54.37
2013-10-18,62,52.2
2013-10-25,59,51.64
2013-11-01,61,51.94
2013-11-08,62,53
2013-11-15,63,52.6
2013-11-22,65,50.33
2013-11-29,66,50.52
2013-12-06,64,52.01
