"Date","RHT","Price"
2004-02-06,62,18.42
2004-02-13,62,18.31
2004-06-18,67,20.1
2004-09-24,48,12.62
2004-10-01,58,13.75
2004-10-08,58,13.26
2004-10-15,58,13.31
2004-12-03,53,15.19
2005-02-18,44,11.6
2005-04-15,48,10.55
2005-04-22,41,11.1
2005-04-29,39,10.75
2005-05-06,39,11.03
2005-05-13,41,12.35
2005-05-20,44,13.39
2005-05-27,40,13
2005-06-03,40,12.51
2005-06-10,40,12.46
2005-06-17,40,12.77
2005-06-24,38,12.43
2005-07-01,47,14.31
2005-07-08,57,14.94
2005-09-09,41,15.33
2005-09-16,33,16.17
2005-09-23,33,16.23
2005-09-30,43,21.19
2005-10-07,53,20.63
2005-10-14,31,20.74
2005-10-21,57,21.5
2005-10-28,42,22.15
2005-11-04,42,24.67
2005-11-11,42,24.49
2005-11-18,35,22.94
2005-11-25,39,23.73
2005-12-02,28,25.16
2005-12-09,32,24.69
2005-12-16,31,26.3
2005-12-23,35,27.98
2005-12-30,50,27.26
2006-01-06,33,30.08
2006-01-13,38,28.84
2006-01-20,52,28.59
2006-01-27,50,28.26
2006-02-03,45,28.32
2006-02-10,45,26.5
2006-02-17,30,25.09
2006-02-24,34,26.43
2006-03-03,37,29.01
2006-03-10,34,27.33
2006-03-17,27,29.31
2006-03-24,38,28.59
2006-03-31,29,27.98
2006-04-07,29,27.43
2006-04-21,30,29.26
2006-04-28,30,29.39
2006-05-05,30,31.35
2006-05-12,28,29.52
2006-05-19,30,27.94
2006-05-26,33,26.47
2006-06-02,38,28.39
2006-06-09,43,26.92
2006-06-16,39,25.93
2006-06-23,34,26.67
2006-06-30,28,23.4
2006-07-07,42,21.79
2006-07-14,31,23.36
2006-07-21,46,23.37
2006-07-28,48,24.13
2006-08-04,45,22.78
2006-08-11,37,22.47
2006-08-18,24,25.46
2006-08-25,49,25.46
2006-09-01,37,24.19
2006-09-08,34,22.55
2006-09-15,34,23.47
2006-09-22,41,25.03
2006-09-29,21,21.08
2006-10-06,33,21.78
2006-10-13,42,19.9
2006-10-20,43,18.27
2006-10-27,51,15.63
2006-11-03,55,16.67
2006-11-10,34,17.85
2006-11-17,37,16.67
2006-11-24,33,17.48
2006-12-01,33,17.18
2006-12-08,31,16.51
2006-12-15,83,17.62
2006-12-22,97,22.46
2006-12-29,80,23
2007-01-05,63,22.24
2007-01-12,55,22.16
2007-01-19,52,21.69
2007-01-26,47,22.24
2007-02-02,62,22.68
2007-02-09,50,24
2007-02-16,55,24
2007-02-23,64,23.6
2007-03-02,36,22.01
2007-03-09,47,22.67
2007-03-16,53,22.64
2007-03-23,53,24.24
2007-03-30,58,22.93
2007-04-13,45,22.35
2007-04-20,47,22.17
2007-04-27,53,21.8
2007-05-04,68,21.6
2007-05-11,53,22.75
2007-05-18,43,22.57
2007-05-25,50,21.91
2007-06-01,52,24.57
2007-06-08,74,23.74
2007-06-15,62,23.28
2007-06-22,64,23.86
2007-06-29,75,22.28
2007-07-06,53,21.48
2007-07-13,57,21.38
2007-07-20,56,22.18
2007-07-27,70,21.5
2007-08-03,71,19.99
2007-08-10,48,21.98
2007-08-17,71,20.38
2007-08-24,48,19.69
2007-08-31,65,19.45
2007-09-07,52,19.41
2007-09-14,56,19.08
2007-09-21,78,19.77
2007-09-28,100,19.87
2007-10-05,63,20.57
2007-10-12,76,21.39
2007-10-19,48,20.82
2007-10-26,59,21.16
2007-11-02,68,21.5
2007-11-09,69,20.23
2007-11-16,53,19.47
2007-11-23,51,18.62
2007-11-30,47,20.02
2007-12-07,64,20.01
