"Date","ORCL","Price"
2004-02-06,20,13.42
2004-02-13,20,13.79
2004-02-20,21,13.71
2004-06-18,17,11.14
2004-09-17,27,11.51
2004-09-24,17,11.04
2004-10-01,15,11.9
2004-10-08,15,12.17
2004-10-15,18,12.24
2004-10-22,15,12.31
2004-10-29,16,12.66
2004-11-05,16,13.17
2004-11-12,17,13.39
2004-11-19,18,12.75
2004-11-26,19,12.66
2004-12-03,20,13.03
2004-12-10,20,13.28
2004-12-17,37,13.98
2004-12-31,17,13.72
2005-01-07,17,13.33
2005-01-14,16,13.63
2005-01-21,16,13.31
2005-01-28,18,13.68
2005-02-04,16,13.66
2005-02-11,24,13.35
2005-02-18,23,12.94
2005-02-25,16,13.13
2005-03-04,14,13.28
2005-03-11,14,13.09
2005-03-18,16,12.54
2005-04-01,11,12.53
2005-04-08,27,12.36
2005-04-15,18,11.7
2005-04-22,18,11.92
2005-04-29,21,11.56
2005-05-06,13,11.76
2005-05-13,19,12.36
2005-05-20,22,12.55
2005-05-27,25,12.85
2005-06-03,19,12.59
2005-06-10,20,12.64
2005-06-17,18,12.34
2005-06-24,25,12.5
2005-07-01,62,13.29
2005-07-08,28,13.56
2005-07-15,34,14.04
2005-07-22,28,13.8
2005-07-29,20,13.57
2005-08-05,26,13.28
2005-08-12,20,13.3
2005-08-19,15,13.07
2005-08-26,18,12.9
2005-09-02,21,13.39
2005-09-09,22,13.28
2005-09-16,46,13.25
2005-09-23,43,12.45
2005-09-30,24,12.4
2005-10-07,22,11.98
2005-10-14,24,12.31
2005-10-21,21,12.26
2005-10-28,23,12.71
2005-11-04,20,12.61
2005-11-11,21,12.81
2005-11-18,20,12.62
2005-11-25,21,12.61
2005-12-02,22,12.76
2005-12-09,20,12.5
2005-12-16,39,12.69
2005-12-23,21,12.34
2005-12-30,23,12.21
2006-01-06,27,13.12
2006-01-13,39,12.51
2006-01-20,16,12.29
2006-01-27,27,12.41
2006-02-03,31,12.21
2006-02-10,37,12.69
2006-02-17,29,12.4
2006-02-24,21,12.46
2006-03-03,25,12.79
2006-03-10,19,12.9
2006-03-17,32,13.6
2006-03-24,58,13.79
2006-03-31,31,13.69
2006-04-07,24,13.75
2006-04-21,33,14.28
2006-04-28,49,14.59
2006-05-05,45,14.45
2006-05-12,26,13.98
2006-05-19,23,13.7
2006-05-26,23,14.05
2006-06-02,26,14.15
2006-06-09,22,13.47
2006-06-16,40,14.19
2006-06-23,47,14.9
2006-06-30,33,14.49
2006-07-07,29,14.78
2006-07-14,27,14.29
2006-07-21,26,15.12
2006-07-28,29,15.07
2006-08-04,26,14.62
2006-08-11,26,14.99
2006-08-18,37,15.71
2006-08-25,37,15.41
2006-09-01,27,15.5
2006-09-08,26,15.91
2006-09-15,33,16.33
2006-09-22,100,17.54
2006-09-29,54,17.74
2006-10-06,54,18.19
2006-10-13,54,19.07
2006-10-20,49,18.98
2006-10-27,54,18.1
2006-11-03,44,17.78
2006-11-10,43,18.78
2006-11-17,41,19.46
2006-11-24,35,19.6
2006-12-01,40,18.81
2006-12-08,55,17.8
2006-12-15,38,17.68
2006-12-22,72,17.11
2006-12-29,32,17.14
2007-01-05,34,17.64
2007-01-12,42,17.5
2007-01-19,27,17.27
2007-01-26,39,17.15
2007-02-02,30,17.42
2007-02-09,34,16.7
2007-02-16,37,16.7
2007-02-23,31,16.82
2007-03-02,37,16.71
2007-03-09,32,16.63
2007-03-16,36,16.7
2007-03-23,63,18.24
2007-03-30,32,18.13
2007-04-13,32,18.63
2007-04-20,40,19
2007-04-27,47,19.1
2007-05-04,39,19.03
2007-05-11,34,18.98
2007-05-18,35,19.25
2007-05-25,40,19.24
2007-06-01,35,19.66
2007-06-08,37,19.06
2007-06-15,32,19.86
2007-06-22,35,19.39
2007-06-29,64,19.71
2007-07-06,35,20.4
2007-07-13,44,20.4
2007-07-20,36,20.61
2007-07-27,35,19.62
2007-08-03,31,19.66
2007-08-10,35,19.99
2007-08-17,29,19.35
2007-08-24,30,19.94
2007-08-31,24,20.28
2007-09-07,20,20.16
2007-09-14,26,20.07
2007-09-21,45,21.98
2007-09-28,42,21.65
2007-10-05,36,22.18
2007-10-12,41,22.44
2007-10-19,36,20.75
2007-10-26,32,21.35
2007-11-02,36,22.03
2007-11-09,46,19.36
2007-11-16,41,20.8
2007-11-23,25,20.31
2007-11-30,33,20.18
2007-12-07,36,21.14
2007-12-14,30,21.2
2007-12-21,52,22.71
2007-12-28,38,22.97
2008-01-04,34,22.03
2008-01-11,33,21.1
2008-01-18,41,21.58
2008-01-25,30,20.28
2008-02-01,30,20.68
2008-02-08,25,19.19
2008-02-15,23,19.09
2008-02-22,24,18.9
2008-02-29,21,18.8
2008-03-07,24,19
2008-03-14,32,19.52
2008-03-28,56,19.37
2008-04-04,34,20.35
2008-04-11,30,19.84
2008-04-18,28,21.8
2008-04-25,24,21.59
2008-05-02,29,21.51
2008-05-09,27,21
2008-05-16,20,21.68
2008-05-23,26,21.98
2008-05-30,24,22.84
2008-06-06,24,22.46
2008-06-13,21,22.63
2008-06-20,22,22.1
2008-06-27,45,21.29
2008-07-11,19,20.96
2008-07-18,21,21.18
2008-07-25,23,20.95
