"Date","MU","Price"
2004-02-06,46,16.15
2004-02-13,52,15.73
2004-02-20,52,15.57
2004-02-27,55,15.04
2004-03-05,44,16.31
2004-03-12,56,14.71
2004-03-19,47,15.69
2004-03-26,55,15.91
2004-04-02,49,17.7
2004-04-16,48,15.91
2004-04-23,46,15.54
2004-04-30,50,13.62
2004-05-07,46,14.38
2004-05-14,45,13.86
2004-05-21,46,13.61
2004-05-28,47,15.03
2004-06-04,47,14.52
2004-06-18,48,13.69
2004-06-25,53,14.77
2004-07-02,51,14.68
2004-07-09,51,14.4
2004-07-16,53,13.23
2004-07-23,50,12.99
2004-07-30,57,13.53
2004-08-06,54,12.43
2004-08-13,55,11.11
2004-08-20,56,11.96
2004-08-27,55,11.88
2004-09-03,56,11.23
2004-09-10,58,12.28
2004-09-17,59,12.76
2004-09-24,59,12.4
2004-10-01,59,12.36
2004-10-08,62,12.01
2004-10-15,68,11.38
2004-10-22,63,11.53
2004-10-29,65,12.18
2004-11-05,68,11.88
2004-11-12,71,12.01
2004-11-19,64,11.7
2004-11-26,70,11.4
2004-12-03,70,11.54
2004-12-10,71,11.3
2004-12-17,72,11.31
2004-12-31,85,12.35
2005-01-07,70,11.46
2005-01-14,70,11.21
2005-01-21,69,10.41
2005-01-28,71,10.36
2005-02-04,72,11.1
2005-02-11,67,11.73
2005-02-18,70,11.5
2005-02-25,68,11.68
2005-03-04,68,10.76
2005-03-11,69,10.42
2005-03-18,69,10.29
2005-04-01,76,10.26
2005-04-08,79,10.2
2005-04-15,69,9.52
2005-04-22,66,9.41
2005-04-29,69,9.71
2005-05-06,68,10.13
2005-05-13,65,10.57
2005-05-20,66,10.54
2005-05-27,71,11.07
2005-06-03,69,10.82
2005-06-10,71,10.9
2005-06-17,69,10.83
2005-06-24,73,10.58
2005-07-01,72,10.2
2005-07-08,70,11.42
2005-07-15,71,11.92
2005-07-22,72,11.93
2005-07-29,72,11.88
2005-08-05,76,11.86
2005-08-12,70,11.11
2005-08-19,72,11.15
2005-08-26,70,11.18
2005-09-02,71,11.67
2005-09-09,67,12.49
2005-09-16,63,12.81
2005-09-23,67,12.15
2005-09-30,62,13.3
2005-10-07,65,13.18
2005-10-14,67,12.87
2005-10-21,66,12.67
2005-10-28,64,12.67
2005-11-04,63,13.92
2005-11-11,63,13.65
2005-11-18,62,14.18
2005-11-25,65,14.59
2005-12-02,63,14.37
2005-12-09,62,13.41
2005-12-16,66,13.67
2005-12-23,68,13.65
2005-12-30,75,13.31
2006-01-06,65,14.47
2006-01-13,64,14.51
2006-01-20,62,14.01
2006-01-27,64,14.7
2006-02-03,62,14.89
2006-02-10,64,16.4
2006-02-17,63,16.65
2006-02-24,65,15.88
2006-03-03,63,15.89
2006-03-10,64,14.47
2006-03-17,63,14.77
2006-03-24,60,14.47
2006-03-31,61,14.72
2006-04-07,70,15.25
2006-04-21,68,16.4
2006-04-28,62,16.97
2006-05-05,70,17.05
2006-05-12,64,15.81
2006-05-19,63,15.77
2006-05-26,64,16.37
2006-06-02,67,16.46
2006-06-09,67,15.53
2006-06-16,68,16.35
2006-06-23,67,16.42
2006-06-30,66,15.06
2006-07-07,67,14.86
2006-07-14,63,14.4
2006-07-21,67,14.15
2006-07-28,71,15.82
2006-08-04,70,15.74
2006-08-11,66,15.74
2006-08-18,69,16.55
2006-08-25,68,16.26
2006-09-01,68,17.32
2006-09-08,69,17.88
2006-09-15,68,18.07
2006-09-22,66,17.46
2006-09-29,66,17.4
2006-10-06,69,15.14
2006-10-13,68,15.06
2006-10-20,68,14.27
2006-10-27,69,14.17
2006-11-03,71,13.98
2006-11-10,66,14.01
2006-11-17,73,14.57
2006-11-24,72,14.79
2006-12-01,70,14.47
2006-12-08,68,14.64
2006-12-15,67,13.7
2006-12-22,73,13.94
2006-12-29,80,13.96
2007-01-05,72,13.58
2007-01-12,65,14.23
2007-01-19,66,13.27
2007-01-26,74,13.2
2007-02-02,70,13.16
2007-02-09,71,12.56
2007-02-16,68,12.32
2007-02-23,70,12.38
2007-03-02,67,11.83
2007-03-09,66,11.42
2007-03-16,67,11.44
2007-03-23,65,11.59
2007-03-30,70,12.08
2007-04-13,70,11.26
2007-04-20,67,11.19
2007-04-27,69,11.69
2007-05-04,73,11.91
2007-05-11,69,12.32
2007-05-18,71,11.47
2007-05-25,70,11.97
2007-06-01,70,12.6
2007-06-08,71,12.35
2007-06-15,70,12.58
2007-06-22,65,12.83
2007-06-29,73,12.53
2007-07-06,76,13.45
2007-07-13,77,13.74
2007-07-20,74,13.41
2007-07-27,73,11.87
2007-08-03,72,11.64
2007-08-10,70,12.21
2007-08-17,71,10.99
2007-08-24,72,11.02
2007-08-31,73,11.45
2007-09-07,67,11.4
2007-09-14,72,11
2007-09-21,70,10.73
2007-09-28,66,11.1
2007-10-05,67,10.8
2007-10-12,68,10.49
2007-10-19,65,10.08
2007-10-26,64,9.76
2007-11-02,70,10.47
2007-11-09,65,9.64
2007-11-16,68,9.15
2007-11-23,79,8.37
2007-11-30,80,8.32
2007-12-07,80,9.03
2007-12-14,72,8.37
2007-12-21,76,7.53
2007-12-28,87,7.27
2008-01-04,78,6.4
2008-01-11,72,6.09
2008-01-18,71,6.44
2008-01-25,73,6.53
2008-02-01,72,7.81
2008-02-08,74,6.69
2008-02-15,73,7.13
2008-02-22,73,7.54
2008-02-29,74,7.52
2008-03-07,71,6.88
2008-03-14,73,6.14
2008-03-28,75,5.46
2008-04-04,76,6.76
2008-04-11,74,6.9
2008-04-18,77,7.4
2008-04-25,81,7.68
2008-05-02,82,8.24
2008-05-09,77,8.37
2008-05-16,77,8.84
2008-05-23,84,8.21
2008-05-30,75,8.07
2008-06-06,76,8.29
2008-06-13,75,7.66
2008-06-20,77,7.23
2008-06-27,77,6.1
2008-07-11,77,5.44
2008-07-18,79,5.7
2008-07-25,81,4.97
2008-08-01,83,4.67
2008-08-08,83,5.27
2008-08-15,85,5.39
2008-08-22,82,4.69
2008-08-29,81,4.24
2008-09-05,79,4.36
2008-09-12,78,5.13
2008-09-19,80,4.84
2008-09-26,81,4.65
2008-10-03,79,4.44
2008-10-10,77,3.55
