"Date","WU","Price"
2006-10-06,46,19.57
2006-10-13,42,18.87
2006-10-20,45,19.63
2006-10-27,43,21.95
2006-11-03,43,21.54
2006-11-10,43,22.83
2006-11-17,43,22.68
2006-11-24,40,22.36
2006-12-01,40,22.85
2006-12-08,38,23.85
2006-12-15,41,22.99
2006-12-22,42,21.98
2006-12-29,41,22.42
2007-01-05,44,22.33
2007-01-12,45,22.79
2007-01-19,44,21.41
2007-01-26,43,20.94
2007-02-02,45,23.02
2007-02-09,43,21.8
2007-02-16,44,22.15
2007-02-23,47,21.89
2007-03-02,47,21.08
2007-03-09,46,21.14
2007-03-16,43,21.61
2007-03-23,43,22.34
2007-03-30,47,21.95
2007-04-13,43,22.48
2007-04-20,42,23.26
2007-04-27,42,21.71
2007-05-04,45,21.54
2007-05-11,45,21.48
2007-05-18,44,21.64
2007-05-25,46,22.28
2007-06-01,44,22.49
2007-06-08,47,22.16
2007-06-15,46,22.89
2007-06-22,45,20.97
2007-06-29,45,20.83
2007-07-06,48,20.31
2007-07-13,48,20.66
2007-07-20,47,20.67
2007-07-27,45,20.19
2007-08-03,45,19.51
2007-08-10,44,19.64
2007-08-17,42,18.73
2007-08-24,45,19.85
2007-08-31,42,18.83
2007-09-07,40,19.38
2007-09-14,46,20.13
2007-09-21,43,20.42
2007-09-28,41,20.97
2007-10-05,45,20.88
2007-10-12,44,20.13
2007-10-19,44,18.43
2007-10-26,42,21.82
2007-11-02,41,22.13
2007-11-09,44,22
2007-11-16,45,22.64
2007-11-23,46,21.68
2007-11-30,49,22.6
2007-12-07,48,22.71
2007-12-14,55,23.66
2007-12-21,52,24.1
2007-12-28,52,23.95
2008-01-04,49,21.94
2008-01-11,49,21.34
2008-01-18,47,21.04
2008-01-25,45,20.47
2008-02-01,44,23.04
2008-02-08,46,21.67
2008-02-15,44,21.37
2008-02-22,45,21.44
2008-02-29,43,20.8
2008-03-07,44,21.28
2008-03-14,43,20.62
2008-03-28,43,20.98
2008-04-04,44,20.77
2008-04-11,44,20.28
2008-04-18,45,20.56
2008-04-25,44,23.06
2008-05-02,45,23.35
