"Date","UnitedHealth","Price"
2004-02-06,44,59.62
2004-02-13,44,59.67
2004-02-20,44,61.04
2004-02-27,44,62
2004-03-05,46,63.17
2004-03-12,49,61.82
2004-03-19,52,63.47
2004-03-26,54,62.07
2004-04-02,57,65.12
2004-04-16,73,65.41
2004-04-23,81,65.95
2004-04-30,88,61.48
2004-05-07,47,60.53
2004-05-14,47,62.52
2004-05-21,36,63.2
2004-05-28,36,65.25
2004-06-04,36,64.95
2004-06-18,47,64
2004-08-06,37,61.35
2004-08-13,40,64.9
2004-08-20,43,65.57
2004-08-27,45,65.64
2004-09-03,48,67.04
2004-09-10,35,68.87
2004-09-17,35,69.82
2004-09-24,38,71.33
2004-10-01,43,73.76
2004-10-08,48,73.4
2004-10-15,38,73.35
2004-10-22,33,69.86
2004-10-29,36,72.4
2004-11-05,39,79.48
2004-11-12,40,81.5
2004-11-19,40,81.72
2004-11-26,40,83.88
2004-12-03,40,82.31
2004-12-10,43,84.77
2004-12-17,29,85.36
2004-12-31,31,88.03
2005-01-07,31,87.23
2005-01-14,35,89.56
2005-01-21,39,88.85
2005-01-28,43,88.15
2005-02-04,46,91.77
2005-02-11,30,87.75
2005-02-18,30,89.05
2005-02-25,30,91.39
2005-03-04,44,93.29
2005-03-11,32,90.28
2005-03-18,32,91.25
2005-04-01,38,95.83
2005-04-08,36,98.4
2005-04-15,34,93.27
2005-04-22,35,91.26
2005-04-29,36,94.51
2005-05-06,25,98.41
2005-05-13,29,95.37
2005-05-20,32,96.5
2005-05-27,36,97.77
2005-06-03,31,50.6
2005-06-10,39,50.79
2005-06-17,24,51.85
2005-06-24,34,51.3
2005-07-01,46,52.81
2005-07-08,100,53.05
2005-07-15,51,50.82
2005-07-22,38,50.8
2005-07-29,55,52.3
2005-08-05,36,52.06
2005-08-12,63,52.09
2005-08-19,26,51.18
2005-08-26,26,50.45
2005-09-02,28,52.53
2005-09-09,30,54.51
2005-09-16,33,54.05
2005-09-23,46,55
2005-09-30,50,56.2
2005-10-07,32,56.37
2005-10-14,32,56.43
2005-10-21,25,57.14
2005-10-28,35,56.73
2005-11-04,47,58.02
2005-11-11,33,59.65
2005-11-18,43,60.96
2005-11-25,29,60.16
2005-12-02,27,61.97
2005-12-09,26,63.67
2005-12-16,24,63.14
2005-12-23,33,63.65
2005-12-30,42,62.14
2006-01-06,29,62.9
2006-01-13,33,60.94
2006-01-20,35,59.48
2006-01-27,32,58.54
2006-02-03,37,59.62
2006-02-10,36,58.6
2006-02-17,22,58
2006-02-24,25,58.89
2006-03-03,31,56.6
2006-03-10,33,56.17
2006-03-17,31,56.69
2006-03-24,22,55.78
2006-03-31,25,55.86
2006-04-07,20,53.69
2006-04-21,56,49.57
2006-04-28,35,49.74
2006-05-05,53,46.39
2006-05-12,44,45.84
2006-05-19,30,44.42
2006-05-26,18,43.12
2006-06-02,31,46.98
2006-06-09,29,45.77
2006-06-16,38,44.29
2006-06-23,43,45.23
2006-06-30,35,44.78
2006-07-07,27,45.39
2006-07-14,36,47.55
2006-07-21,41,50
2006-07-28,47,47.85
2006-08-04,40,48.56
2006-08-11,31,47.57
2006-08-18,35,49.5
2006-08-25,30,50.88
2006-09-01,31,51.8
2006-09-08,29,50.9
2006-09-15,34,52.21
2006-09-22,33,48.97
2006-09-29,25,49.2
2006-10-06,19,51.5
2006-10-13,37,48.75
2006-10-20,89,50.7
2006-10-27,39,49.41
2006-11-03,57,47.83
2006-11-10,43,46.11
2006-11-17,41,47.25
2006-11-24,22,46.71
2006-12-01,25,48.83
2006-12-08,40,49.91
2006-12-15,35,50.09
2006-12-22,26,53.45
2006-12-29,34,53.73
2007-01-05,26,52.55
2007-01-12,26,55.1
2007-01-19,38,53.2
2007-01-26,38,51.54
2007-02-02,48,52.91
2007-02-09,32,50.88
2007-02-16,33,53.95
2007-02-23,27,53.03
2007-03-02,38,54.18
2007-03-09,30,53
2007-03-16,39,53.13
2007-03-23,30,56.51
2007-03-30,28,52.97
2007-04-13,24,52.95
2007-04-20,39,53.2
2007-04-27,33,53.15
2007-05-04,35,53.57
2007-05-11,33,53.59
2007-05-18,34,53.47
2007-05-25,45,54.41
2007-06-01,27,55.21
2007-06-08,30,53.67
2007-06-15,35,52.9
2007-06-22,31,51.3
2007-06-29,25,51.14
2007-07-06,32,53.02
2007-07-13,28,52.98
2007-07-20,34,51.32
2007-07-27,33,49.13
2007-08-03,26,47.5
2007-08-10,21,47.48
2007-08-17,21,49.8
2007-08-24,30,49.61
2007-08-31,28,50.01
2007-09-07,30,49.19
2007-09-14,35,49.91
2007-09-21,33,49.91
2007-09-28,28,48.43
2007-10-05,29,47.7
2007-10-12,30,49.69
2007-10-19,32,47.45
2007-10-26,35,47.99
2007-11-02,39,48.94
2007-11-09,29,51.67
2007-11-16,25,53.42
2007-11-23,19,54.07
2007-11-30,27,55
2007-12-07,38,56.65
2007-12-14,24,56.73
2007-12-21,35,58.99
2007-12-28,26,58.28
2008-01-04,36,56
2008-01-11,37,55.91
2008-01-18,32,54.4
2008-01-25,30,50
2008-02-01,34,50.1
2008-02-08,28,48.2
2008-02-15,34,47.74
2008-02-22,36,47.36
2008-02-29,24,46.48
2008-03-07,35,45.21
2008-03-14,24,37.19
2008-03-28,28,34.4
2008-04-04,39,36.5
2008-04-11,27,35.87
2008-04-18,25,37.25
2008-04-25,43,33.99
2008-05-02,29,33.47
2008-05-09,26,32.94
2008-05-16,26,32.32
2008-05-23,26,34.75
2008-05-30,26,34.21
2008-06-06,32,33.03
2008-06-13,21,30.74
2008-06-20,32,27.12
2008-06-27,23,26.01
2008-07-11,24,22.16
2008-07-18,26,23.9
2008-07-25,25,27.45
2008-08-01,19,28.13
2008-08-08,21,31
2008-08-15,16,33.01
2008-08-22,30,30.61
2008-08-29,26,30.45
2008-09-05,16,27.71
2008-09-12,18,29.61
2008-09-19,21,26.79
2008-09-26,17,25.81
2008-10-03,24,24.11
2008-10-10,20,17.35
2008-10-17,25,24.39
2008-10-24,23,22.91
2008-10-31,26,23.73
2008-11-07,27,22.43
2008-11-14,16,20.02
2008-11-21,24,17.15
2008-11-28,23,21.01
2008-12-05,27,21.41
2008-12-12,23,23.54
2008-12-19,21,26.49
2008-12-26,11,26.3
2009-01-02,21,27.59
2009-01-09,25,26.45
2009-01-16,40,25.5
2009-01-23,38,28.04
2009-01-30,35,28.33
2009-02-06,29,28.94
2009-02-13,20,28.96
2009-02-20,27,27.98
