"Date","AT.T","Price"
2004-02-06,80,26.02
2004-02-13,67,25.05
2004-02-20,65,23.88
2004-02-27,66,24.01
2004-03-05,67,25.02
2004-03-12,66,24.36
2004-03-19,65,24.62
2004-03-26,64,23.92
2004-04-02,67,24.87
2004-04-16,65,24.17
2004-04-23,66,25.42
2004-04-30,67,24.9
2004-05-07,66,24.74
2004-05-14,64,24.5
2004-05-21,67,24.33
2004-05-28,64,23.7
2004-06-04,62,23.93
2004-06-18,64,24.6
2004-06-25,66,23.8
2004-07-02,64,24.11
2004-07-09,62,23.59
2004-07-16,66,23.1
2004-07-23,66,24.22
2004-07-30,67,25.34
2004-08-06,67,24.85
2004-08-13,67,25.06
2004-08-20,67,25.57
2004-08-27,65,25.84
2004-09-03,67,26.2
2004-09-10,65,26.57
2004-09-17,66,26.48
2004-09-24,64,26.05
2004-10-01,66,26.32
2004-10-08,68,26.83
2004-10-15,65,26.68
2004-10-22,65,25.24
2004-10-29,66,25.26
2004-11-05,66,26.25
2004-11-12,66,26.67
2004-11-19,67,25.89
2004-11-26,61,25.48
2004-12-03,66,25.81
2004-12-10,68,25.31
2004-12-17,63,25.7
2004-12-31,60,25.77
2005-01-07,67,25.08
2005-01-14,66,24.41
2005-01-21,67,24.58
2005-01-28,65,23.62
2005-02-04,66,24.6
2005-02-11,69,24.26
2005-02-18,68,24.18
2005-02-25,67,24.21
2005-03-04,68,24.49
2005-03-11,68,24
2005-03-18,66,23.35
2005-04-01,64,23.66
2005-04-08,67,23.75
2005-04-15,67,23
2005-04-22,67,23.2
2005-04-29,68,23.8
2005-05-06,69,23.62
2005-05-13,66,23.08
2005-05-20,67,23.63
2005-05-27,65,23.67
2005-06-03,64,23.34
2005-06-10,65,23.63
2005-06-17,68,24.02
2005-06-24,68,23.5
2005-07-01,66,23.93
2005-07-08,67,23.57
2005-07-15,68,24.12
2005-07-22,68,23.72
2005-07-29,68,24.45
2005-08-05,68,24.61
2005-08-12,68,24.46
2005-08-19,69,24.14
2005-08-26,65,23.71
2005-09-02,66,23.87
2005-09-09,64,24.05
2005-09-16,67,24.23
2005-09-23,69,23.77
2005-09-30,67,23.97
2005-10-07,67,22.75
2005-10-14,68,22.2
2005-10-21,69,23
2005-10-28,67,23.89
2005-11-04,68,23.66
2005-11-11,69,23.95
2005-11-18,69,24.38
2005-11-25,63,24.77
2005-12-02,68,25.07
2005-12-09,67,24.9
2005-12-16,66,24.96
2005-12-23,63,24.63
2005-12-30,64,24.49
2006-01-06,68,24.93
2006-01-13,69,24.99
2006-01-20,71,24.71
2006-01-27,73,25.89
2006-02-03,73,26.79
2006-02-10,73,27.48
2006-02-17,73,28.28
2006-02-24,80,27.57
2006-03-03,78,27.99
2006-03-10,74,27.23
2006-03-17,73,27
2006-03-24,73,27.37
