"Date","buy.WalMart","Price"
2004-02-06,9,57.58
2004-02-13,6,56.32
2004-02-20,6,59.43
2004-02-27,6,59.56
2004-03-05,5,60.24
2004-03-12,6,58.48
2004-03-19,7,58.6
2004-03-26,5,59.41
2004-04-02,7,58.6
2004-04-16,5,58.44
2004-04-23,6,58.97
2004-04-30,6,57
2004-05-07,5,53.9
2004-05-14,5,55.06
2004-05-21,5,55.09
2004-05-28,6,55.73
2004-06-04,6,56.59
2004-06-18,7,55.62
2004-06-25,6,52.51
2004-07-02,6,51.93
2004-07-09,6,51.76
2004-07-16,7,52.65
2004-07-23,7,53.16
2004-07-30,8,53.01
2004-08-06,9,51.33
2004-08-13,7,53.4
2004-08-20,7,54.65
2004-08-27,7,53.56
2004-09-03,7,53.25
2004-09-10,7,53.45
2004-09-17,7,52.48
2004-09-24,8,52.81
2004-10-01,6,53.13
2004-10-08,6,52.85
2004-10-15,7,52.53
2004-10-22,7,51.99
2004-10-29,5,53.92
2004-11-05,8,56.47
2004-11-12,10,56.85
2004-11-19,12,55.25
2004-11-26,18,55.32
2004-12-03,16,52.93
2004-12-10,15,52.71
2004-12-17,20,52.02
2004-12-31,14,52.82
2005-01-07,9,53.99
2005-01-14,7,53.99
2005-01-21,9,53.01
2005-01-28,8,52.43
2005-02-04,8,53.46
2005-02-11,7,52.1
2005-02-18,8,52.72
2005-02-25,7,51.49
2005-03-04,7,53.1
2005-03-11,6,51.6
2005-03-18,8,51.45
2005-04-01,6,48.99
2005-04-08,8,48.57
2005-04-15,7,47.7
2005-04-22,7,46.81
2005-04-29,6,47.14
2005-05-06,8,48.96
2005-05-13,7,47.13
2005-05-20,7,47.18
2005-05-27,7,47.27
2005-06-03,7,47.35
2005-06-10,7,47.98
2005-06-17,9,48.93
2005-06-24,8,47.37
2005-07-01,8,48.28
2005-07-08,8,49.9
2005-07-15,9,50.25
2005-07-22,8,49.54
2005-07-29,9,49.35
2005-08-05,8,49.32
2005-08-12,9,48.7
2005-08-19,9,46.58
2005-08-26,9,45.7
2005-09-02,6,44.55
2005-09-09,8,45.89
2005-09-16,8,43.87
2005-09-23,8,43.2
2005-09-30,7,43.82
2005-10-07,8,44.03
2005-10-14,8,45.04
2005-10-21,8,45.72
2005-10-28,8,45.5
2005-11-04,10,47.69
2005-11-11,10,49
2005-11-18,13,49.5
2005-11-25,29,50.49
2005-12-02,20,47.97
2005-12-09,21,48.08
2005-12-16,23,49.27
2005-12-23,24,48.34
2005-12-30,19,46.8
2006-01-06,14,45.88
2006-01-13,10,45.4
2006-01-20,8,45
2006-01-27,9,45.84
2006-02-03,10,45.49
2006-02-10,9,45.75
2006-02-17,10,46.1
2006-02-24,10,45.45
2006-03-03,9,45.33
2006-03-10,8,45.33
2006-03-17,8,46.69
2006-03-24,10,48.19
2006-03-31,9,47.24
2006-04-07,9,46.02
2006-04-21,9,45.82
2006-04-28,8,45.03
2006-05-05,10,47.25
2006-05-12,8,46.54
2006-05-19,9,47.32
2006-05-26,9,49.65
2006-06-02,10,47.83
2006-06-09,9,47.13
2006-06-16,9,48.31
2006-06-23,9,47.94
2006-06-30,9,48.17
2006-07-07,10,46
2006-07-14,9,43.05
2006-07-21,11,43.72
2006-07-28,11,44.46
2006-08-04,12,44.87
2006-08-11,11,44.69
2006-08-18,10,44.49
2006-08-25,10,43.88
2006-09-01,10,45.45
2006-09-08,10,46.72
2006-09-15,10,48.22
2006-09-22,10,48.29
2006-09-29,10,49.32
2006-10-06,10,48.32
2006-10-13,12,48.46
2006-10-20,11,49.37
2006-10-27,11,50.73
2006-11-03,13,47.53
2006-11-10,15,46.47
2006-11-17,22,47.5
2006-11-24,37,47.9
2006-12-01,28,45.87
2006-12-08,29,46.35
2006-12-15,31,46.45
2006-12-22,35,45.54
2006-12-29,30,46.18
2007-01-05,17,47.39
2007-01-12,13,47.98
2007-01-19,12,48.31
2007-01-26,12,47.67
2007-02-02,12,48.08
2007-02-09,13,47.97
2007-02-16,13,48.48
2007-02-23,12,49.57
2007-03-02,10,47.81
2007-03-09,10,47.42
2007-03-16,10,46.21
2007-03-23,9,47.91
2007-03-30,9,46.95
2007-04-13,10,47.41
2007-04-20,10,49.76
2007-04-27,9,48.34
2007-05-04,10,48.27
2007-05-11,10,47.78
2007-05-18,10,47.27
2007-05-25,10,46.91
2007-06-01,11,49.47
2007-06-08,12,50.08
2007-06-15,13,49.34
2007-06-22,11,47.83
2007-06-29,11,48.11
2007-07-06,12,48.39
2007-07-13,13,49.15
2007-07-20,13,48.06
2007-07-27,13,45.94
2007-08-03,13,45.52
2007-08-10,14,46.07
2007-08-17,14,43.49
2007-08-24,14,43.74
2007-08-31,13,43.63
2007-09-07,12,42.39
2007-09-14,12,43.32
2007-09-21,12,44.23
2007-09-28,13,43.65
2007-10-05,13,45.37
2007-10-12,14,47.06
2007-10-19,13,44.98
2007-10-26,14,44.64
2007-11-02,15,44.19
2007-11-09,18,42.9
2007-11-16,20,46.34
2007-11-23,49,45.73
2007-11-30,37,47.9
2007-12-07,37,49.02
2007-12-14,34,47.63
2007-12-21,37,48.21
2007-12-28,35,48.08
2008-01-04,22,45.72
2008-01-11,16,47.72
2008-01-18,15,47.58
2008-01-25,15,48.09
2008-02-01,15,51.18
2008-02-08,16,48.76
2008-02-15,15,49.44
2008-02-22,15,49.97
2008-02-29,13,49.59
2008-03-07,13,49.9
2008-03-14,13,49.82
2008-03-28,13,52.12
2008-04-04,12,54.4
2008-04-11,12,54.8
2008-04-18,12,56.31
2008-04-25,12,57.65
2008-05-02,14,57.5
2008-05-09,14,57.18
2008-05-16,13,57.04
2008-05-23,15,55.75
2008-05-30,14,57.74
2008-06-06,17,58.37
2008-06-13,19,59.18
2008-06-20,17,56.26
2008-06-27,16,56.3
2008-07-11,17,56.29
2008-07-18,18,57.92
2008-07-25,18,56.83
2008-08-01,18,57.75
2008-08-08,17,57.86
2008-08-15,18,59.37
2008-08-22,17,59.44
2008-08-29,18,59.07
2008-09-05,17,60.74
2008-09-12,16,62.41
2008-09-19,17,59.7
2008-09-26,15,60.71
2008-10-03,16,59.73
2008-10-10,15,50.95
2008-10-17,16,53.77
2008-10-24,15,51.4
2008-10-31,17,55.81
2008-11-07,20,54.39
2008-11-14,25,52.71
2008-11-21,27,52.92
2008-11-28,60,55.88
2008-12-05,43,58.21
2008-12-12,42,54.63
2008-12-19,47,55.74
2008-12-26,57,55.35
2009-01-02,40,57.18
2009-01-09,25,51.58
2009-01-16,23,51.56
2009-01-23,22,48.35
2009-01-30,22,47.12
2009-02-06,21,49.63
2009-02-13,20,46.53
2009-02-20,20,50.02
2009-02-27,19,49.24
2009-03-06,18,48.91
2009-03-13,16,49.19
2009-03-20,16,49.59
2009-03-27,16,52.57
2009-04-03,16,53.8
2009-04-17,16,50.2
2009-04-24,15,47.87
2009-05-01,15,50.05
2009-05-08,17,50.14
2009-05-15,16,48.15
2009-05-22,15,49.25
2009-05-29,16,49.74
2009-06-05,16,51.07
2009-06-12,18,49.84
2009-06-19,20,48.17
2009-06-26,17,48.63
2009-07-10,17,47.57
2009-07-17,18,48.49
2009-07-24,19,48.94
2009-07-31,19,49.88
2009-08-07,19,49.29
2009-08-14,20,51.79
2009-08-21,19,51.36
2009-08-28,18,51.13
2009-09-04,18,51.68
2009-09-11,19,50.72
2009-09-18,17,50.11
2009-09-25,17,49.47
2009-10-02,16,49.08
2009-10-09,17,49.97
2009-10-16,17,51.22
2009-10-23,18,50.44
2009-10-30,18,49.68
2009-11-06,20,51.25
2009-11-13,24,53.2
2009-11-20,31,54.28
2009-11-27,69,54.63
2009-12-04,43,54.24
2009-12-11,38,54.65
2009-12-18,45,52.85
2010-01-08,23,53.33
2010-01-15,20,53.68
2010-01-22,19,52.94
2010-01-29,19,53.43
2010-02-05,22,53.45
2010-02-12,22,52.9
2010-02-19,20,53.49
2010-02-26,20,54.07
2010-03-05,19,54.14
2010-03-12,18,53.9
2010-03-19,18,55.34
2010-03-26,17,55.51
2010-04-09,17,55.07
2010-04-16,16,54.11
2010-04-23,17,54.53
2010-04-30,16,53.64
2010-05-07,16,52.4
2010-05-14,16,52.12
2010-05-21,16,51.37
2010-05-28,18,50.56
2010-06-04,19,50.4
2010-06-11,18,50.86
2010-06-18,19,51.55
2010-06-25,19,48.8
2010-07-02,19,48
2010-07-09,19,49.43
2010-07-16,20,49.67
2010-07-23,19,51.67
2010-07-30,19,51.19
2010-08-06,21,51.79
2010-08-13,21,50.4
2010-08-20,21,50.22
2010-08-27,18,51
2010-09-03,18,52.04
2010-09-10,19,51.97
2010-09-17,19,53.01
2010-09-24,18,54.08
2010-10-01,18,53.36
2010-10-08,17,54.41
2010-10-15,16,53.35
2010-10-22,18,54.06
2010-10-29,19,54.17
2010-11-05,21,55.2
2010-11-12,26,54.13
2010-11-19,32,54.39
2010-11-26,79,53.74
2010-12-03,47,54.62
2010-12-10,39,54.28
2010-12-17,44,54.41
2010-12-31,41,53.93
2011-01-07,25,54.08
2011-01-14,21,54.81
2011-01-21,21,55.73
2011-01-28,21,56.7
2011-02-04,21,56.03
2011-02-11,21,55.69
2011-02-18,20,55.38
2011-02-25,19,51.75
2011-03-04,18,52.07
2011-03-11,19,52.59
2011-03-18,18,51.52
2011-03-25,18,52.35
2011-04-01,19,52.13
2011-04-08,18,52.54
2011-04-15,18,53.55
2011-04-29,18,54.98
2011-05-06,18,55.02
2011-05-13,17,55.72
2011-05-20,17,55.29
2011-05-27,18,54.7
2011-06-03,19,53.66
2011-06-10,18,52.72
2011-06-17,19,52.82
2011-06-24,19,52.41
2011-07-01,19,53.51
2011-07-08,19,54.08
2011-07-15,19,53.63
2011-07-22,19,54.52
2011-07-29,20,52.71
2011-08-05,21,50.85
2011-08-12,20,49.75
2011-08-19,21,52.3
2011-08-26,22,52.9
2011-09-02,19,52.03
2011-09-09,18,51.36
2011-09-16,18,52.65
2011-09-23,18,50.8
2011-09-30,17,51.9
2011-10-07,17,53.7
2011-10-14,17,55.46
2011-10-21,18,56.92
2011-10-28,19,57.15
2011-11-04,20,57.5
2011-11-11,27,59.2
2011-11-18,35,57.23
2011-11-25,98,56.89
2011-12-02,50,58.09
2011-12-09,37,58.32
2011-12-16,40,58.27
2011-12-23,49,59.99
2011-12-30,43,59.76
2012-01-06,26,59
2012-01-13,22,59.54
2012-01-20,21,61.01
2012-01-27,20,60.71
2012-02-03,22,62.03
2012-02-10,23,61.9
2012-02-17,22,62.48
2012-02-24,21,58.79
2012-03-02,20,59.01
2012-03-09,20,60.08
2012-03-16,20,60.84
2012-03-23,18,60.75
2012-03-30,19,61.2
2012-04-13,18,59.77
2012-04-20,17,62.45
2012-04-27,18,59.03
2012-05-04,18,58.7
2012-05-11,18,59.42
2012-05-18,17,62.43
2012-05-25,18,65.31
2012-06-01,19,65.55
2012-06-08,19,68.22
2012-06-15,20,67.75
2012-06-22,20,67.3
2012-06-29,20,69.72
2012-07-06,21,71.36
2012-07-13,20,73.18
2012-07-20,21,72.25
2012-07-27,21,74.52
2012-08-03,21,74.55
2012-08-10,21,73.68
2012-08-17,22,71.99
2012-08-24,22,72.11
2012-08-31,21,72.6
2012-09-07,21,73.82
2012-09-14,20,74.5
2012-09-21,21,74.45
2012-09-28,21,73.8
2012-10-05,20,75.13
2012-10-12,19,75.81
2012-10-19,20,75.62
2012-10-26,21,75.11
2012-11-02,21,72.77
2012-11-09,26,72.31
2012-11-16,39,68.03
2012-11-23,100,70.2
2012-11-30,52,72.02
2012-12-07,37,72.29
2012-12-14,43,68.75
2012-12-21,51,68.65
2012-12-28,54,67.61
2013-01-04,31,69.06
2013-01-11,23,68.63
2013-01-18,21,69.2
2013-01-25,21,69
2013-02-01,21,70.49
2013-02-08,21,71.48
2013-02-15,22,69.3
2013-02-22,22,70.4
2013-03-01,21,71.74
2013-03-08,21,73.03
2013-03-15,19,72.5
2013-03-22,20,74.28
2013-04-05,20,76.39
2013-04-12,18,78.56
2013-04-19,18,78.29
2013-04-26,18,79.04
2013-05-03,18,79.25
2013-05-10,19,78.89
2013-05-17,17,77.87
2013-05-24,18,77.31
2013-05-31,19,74.84
2013-06-07,20,76.33
2013-06-14,20,74.87
2013-06-21,19,73.51
2013-06-28,20,74.49
2013-07-05,21,75.21
2013-07-12,21,77.63
2013-07-19,21,78.08
2013-07-26,20,78
2013-08-02,21,78.75
2013-08-09,21,76.9
2013-08-16,21,74.11
2013-08-23,21,73.44
2013-08-30,20,72.98
2013-09-06,20,72.59
2013-09-13,20,74.36
2013-09-20,21,75.83
2013-09-27,18,74.36
2013-10-04,18,72.8
2013-10-11,19,74.82
2013-10-18,19,75.71
2013-10-25,19,76.08
2013-11-01,21,77.07
2013-11-08,23,77.96
2013-11-15,37,79.22
2013-11-22,43,79.81
2013-11-29,92,81.01
2013-12-06,53,79.94
2013-12-13,40,78.08
2013-12-20,46,77.43
2013-12-27,52,78.47
2014-01-03,30,78.65
2014-01-10,21,78.04
2014-01-17,20,76.19
2014-01-24,19,74.42
2014-01-31,19,74.68
2014-02-07,18,73.75
2014-02-14,22,75.79
2014-02-21,21,73.12
2014-02-28,20,74.7
2014-03-07,20,74.58
2014-03-14,19,74.28
2014-03-21,19,76.1
2014-03-28,18,76.01
2014-04-04,17,77.31
