"Date","Procter...Gamble","Price"
2004-02-06,63,102.36
2004-02-13,73,102.05
2004-02-20,71,102.5
2004-02-27,68,102.51
2004-03-05,67,101.76
2004-03-12,66,104.12
2004-03-19,72,104.03
2004-03-26,50,103.95
2004-04-02,62,106.11
2004-04-16,70,105.97
2004-04-23,68,104.99
2004-04-30,73,105.79
2004-05-07,72,106.72
2004-05-14,64,106.41
2004-05-21,62,106.91
2004-05-28,65,107.82
2004-06-04,64,107.87
2004-06-18,53,110.19
2004-06-25,67,54.75
2004-07-02,51,54.33
2004-07-09,56,54.72
2004-07-16,59,55.1
2004-07-23,57,52.49
2004-07-30,59,52.15
2004-08-06,58,52.99
2004-08-13,64,54.46
2004-08-20,62,54.85
2004-08-27,62,55.98
2004-09-03,56,56.55
2004-09-10,61,56.18
2004-09-17,66,56.26
2004-09-24,74,54.08
2004-10-01,65,54.66
2004-10-08,74,53.45
2004-10-15,75,53.69
2004-10-22,67,53.05
2004-10-29,58,51.18
2004-11-05,61,53.52
2004-11-12,75,54.6
2004-11-19,66,54.32
2004-11-26,64,53.64
2004-12-03,63,55.39
2004-12-10,60,56.44
2004-12-17,57,55.44
2004-12-31,50,55.08
2005-01-07,54,55.92
2005-01-14,64,55.88
2005-01-21,56,55.65
2005-01-28,100,54.15
2005-02-04,91,52.62
2005-02-11,75,52.15
2005-02-18,70,53.5
2005-02-25,66,54.19
2005-03-04,68,53.85
2005-03-11,67,52.51
2005-03-18,64,53.4
2005-04-01,58,52.61
2005-04-08,58,54.5
2005-04-15,67,54.8
2005-04-22,67,53.89
2005-04-29,61,54.15
2005-05-06,58,54.75
2005-05-13,60,54.75
2005-05-20,55,56.48
2005-05-27,61,55.76
2005-06-03,51,55.27
2005-06-10,47,54.75
2005-06-17,56,54.42
2005-06-24,49,52.82
2005-07-01,50,52.9
2005-07-08,50,52.96
2005-07-15,55,54.5
2005-07-22,55,54.99
2005-07-29,52,55.63
2005-08-05,58,54.1
2005-08-12,52,53.55
2005-08-19,45,54.54
2005-08-26,46,54.96
2005-09-02,54,55.99
2005-09-09,55,56.9
2005-09-16,54,55.95
2005-09-23,61,56.74
2005-09-30,59,59.46
2005-10-07,60,56.04
2005-10-14,57,56.11
2005-10-21,60,54.81
2005-10-28,56,55.92
2005-11-04,56,55.92
2005-11-11,56,56.37
2005-11-18,58,57.45
2005-11-25,52,57.28
2005-12-02,56,57.36
2005-12-09,53,57.33
2005-12-16,47,58.11
2005-12-23,41,58.88
2005-12-30,32,57.88
2006-01-06,53,58.64
2006-01-13,48,58.9
2006-01-20,54,57.84
2006-01-27,54,59.74
2006-02-03,56,59.68
2006-02-10,53,59.7
2006-02-17,51,61
2006-02-24,58,61.5
2006-03-03,55,59.67
2006-03-10,55,62.25
2006-03-17,54,59.1
2006-03-24,54,58.74
2006-03-31,51,57.63
2006-04-07,51,57.28
2006-04-21,48,56.34
2006-04-28,52,58.21
2006-05-05,53,55.73
2006-05-12,50,55.01
2006-05-19,47,54.15
2006-05-26,51,55.13
2006-06-02,47,53.95
2006-06-09,49,54.45
2006-06-16,45,55.02
2006-06-23,43,55.73
2006-06-30,43,55.6
2006-07-07,40,56.5
2006-07-14,47,55.66
2006-07-21,43,56.07
2006-07-28,46,56.81
2006-08-04,51,59.45
2006-08-11,45,60.26
2006-08-18,44,60.39
2006-08-25,45,60.87
2006-09-01,45,61.91
2006-09-08,46,61.14
2006-09-15,48,60.9
2006-09-22,50,61.81
2006-09-29,49,61.98
2006-10-06,53,63.09
2006-10-13,51,62.13
2006-10-20,46,62.68
2006-10-27,49,63.56
2006-11-03,49,63.4
2006-11-10,50,63.7
2006-11-17,46,63.86
