"Date","sell.Johnson...Johnson","Price"
2008-08-15,43,71.33
2008-08-22,44,71.42
2008-08-29,44,70.43
2008-09-05,41,70.67
2008-09-12,41,70.59
2008-09-19,41,69.99
2008-11-14,38,60.05
2009-01-09,34,59.05
2009-01-16,33,57.44
2009-01-23,42,55.97
2009-03-27,31,52.83
2009-04-03,31,52.15
2009-04-17,31,53.05
2009-04-24,31,50.92
2009-05-01,31,52.59
2009-06-19,36,56.09
2009-07-31,34,60.89
2009-09-18,36,60.78
2009-09-25,31,60.62
2009-10-02,44,59.73
2009-10-09,41,61.74
2009-10-16,34,60.46
2009-10-23,34,60.54
2009-10-30,34,59.05
2009-11-06,31,60.3
2009-11-13,28,61.43
2009-11-20,28,62.31
2009-11-27,28,62.89
2009-12-04,28,64.36
2009-12-11,38,64.85
2009-12-18,47,64.37
2010-01-08,25,64.21
2010-01-15,29,64.56
2010-01-22,24,63.2
2010-01-29,24,62.86
2010-02-05,24,62.64
2010-02-12,31,62.72
2010-02-19,24,63.81
2010-02-26,25,63
2010-03-05,26,64.04
2010-03-12,27,64.18
2010-03-19,28,65.11
2010-03-26,28,64.38
2010-04-09,37,65.14
2010-04-16,47,65.02
2010-04-23,31,65.04
2010-04-30,31,64.3
2010-05-07,26,63.31
2010-05-14,39,63.97
2010-05-21,24,60.88
2010-05-28,24,58.3
2010-06-04,24,58.01
2010-06-11,24,58.46
2010-06-18,25,59.18
2010-06-25,25,58.7
2010-07-02,25,59.08
2010-07-09,23,60.54
2010-07-16,26,59.44
2010-07-23,28,57.63
2010-07-30,32,58.09
2010-08-06,32,59.96
2010-08-13,39,58.15
2010-08-20,31,58.74
2010-08-27,31,57.6
2010-09-03,34,58.93
2010-09-10,22,59.98
2010-09-17,32,61.57
2010-09-24,38,62.14
2010-10-01,25,61.75
2010-10-08,27,63.23
2010-10-15,29,63.57
2010-10-22,42,63.81
2010-10-29,28,63.74
2010-11-05,28,64.65
2010-11-12,28,63.67
2010-11-19,20,63.83
2010-11-26,25,62.3
2010-12-03,33,62.56
2010-12-10,21,61.91
2010-12-17,21,62.54
