"Date","sell.Disney","Price"
2006-12-15,77,34.3
2007-02-09,68,34.36
2007-02-16,69,34.89
2007-02-23,61,35.14
2007-03-02,61,33.95
2007-03-09,61,34.37
2007-03-16,67,33.61
2007-03-23,72,34.99
2007-03-30,77,34.43
2007-06-29,54,34.14
2007-07-06,55,34.49
2007-07-13,55,34.37
2007-07-20,56,34.34
2007-11-16,40,32.53
2007-11-23,47,31.84
2007-11-30,53,33.15
2007-12-07,48,32.79
2007-12-14,53,33.01
2007-12-21,57,32.94
2007-12-28,61,32.42
2008-01-04,66,31.13
2008-01-11,54,30.32
2008-01-18,54,28.51
2008-01-25,45,28.68
2008-02-01,45,30.66
2008-02-08,46,32.12
2008-02-15,53,32.49
2008-02-22,40,32.57
2008-02-29,50,32.41
2008-03-07,59,30.76
2008-03-14,39,30.78
2008-03-28,42,31
2008-04-04,43,31.24
2008-04-11,47,30.18
2008-04-18,51,31.33
2008-04-25,55,32.36
2008-05-02,40,33.49
2008-05-09,47,34.3
2008-05-16,46,34.91
2008-05-23,38,33.23
2008-05-30,38,33.6
2008-06-06,41,33.01
2008-06-13,43,33.93
2008-06-20,45,31.94
2008-06-27,48,31.57
2008-07-11,51,29.2
2008-07-18,48,30.9
2008-07-25,52,31.1
2008-08-01,78,30.08
2008-08-08,56,32.03
2008-08-15,39,32.5
2008-08-22,39,32.2
2008-08-29,64,32.35
2008-09-05,57,31.36
2008-09-12,57,33.26
2008-09-19,49,34.39
2008-09-26,49,32.75
2008-10-03,49,29.54
2008-10-10,51,23.04
2008-10-17,38,24.75
2008-10-24,38,22.61
2008-10-31,38,25.91
2008-11-07,38,23.36
2008-11-14,59,21.08
2008-11-21,39,21.12
2008-11-28,49,22.52
2008-12-05,33,22.77
2008-12-12,33,22.61
2008-12-19,41,22.43
2008-12-26,48,22.18
2009-01-02,39,23.92
2009-01-09,60,22.31
2009-01-16,43,21.46
2009-01-23,76,20.61
2009-01-30,34,20.68
2009-02-06,51,19.45
2009-02-13,52,18.52
2009-02-20,54,17.53
2009-02-27,51,16.77
2009-03-06,47,15.83
2009-03-13,53,17.13
