"Date","buy.Caterpillar","Price"
2008-04-04,82,77.83
2008-05-16,97,83.7
2008-06-27,100,73.75
2008-09-12,89,65.46
2008-09-19,72,66.49
2008-09-26,72,64.13
2008-10-03,72,51.21
2008-10-10,72,43.13
2008-10-17,62,39.32
2008-10-24,62,33.3
2008-10-31,62,38.2
2008-12-12,69,42.08
2009-01-23,70,35.66
2009-03-20,87,27.07
2009-03-27,84,30.35
2009-04-03,84,32.15
2009-04-17,76,32.29
2009-07-10,63,30.53
2009-07-17,66,33.99
2009-07-24,70,42
2009-07-31,73,44.06
2009-08-07,60,47.78
2009-08-14,60,46
2009-08-21,60,47.3
2009-10-09,75,53.64
2009-10-16,68,54.57
2009-10-23,68,57.6
2009-10-30,56,55.06
2009-11-06,56,57.6
2009-11-13,56,58.78
2009-11-20,56,57.95
2009-11-27,52,57.45
2009-12-04,52,58.3
2009-12-11,52,57.51
2009-12-18,52,57.19
2010-01-08,50,60.34
2010-01-15,77,60.12
2010-01-22,62,54.25
2010-01-29,61,52.24
2010-02-05,61,51.75
2010-02-12,50,56.2
2010-02-19,50,58.25
2010-02-26,50,57.05
2010-03-05,50,59.23
2010-03-12,51,60.36
2010-03-19,51,59.37
2010-03-26,75,62.44
2010-04-09,60,65.27
2010-04-16,60,66.88
2010-04-23,83,68.78
2010-04-30,61,68.09
2010-05-07,62,62.1
2010-05-14,62,64.88
2010-05-21,49,60.09
2010-05-28,49,60.76
2010-06-04,49,57.76
2010-06-11,67,60.23
2010-06-18,48,65.85
2010-06-25,48,64.71
2010-07-02,48,59.18
2010-07-09,64,64.72
2010-07-16,55,63.94
2010-07-23,55,69.31
2010-07-30,59,69.75
2010-08-06,50,71.56
2010-08-13,58,68.01
2010-08-20,60,68.86
2010-08-27,61,65.9
2010-09-03,72,70.08
2010-09-10,47,71.26
2010-09-17,54,73.18
2010-09-24,53,79.73
2010-10-01,65,78.22
2010-10-08,48,80.37
2010-10-15,48,79.75
2010-10-22,43,78.33
2010-10-29,43,78.6
2010-11-05,43,83.54
2010-11-12,70,81.04
2010-11-19,89,83.97
2010-11-26,62,84.13
2010-12-03,45,89.38
2010-12-10,80,89.94
2010-12-17,57,92.59
2010-12-31,57,93.66
2011-01-07,54,93.73
2011-01-14,36,94.01
2011-01-21,36,92.75
2011-01-28,36,95.68
2011-02-04,48,99.59
2011-02-11,50,103.54
2011-02-18,53,105.86
2011-02-25,52,102
2011-03-04,54,103.04
2011-03-11,57,100.02
2011-03-18,59,105.06
2011-03-25,45,109.09
2011-04-01,52,113.12
2011-04-08,78,109.82
2011-04-15,56,107.21
2011-04-29,44,115.41
2011-05-06,63,110.34
2011-05-13,35,106.33
2011-05-20,69,104.33
2011-05-27,80,104.6
2011-06-03,68,101.1
2011-06-10,48,96.79
2011-06-17,45,95.95
2011-06-24,41,100.01
2011-07-01,45,108.62
2011-07-08,51,110.41
2011-07-15,56,109.36
2011-07-22,62,105.15
2011-07-29,48,98.79
2011-08-05,60,90.99
2011-08-12,72,89.81
2011-08-19,55,79.97
2011-08-26,36,85.16
2011-09-02,36,85.38
2011-09-09,41,83.96
2011-09-16,41,85.9
2011-09-23,47,73.86
2011-09-30,53,73.84
2011-10-07,68,75.52
2011-10-14,33,84.09
2011-10-21,40,87.39
2011-10-28,46,96.85
2011-11-04,52,95.74
2011-11-11,42,96.13
2011-11-18,48,93.93
2011-11-25,45,86.72
2011-12-02,36,96.29
2011-12-09,53,95.97
2011-12-16,51,87.2
2011-12-23,37,92.25
2011-12-30,65,90.6
