"Date","buy.Nike","Price"
2004-02-06,38,71.06
2004-02-13,25,72.32
2004-02-20,25,71.66
2004-02-27,40,73.25
2004-03-05,38,74.83
2004-03-12,55,74.8
2004-03-19,32,76.87
2004-03-26,65,76.25
2004-04-02,50,76.64
2004-04-16,46,75.91
2004-04-23,29,75.17
2004-04-30,52,71.95
2004-05-07,32,66.57
2004-05-14,49,67.69
2004-05-21,50,67.48
2004-05-28,37,71.15
2004-06-04,33,69.28
2004-06-18,24,71.62
2004-06-25,52,75.31
2004-07-02,32,75.31
2004-07-09,57,74.49
2004-07-16,37,73.5
2004-07-23,62,70.27
2004-07-30,70,72.71
2004-08-06,42,69.31
2004-08-13,51,69.69
2004-08-20,49,74.26
2004-08-27,54,75.95
2004-09-03,50,76.81
2004-09-10,40,75.65
2004-09-17,43,76.56
2004-09-24,37,79.7
2004-10-01,50,79.88
2004-10-08,58,79.09
2004-10-15,40,78.1
2004-10-22,44,79.11
2004-10-29,55,81.31
2004-11-05,37,86.12
2004-11-12,30,86.4
2004-11-19,38,82.5
2004-11-26,49,85.09
2004-12-03,54,86.72
2004-12-10,50,87
2004-12-17,34,91.7
2004-12-31,39,90.69
2005-01-07,42,87.7
2005-01-14,43,88.95
2005-01-21,32,86.3
2005-01-28,64,86.49
2005-02-04,85,87.04
2005-02-11,100,84.65
2005-02-18,80,85.51
2005-02-25,73,87.25
2005-03-04,77,87.6
2005-03-11,54,86.6
2005-03-18,54,85.4
2005-04-01,50,83
2005-04-08,37,82.31
2005-04-15,42,75.86
2005-04-22,50,77.82
2005-04-29,49,76.81
2005-05-06,53,77.78
2005-05-13,52,76.45
2005-05-20,31,82.09
2005-05-27,29,82.43
2005-06-03,25,83.75
2005-06-10,35,85.96
2005-06-17,40,88.38
2005-06-24,53,89.35
2005-07-01,32,86.01
2005-07-08,32,86.24
2005-07-15,32,88.5
2005-07-22,34,86.63
2005-07-29,37,83.8
2005-08-05,41,85.03
2005-08-12,23,81.58
2005-08-19,41,80.34
2005-08-26,32,79.72
2005-09-02,27,77.02
2005-09-09,28,78.52
2005-09-16,25,78.46
2005-09-23,32,81.27
2005-09-30,42,81.68
2005-10-07,30,82.77
2005-10-14,42,81.7
2005-10-21,29,83.48
2005-10-28,26,82.8
2005-11-04,23,87.8
2005-11-11,26,86.92
2005-11-18,35,87.7
2005-11-25,47,88.21
2005-12-02,42,87.6
2005-12-09,34,85.9
2005-12-16,26,88.5
2005-12-23,34,87
2005-12-30,23,86.79
2006-01-06,28,85.8
2006-01-13,24,86.2
2006-01-20,28,84.2
2006-01-27,33,83.15
2006-02-03,28,83.69
2006-02-10,31,84.47
2006-02-17,41,84.9
2006-02-24,34,87.2
2006-03-03,32,86.3
2006-03-10,36,84.99
2006-03-17,34,85.42
