"Date","Exxon.Mobil","Price"
2004-02-06,49,40.51
2004-02-13,40,41.91
2004-02-20,44,42.03
2004-02-27,47,42.17
2004-03-05,56,42.49
2004-03-12,74,42.03
2004-03-19,53,41.5
2004-03-26,50,40.74
2004-04-02,54,41.91
2004-04-16,31,43.86
2004-04-23,39,42.97
2004-04-30,37,42.55
2004-05-07,54,43.25
2004-05-14,53,43.27
2004-05-21,37,42.6
2004-05-28,44,43.25
2004-06-04,37,43.37
2004-06-18,34,44.98
2004-06-25,50,44.25
2004-07-02,56,44.72
2004-07-09,47,45.45
2004-07-16,51,45.83
2004-07-23,60,45.32
2004-07-30,56,46.3
2004-08-06,56,45.12
2004-08-13,44,44.92
2004-08-20,41,45.25
2004-08-27,42,45.44
2004-09-03,39,47.06
2004-09-10,48,47.37
2004-09-17,48,48.37
2004-09-24,52,47.83
2004-10-01,43,48.89
2004-10-08,56,49.84
2004-10-15,42,49.02
2004-10-22,47,48.7
2004-10-29,45,49.22
2004-11-05,43,50.39
2004-11-12,43,50.42
2004-11-19,49,50.38
2004-11-26,39,51.65
2004-12-03,49,50.27
2004-12-10,35,50.15
2004-12-17,37,49.8
2004-12-31,40,51.26
2005-01-07,59,49.79
2005-01-14,48,51.07
2005-01-21,48,50.44
2005-01-28,37,51.27
2005-02-04,44,55.29
2005-02-11,44,56.11
2005-02-18,42,59.41
2005-02-25,62,63.26
2005-03-04,60,63.57
2005-03-11,54,61.05
2005-03-18,42,62.65
2005-04-01,50,60.55
2005-04-08,54,60.01
2005-04-15,54,56.19
2005-04-22,50,59.42
2005-04-29,46,57.03
2005-05-06,51,57.6
2005-05-13,47,53.7
2005-05-20,41,54.01
2005-05-27,54,56.8
2005-06-03,44,57.15
2005-06-10,51,58.38
2005-06-17,40,60.89
2005-06-24,53,58.15
2005-07-01,49,58.31
2005-07-08,38,59.4
2005-07-15,48,58.16
2005-07-22,46,59.5
2005-07-29,60,58.75
2005-08-05,56,58.09
2005-08-12,44,61.05
2005-08-19,53,58.82
2005-08-26,53,58.41
2005-09-02,65,60.68
2005-09-09,57,63.2
2005-09-16,53,63.7
2005-09-23,58,63.83
2005-09-30,46,63.54
2005-10-07,48,59.6
2005-10-14,49,58.64
2005-10-21,47,55.37
2005-10-28,68,56.31
2005-11-04,55,57.9
2005-11-11,45,56.52
2005-11-18,44,58.25
2005-11-25,52,60.11
2005-12-02,54,59.07
2005-12-09,44,58.5
2005-12-16,45,58.06
2005-12-23,42,57.1
2005-12-30,38,56.17
2006-01-06,54,59.43
2006-01-13,44,60.97
2006-01-20,38,60.53
2006-01-27,40,61.29
2006-02-03,75,61.39
2006-02-10,57,59.43
2006-02-17,44,60.55
2006-02-24,46,60.42
2006-03-03,43,60.98
2006-03-10,49,59.18
2006-03-17,48,61.05
2006-03-24,51,61.17
2006-03-31,49,60.86
2006-04-07,50,61.33
2006-04-21,86,65
2006-04-28,100,63.08
2006-05-05,66,64
2006-05-12,54,62.24
2006-05-19,51,60.45
2006-05-26,48,61.58
2006-06-02,51,61.65
2006-06-09,36,58.8
2006-06-16,42,58.8
2006-06-23,40,58.1
2006-06-30,38,61.35
2006-07-07,35,62.84
2006-07-14,49,64.9
2006-07-21,48,63.93
2006-07-28,56,67
2006-08-04,53,68.69
2006-08-11,46,69.73
2006-08-18,41,69.1
2006-08-25,46,70.43
2006-09-01,41,68.1
2006-09-08,38,66.81
2006-09-15,37,64.65
2006-09-22,50,64.91
2006-09-29,48,67.1
2006-10-06,46,67.52
2006-10-13,49,68.4
2006-10-20,39,69.55
2006-10-27,44,71.46
2006-11-03,53,72.15
2006-11-10,44,74.42
2006-11-17,46,73.08
2006-11-24,37,72.38
2006-12-01,44,77.2
2006-12-08,40,75.5
2006-12-15,42,77.3
2006-12-22,44,75.41
2006-12-29,36,76.63
2007-01-05,51,73.24
2007-01-12,39,72.66
2007-01-19,39,73.53
2007-01-26,39,73.61
2007-02-02,66,75.54
2007-02-09,51,75.22
2007-02-16,45,75.29
2007-02-23,46,75.22
2007-03-02,42,70.01
2007-03-09,53,71.12
2007-03-16,48,69.86
2007-03-23,49,75.02
2007-03-30,57,75.45
2007-04-13,50,77.41
2007-04-20,51,79.76
2007-04-27,61,80.36
2007-05-04,56,80.55
2007-05-11,50,81.23
2007-05-18,54,83.26
2007-05-25,48,83.51
2007-06-01,50,84.22
2007-06-08,47,82.68
2007-06-15,42,85.94
2007-06-22,44,82.52
2007-06-29,44,83.88
2007-07-06,41,86.46
2007-07-13,42,90.33
2007-07-20,48,91.94
2007-07-27,44,85.59
2007-08-03,43,82.08
2007-08-10,45,84.51
2007-08-17,39,84.14
2007-08-24,39,85.69
2007-08-31,37,85.73
2007-09-07,40,85.75
2007-09-14,41,88.67
2007-09-21,46,92.31
2007-09-28,45,92.56
2007-10-05,43,91.36
2007-10-12,42,93.48
2007-10-19,43,92.14
2007-10-26,39,92.21
2007-11-02,48,87.93
2007-11-09,50,86.85
2007-11-16,46,85.1
2007-11-23,46,88.29
2007-11-30,44,89.16
2007-12-07,46,91.5
2007-12-14,42,91.18
2007-12-21,41,93.43
2007-12-28,35,95
2008-01-04,42,92.08
2008-01-11,40,90.3
2008-01-18,44,85.08
2008-01-25,42,83.94
2008-02-01,59,85.95
2008-02-08,66,81.71
2008-02-15,67,85.37
2008-02-22,58,87.17
2008-02-29,48,87.01
2008-03-07,52,82.49
2008-03-14,52,85.91
2008-03-28,47,85.22
2008-04-04,55,88.74
2008-04-11,52,88.62
2008-04-18,52,94
2008-04-25,56,92.46
2008-05-02,64,89.61
2008-05-09,51,88.82
2008-05-16,46,92.67
2008-05-23,52,90.7
2008-05-30,49,88.76
2008-06-06,48,86.79
2008-06-13,57,88.36
2008-06-20,52,84.91
2008-06-27,55,86.55
2008-07-11,45,85.48
2008-07-18,51,81.54
2008-07-25,48,81.7
2008-08-01,64,79.72
2008-08-08,57,78.72
2008-08-15,52,77.07
2008-08-22,46,80.3
2008-08-29,50,80.01
2008-09-05,46,75.62
2008-09-12,56,77.5
2008-09-19,59,79.61
2008-09-26,51,80.65
2008-10-03,65,77.94
2008-10-10,67,62.36
2008-10-17,62,68.04
2008-10-24,57,69.04
2008-10-31,68,74.12
2008-11-07,56,73.95
2008-11-14,59,73.68
2008-11-21,54,75.81
2008-11-28,43,80.15
2008-12-05,55,76.6
2008-12-12,51,80.45
2008-12-19,44,75.02
2008-12-26,36,77.19
2009-01-02,38,81.64
2009-01-09,58,77.57
2009-01-16,50,78.1
2009-01-23,48,78.04
2009-01-30,63,76.48
2009-02-06,56,80.34
2009-02-13,53,74.59
2009-02-20,47,71.23
2009-02-27,50,67.9
2009-03-06,50,64.03
2009-03-13,50,67.2
2009-03-20,45,66.09
2009-03-27,55,69.98
2009-04-03,54,70.44
2009-04-17,51,66.75
2009-04-24,56,66.57
2009-05-01,52,68.01
2009-05-08,50,70.8
2009-05-15,52,69.11
2009-05-22,45,68.83
2009-05-29,54,69.35
2009-06-05,52,72.97
2009-06-12,51,73.78
2009-06-19,50,71.05
2009-06-26,50,69.05
2009-07-10,54,65.12
2009-07-17,54,68.52
2009-07-24,49,72.29
2009-07-31,56,70.39
2009-08-07,52,69.47
2009-08-14,45,68.21
2009-08-21,55,69.92
2009-08-28,55,70.12
2009-09-04,46,69.18
2009-09-11,53,69.98
2009-09-18,57,69.99
2009-09-25,56,68.7
2009-10-02,57,66.58
2009-10-09,56,69.27
2009-10-16,55,73.12
2009-10-23,56,73.57
2009-10-30,55,71.67
2009-11-06,53,72.58
2009-11-13,55,72.47
2009-11-20,53,74.38
2009-11-27,42,74.87
2009-12-04,50,74.25
2009-12-11,48,72.83
2009-12-18,66,68.21
2010-01-08,53,69.52
2010-01-15,48,69.11
2010-01-22,50,66.1
2010-01-29,48,64.43
2010-02-05,49,64.8
2010-02-12,50,64.8
2010-02-19,46,65.87
2010-02-26,44,65
2010-03-05,46,66.47
2010-03-12,51,66.8
2010-03-19,43,67.04
2010-03-26,50,66.54
2010-04-09,47,68.76
2010-04-16,53,67.93
2010-04-23,48,69.24
2010-04-30,49,67.77
2010-05-07,48,63.7
2010-05-14,45,63.6
2010-05-21,46,60.88
2010-05-28,51,60.46
2010-06-04,48,59.53
2010-06-11,43,61.86
2010-06-18,48,63.1
2010-06-25,43,59.1
2010-07-02,42,56.57
2010-07-09,43,58.78
2010-07-16,44,57.96
2010-07-23,44,59.72
2010-07-30,49,59.68
2010-08-06,45,61.97
2010-08-13,42,59.91
2010-08-20,42,58.89
2010-08-27,38,59.8
2010-09-03,40,61.32
2010-09-10,37,61.2
2010-09-17,42,60.78
2010-09-24,42,61.75
2010-10-01,44,62.54
2010-10-08,47,64.38
2010-10-15,44,65.19
2010-10-22,44,66.34
2010-10-29,45,66.49
2010-11-05,47,70
2010-11-12,42,70.99
2010-11-19,44,70.54
2010-11-26,36,69.23
2010-12-03,40,71.19
2010-12-10,39,72.18
2010-12-17,37,72.17
2010-12-31,32,73.12
2011-01-07,47,75.59
2011-01-14,38,77.84
2011-01-21,40,78.98
2011-01-28,38,78.99
2011-02-04,43,83.28
2011-02-11,40,82.82
2011-02-18,40,84.5
2011-02-25,47,85.34
2011-03-04,45,85.08
2011-03-11,46,82.12
2011-03-18,38,80.85
2011-03-25,38,83.62
2011-04-01,35,84.68
2011-04-08,40,85.95
2011-04-15,40,84.29
2011-04-29,50,87.98
2011-05-06,45,82.69
2011-05-13,46,80.87
2011-05-20,38,81.57
2011-05-27,36,82.63
2011-06-03,36,81.18
2011-06-10,43,79.78
2011-06-17,36,79.02
2011-06-24,36,76.78
2011-07-01,39,82.01
2011-07-08,44,82.42
2011-07-15,44,83
2011-07-22,43,85.22
2011-07-29,49,79.79
2011-08-05,44,74.82
2011-08-12,59,72
2011-08-19,47,69.8
2011-08-26,47,72.64
2011-09-02,46,72.14
2011-09-09,40,71.01
2011-09-16,39,74.55
2011-09-23,43,69.31
2011-09-30,43,72.63
2011-10-07,50,73.56
2011-10-14,39,78.11
2011-10-21,44,80.13
2011-10-28,46,81.48
2011-11-04,40,78.52
2011-11-11,41,79.72
2011-11-18,41,77.9
2011-11-25,36,73.9
2011-12-02,42,79.79
2011-12-09,39,81.34
2011-12-16,40,80.16
2011-12-23,33,85.22
2011-12-30,37,84.76
2012-01-06,46,85.12
2012-01-13,40,84.88
2012-01-20,39,87.49
2012-01-27,45,85.83
2012-02-03,49,84.92
2012-02-10,41,83.8
2012-02-17,43,85.62
2012-02-24,43,87.34
2012-03-02,44,86.33
2012-03-09,41,84.3
2012-03-16,39,86.44
2012-03-23,40,85.55
2012-03-30,44,86.73
2012-04-13,41,82.95
2012-04-20,44,85.3
2012-04-27,42,86.08
2012-05-04,46,84.57
2012-05-11,48,83.1
2012-05-18,44,81.47
2012-05-25,43,82.08
2012-06-01,42,77.92
2012-06-08,43,80.84
2012-06-15,41,83.22
2012-06-22,41,82.11
2012-06-29,40,85.57
2012-07-06,41,84.8
2012-07-13,41,85.47
2012-07-20,41,85.95
2012-07-27,37,87.45
2012-08-03,36,87.55
2012-08-10,38,88.44
2012-08-17,40,88.4
2012-08-24,37,88.05
2012-08-31,37,87.3
2012-09-07,40,89.92
2012-09-14,42,92.3
2012-09-21,42,91.92
2012-09-28,44,91.45
2012-10-05,49,92.55
2012-10-12,39,91.03
2012-10-19,47,92.15
2012-10-26,46,90.62
2012-11-02,50,90.27
2012-11-09,45,87.21
2012-11-16,41,86.45
2012-11-23,35,89.09
2012-11-30,36,88.14
2012-12-07,37,88.6
2012-12-14,37,88.08
2012-12-21,35,87.23
2012-12-28,30,85.1
2013-01-04,36,88.96
2013-01-11,34,89.61
2013-01-18,33,90.8
2013-01-25,65,91.73
2013-02-01,55,90.04
2013-02-08,37,88.61
2013-02-15,37,88.36
2013-02-22,40,89.2
2013-03-01,39,89.43
2013-03-08,47,88.97
2013-03-15,40,89.37
2013-03-22,37,89.29
2013-04-05,48,89.01
2013-04-12,44,88.99
2013-04-19,52,87.45
2013-04-26,41,88
2013-05-03,42,90.02
2013-05-10,37,90.14
2013-05-17,36,91.76
2013-05-24,37,91.53
2013-05-31,35,90.47
2013-06-07,34,91.45
2013-06-14,33,90.58
2013-06-21,34,89.48
2013-06-28,33,90.35
2013-07-05,31,91.57
2013-07-12,37,93.4
2013-07-19,39,95.17
2013-07-26,37,94.79
2013-08-02,38,91.95
2013-08-09,32,90.72
2013-08-16,33,87.91
2013-08-23,33,87.52
2013-08-30,33,87.16
2013-09-06,33,87.25
2013-09-13,35,88.4
2013-09-20,37,88.66
2013-09-27,36,86.9
2013-10-04,38,86.32
2013-10-11,33,86.95
2013-10-18,35,87.55
2013-10-25,35,87.97
2013-11-01,37,89.82
2013-11-08,38,92.73
2013-11-15,43,95.27
2013-11-22,40,95.01
2013-11-29,33,93.48
2013-12-06,36,95.65
2013-12-13,35,95.31
2013-12-20,33,98.68
2013-12-27,35,101.51
2014-01-03,35,99.51
2014-01-10,34,100.52
2014-01-17,32,99.16
2014-01-24,35,94.85
2014-01-31,33,92.16
2014-02-07,34,90.58
2014-02-14,34,94.11
2014-02-21,30,95.03
2014-02-28,34,96.27
2014-03-07,35,94.99
2014-03-14,33,93.47
2014-03-21,34,94.31
2014-03-28,33,97.7
2014-04-04,35,97.36
2014-04-11,35,96.72
2014-04-25,31,100.41
