"Date","buy.3M","Price"
2005-12-02,65,79.4
2005-12-09,66,77.86
2006-02-03,60,71.1
2006-09-01,55,71.72
2006-12-22,46,78.35
2006-12-29,44,77.93
2007-01-05,44,77.42
2007-01-12,44,79.36
2007-01-19,38,79.25
2007-01-26,38,78.69
2007-02-02,38,73.87
2007-02-09,38,74.54
2007-03-30,48,76.43
2007-05-11,37,85.55
2007-05-18,37,86.9
2007-05-25,37,87.35
2007-06-01,37,88.43
2007-06-08,37,85.94
2007-08-03,40,87.56
2007-08-10,50,85.97
2007-08-17,43,87.83
2007-08-24,33,89.15
2007-08-31,33,90.99
2007-09-07,33,88.92
2007-09-14,33,89.02
2007-09-21,33,91.68
2007-09-28,29,93.58
2007-10-05,30,95.85
2007-10-12,30,94.17
2007-10-19,32,86.62
2007-10-26,34,86.13
2007-11-02,37,84.89
2007-11-09,28,79.51
2007-11-16,30,81.57
2007-11-23,32,82.75
2007-11-30,34,83.26
2007-12-07,36,86.19
2007-12-14,34,85.93
2007-12-21,34,86.05
2007-12-28,34,85.09
2008-01-04,34,81.76
2008-01-11,31,77.58
2008-01-18,31,74.91
2008-01-25,25,75.51
2008-02-01,25,81.21
2008-02-08,27,78.56
2008-02-15,28,79.95
2008-02-22,30,79.67
2008-02-29,27,78.4
2008-03-07,29,76.51
2008-03-14,27,77.53
2008-03-28,27,77.95
2008-04-04,33,80.52
2008-04-11,38,78.47
2008-04-18,24,82.9
2008-04-25,27,77.82
2008-05-02,37,78.55
2008-05-09,27,76.32
2008-05-16,28,78.66
2008-05-23,29,75.81
2008-05-30,31,77.56
2008-06-06,35,74.86
2008-06-13,38,76.12
2008-06-20,31,73.02
2008-06-27,27,69.51
2008-07-11,49,68.72
2008-07-18,37,68.94
2008-07-25,27,70.95
2008-08-01,26,70.15
2008-08-08,34,73.48
2008-08-15,42,73.49
2008-08-22,24,72.28
2008-08-29,35,71.6
2008-09-05,22,69.19
2008-09-12,22,70.15
2008-09-19,37,72.68
2008-09-26,48,69.45
2008-10-03,37,64.6
2008-10-10,36,54.26
2008-10-17,27,56.49
2008-10-24,31,59.61
2008-10-31,26,64.3
2008-11-07,32,64.83
2008-11-14,38,63.06
2008-11-21,36,61.3
2008-11-28,30,66.93
2008-12-05,24,59.85
2008-12-12,32,56.04
2008-12-19,40,56.62
2008-12-26,29,55.74
2009-01-02,29,59.19
2009-01-09,29,57.74
2009-01-16,30,56.42
2009-01-23,30,52.9
2009-01-30,26,53.79
2009-02-06,26,52.39
2009-02-13,26,49.42
2009-02-20,46,47.25
2009-02-27,28,45.46
2009-03-06,29,41.83
2009-03-13,31,48
2009-03-20,33,45.93
2009-03-27,37,50.33
2009-04-03,25,52.11
2009-04-17,24,53.81
2009-04-24,27,57
2009-05-01,100,57.88
2009-05-08,41,60.09
2009-05-15,53,57.92
2009-05-22,58,56.07
2009-05-29,32,57.1
2009-06-05,42,60.94
2009-06-12,31,61
2009-06-19,38,59.37
2009-06-26,46,59.26
2009-07-10,46,59.79
2009-07-17,21,62.92
2009-07-24,32,69.42
2009-07-31,34,70.52
2009-08-07,25,72.9
2009-08-14,46,71.32
2009-08-21,28,72.64
2009-08-28,36,71.92
2009-09-04,30,71.35
2009-09-11,30,74
2009-09-18,52,74.62
2009-09-25,34,73.8
2009-10-02,27,71.93
2009-10-09,27,74.73
2009-10-16,31,76.02
2009-10-23,34,77.82
2009-10-30,35,73.57
2009-11-06,42,75.41
2009-11-13,34,77.32
2009-11-20,42,76.64
2009-11-27,51,76.75
2009-12-04,45,78.24
2009-12-11,36,81.75
2009-12-18,44,80.97
2010-01-08,29,84.32
2010-01-15,44,83.37
2010-01-22,35,81.48
2010-01-29,29,80.49
2010-02-05,42,78.54
2010-02-12,33,79.18
2010-02-19,38,81.52
2010-02-26,31,80.15
2010-03-05,29,82.44
2010-03-12,45,81.38
2010-03-19,34,81.96
2010-03-26,29,81
2010-04-09,39,83.49
2010-04-16,33,83.76
2010-04-23,41,86.58
2010-04-30,52,88.67
2010-05-07,32,82.63
2010-05-14,45,84.68
2010-05-21,41,80.7
2010-05-28,30,79.31
2010-06-04,40,76.1
2010-06-11,36,78.3
2010-06-18,51,81.18
2010-06-25,35,78.9
2010-07-02,43,77.67
2010-07-09,34,82.16
2010-07-16,52,80.95
2010-07-23,48,86.17
2010-07-30,32,85.54
