"Date","WMT","Price"
2004-02-06,27,57.58
2004-02-13,27,56.32
2004-02-20,27,59.43
2004-02-27,27,59.56
2004-03-05,22,60.24
2004-03-12,22,58.48
2004-03-19,22,58.6
2004-03-26,46,59.41
2004-04-02,28,58.6
2004-04-16,25,58.44
2004-04-23,26,58.97
2004-04-30,28,57
2004-05-07,29,53.9
2004-05-14,31,55.06
2004-05-21,31,55.09
2004-05-28,41,55.73
2004-06-04,25,56.59
2004-06-18,27,55.62
2004-06-25,27,52.51
2004-07-02,26,51.93
2004-07-09,26,51.76
2004-07-16,27,52.65
2004-07-23,27,53.16
2004-07-30,21,53.01
2004-08-06,21,51.33
2004-08-13,27,53.4
2004-08-20,33,54.65
2004-08-27,20,53.56
2004-09-03,20,53.25
2004-09-10,21,53.45
2004-09-17,24,52.48
2004-09-24,26,52.81
2004-10-01,28,53.13
2004-10-08,25,52.85
2004-10-15,28,52.53
2004-10-22,31,51.99
2004-10-29,32,53.92
2004-11-05,29,56.47
2004-11-12,25,56.85
2004-11-19,19,55.25
2004-11-26,22,55.32
2004-12-03,24,52.93
2004-12-10,34,52.71
2004-12-17,18,52.02
2004-12-31,28,52.82
2005-01-07,31,53.99
2005-01-14,32,53.99
2005-01-21,39,53.01
2005-01-28,27,52.43
2005-02-04,22,53.46
2005-02-11,23,52.1
2005-02-18,34,52.72
2005-02-25,26,51.49
2005-03-04,22,53.1
2005-03-11,25,51.6
2005-03-18,29,51.45
2005-04-01,25,48.99
2005-04-08,43,48.57
2005-04-15,37,47.7
2005-04-22,42,46.81
2005-04-29,42,47.14
2005-05-06,54,48.96
2005-05-13,62,47.13
2005-05-20,35,47.18
2005-05-27,41,47.27
2005-06-03,38,47.35
2005-06-10,34,47.98
2005-06-17,40,48.93
2005-06-24,33,47.37
2005-07-01,48,48.28
2005-07-08,51,49.9
2005-07-15,53,50.25
2005-07-22,35,49.54
2005-07-29,50,49.35
2005-08-05,35,49.32
2005-08-12,48,48.7
2005-08-19,63,46.58
2005-08-26,44,45.7
2005-09-02,37,44.55
2005-09-09,36,45.89
2005-09-16,49,43.87
2005-09-23,62,43.2
2005-09-30,64,43.82
2005-10-07,44,44.03
2005-10-14,63,45.04
2005-10-21,51,45.72
2005-10-28,71,45.5
2005-11-04,81,47.69
2005-11-11,67,49
2005-11-18,100,49.5
2005-11-25,68,50.49
2005-12-02,80,47.97
2005-12-09,89,48.08
2005-12-16,86,49.27
2005-12-23,70,48.34
2005-12-30,83,46.8
2006-01-06,70,45.88
2006-01-13,63,45.4
2006-01-20,62,45
2006-01-27,64,45.84
2006-02-03,71,45.49
2006-02-10,64,45.75
2006-02-17,56,46.1
2006-02-24,64,45.45
2006-03-03,63,45.33
2006-03-10,60,45.33
2006-03-17,54,46.69
2006-03-24,55,48.19
2006-03-31,46,47.24
2006-04-07,57,46.02
2006-04-21,55,45.82
2006-04-28,54,45.03
2006-05-05,60,47.25
2006-05-12,58,46.54
2006-05-19,58,47.32
2006-05-26,50,49.65
2006-06-02,60,47.83
2006-06-09,40,47.13
2006-06-16,48,48.31
2006-06-23,42,47.94
2006-06-30,31,48.17
2006-07-07,40,46
2006-07-14,44,43.05
2006-07-21,46,43.72
2006-07-28,50,44.46
2006-08-04,40,44.87
2006-08-11,39,44.69
2006-08-18,57,44.49
2006-08-25,53,43.88
2006-09-01,41,45.45
2006-09-08,39,46.72
2006-09-15,57,48.22
2006-09-22,56,48.29
2006-09-29,56,49.32
2006-10-06,67,48.32
2006-10-13,45,48.46
2006-10-20,50,49.37
2006-10-27,73,50.73
2006-11-03,68,47.53
2006-11-10,52,46.47
2006-11-17,73,47.5
2006-11-24,32,47.9
2006-12-01,61,45.87
2006-12-08,37,46.35
2006-12-15,51,46.45
2006-12-22,46,45.54
2006-12-29,44,46.18
2007-01-05,43,47.39
2007-01-12,46,47.98
2007-01-19,36,48.31
2007-01-26,37,47.67
2007-02-02,30,48.08
2007-02-09,48,47.97
2007-02-16,33,48.48
2007-02-23,47,49.57
2007-03-02,57,47.81
2007-03-09,42,47.42
2007-03-16,28,46.21
2007-03-23,34,47.91
2007-03-30,41,46.95
2007-04-13,44,47.41
2007-04-20,47,49.76
2007-04-27,42,48.34
2007-05-04,40,48.27
2007-05-11,41,47.78
2007-05-18,42,47.27
2007-05-25,37,46.91
2007-06-01,37,49.47
2007-06-08,55,50.08
2007-06-15,40,49.34
2007-06-22,37,47.83
