"Date","buy.Visa","Price"
2008-03-28,50,62.76
2008-04-04,29,64.48
2008-04-11,40,66.11
2008-04-18,37,69
2008-04-25,41,75.1
2008-05-02,41,82.75
2008-05-09,46,82.86
2008-05-16,41,82.37
2008-05-23,44,76.35
2008-05-30,38,86.36
2008-06-06,31,83.65
2008-06-13,35,81.53
2008-06-20,30,83.57
2008-06-27,32,82.6
2008-07-11,40,74.55
2008-07-18,35,73.4
2008-07-25,36,71.96
2008-08-01,38,71.73
2008-08-08,33,72.6
2008-08-15,42,75.79
2008-08-22,40,74.09
2008-08-29,32,75.9
2008-09-05,22,71.76
2008-09-12,32,71.65
2008-09-19,40,69.57
2008-09-26,39,62.04
2008-10-03,40,56.84
2008-10-10,36,52
2008-10-17,23,52.22
2008-10-24,34,47.98
2008-10-31,37,55.35
2008-11-07,37,53.5
2008-11-14,35,54.24
2008-11-21,34,46.38
2008-11-28,44,52.56
2008-12-05,51,53.18
2008-12-12,60,52.95
2008-12-19,72,54.97
2008-12-26,64,53.25
2009-01-02,51,53.44
2009-01-09,47,55.62
2009-01-16,34,47.41
2009-01-23,42,44.32
2009-01-30,39,49.35
2009-02-06,37,55.41
2009-02-13,32,55.95
2009-02-20,31,55.66
2009-02-27,28,56.71
2009-03-06,37,50.19
2009-03-13,37,52.05
2009-03-20,31,52.53
2009-03-27,26,54.25
2009-04-03,31,60.08
2009-04-17,40,58
2009-04-24,40,60.38
2009-05-01,33,65.01
2009-05-08,37,68.43
2009-05-15,35,65.07
2009-05-22,36,65.75
2009-05-29,34,67.71
2009-06-05,41,69.28
2009-06-12,41,64.36
2009-06-19,46,61.37
2009-06-26,40,63.82
2009-07-10,35,59.86
2009-07-17,41,64.1
2009-07-24,41,67.29
2009-07-31,42,65.46
2009-08-07,51,69.17
2009-08-14,45,67.8
2009-08-21,49,69
2009-08-28,39,70.5
2009-09-04,38,70.36
2009-09-11,39,72.29
2009-09-18,30,73.79
2009-09-25,34,70.66
2009-10-02,36,67.79
2009-10-09,33,72.94
2009-10-16,37,74.29
2009-10-23,36,74.12
2009-10-30,31,75.76
2009-11-06,42,79.67
2009-11-13,38,80
2009-11-20,37,80
2009-11-27,44,80.33
2009-12-04,53,80.27
2009-12-11,62,81.34
2009-12-18,72,88.97
2010-01-08,48,87
2010-01-15,40,86.14
2010-01-22,32,82.73
2010-01-29,34,82.03
2010-02-05,39,82.56
2010-02-12,43,84.78
2010-02-19,38,86.81
2010-02-26,41,85.28
2010-03-05,40,88.51
2010-03-12,37,93.25
2010-03-19,38,88.84
2010-03-26,32,90.25
2010-04-09,47,92.52
2010-04-16,37,93.85
2010-04-23,35,96.59
2010-04-30,44,90.23
2010-05-07,48,82.29
2010-05-14,43,77.26
2010-05-21,44,74.2
2010-05-28,37,72.46
2010-06-04,44,72.13
2010-06-11,39,76.08
2010-06-18,40,77.04
2010-06-25,44,76.66
2010-07-02,51,73.18
2010-07-09,37,77.38
2010-07-16,49,71.45
2010-07-23,52,75.59
2010-07-30,44,73.35
2010-08-06,45,72.14
2010-08-13,46,72.22
2010-08-20,45,70.1
2010-08-27,42,71.11
2010-09-03,43,72.5
2010-09-10,40,68.09
2010-09-17,35,68.49
2010-09-24,43,72.37
2010-10-01,43,73.32
2010-10-08,37,74
2010-10-15,41,77.6
2010-10-22,39,79.29
2010-10-29,43,78.16
2010-11-05,42,79.8
2010-11-12,40,76.94
2010-11-19,46,77.05
2010-11-26,45,75.48
2010-12-03,54,77.35
2010-12-10,66,80.2
2010-12-17,79,66.9
2010-12-31,67,70.38
2011-01-07,54,72.96
2011-01-14,51,71.12
2011-01-21,42,70.15
2011-01-28,43,69.46
2011-02-04,47,72.9
2011-02-11,44,74.93
2011-02-18,37,75.83
2011-02-25,42,74.68
2011-03-04,44,74.69
2011-03-11,45,72.51
