"Date","sell.McDonald.s","Price"
2008-12-05,37,62.72
2009-04-17,29,56.09
2009-10-02,25,56.71
2009-10-09,27,56.7
2009-10-16,24,58.78
2009-10-23,24,59.43
2009-10-30,26,58.61
2009-11-06,29,61.72
2009-11-13,32,63.58
2009-11-20,26,63.97
2009-11-27,26,63.6
2009-12-04,24,61.59
2009-12-11,24,61.66
2009-12-18,24,62.17
2010-02-12,30,63.59
2010-02-19,26,64.74
2010-02-26,21,63.85
2010-03-05,21,63.67
2010-03-12,21,65.53
2010-03-19,22,66.53
2010-03-26,24,67.26
2010-04-09,27,68.68
2010-04-16,25,69.03
2010-04-23,22,71.15
2010-04-30,22,70.59
2010-05-07,22,68.01
2010-05-14,24,69.59
2010-05-21,26,67.86
2010-05-28,24,66.87
2010-06-04,33,66.7
2010-06-11,22,69.54
2010-06-18,24,69.88
2010-06-25,24,67.42
2010-07-02,24,66.14
2010-07-09,26,69.22
2010-07-16,27,69.94
2010-07-23,29,69.9
2010-07-30,27,69.73
2010-08-06,27,71.74
2010-08-13,27,71.89
2010-08-20,27,73.08
2010-08-27,24,73.99
2010-09-03,23,75.09
2010-09-10,24,75.01
2010-09-17,25,74.32
2010-09-24,28,75.1
2010-10-01,24,74.92
2010-10-08,37,76.1
2010-10-15,22,77.48
2010-10-22,25,78.55
2010-10-29,31,77.77
2010-11-05,18,79.3
2010-11-12,20,78.85
2010-11-19,39,79.64
2010-11-26,21,78.54
2010-12-03,26,79.76
2010-12-10,28,77.56
2010-12-17,24,76.81
2010-12-31,28,76.76
2011-01-07,28,74.37
2011-01-14,30,74.06
2011-01-21,23,75.01
2011-01-28,23,73.28
2011-02-04,30,74.05
2011-02-11,32,76.14
2011-02-18,22,76.13
2011-02-25,19,74.44
2011-03-04,33,76.03
2011-03-11,24,76.73
2011-03-18,19,72.99
2011-03-25,32,75.25
2011-04-01,25,75.99
2011-04-08,35,76.04
2011-04-15,24,77.38
2011-04-29,35,78.31
2011-05-06,26,78.7
2011-05-13,29,80.74
2011-05-20,24,82.33
2011-05-27,37,81.62
