"Date","BA","Price"
2004-02-06,35,44.35
2004-02-13,34,44.45
2004-02-20,34,44.34
2004-02-27,33,43.37
2004-03-05,35,42.72
2004-03-12,33,40.3
2004-03-19,35,39.43
2004-03-26,30,39.35
2004-04-02,34,41.84
2004-04-16,31,41.5
2004-04-23,32,42.45
2004-04-30,34,42.69
2004-05-07,31,43.4
2004-05-14,34,43.44
2004-05-21,33,43.4
2004-05-28,35,45.8
2004-06-04,34,46.9
2004-06-18,36,49.8
2004-06-25,35,51.3
2004-07-02,38,49.52
2004-07-09,36,50.04
2004-07-16,35,49.13
2004-07-23,33,47.06
2004-07-30,36,50.75
2004-08-06,35,48.33
2004-08-13,37,49.72
2004-08-20,40,50.46
2004-08-27,37,51.99
2004-09-03,38,53.1
2004-09-10,39,54.15
2004-09-17,37,55.15
2004-09-24,36,53.14
2004-10-01,36,52.48
2004-10-08,38,50.1
2004-10-15,37,50.19
2004-10-22,36,49.51
2004-10-29,33,49.9
2004-11-05,34,51.15
2004-11-12,36,53.93
2004-11-19,33,53.77
2004-11-26,34,54.02
2004-12-03,31,55.26
2004-12-10,32,52.42
2004-12-17,30,53.1
2004-12-31,30,51.77
2005-01-07,39,50.31
2005-01-14,39,50.91
2005-01-21,37,50.07
2005-01-28,36,49.92
2005-02-04,36,52.58
2005-02-11,38,54.14
2005-02-18,35,52.78
2005-02-25,35,54.99
2005-03-04,38,58.38
2005-03-11,37,57.49
2005-03-18,37,57.16
2005-04-01,34,58.78
2005-04-08,36,58.6
2005-04-15,35,57
2005-04-22,37,57.88
2005-04-29,35,59.52
2005-05-06,34,61.01
2005-05-13,36,59.5
2005-05-20,37,61.9
2005-05-27,39,63.02
2005-06-03,38,64.66
2005-06-10,38,64.65
2005-06-17,40,64.62
2005-06-24,39,60.59
2005-07-01,40,64.68
2005-07-08,37,65.07
2005-07-15,38,64.75
2005-07-22,39,66.2
2005-07-29,41,66.01
2005-08-05,38,66.19
2005-08-12,44,66.54
2005-08-19,41,67.15
2005-08-26,40,66.31
2005-09-02,41,64.34
2005-09-09,43,65.4
2005-09-16,40,64.8
2005-09-23,41,63.2
2005-09-30,40,67.95
2005-10-07,40,67.3
2005-10-14,38,67.5
2005-10-21,39,66.02
2005-10-28,39,65.64
2005-11-04,37,65.28
2005-11-11,37,65.35
2005-11-18,36,66.95
2005-11-25,37,69.06
2005-12-02,37,69.44
2005-12-09,37,69.65
2005-12-16,36,70.75
2005-12-23,34,71.49
2005-12-30,34,70.24
2006-01-06,47,69.35
2006-01-13,47,69.48
2006-01-20,43,66.5
2006-01-27,45,68.56
2006-02-03,44,70.87
2006-02-10,44,72.53
2006-02-17,41,72.96
