"Date","buy.McDonald.s","Price"
2005-08-26,36,33.48
2005-10-21,21,32.48
2005-10-28,9,32.29
2005-11-04,10,33.43
2005-11-11,10,33.8
2005-11-18,10,33.09
2005-11-25,10,33.46
2005-12-02,10,34.91
2006-01-20,9,35.86
2006-01-27,8,35.05
2006-02-03,8,35.97
2006-02-10,8,36.33
2006-10-06,6,40.11
2006-10-13,12,42.11
2006-10-20,10,41.47
2006-10-27,8,41.47
2006-11-03,8,41.24
2006-11-10,7,41.97
2006-11-17,6,41.82
2006-11-24,6,41.88
2006-12-01,6,42.08
2006-12-08,6,43.76
2006-12-15,6,43.41
2007-02-02,6,44.54
2007-02-09,5,44.56
2007-02-16,5,45.32
2007-02-23,5,46.01
2007-03-02,5,43.67
2007-04-13,6,47.64
2007-04-20,5,48.36
2007-04-27,5,48.95
2007-06-08,6,51.41
2007-06-15,5,52.17
2007-06-22,5,50.42
2007-06-29,5,50.76
2007-07-06,4,51.43
2007-07-13,4,51.91
2007-07-20,5,52.09
2007-07-27,5,48.76
2007-08-03,6,48.52
2007-08-10,6,49.41
2007-08-17,6,47.57
2007-08-24,6,50.12
2007-08-31,7,49.25
2007-09-07,7,49.24
2007-09-14,7,55.45
2007-09-21,7,54.8
2007-09-28,7,54.47
2007-10-05,6,56.37
2007-10-12,8,57.02
2007-10-19,9,56.42
2007-10-26,5,58.47
2007-11-02,4,59.02
2007-11-09,5,58.31
2007-11-16,3,58.13
2007-11-23,5,57.72
2007-11-30,4,58.47
2007-12-07,6,60.16
2007-12-14,8,61.16
2007-12-21,4,60.03
2007-12-28,4,59.5
2008-01-04,5,57.05
2008-01-11,5,54.32
2008-01-18,4,52.4
2008-01-25,6,54.1
2008-02-01,7,54.22
2008-02-08,6,55.64
2008-02-15,5,55.3
2008-02-22,5,55.69
2008-02-29,6,54.11
2008-03-07,4,52.27
2008-03-14,5,54.78
2008-03-28,6,55.48
2008-04-04,4,55.72
2008-04-11,4,55.4
2008-04-18,5,58.3
2008-04-25,7,59.67
2008-05-02,7,60.95
2008-05-09,5,59.24
2008-05-16,6,60.53
2008-05-23,4,57.73
2008-05-30,4,59.32
2008-06-06,4,56.95
2008-06-13,4,59.95
2008-06-20,6,57.4
2008-06-27,4,56.5
2008-07-11,4,57.32
2008-07-18,5,60.44
2008-07-25,9,58.65
2008-08-01,4,59.77
2008-08-08,3,65.67
2008-08-15,7,63.63
2008-08-22,5,63.42
2008-08-29,6,62
2008-09-05,3,60.3
