"Date","buy.Boeing","Price"
2008-07-11,59,63.28
2008-07-18,61,68.14
2008-07-25,64,63.83
2008-08-01,66,62.01
2008-10-17,62,44.55
2008-10-24,46,45.24
2008-10-31,46,52.42
2009-01-16,44,42.46
2009-02-27,42,31.44
2009-06-26,51,41.88
2009-07-10,40,39.65
2009-09-18,37,53.02
2009-09-25,38,51.52
2009-10-02,40,51.4
2009-10-09,35,52.69
2009-10-16,35,53.19
2009-10-23,35,49.89
2009-10-30,35,47.8
2009-11-06,36,49.68
2009-11-13,37,50.68
2009-11-20,38,51.7
2009-11-27,39,52.45
2009-12-04,37,54.68
2009-12-11,48,55.6
2009-12-18,59,53.44
2010-01-08,40,61.6
2010-01-15,42,60.82
2010-01-22,45,57.77
2010-01-29,31,60.6
2010-02-05,31,58.4
2010-02-12,31,59.65
2010-02-19,33,63.59
2010-02-26,35,63.16
2010-03-05,37,67.93
2010-03-12,62,69.83
2010-03-19,36,70.72
2010-03-26,36,72.59
2010-04-09,36,72.42
2010-04-16,34,70.79
2010-04-23,34,75.13
2010-04-30,38,72.43
2010-05-07,41,66.72
2010-05-14,45,69.82
2010-05-21,35,64.56
2010-05-28,35,64.18
2010-06-04,32,61.15
2010-06-11,32,65.38
2010-06-18,32,67.96
2010-06-25,32,68.77
2010-07-02,31,61.94
2010-07-09,31,64.66
2010-07-16,30,61.9
2010-07-23,49,67.93
2010-07-30,45,68.14
2010-08-06,43,68.7
2010-08-13,30,64.84
2010-08-20,30,64.6
2010-08-27,38,63.16
2010-09-03,34,64.64
2010-09-10,35,63.84
2010-09-17,100,62.95
2010-09-24,58,64.6
2010-10-01,35,66.83
2010-10-08,35,69.23
2010-10-15,27,70.11
2010-10-22,32,71.26
2010-10-29,42,70.64
2010-11-05,29,71.27
2010-11-12,44,63.09
2010-11-19,31,63.59
2010-11-26,31,64.8
2010-12-03,28,66.54
2010-12-10,31,64.16
2010-12-17,41,65.03
2010-12-31,29,65.26
2011-01-07,54,69.38
2011-01-14,46,70.07
2011-01-21,39,71.68
2011-01-28,33,69.23
2011-02-04,41,71.38
2011-02-11,33,72.14
2011-02-18,73,73.04
2011-02-25,53,72.3
2011-03-04,46,71.8
2011-03-11,44,71.64
2011-03-18,33,69.1
2011-03-25,49,73.34
2011-04-01,44,74.01
2011-04-08,54,73.47
2011-04-15,24,72.6
2011-04-29,24,79.78
2011-05-06,28,79.31
2011-05-13,28,79.03
2011-05-20,51,77.52
2011-05-27,28,76.99
