"Date","sell.Visa","Price"
2009-01-23,48,44.32
2009-04-17,53,58
2009-04-24,51,60.38
2009-05-01,51,65.01
2009-05-08,51,68.43
2009-05-15,55,65.07
2009-05-22,58,65.75
2009-07-10,50,59.86
2009-07-17,50,64.1
2009-07-24,50,67.29
2009-07-31,50,65.46
2009-08-07,50,69.17
2009-08-14,51,67.8
2009-08-21,55,69
2009-10-09,45,72.94
2009-10-16,50,74.29
2009-10-23,55,74.12
2009-10-30,51,75.76
2009-12-18,47,88.97
2010-01-08,53,87
2010-01-15,44,86.14
2010-01-22,39,82.73
2010-01-29,39,82.03
2010-02-05,39,82.56
2010-02-12,35,84.78
2010-02-19,35,86.81
2010-02-26,35,85.28
2010-03-05,35,88.51
2010-03-12,35,93.25
2010-03-19,35,88.84
2010-03-26,35,90.25
2010-04-09,38,92.52
2010-04-16,38,93.85
2010-04-23,35,96.59
2010-04-30,39,90.23
2010-05-07,43,82.29
2010-05-14,47,77.26
2010-05-21,40,74.2
2010-05-28,55,72.46
2010-06-04,59,72.13
2010-06-11,48,76.08
2010-06-18,48,77.04
2010-06-25,44,76.66
2010-07-02,44,73.18
2010-07-09,34,77.38
2010-07-16,34,71.45
2010-07-23,39,75.59
2010-07-30,44,73.35
2010-08-06,38,72.14
2010-08-13,40,72.22
2010-08-20,41,70.1
2010-08-27,36,71.11
2010-09-03,36,72.5
2010-09-10,36,68.09
2010-09-17,35,68.49
2010-09-24,31,72.37
2010-10-01,31,73.32
2010-10-08,33,74
2010-10-15,34,77.6
2010-10-22,42,79.29
2010-10-29,33,78.16
2010-11-05,36,79.8
2010-11-12,30,76.94
2010-11-19,34,77.05
2010-11-26,38,75.48
2010-12-03,34,77.35
2010-12-10,55,80.2
2010-12-17,49,66.9
2010-12-31,73,70.38
2011-01-07,41,72.96
2011-01-14,44,71.12
2011-01-21,49,70.15
2011-01-28,43,69.46
2011-02-04,46,72.9
2011-02-11,46,74.93
2011-02-18,43,75.83
2011-02-25,39,74.68
2011-03-04,37,74.69
2011-03-11,45,72.51
2011-03-18,42,71.42
2011-03-25,42,72.09
2011-04-01,45,74.22
2011-04-08,48,76.72
2011-04-15,51,76.47
2011-04-29,44,78.12
2011-05-06,64,79.41
2011-05-13,43,79.91
2011-05-20,37,78.23
