"Date","buy.Intel","Price"
2004-02-06,49,30.88
2004-02-13,50,30.14
2004-02-20,51,30
2004-02-27,47,29.2
2004-03-05,36,28.95
2004-03-12,36,27.69
2004-03-19,36,26.49
2004-03-26,38,27.38
2004-04-02,39,28.12
2004-04-16,42,26.45
2004-04-23,44,27.53
2004-04-30,35,25.73
2004-05-07,32,26.47
2004-05-14,33,27.04
2004-05-21,31,27.55
2004-05-28,37,28.55
2004-06-04,58,28.14
2004-06-18,35,27.64
2004-06-25,35,27.78
2004-07-02,42,26.33
2004-07-09,48,26.57
2004-07-16,56,22.73
2004-07-23,63,22.67
2004-07-30,42,24.38
2004-08-06,48,22.77
2004-08-13,31,21.56
2004-08-20,35,21.62
2004-08-27,38,22.02
2004-09-03,29,20.05
2004-09-10,46,20.57
2004-09-17,60,20.59
2004-09-24,29,20.13
2004-10-01,48,20.85
2004-10-08,39,20.55
2004-10-15,39,20.61
2004-10-22,39,21.3
2004-10-29,39,22.26
2004-11-05,34,23.36
2004-11-12,31,23.69
2004-11-19,31,24.16
2004-11-26,31,23.21
2004-12-03,49,23.91
2004-12-10,56,22.56
2004-12-17,52,22.77
2004-12-31,72,23.39
2005-01-07,41,22.8
2005-01-14,46,23.02
2005-01-21,54,22.42
2005-01-28,47,22.24
2005-02-04,35,23
2005-02-11,38,24.17
2005-02-18,35,24.02
2005-02-25,39,24.09
2005-03-04,42,24.68
2005-03-11,31,24.2
2005-03-18,31,23.41
2005-04-01,34,23.01
2005-04-08,43,23.29
2005-04-15,35,22.12
2005-04-22,31,23.24
2005-04-29,22,23.52
2005-05-06,23,24.49
2005-05-13,32,25.12
2005-05-20,22,26.35
2005-05-27,20,27.39
2005-06-03,48,27.33
2005-06-10,44,26.98
2005-06-17,20,27.12
2005-06-24,31,26.1
2005-07-01,33,26.21
2005-07-08,23,27.28
2005-07-15,43,28.3
2005-07-22,31,26.75
2005-07-29,45,27.14
2005-08-05,27,26.77
2005-08-12,42,26.31
2005-08-19,46,25.65
2005-08-26,45,25.41
2005-09-02,40,25.28
2005-09-09,29,25.25
2005-09-16,35,24.81
2005-09-23,43,24.38
2005-09-30,31,24.65
2005-10-07,31,23.82
2005-10-14,41,23.23
2005-10-21,33,23.15
2005-10-28,35,23.33
2005-11-04,22,23.99
2005-11-11,48,25.13
2005-11-18,32,25.3
2005-11-25,56,26.81
2005-12-02,25,27.43
2005-12-09,41,26.08
2005-12-16,25,26.38
2005-12-23,40,25.97
2005-12-30,48,24.96
2006-01-06,44,26.31
2006-01-13,60,25.79
2006-01-20,44,21.76
2006-01-27,43,21.67
2006-02-03,34,20.74
2006-02-10,37,21.29
2006-02-17,34,20.61
2006-02-24,35,20.36
2006-03-03,44,20.32
2006-03-10,47,19.85
2006-03-17,35,19.54
2006-03-24,29,19.6
2006-03-31,30,19.46
2006-04-07,24,19.24
2006-04-21,35,19.06
2006-04-28,29,19.98
2006-05-05,35,19.51
2006-05-12,40,19.04
2006-05-19,31,18.36
2006-05-26,28,18.22
2006-06-02,40,18.23
2006-06-09,45,17.16
2006-06-16,23,18.3
2006-06-23,51,18
2006-06-30,42,19
2006-07-07,31,18.56
2006-07-14,36,17.88
2006-07-21,64,17.15
2006-07-28,100,18.18
2006-08-04,74,17.49
2006-08-11,48,17.41
2006-08-18,53,18.4
2006-08-25,52,18.9
2006-09-01,44,19.88
2006-09-08,63,19.45
2006-09-15,40,19.51
2006-09-22,40,19.07
2006-09-29,38,20.57
2006-10-06,63,20.63
2006-10-13,41,21.6
2006-10-20,45,21.33
2006-10-27,41,21.1
2006-11-03,28,20.51
2006-11-10,40,20.58
2006-11-17,48,22.1
2006-11-24,61,21.59
2006-12-01,38,20.93
2006-12-08,46,20.68
2006-12-15,32,20.96
2006-12-22,36,20.08
2006-12-29,45,20.25
2007-01-05,38,21.1
2007-01-12,45,22.13
2007-01-19,36,20.82
2007-01-26,39,20.53
2007-02-02,53,21.23
2007-02-09,38,21.03
2007-02-16,45,21.23
2007-02-23,38,20.76
2007-03-02,33,19.22
2007-03-09,35,19.1
2007-03-16,35,19.15
2007-03-23,28,19.27
2007-03-30,45,19.13
2007-04-13,26,20.46
2007-04-20,33,22.16
2007-04-27,36,21.87
2007-05-04,28,21.9
2007-05-11,33,22.28
2007-05-18,36,22.7
2007-05-25,46,22.16
2007-06-01,36,22.36
2007-06-08,35,21.83
2007-06-15,30,24.24
2007-06-22,34,23.7
2007-06-29,45,23.74
2007-07-06,33,24.68
2007-07-13,36,25.97
2007-07-20,56,24.55
2007-07-27,45,23.54
2007-08-03,57,23.91
2007-08-10,42,23.98
2007-08-17,36,23.7
2007-08-24,50,24.79
2007-08-31,43,25.75
2007-09-07,39,25.47
2007-09-14,39,24.93
2007-09-21,49,25.87
2007-09-28,41,25.86
2007-10-05,39,25.54
2007-10-12,42,25.55
2007-10-19,37,26.3
2007-10-26,40,25.94
2007-11-02,46,26.8
2007-11-09,37,25.15
2007-11-16,54,25.51
2007-11-23,78,25.07
2007-11-30,54,26.08
2007-12-07,54,27.73
2007-12-14,39,26.29
2007-12-21,36,26.96
2007-12-28,51,26.76
2008-01-04,44,22.67
2008-01-11,50,21.99
2008-01-18,47,19
2008-01-25,35,20
2008-02-01,40,21.77
2008-02-08,45,20.27
2008-02-15,41,20.11
2008-02-22,47,19.82
2008-02-29,38,19.97
2008-03-07,45,20.07
2008-03-14,35,20.66
2008-03-28,50,20.79
2008-04-04,41,21.87
2008-04-11,48,21.24
2008-04-18,34,22.55
2008-04-25,36,22.56
2008-05-02,38,23.58
2008-05-09,37,23.37
2008-05-16,36,25
2008-05-23,30,23.41
2008-05-30,33,23.18
2008-06-06,40,22.9
2008-06-13,41,22.66
2008-06-20,27,22.37
2008-06-27,34,21.49
2008-07-11,43,20.64
2008-07-18,38,22.09
2008-07-25,48,22.01
2008-08-01,42,22.35
2008-08-08,48,24.23
2008-08-15,40,24.26
2008-08-22,32,23.49
2008-08-29,43,22.87
2008-09-05,45,20.61
2008-09-12,51,20.16
2008-09-19,40,19.23
2008-09-26,43,19.2
2008-10-03,40,17.31
2008-10-10,46,15.19
2008-10-17,41,15.5
2008-10-24,45,14.28
2008-10-31,44,16.03
2008-11-07,50,14.63
2008-11-14,49,13.32
2008-11-21,57,13.11
2008-11-28,55,13.8
2008-12-05,43,13.29
2008-12-12,44,14.75
2008-12-19,46,14.44
2008-12-26,52,14.18
2009-01-02,52,15.2
2009-01-09,48,14.15
2009-01-16,42,13.74
2009-01-23,43,13.12
2009-01-30,45,12.9
2009-02-06,44,14.73
2009-02-13,51,13.88
2009-02-20,48,12.78
2009-02-27,41,12.74
2009-03-06,47,12.41
2009-03-13,36,14.7
2009-03-20,41,14.65
2009-03-27,40,15.42
2009-04-03,43,15.95
2009-04-17,42,15.6
2009-04-24,41,15.62
2009-05-01,35,15.81
2009-05-08,36,15.29
2009-05-15,34,15.19
2009-05-22,44,15.05
2009-05-29,37,15.72
2009-06-05,39,15.92
2009-06-12,41,16.31
2009-06-19,36,16.01
2009-06-26,40,16.29
2009-07-10,40,16.04
2009-07-17,44,18.79
2009-07-24,48,19.36
2009-07-31,50,19.25
2009-08-07,57,18.5
2009-08-14,49,18.77
2009-08-21,45,18.89
2009-08-28,53,20.25
2009-09-04,52,19.64
2009-09-11,45,19.51
2009-09-18,45,19.56
2009-09-25,44,19.37
2009-10-02,35,18.97
2009-10-09,45,20.17
2009-10-16,41,20.18
2009-10-23,50,19.78
2009-10-30,54,19.11
2009-11-06,41,18.93
2009-11-13,51,19.82
2009-11-20,53,19.24
2009-11-27,84,19.11
2009-12-04,64,20.46
2009-12-11,52,19.9
2009-12-18,43,19.63
2010-01-08,50,20.83
2010-01-15,44,20.8
2010-01-22,55,19.91
2010-01-29,52,19.4
2010-02-05,45,19.47
2010-02-12,53,20.43
2010-02-19,50,20.82
2010-02-26,44,20.53
2010-03-05,49,20.79
2010-03-12,46,21.27
2010-03-19,48,21.99
2010-03-26,49,22.24
2010-04-09,39,22.55
2010-04-16,40,23.92
2010-04-23,45,24.04
2010-04-30,43,22.84
2010-05-07,42,21.31
2010-05-14,45,21.89
2010-05-21,41,20.91
2010-05-28,38,21.42
2010-06-04,37,20.95
2010-06-11,36,20.64
2010-06-18,36,21.4
2010-06-25,43,20.03
2010-07-02,35,19.2
2010-07-09,36,20.24
2010-07-16,37,21.02
2010-07-23,45,21.69
2010-07-30,47,20.6
2010-08-06,44,20.65
2010-08-13,52,19.15
2010-08-20,69,18.91
2010-08-27,52,18.37
2010-09-03,50,18.43
2010-09-10,45,17.97
2010-09-17,41,18.81
2010-09-24,43,19.42
2010-10-01,38,19.32
2010-10-08,45,19.52
2010-10-15,33,19.32
2010-10-22,45,19.84
2010-10-29,41,20.05
2010-11-05,38,21.24
2010-11-12,44,21.53
2010-11-19,57,21.14
2010-11-26,72,21.34
2010-12-03,47,21.69
2010-12-10,51,21.91
