"Date","sell.Verizon","Price"
2007-06-08,29,43.07
2007-06-15,26,42.99
2007-06-22,26,41.63
2007-06-29,26,41.17
2007-11-16,33,43.69
2008-01-04,24,42.6
2008-01-11,26,42.5
2008-01-18,28,39.09
2008-01-25,29,37.76
2008-02-01,19,38.75
2008-02-08,19,36.42
2008-02-15,19,37.83
2008-02-22,19,36.2
2008-02-29,23,36.32
2008-03-07,23,35.08
2008-03-14,19,33.82
2008-03-28,19,35.85
2008-04-04,19,37.34
2008-04-11,19,35.59
2008-04-18,20,36.03
2008-04-25,20,37.04
2008-05-02,20,39.59
2008-05-09,21,37.91
2008-05-16,20,38.77
2008-05-23,22,37.08
2008-05-30,23,38.47
2008-06-06,25,38.23
2008-06-13,21,37.33
2008-06-20,21,35.38
2008-06-27,21,34.28
2008-07-11,27,34.92
2008-07-18,30,35.45
2008-07-25,27,34.45
2008-08-01,27,34
2008-08-08,27,34.59
2008-08-15,27,34.96
2008-08-22,19,35.29
2008-08-29,20,35.12
2008-09-05,19,34.08
2008-09-12,19,34.49
2008-09-19,19,33.3
2008-09-26,20,32.18
2008-10-03,20,31.24
2008-10-10,17,26.77
2008-10-17,17,27.19
2008-10-24,17,25.08
2008-10-31,17,29.67
2008-11-07,28,30.05
2008-11-14,22,30
2008-11-21,17,28.47
2008-11-28,16,32.65
2008-12-05,21,33.19
2008-12-12,22,32.8
2008-12-19,23,33.19
2008-12-26,21,33.19
2009-01-02,21,34.64
2009-01-09,17,32.16
2009-01-16,30,29.96
2009-01-23,26,30.44
2009-01-30,26,29.87
2009-02-06,30,31.72
2009-02-13,14,29.56
2009-02-20,16,28.81
2009-02-27,21,28.53
2009-03-06,23,27.28
2009-03-13,14,28.4
2009-03-20,23,29.61
2009-03-27,19,30.62
2009-04-03,24,32.79
2009-04-17,19,31.78
2009-04-24,22,31
2009-05-01,28,30.55
2009-05-08,33,29.85
2009-05-15,38,29.61
2009-05-22,22,28.81
2009-05-29,15,29.26
2009-06-05,27,29.25
2009-06-12,28,29.92
2009-06-19,32,29.66
2009-06-26,23,30.99
2009-07-10,17,28.62
2009-07-17,19,29.59
2009-07-24,28,31.5
2009-07-31,28,32.07
2009-08-07,25,31.08
2009-08-14,21,31.08
2009-08-21,27,31.37
2009-08-28,27,31.02
2009-09-04,24,30.6
2009-09-11,17,31.26
2009-09-18,25,29.59
2009-09-25,24,29.94
2009-10-02,21,29.89
2009-10-09,20,29.16
2009-10-16,21,28.9
2009-10-23,27,28.85
2009-10-30,24,29.59
2009-11-06,26,29.56
2009-11-13,31,30.13
2009-11-20,22,30.43
2009-11-27,26,31.63
2009-12-04,21,32.7
2009-12-11,33,33.73
2009-12-18,25,32.8
2010-01-08,20,31.75
2010-01-15,25,30.58
2010-01-22,26,30.34
2010-01-29,31,29.42
2010-02-05,31,28.74
2010-02-12,29,28.93
2010-02-19,23,29.02
2010-02-26,23,28.93
2010-03-05,25,29.23
2010-03-12,17,29.73
2010-03-19,19,30.41
2010-03-26,15,30.37
2010-04-09,25,30.08
2010-04-16,28,29.58
2010-04-23,27,29.05
2010-04-30,36,28.9
2010-05-07,17,28.19
2010-05-14,20,28.51
2010-05-21,25,27.96
2010-05-28,24,27.52
2010-06-04,17,27.21
2010-06-11,33,28.56
2010-06-18,28,29.13
2010-06-25,18,28.55
2010-07-02,62,26.81
2010-07-09,34,26.65
2010-07-16,36,26.69
2010-07-23,31,28.02
2010-07-30,29,29.06
2010-08-06,41,29.55
2010-08-13,29,30.03
2010-08-20,26,29.37
2010-08-27,20,29.84
2010-09-03,24,30.2
2010-09-10,28,30.82
2010-09-17,28,31.68
2010-09-24,29,32.64
2010-10-01,18,32.89
2010-10-08,28,32.83
2010-10-15,42,32.43
2010-10-22,30,32.09
2010-10-29,32,32.48
2010-11-05,25,33.43
2010-11-12,32,32.56
2010-11-19,21,32.59
2010-11-26,42,32.21
2010-12-03,41,32.9
2010-12-10,32,34.04
2010-12-17,35,34.64
2010-12-31,36,35.78
2011-01-07,54,35.93
2011-01-14,79,35.46
2011-01-21,56,34.95
2011-01-28,39,35.63
2011-02-04,93,36.31
2011-02-11,63,36.39
2011-02-18,52,36.62
2011-02-25,34,35.97
2011-03-04,50,36.08
2011-03-11,43,35.85
2011-03-18,37,35.84
2011-03-25,32,37.29
2011-04-01,33,38.47
2011-04-08,31,37.72
2011-04-15,38,37.85
2011-04-29,32,37.78
2011-05-06,34,37.28
2011-05-13,29,37.26
2011-05-20,27,37.15
2011-05-27,29,36.67
2011-06-03,27,35.63
2011-06-10,36,35.19
2011-06-17,30,35.51
2011-06-24,27,36
2011-07-01,38,37.8
2011-07-08,37,37.48
2011-07-15,28,36.82
2011-07-22,43,36.74
2011-07-29,38,35.29
2011-08-05,38,35.05
2011-08-12,37,34.3
2011-08-19,43,34.71
2011-08-26,29,35.76
2011-09-02,31,35.56
2011-09-09,32,35.24
2011-09-16,25,36.72
2011-09-23,12,35.88
2011-09-30,24,36.8
2011-10-07,61,36.16
2011-10-14,53,37.33
2011-10-21,51,37.42
2011-10-28,48,37.63
2011-11-04,28,37.17
2011-11-11,44,37.52
2011-11-18,33,36.46
2011-11-25,38,35.35
2011-12-02,40,37.85
2011-12-09,43,38.43
2011-12-16,41,38.78
2011-12-23,41,39.98
2011-12-30,47,40.12
2012-01-06,31,38.33
2012-01-13,32,38.92
2012-01-20,27,38.97
2012-01-27,24,37.21
2012-02-03,28,37.84
2012-02-10,30,37.69
2012-02-17,31,38.46
2012-02-24,33,38.14
2012-03-02,28,38.67
2012-03-09,33,39.1
2012-03-16,24,39.57
2012-03-23,36,39.42
2012-03-30,23,38.23
2012-04-13,28,37.26
2012-04-20,31,38.73
2012-04-27,25,40.23
2012-05-04,26,40.26
2012-05-11,27,41.16
2012-05-18,30,41.53
2012-05-25,35,41.45
2012-06-01,29,41.03
2012-06-08,37,42.44
2012-06-15,41,43.55
2012-06-22,37,43.95
2012-06-29,49,44.44
2012-07-06,32,44.42
2012-07-13,42,45.21
2012-07-20,47,44.49
2012-07-27,49,44.9
2012-08-03,46,44.46
2012-08-10,41,44.6
2012-08-17,48,44.06
2012-08-24,32,43.17
2012-08-31,34,42.94
2012-09-07,39,43.72
2012-09-14,100,44.53
2012-09-21,78,45.64
2012-09-28,65,45.57
2012-10-05,48,47.05
2012-10-12,51,44.62
2012-10-19,54,45.16
2012-10-26,48,44.73
2012-11-02,46,44.52
2012-11-09,45,42.64
2012-11-16,48,41.4
2012-11-23,52,43.76
