"Date","buy.Travelers","Price"
2008-11-21,100,38.77
2009-01-30,94,38.64
2009-02-06,92,39.72
2009-02-13,92,40.37
2009-02-20,92,38.34
2009-04-03,82,42.61
2009-04-17,87,42.53
2009-04-24,89,39.5
2009-06-05,78,43.75
2009-07-31,89,43.07
2009-08-07,81,47.46
2009-08-14,81,47.25
2009-08-21,73,48.2
2009-08-28,73,49.61
2009-09-04,73,50.12
2009-09-11,73,48.41
2009-09-18,73,47.37
2009-11-20,74,52.38
2009-11-27,77,51.65
2009-12-04,81,51.04
2009-12-11,68,50.7
2009-12-18,82,48.14
2010-01-08,86,48.56
2010-01-15,71,48.79
2010-01-22,62,48.31
2010-01-29,62,50.67
2010-02-05,62,50.28
2010-02-12,62,50.45
2010-02-19,62,52.88
2010-02-26,62,52.59
2010-03-05,62,53.94
2010-03-12,65,53.16
2010-03-19,68,53.46
2010-04-30,82,50.74
2010-05-07,77,49.26
2010-05-14,77,50.12
2010-05-21,77,49.23
2010-05-28,77,49.47
2010-06-04,77,48.61
2010-06-11,77,50.41
2010-06-18,77,51.35
2010-06-25,64,51.12
2010-07-02,71,48.54
2010-07-09,86,51.15
2010-07-16,84,49.62
2010-07-23,78,50.14
2010-07-30,78,50.45
2010-08-06,58,50.27
2010-08-13,58,50.14
2010-08-20,58,50.09
2010-08-27,58,49.87
2010-09-03,63,51.03
2010-09-10,69,50.06
2010-09-17,54,52.67
2010-09-24,54,53.12
2010-10-01,54,52.12
2010-10-08,55,52.81
2010-10-15,56,53.63
2010-10-22,58,55.1
2010-10-29,52,55.2
2010-11-05,57,57.44
2010-11-12,51,56.31
2010-11-19,51,55.49
2010-11-26,51,54.37
2010-12-03,53,54.86
2010-12-10,56,54.78
2010-12-17,61,55.18
2010-12-31,48,55.71
2011-01-07,48,53.33
2011-01-14,48,54.63
2011-01-21,47,55
2011-01-28,47,55.81
2011-02-04,47,57.41
2011-02-11,47,58.99
2011-02-18,47,60.92
2011-02-25,55,59.6
2011-03-04,57,59.18
2011-03-11,59,58.88
2011-03-18,60,58.06
2011-03-25,60,58.98
2011-04-01,60,59.71
2011-04-08,61,59.58
2011-04-15,61,59.8
2011-04-29,87,63.28
2011-05-06,56,63.43
2011-05-13,56,62.33
2011-05-20,63,62.25
2011-05-27,69,61.52
2011-06-03,57,61.18
2011-06-10,59,59.21
2011-06-17,50,57.92
2011-06-24,50,56.68
2011-07-01,60,59.11
2011-07-08,65,58.66
2011-07-15,70,57.9
2011-07-22,46,57.58
2011-07-29,78,55.13
2011-08-05,74,52.57
2011-08-12,72,51.13
2011-08-19,62,49.46
2011-08-26,62,48.3
2011-09-02,82,48.87
2011-09-09,46,48.14
2011-09-16,46,50.61
2011-09-23,41,47.12
2011-09-30,41,48.73
2011-10-07,41,49
2011-10-14,56,51.27
2011-10-21,45,57.35
2011-10-28,57,59.48
2011-11-04,52,58.14
2011-11-11,44,58.43
2011-11-18,44,56.22
2011-11-25,44,53.41
