"Date","sell.HD","Price"
2007-12-14,42,26.63
2007-12-21,43,26.66
2007-12-28,44,26.68
2008-01-04,45,24.96
2008-01-11,46,24.71
2008-01-18,40,26.28
2008-01-25,40,28.53
2008-02-01,40,30.45
2008-02-08,40,27.97
2008-02-15,40,27.52
2008-02-22,40,27.77
2008-06-13,42,27.53
2008-06-20,42,26.25
2008-09-26,38,26.46
2008-11-28,35,23.11
2008-12-05,35,24.4
2008-12-12,36,23.47
2009-01-30,33,21.53
2009-02-06,32,23.53
2009-02-13,37,21.22
2009-02-20,41,19.46
2009-02-27,32,20.89
2009-03-06,32,18
2009-03-13,32,20.71
2009-03-20,32,22.16
2009-03-27,31,23.63
2009-04-03,30,25
2009-04-17,38,26.1
2009-04-24,34,26.31
2009-05-01,32,25.77
2009-05-08,34,25.5
2009-07-10,36,22.52
2009-07-17,37,24.67
2009-07-24,28,25.32
2009-07-31,28,25.94
2009-08-07,28,27.26
2009-08-14,29,27.14
2009-08-21,29,27.5
2009-08-28,29,27.69
2009-09-04,26,27.03
2009-09-11,29,27.34
2009-09-18,46,28.23
2009-09-25,36,26.85
2009-10-02,38,26.03
2009-10-09,33,26.96
2009-10-16,24,27.26
2009-10-23,24,26.27
2009-10-30,24,25.09
2009-11-06,27,26.08
2009-11-13,31,27.34
2009-11-20,24,27.18
2009-11-27,27,27.61
2009-12-04,28,28.08
2009-12-11,52,28.49
2009-12-18,36,28.65
2010-01-08,47,28.98
2010-01-15,58,28.57
2010-01-22,29,27.72
2010-01-29,26,28.01
2010-02-05,35,27.98
2010-02-12,31,29
2010-02-19,34,30.15
2010-02-26,30,31.2
2010-03-05,24,31.8
2010-03-12,24,32.45
2010-03-19,28,32.36
2010-03-26,28,32.75
2010-04-09,26,33.25
2010-04-16,26,35.01
2010-04-23,49,36.39
2010-04-30,26,35.23
2010-05-07,35,33.43
2010-05-14,24,35.2
2010-05-21,29,33.02
2010-05-28,34,33.86
2010-06-04,39,32.15
2010-06-11,29,32.22
2010-06-18,29,31.94
2010-06-25,32,30.2
2010-07-02,36,27.76
2010-07-09,22,28.26
2010-07-16,29,27.11
2010-07-23,30,28.25
2010-07-30,32,28.51
2010-08-06,35,28.68
2010-08-13,38,27.31
2010-08-20,25,28.17
2010-08-27,24,28.74
2010-09-03,24,29.85
2010-09-10,44,29.68
2010-09-17,45,29.89
2010-09-24,33,31.64
2010-10-01,45,31.82
2010-10-08,38,31.89
2010-10-15,28,30.7
2010-10-22,44,31.48
2010-10-29,26,30.9
2010-11-05,31,31.92
2010-11-12,51,31.44
2010-11-19,36,31.22
2010-11-26,44,31
2010-12-03,28,33.48
2010-12-10,20,34.4
2010-12-17,34,35.1
2010-12-31,41,35.06
2011-01-07,50,34.38
2011-01-14,27,35.89
2011-01-21,32,36.51
2011-01-28,42,36.7
2011-02-04,32,36.8
2011-02-11,61,37.48
2011-02-18,46,38.48
2011-02-25,34,37.08
2011-03-04,51,37.22
2011-03-11,37,37.14
2011-03-18,42,36
2011-03-25,26,37.42
2011-04-01,39,37.56
2011-04-08,26,37.46
2011-04-15,30,38.17
2011-04-29,27,37.15
2011-05-06,16,36.99
2011-05-13,28,37.01
2011-05-20,44,37.05
2011-05-27,26,36
2011-06-03,48,34.63
2011-06-10,32,33.47
2011-06-17,39,34.53
2011-06-24,27,35.08
2011-07-01,36,36.73
2011-07-08,38,36.62
2011-07-15,31,35.91
2011-07-22,53,36.52
2011-07-29,28,34.93
2011-08-05,33,30.74
2011-08-12,46,30.58
2011-08-19,45,31.88
2011-08-26,42,34
2011-09-02,35,32.18
2011-09-09,31,31.87
2011-09-16,41,34.61
2011-09-23,37,33.72
2011-09-30,37,32.87
2011-10-07,33,33.92
2011-10-14,24,35.05
2011-10-21,33,36.86
2011-10-28,33,36.12
2011-11-04,31,36.39
2011-11-11,27,38.06
2011-11-18,42,37.88
2011-11-25,38,36.47
2011-12-02,50,39.94
2011-12-09,48,40.23
2011-12-16,39,40.42
2011-12-23,29,42.09
2011-12-30,47,42.04
2012-01-06,28,43.2
2012-01-13,47,43.51
2012-01-20,36,44.51
2012-01-27,39,44.87
2012-02-03,32,45.17
2012-02-10,46,45.33
2012-02-17,23,46.71
2012-02-24,51,46.98
2012-03-02,45,47.41
2012-03-09,42,48.1
2012-03-16,32,49.05
2012-03-23,32,49.54
2012-03-30,26,50.31
2012-04-13,47,50.96
2012-04-20,37,51.46
2012-04-27,32,51.95
2012-05-04,34,51.96
2012-05-11,39,50.34
2012-05-18,43,47.05
2012-05-25,37,49.44
2012-06-01,38,47.96
2012-06-08,48,52.35
2012-06-15,55,51.87
2012-06-22,38,52.02
2012-06-29,33,52.99
2012-07-06,38,52.15
2012-07-13,25,52.09
2012-07-20,29,50.7
2012-07-27,39,53.71
2012-08-03,49,52.29
2012-08-10,36,53.06
2012-08-17,40,56.73
2012-08-24,40,56.96
2012-08-31,51,56.75
2012-09-07,46,57.26
2012-09-14,44,59.46
2012-09-21,54,59.42
2012-09-28,51,60.37
2012-10-05,50,63.2
2012-10-12,50,59.56
2012-10-19,48,61.89
2012-10-26,61,60.04
2012-11-02,62,62.02
2012-11-09,59,60.96
2012-11-16,66,62.12
2012-11-23,83,64.82
2012-11-30,71,65.07
2012-12-07,75,64.45
2012-12-14,71,62.06
2012-12-21,77,61.32
2012-12-28,100,60.65
2013-01-04,82,63.18
2013-01-11,65,63.7
2013-01-18,70,65.47
2013-01-25,62,67.82
2013-02-01,48,67.3
2013-02-08,58,67.01
2013-02-15,57,67.52
2013-02-22,48,65.58
2013-03-01,45,69.03
2013-03-08,62,71.37
2013-03-15,50,69.05
2013-03-22,38,69.56
2013-04-05,59,70.06
2013-04-12,56,73.62
2013-04-19,43,74
2013-04-26,43,73.35
2013-05-03,52,73.96
2013-05-10,55,76.01
2013-05-17,49,76.86
2013-05-24,58,78.99
2013-05-31,53,78.66
2013-06-07,62,78.74
2013-06-14,57,76.59
2013-06-21,51,73.82
2013-06-28,38,77.47
2013-07-05,47,78.29
2013-07-12,52,80.54
2013-07-19,57,79.89
2013-07-26,50,78.74
2013-08-02,53,80.23
2013-08-09,69,78.97
2013-08-16,53,75.38
2013-08-23,66,73.89
2013-08-30,50,74.49
2013-09-06,63,72.7
2013-09-13,49,75.11
2013-09-20,78,77
2013-09-27,57,75.96
2013-10-04,52,75.78
2013-10-11,49,76.32
2013-10-18,67,74.69
2013-10-25,64,76.25
2013-11-01,56,76.99
2013-11-08,52,75.48
2013-11-15,60,80.03
2013-11-22,65,79.18
2013-11-29,72,80.67
2013-12-06,78,79.84
2013-12-13,57,79.01
2013-12-20,50,80.04
2013-12-27,79,81.64
2014-01-03,70,81.89
2014-01-10,58,82.01
2014-01-17,53,81
2014-01-24,60,79.16
2014-01-31,49,76.85
2014-02-07,53,76.45
2014-02-14,59,77.93
2014-02-21,45,77.74
2014-02-28,52,82.03
2014-03-07,44,82.55
2014-03-14,56,79.38
2014-03-21,64,80.42
2014-03-28,48,78.72
2014-04-04,59,78.72
2014-04-11,50,75.7
2014-04-25,56,79.38
