"Date","Coca.Cola","Price"
2004-02-06,78,50.99
2004-02-13,82,51.14
2004-02-20,86,50.94
2004-02-27,82,49.96
2004-03-05,100,50.1
2004-03-12,96,48.45
2004-03-19,82,48.78
2004-03-26,89,48.78
2004-04-02,90,50.93
2004-04-16,82,51.93
2004-04-23,99,51.05
2004-04-30,95,50.57
2004-05-07,89,50.74
2004-05-14,97,50
2004-05-21,91,49.38
2004-05-28,91,51.35
2004-06-04,92,52.27
2004-06-18,77,51.39
2004-06-25,72,50.1
2004-07-02,61,50.53
2004-07-09,69,51.02
2004-07-16,77,50.58
2004-07-23,70,45.17
2004-07-30,69,43.86
2004-08-06,69,43.5
2004-08-13,70,44.37
2004-08-20,72,44.21
2004-08-27,73,44.72
2004-09-03,61,45.49
2004-09-10,74,42.96
2004-09-17,84,40.3
2004-09-24,77,39.99
2004-10-01,74,40.31
2004-10-08,78,40
2004-10-15,76,39.2
2004-10-22,85,38.9
2004-10-29,79,40.66
2004-11-05,78,41.4
2004-11-12,76,40.79
2004-11-19,77,39.73
2004-11-26,79,39.86
2004-12-03,86,40.71
2004-12-10,97,40.53
2004-12-17,83,40.95
2004-12-31,46,41.64
2005-01-07,63,41.16
2005-01-14,68,40.97
2005-01-21,60,40.91
2005-01-28,73,41.49
2005-02-04,76,42.47
2005-02-11,69,42.76
2005-02-18,77,42.96
2005-02-25,74,43.02
2005-03-04,67,43.64
2005-03-11,83,42.48
2005-03-18,71,41.46
2005-04-01,74,41.38
2005-04-08,79,42.1
2005-04-15,74,41.29
2005-04-22,89,42.13
2005-04-29,87,43.44
2005-05-06,90,44.19
2005-05-13,90,44.11
2005-05-20,92,45.05
2005-05-27,98,44.93
2005-06-03,99,44.23
2005-06-10,92,43.95
2005-06-17,87,44.05
2005-06-24,84,42.2
2005-07-01,79,42.21
2005-07-08,72,42.73
2005-07-15,68,43.08
2005-07-22,69,44.03
2005-07-29,70,43.76
2005-08-05,64,44.06
2005-08-12,63,43.58
2005-08-19,66,44.39
2005-08-26,61,43.57
2005-09-02,62,43.9
2005-09-09,69,44.05
2005-09-16,73,43.4
2005-09-23,71,42.35
2005-09-30,69,43.19
2005-10-07,71,42.2
2005-10-14,70,42.07
2005-10-21,71,41.93
2005-10-28,78,42.83
2005-11-04,78,42.3
2005-11-11,82,42.76
2005-11-18,86,42.2
2005-11-25,82,42.8
2005-12-02,82,42.82
2005-12-09,83,41.51
2005-12-16,80,41.21
2005-12-23,62,41.15
2005-12-30,50,40.31
2006-01-06,57,41.41
2006-01-13,68,41.31
2006-01-20,64,40.09
2006-01-27,60,41.97
2006-02-03,62,40.88
2006-02-10,67,41.16
2006-02-17,69,41.79
2006-02-24,72,42.23
2006-03-03,62,41.8
2006-03-10,74,42.77
2006-03-17,66,42.79
2006-03-24,71,42.66
2006-03-31,64,41.87
2006-04-07,69,41.35
2006-04-21,66,41.85
2006-04-28,75,41.96
2006-05-05,74,42.71
2006-05-12,78,43.18
2006-05-19,66,43.65
2006-05-26,70,44.49
2006-06-02,78,43.89
2006-06-09,72,43.55
2006-06-16,63,43.21
2006-06-23,64,42.75
2006-06-30,54,43.02
2006-07-07,59,43.18
2006-07-14,58,42.65
2006-07-21,57,43.9
2006-07-28,63,44.52
2006-08-04,58,43.85
2006-08-11,58,43.76
2006-08-18,54,44.31
2006-08-25,55,44.52
2006-09-01,60,45.07
2006-09-08,56,44.6
2006-09-15,66,44.6
2006-09-22,62,43.99
2006-09-29,64,44.68
2006-10-06,61,44.76
2006-10-13,58,44.02
2006-10-20,68,46.75
2006-10-27,63,46.87
2006-11-03,63,46.5
2006-11-10,59,46.47
2006-11-17,64,47.26
2006-11-24,68,46.92
2006-12-01,65,46.57
2006-12-08,67,48.91
2006-12-15,61,48.93
2006-12-22,57,48.38
2006-12-29,39,48.25
2007-01-05,49,48.26
2007-01-12,52,48.55
2007-01-19,51,48.26
2007-01-26,57,47.83
2007-02-02,56,48.24
2007-02-09,56,47.76
2007-02-16,55,47.87
2007-02-23,56,47.26
2007-03-02,57,45.89
2007-03-09,61,47.57
2007-03-16,58,47.21
2007-03-23,60,48.05
2007-03-30,64,48
2007-04-13,59,49.88
2007-04-20,72,52.09
2007-04-27,69,52.06
2007-05-04,65,53.21
2007-05-11,67,52.69
2007-05-18,69,52.63
2007-05-25,75,51.89
2007-06-01,73,52.8
2007-06-08,66,51.67
2007-06-15,57,51.58
2007-06-22,57,51.62
2007-06-29,59,52.31
2007-07-06,55,52.6
2007-07-13,58,53.11
2007-07-20,56,53.21
2007-07-27,58,52.28
2007-08-03,60,53.28
2007-08-10,60,54.98
2007-08-17,63,54.45
2007-08-24,62,54
2007-08-31,59,53.78
2007-09-07,53,54.59
2007-09-14,58,56.4
2007-09-21,54,56.55
2007-09-28,56,57.47
2007-10-05,57,58.07
2007-10-12,54,57.8
2007-10-19,56,58.76
2007-10-26,56,61.57
2007-11-02,53,60.51
2007-11-09,54,60.83
2007-11-16,52,62.62
2007-11-23,49,62.3
2007-11-30,57,62.1
2007-12-07,56,63.15
2007-12-14,67,63.81
2007-12-21,63,63.07
2007-12-28,52,62.27
2008-01-04,46,61.85
2008-01-11,49,63.77
2008-01-18,49,60.74
2008-01-25,56,58.41
2008-02-01,51,59.26
2008-02-08,48,59.25
2008-02-15,48,58.76
2008-02-22,53,58.26
2008-02-29,53,58.46
2008-03-07,55,58.85
2008-03-14,53,57.53
2008-03-28,50,60.94
2008-04-04,53,60.25
2008-04-11,59,60.29
2008-04-18,57,60.11
2008-04-25,52,59.33
2008-05-02,51,58.77
2008-05-09,52,56.15
2008-05-16,55,57.07
2008-05-23,56,58.63
2008-05-30,54,57.26
2008-06-06,52,55.8
2008-06-13,53,55.42
2008-06-20,49,53.66
2008-06-27,46,51.84
2008-07-11,41,50.27
2008-07-18,43,50.03
2008-07-25,42,52.06
2008-08-01,45,53.14
2008-08-08,45,55.41
2008-08-15,51,55.06
2008-08-22,47,54.37
2008-08-29,44,52.07
2008-09-05,40,51.93
2008-09-12,44,54.5
2008-09-19,40,52.72
2008-09-26,41,52.48
2008-10-03,42,52.57
2008-10-10,44,41.5
2008-10-17,42,44.2
2008-10-24,43,41.61
2008-10-31,40,44.06
2008-11-07,42,46.25
2008-11-14,40,45.02
2008-11-21,47,44
2008-11-28,41,46.87
2008-12-05,42,45.98
2008-12-12,41,44.57
2008-12-19,34,44.43
2008-12-26,27,44.58
2009-01-02,25,45.9
2009-01-09,30,44.6
2009-01-16,33,43.84
2009-01-23,33,42.2
2009-01-30,33,42.72
2009-02-06,39,43.55
2009-02-13,39,43.85
2009-02-20,35,42.84
2009-02-27,32,40.85
2009-03-06,37,39.1
2009-03-13,38,41.22
2009-03-20,39,42.64
2009-03-27,38,45.1
2009-04-03,35,44.97
2009-04-17,34,45.02
2009-04-24,37,42.79
2009-05-01,35,42.47
2009-05-08,37,42.92
2009-05-15,34,44.96
2009-05-22,36,47.3
2009-05-29,38,49.16
2009-06-05,32,49.44
2009-06-12,32,48.89
2009-06-19,28,48.81
2009-06-26,26,48.13
2009-07-10,25,48.31
2009-07-17,25,50.32
2009-07-24,27,49.36
2009-07-31,26,49.84
2009-08-07,23,49.34
2009-08-14,28,48.47
2009-08-21,28,49.91
2009-08-28,27,49.06
2009-09-04,29,49.95
2009-09-11,29,51.51
2009-09-18,31,53.76
2009-09-25,34,52.97
2009-10-02,31,53.87
2009-10-09,31,54.65
2009-10-16,30,55.01
2009-10-23,31,53.24
2009-10-30,30,53.31
2009-11-06,27,54.49
2009-11-13,32,56.46
2009-11-20,31,57.48
2009-11-27,29,57.18
2009-12-04,29,57.49
2009-12-11,32,59.11
2009-12-18,26,56.92
2010-01-08,20,55.15
2010-01-15,22,56.29
2010-01-22,21,54.24
2010-01-29,24,54.25
2010-02-05,26,53.09
2010-02-12,26,53.98
2010-02-19,23,55.72
2010-02-26,27,52.72
2010-03-05,26,54.7
2010-03-12,25,53.35
2010-03-19,26,54.75
2010-03-26,27,54.65
2010-04-09,27,54.59
2010-04-16,30,54.97
2010-04-23,29,53.88
2010-04-30,31,53.45
2010-05-07,29,52.67
2010-05-14,32,53.34
2010-05-21,30,51.59
2010-05-28,36,51.4
2010-06-04,34,51.27
2010-06-11,38,51.65
2010-06-18,44,52.31
2010-06-25,33,50.26
2010-07-02,30,50.05
2010-07-09,22,52.4
2010-07-16,23,52.37
2010-07-23,21,54.75
2010-07-30,19,55.11
2010-08-06,20,56.75
2010-08-13,21,55.73
2010-08-20,23,55.3
2010-08-27,21,56.16
2010-09-03,23,57.56
2010-09-10,21,58.52
2010-09-17,22,57.56
2010-09-24,21,58.62
2010-10-01,23,59.12
2010-10-08,20,59.41
2010-10-15,22,59.94
2010-10-22,24,61.61
2010-10-29,22,61.32
2010-11-05,21,62.58
2010-11-12,23,62.92
2010-11-19,23,64.32
2010-11-26,22,64.11
2010-12-03,25,64.5
2010-12-10,24,64.65
2010-12-17,24,65.7
2010-12-31,16,65.77
2011-01-07,18,62.92
2011-01-14,18,63.13
2011-01-21,19,62.77
2011-01-28,20,62.21
2011-02-04,20,62.56
2011-02-11,21,63.57
2011-02-18,30,64.55
2011-02-25,23,64.31
2011-03-04,21,65.21
2011-03-11,18,64.81
2011-03-18,21,62.7
2011-03-25,22,65.22
2011-04-01,26,67.22
2011-04-08,26,67.27
2011-04-15,26,68.01
2011-04-29,24,67.46
2011-05-06,25,66.9
2011-05-13,29,68.18
2011-05-20,24,68.3
2011-05-27,24,66.51
2011-06-03,26,65.53
2011-06-10,22,65.39
2011-06-17,21,65.62
2011-06-24,21,64.93
2011-07-01,22,68.09
2011-07-08,18,68.68
2011-07-15,20,67.53
2011-07-22,20,69.73
2011-07-29,19,68.01
2011-08-05,19,66.77
2011-08-12,19,67.14
2011-08-19,20,67.1
2011-08-26,19,68.5
2011-09-02,19,69.74
2011-09-09,20,69.37
2011-09-16,22,71.23
2011-09-23,22,67.42
2011-09-30,23,67.56
2011-10-07,22,65.9
2011-10-14,23,67.85
2011-10-21,24,68.19
2011-10-28,23,68.93
2011-11-04,22,67.78
2011-11-11,23,68.12
2011-11-18,25,67.39
2011-11-25,23,64.74
2011-12-02,27,66.38
2011-12-09,28,67.57
2011-12-16,25,67.44
2011-12-23,22,69.94
2011-12-30,17,69.97
2012-01-06,18,68.93
2012-01-13,19,66.99
2012-01-20,18,68.09
2012-01-27,19,67.44
2012-02-03,19,68.08
2012-02-10,19,67.94
2012-02-17,18,69.05
2012-02-24,18,69
2012-03-02,21,69.18
2012-03-09,23,69.51
2012-03-16,23,70.16
2012-03-23,22,71.49
2012-03-30,21,74.01
2012-04-13,20,71.94
2012-04-20,22,74.13
2012-04-27,22,76.63
2012-05-04,23,77
2012-05-11,26,77.47
2012-05-18,26,74.05
2012-05-25,26,75.23
2012-06-01,25,73.09
2012-06-08,23,75.24
2012-06-15,25,76.09
2012-06-22,23,74.94
2012-06-29,23,78.19
2012-07-06,21,78.15
2012-07-13,22,77.28
2012-07-20,21,77.03
2012-07-27,21,80.01
2012-08-03,23,80.83
2012-08-10,21,78.79
2012-08-17,21,39.53
