"Date","sell.Home.Depot","Price"
2007-02-16,52,41.44
2007-05-18,58,38.88
2007-05-25,45,38.38
2007-06-01,54,39.21
2007-06-08,50,37.95
2007-06-15,41,37.95
2007-06-22,42,39.36
2007-06-29,46,39.35
2007-07-06,43,40.3
2007-07-13,43,40.87
2007-07-20,43,39.39
2007-07-27,50,36.75
2007-08-03,42,36.19
2007-08-10,42,35.92
2007-08-17,50,33.31
2007-08-24,48,34.68
2007-08-31,59,38.31
2007-09-07,66,34.21
2007-09-14,37,35.68
2007-09-21,36,34.47
2007-09-28,36,32.44
2007-10-05,36,34.22
2007-10-12,44,33.44
2007-10-19,53,30.76
2007-10-26,39,31.35
2007-11-02,39,30.4
2007-11-09,48,28.05
2007-11-16,37,29.07
2007-11-23,37,28.95
2007-11-30,37,28.56
2007-12-07,37,29.49
2007-12-14,42,26.63
2007-12-21,46,26.66
2007-12-28,39,26.68
2008-01-04,39,24.96
2008-01-11,43,24.71
2008-02-29,39,26.55
2008-04-11,42,28.17
2008-04-18,30,28.68
2008-04-25,42,29.78
2008-05-02,42,30.12
2008-05-09,42,27.98
2008-05-16,38,29.1
2008-05-23,29,26.77
2008-05-30,29,27.36
2008-06-06,34,27.18
2008-06-13,54,27.53
2008-06-20,40,26.25
2008-06-27,40,24.02
2008-07-11,33,21.58
2008-07-18,52,23.44
2008-07-25,55,23.8
2008-08-01,36,23.9
2008-08-08,73,26.37
2008-08-15,34,27.53
2008-08-22,33,27.11
2008-08-29,58,27.12
2008-09-05,28,28.59
2008-09-12,35,28.8
2008-09-19,35,27.37
2008-09-26,48,26.46
2008-10-03,38,23.81
2008-10-10,39,19.75
2008-10-17,31,20.21
2008-10-24,31,18.51
2008-10-31,32,23.59
2008-11-07,34,21.06
2008-11-14,27,20.54
2008-11-21,35,19.29
2008-11-28,40,23.11
2008-12-05,32,24.4
2008-12-12,43,23.47
2008-12-19,53,24.22
2008-12-26,37,23.56
2009-01-02,57,24.13
2009-01-09,34,23.86
2009-01-16,36,23.2
2009-01-23,35,21.72
2009-01-30,35,21.53
2009-02-06,48,23.53
2009-02-13,50,21.22
2009-02-20,25,19.46
2009-02-27,39,20.89
2009-03-06,50,18
2009-03-13,45,20.71
2009-03-20,43,22.16
2009-03-27,37,23.63
2009-04-03,59,25
2009-04-17,53,26.1
2009-04-24,42,26.31
2009-05-01,54,25.77
2009-05-08,51,25.5
2009-05-15,52,24.4
2009-05-22,50,22.86
2009-05-29,48,23.16
2009-06-05,37,24.17
2009-06-12,28,24.15
2009-06-19,49,23.52
2009-06-26,49,23.61
2009-07-10,31,22.52
2009-07-17,58,24.67
2009-07-24,44,25.32
2009-07-31,58,25.94
2009-08-07,45,27.26
2009-08-14,62,27.14
2009-08-21,37,27.5
2009-08-28,45,27.69
2009-09-04,58,27.03
2009-09-11,35,27.34
2009-09-18,40,28.23
2009-09-25,36,26.85
2009-10-02,39,26.03
2009-10-09,51,26.96
2009-10-16,45,27.26
2009-10-23,44,26.27
2009-10-30,49,25.09
2009-11-06,36,26.08
2009-11-13,39,27.34
2009-11-20,43,27.18
2009-11-27,58,27.61
2009-12-04,31,28.08
2009-12-11,50,28.49
2009-12-18,45,28.65
2010-01-08,42,28.98
2010-01-15,46,28.57
2010-01-22,45,27.72
2010-01-29,34,28.01
2010-02-05,40,27.98
2010-02-12,46,29
2010-02-19,40,30.15
2010-02-26,45,31.2
2010-03-05,39,31.8
2010-03-12,40,32.45
2010-03-19,44,32.36
2010-03-26,53,32.75
2010-04-09,48,33.25
2010-04-16,49,35.01
2010-04-23,51,36.39
2010-04-30,52,35.23
2010-05-07,57,33.43
2010-05-14,58,35.2
