"Date","TMK","Price"
2004-02-06,25,48.5
2004-02-13,25,50.05
2004-02-20,37,51.32
2004-02-27,41,52.12
2004-03-05,61,52.98
2004-03-12,32,52.21
2004-03-19,32,52.82
2004-03-26,32,52.85
2004-04-02,32,54.45
2004-04-16,26,53.33
2004-04-23,27,51.34
2004-04-30,28,52.04
2004-05-07,38,50.02
2004-05-14,27,51.78
2004-05-21,36,51.3
2004-05-28,37,54.19
2004-06-04,29,54.2
2004-06-18,33,53.04
2004-06-25,32,53.15
2004-07-02,47,53.64
2004-07-09,33,53.76
2004-07-16,30,51.99
2004-07-23,39,51.56
2004-07-30,43,52.28
2004-08-06,24,50.8
2004-08-13,31,50.55
2004-08-20,27,51.66
2004-08-27,32,51.9
2004-09-03,31,51.85
2004-09-10,24,51.57
2004-09-17,24,52.08
2004-09-24,31,51.97
2004-10-01,25,54.46
2004-10-08,22,53.8
2004-10-15,32,51.65
2004-10-22,35,50.51
2004-10-29,30,54.02
2004-11-05,25,55.39
2004-11-12,25,55.71
2004-11-19,39,54.84
2004-11-26,23,55.55
2004-12-03,29,56.06
2004-12-10,35,55.72
2004-12-17,25,56.01
2004-12-31,21,57.14
2005-01-07,21,55.95
2005-01-14,20,54.16
2005-01-21,21,54.92
2005-01-28,30,53.9
2005-02-04,16,55.38
2005-02-11,34,53.66
2005-02-18,33,53.58
2005-02-25,25,52.99
2005-03-04,22,53.18
2005-03-11,34,52.2
2005-03-18,21,51.81
2005-04-01,19,51.45
2005-04-08,36,51.61
2005-04-15,42,50.93
2005-04-22,31,51.81
2005-04-29,36,53.43
2005-05-06,32,54.42
2005-05-13,43,52.04
2005-05-20,36,52.74
2005-05-27,29,52.96
2005-06-03,40,51.91
2005-06-10,33,53
2005-06-17,34,53.79
2005-06-24,21,52.45
2005-07-01,29,52.33
2005-07-08,32,52.79
2005-07-15,36,53.04
2005-07-22,23,52.01
2005-07-29,22,52.27
2005-08-05,33,51.01
2005-08-12,41,51.11
2005-08-19,42,52.62
2005-08-26,40,52.56
2005-09-02,37,52.69
2005-09-09,30,52.75
2005-09-16,31,52.9
2005-09-23,34,52.68
2005-09-30,21,52.83
2005-10-07,29,52.59
2005-10-14,27,52.45
2005-10-21,34,51.8
2005-10-28,35,52.51
2005-11-04,23,53.04
2005-11-11,39,53.9
2005-11-18,31,54.01
2005-11-25,40,54.63
2005-12-02,24,54.43
2005-12-09,26,54.55
2005-12-16,23,55.12
2005-12-23,28,55.34
2005-12-30,36,55.6
2006-01-06,25,55.86
2006-01-13,42,55.59
2006-01-20,36,54.29
2006-01-27,34,55.65
2006-02-03,38,55.84
2006-02-10,33,55.02
2006-02-17,29,54.98
2006-02-24,27,54.96
2006-03-03,22,55.3
2006-03-10,30,56.31
2006-03-17,30,57.15
2006-03-24,33,56.62
2006-03-31,38,57.1
2006-04-07,29,56.58
2006-04-21,43,58
2006-04-28,34,60.11
2006-05-05,44,61.01
2006-05-12,29,60.09
2006-05-19,32,59.36
2006-05-26,35,59.15
2006-06-02,37,59.73
2006-06-09,28,58.54
2006-06-16,40,58.38
2006-06-23,25,58.55
2006-06-30,27,60.72
2006-07-07,27,61.49
2006-07-14,25,59.75
2006-07-21,32,62.08
2006-07-28,29,60.85
2006-08-04,35,60.13
2006-08-11,36,60.05
2006-08-18,29,61.11
2006-08-25,23,61.37
2006-09-01,31,62.24
2006-09-08,33,61.44
2006-09-15,30,62.28
2006-09-22,31,62.47
2006-09-29,37,63.11
2006-10-06,33,63.75
2006-10-13,34,63.83
2006-10-20,39,62.54
2006-10-27,37,62.18
2006-11-03,37,62.24
2006-11-10,27,63.1
2006-11-17,29,63.88
2006-11-24,36,63.25
2006-12-01,35,62.83
2006-12-08,31,63.62
2006-12-15,26,64.18
2006-12-22,27,63.72
2006-12-29,27,63.76
2007-01-05,29,63.43
2007-01-12,32,64.8
2007-01-19,28,64.59
2007-01-26,28,64.09
2007-02-02,30,66.05
2007-02-09,30,64.6
2007-02-16,24,65.15
2007-02-23,23,65.05
2007-03-02,24,63.85
2007-03-09,22,64.16
2007-03-16,30,63.18
2007-03-23,31,65.1
2007-03-30,34,65.59
2007-04-13,31,64.85
2007-04-20,28,67.26
2007-04-27,27,68.36
2007-05-04,30,69.05
2007-05-11,37,69.5
2007-05-18,31,69.95
2007-05-25,27,69.3
2007-06-01,29,70.27
2007-06-08,39,68.4
2007-06-15,31,68.95
2007-06-22,24,67.43
2007-06-29,33,67
2007-07-06,31,67.52
2007-07-13,31,68.09
2007-07-20,36,65.32
2007-07-27,37,62.06
2007-08-03,34,59.39
2007-08-10,36,60.54
2007-08-17,34,62.13
2007-08-24,31,63.34
2007-08-31,28,61.56
2007-09-07,35,59.89
2007-09-14,32,60.13
2007-09-21,29,61.98
2007-09-28,31,62.32
2007-10-05,25,63.78
2007-10-12,29,63.83
2007-10-19,35,63.05
2007-10-26,28,64.87
2007-11-02,34,63.27
2007-11-09,35,63.53
2007-11-16,31,62.23
2007-11-23,32,60.6
2007-11-30,30,61.68
2007-12-07,38,62.56
2007-12-14,37,60.3
2007-12-21,31,61.74
2007-12-28,25,60.51
2008-01-04,23,59.68
2008-01-11,29,61.28
2008-01-18,35,57.99
2008-01-25,29,57.85
2008-02-01,32,62.12
2008-02-08,33,59.8
2008-02-15,35,61.04
