"Date","AVB","Price"
2004-02-06,14,50.6
2004-02-13,14,50.26
2004-02-20,8,50.45
2004-02-27,11,50.38
2004-03-05,13,53.5
2004-03-12,14,52.58
2004-03-19,16,54.46
2004-03-26,11,53.1
2004-04-02,11,53.99
2004-04-16,13,51.1
2004-04-23,11,50.25
2004-04-30,15,49.63
2004-05-07,12,50.01
2004-05-14,15,51.16
2004-05-21,8,52.45
2004-05-28,11,54.45
2004-06-04,13,54.04
2004-06-18,9,55.9
2004-06-25,10,57.5
2004-07-02,8,57.25
2004-07-09,7,57.53
2004-07-16,7,57.9
2004-07-23,8,56.88
2004-07-30,11,58.2
2004-08-06,11,58.7
2004-08-13,7,58.88
2004-08-20,12,61.1
2004-08-27,9,59.99
2004-09-03,12,61.06
2004-09-10,18,60.75
2004-09-17,12,60.7
2004-09-24,6,59.25
2004-10-01,8,61.4
2004-10-08,11,62.71
2004-10-15,9,64.1
2004-10-22,11,65.51
2004-10-29,13,65.47
2004-11-05,7,67.15
2004-11-12,13,70.46
2004-11-19,9,69.15
2004-11-26,10,71.05
2004-12-03,11,74.06
2004-12-10,11,73.43
2004-12-17,10,73.83
2004-12-31,10,75.3
2005-01-07,11,71.05
2005-01-14,6,68.85
2005-01-21,10,69.63
2005-01-28,9,66.8
2005-02-04,9,69.32
2005-02-11,13,69.95
2005-02-18,7,71.12
2005-02-25,9,69.12
2005-03-04,10,70.51
2005-03-11,10,67.76
2005-03-18,10,67.6
2005-04-01,9,66.68
2005-04-08,8,67.25
2005-04-15,5,68.39
2005-04-22,7,70.05
2005-04-29,6,72
2005-05-06,7,72.74
2005-05-13,8,73.78
2005-05-20,9,76.57
2005-05-27,6,74.84
2005-06-03,10,75.9
2005-06-10,9,79.12
2005-06-17,8,81.52
2005-06-24,13,79.52
2005-07-01,7,80.86
2005-07-08,10,83.6
2005-07-15,8,83.35
2005-07-22,11,86.03
2005-07-29,10,87.56
2005-08-05,12,82.15
2005-08-12,11,80.83
2005-08-19,8,80.77
2005-08-26,9,81.6
2005-09-02,11,83.9
2005-09-09,10,85.4
2005-09-16,14,85.11
2005-09-23,12,83.96
2005-09-30,7,85.7
2005-10-07,8,83.35
2005-10-14,9,82
2005-10-21,12,82.38
2005-10-28,10,85.64
2005-11-04,10,86.04
2005-11-11,12,89.44
2005-11-18,10,90.84
2005-11-25,11,92.19
2005-12-02,11,92.43
2005-12-09,7,92.07
2005-12-16,9,91.63
2005-12-23,9,90.93
2005-12-30,7,89.25
2006-01-06,10,95.57
2006-01-13,12,95.19
2006-01-20,9,95
2006-01-27,8,100.3
2006-02-03,8,97.96
2006-02-10,9,99.39
2006-02-17,8,102.82
2006-02-24,9,103.7
2006-03-03,9,101.99
2006-03-10,9,104.8
2006-03-17,13,110.25
2006-03-24,9,107.45
2006-03-31,11,109.1
2006-04-07,8,106.02
2006-04-21,6,108.37
2006-04-28,7,107.7
2006-05-05,6,107.6
2006-05-12,5,104.23
2006-05-19,8,102.5
2006-05-26,7,106.33
2006-06-02,12,108.79
2006-06-09,8,109.14
2006-06-16,9,107.73
2006-06-23,9,105.75
2006-06-30,8,110.62
2006-07-07,11,112.71
2006-07-14,7,111.48
2006-07-21,7,111.03
2006-07-28,4,117.05
2006-08-04,9,118.46
2006-08-11,5,112.28
2006-08-18,7,115.55
2006-08-25,6,119.2
2006-09-01,11,120
2006-09-08,8,122.39
2006-09-15,9,122.65
2006-09-22,7,121.4
2006-09-29,8,120.4
2006-10-06,6,121.98
2006-10-13,7,126.7
2006-10-20,8,127.45
2006-10-27,8,129.49
2006-11-03,9,123.06
2006-11-10,5,124
2006-11-17,9,124.54
2006-11-24,10,133.28
2006-12-01,8,131.89
2006-12-08,7,130.43
2006-12-15,6,129.65
2006-12-22,6,126.17
2006-12-29,7,130.05
2007-01-05,6,130.21
2007-01-12,9,136.57
2007-01-19,8,143.49
2007-01-26,7,146.79
