"Date","TROW","Price"
2004-02-06,69,51.4
2004-02-13,53,52.36
2004-02-20,55,51.07
2004-02-27,57,52.59
2004-03-05,60,55.78
2004-03-12,63,53.62
2004-03-19,66,53.02
2004-03-26,49,52.08
2004-04-02,49,54.4
2004-04-16,59,51.47
2004-04-23,63,49.64
2004-04-30,49,51.28
2004-05-07,54,48.83
2004-05-14,52,47.14
2004-05-21,57,46.99
2004-05-28,49,48.16
2004-06-04,49,48.5
2004-06-18,62,48.68
2004-06-25,70,50.21
2004-07-02,78,50.28
2004-07-09,54,47.03
2004-07-16,62,44.94
2004-07-23,69,45.25
2004-07-30,54,46.22
2004-08-06,54,44.71
2004-08-13,62,45.96
2004-08-20,53,48.87
2004-08-27,96,49.61
2004-09-03,54,49.73
2004-09-10,54,50.6
2004-09-17,51,51.23
2004-09-24,78,50.89
2004-10-01,49,51.58
2004-10-08,50,50.65
2004-10-15,48,50.22
2004-10-22,48,50.56
2004-10-29,97,55.77
2004-11-05,56,58.09
2004-11-12,64,59.97
2004-11-19,54,57.74
2004-11-26,72,59.12
2004-12-03,49,60.38
2004-12-10,38,61.51
2004-12-17,89,61.32
2004-12-31,59,62.2
2005-01-07,83,59.81
2005-01-14,78,59.15
2005-01-21,56,57.89
2005-01-28,82,58.76
2005-02-04,38,60.01
2005-02-11,60,60.93
2005-02-18,51,60.83
2005-02-25,53,61.29
2005-03-04,48,62.8
2005-03-11,62,61.08
2005-03-18,55,61.96
2005-04-01,62,58.79
2005-04-08,48,58.6
2005-04-15,60,55.34
2005-04-22,61,54.96
2005-04-29,66,55.17
2005-05-06,69,57.14
2005-05-13,61,56.34
2005-05-20,59,59.53
2005-05-27,45,59.36
2005-06-03,63,59.92
2005-06-10,70,60.88
2005-06-17,59,61.23
2005-06-24,86,61.23
2005-07-01,54,62.59
2005-07-08,55,64.1
2005-07-15,51,65.74
2005-07-22,50,66.74
2005-07-29,69,66.35
2005-08-05,44,65.34
2005-08-12,56,65.63
2005-08-19,59,63.93
2005-08-26,45,64.17
