"Date","ALL","Price"
2004-02-06,80,46.51
2004-02-13,78,46.73
2004-02-20,79,46.55
2004-02-27,77,45.63
2004-03-05,74,44.45
2004-03-12,75,44.65
2004-03-19,75,44.76
2004-03-26,77,44.76
2004-04-02,77,46.11
2004-04-16,73,47.2
2004-04-23,75,46.5
2004-04-30,77,45.9
2004-05-07,76,44.78
2004-05-14,79,43.7
2004-05-21,73,43.67
2004-05-28,72,43.98
2004-06-04,74,43.77
2004-06-18,70,45.7
2004-06-25,74,45.9
2004-07-02,69,46.3
2004-07-09,72,46.6
2004-07-16,77,46.2
2004-07-23,71,46.02
2004-07-30,72,47.08
2004-08-06,71,46.22
2004-08-13,71,45.93
2004-08-20,71,47.52
2004-08-27,72,47.69
2004-09-03,68,47.02
2004-09-10,71,46.92
2004-09-17,70,48.84
2004-09-24,69,48.25
2004-10-01,68,48.47
2004-10-08,70,47.9
2004-10-15,72,47.39
2004-10-22,72,46.83
2004-10-29,71,48.09
2004-11-05,72,48.34
2004-11-12,73,50.74
2004-11-19,73,50.28
2004-11-26,72,51
2004-12-03,76,51.35
2004-12-10,78,50.76
2004-12-17,75,50.05
2004-12-31,73,51.72
2005-01-07,74,51.03
2005-01-14,75,51.49
2005-01-21,74,50.22
2005-01-28,72,49.67
2005-02-04,74,52.35
2005-02-11,79,52.93
2005-02-18,75,53.1
2005-02-25,79,53.7
2005-03-04,75,53.94
2005-03-11,77,54.41
2005-03-18,75,53.02
2005-04-01,75,53.4
2005-04-08,72,54.2
2005-04-15,72,53.31
2005-04-22,72,54.57
2005-04-29,73,56.16
2005-05-06,75,57.5
2005-05-13,72,56.32
2005-05-20,74,57.1
2005-05-27,74,58.28
2005-06-03,74,58.61
2005-06-10,73,59.19
2005-06-17,74,60.19
2005-06-24,76,59.81
2005-07-01,77,59.85
2005-07-08,73,60.17
2005-07-15,78,62.26
2005-07-22,75,61.07
2005-07-29,74,61.26
2005-08-05,75,59.08
2005-08-12,75,58.08
2005-08-19,73,58.48
2005-08-26,73,58.27
2005-09-02,72,55.53
2005-09-09,71,54.26
2005-09-16,71,55.13
2005-09-23,74,54.53
2005-09-30,72,55.29
2005-10-07,72,54.1
2005-10-14,75,54.14
2005-10-21,75,53.2
2005-10-28,76,52.69
2005-11-04,78,55.15
2005-11-11,77,56.87
2005-11-18,76,57.35
2005-11-25,74,57.48
2005-12-02,76,55.84
2005-12-09,78,55.28
2005-12-16,78,54.29
2005-12-23,78,54.76
2005-12-30,75,54.07
2006-01-06,73,54.84
2006-01-13,74,54.68
2006-01-20,76,52.21
2006-01-27,75,52.03
2006-02-03,76,52.01
2006-02-10,74,52.92
2006-02-17,75,54.3
2006-02-24,79,54.9
2006-03-03,74,54.54
2006-03-10,71,54.56
2006-03-17,71,54.82
2006-03-24,72,53.23
2006-03-31,72,52.11
2006-04-07,70,51.22
2006-04-21,73,55.65
2006-04-28,70,56.49
