"Date","ZION","Price"
2004-02-06,50,59.25
2004-02-13,57,58.41
2004-02-20,56,58.38
2004-02-27,57,58.27
2004-03-05,59,59.2
2004-03-12,58,57.11
2004-03-19,58,57.45
2004-03-26,54,56.75
2004-04-02,58,56.94
2004-04-16,60,54.65
2004-04-23,54,57.92
2004-04-30,67,56.59
2004-05-07,58,56.04
2004-05-14,54,58.59
2004-05-21,47,60.38
2004-05-28,55,61.3
2004-06-04,60,61.41
2004-06-18,50,60.6
2004-06-25,55,61.41
2004-07-02,57,61.82
2004-07-09,52,61.79
2004-07-16,46,62.75
2004-07-23,64,60.25
2004-07-30,60,60.5
2004-08-06,57,59.09
2004-08-13,55,59.22
2004-08-20,60,61.47
2004-08-27,58,62.13
2004-09-03,52,62.64
2004-09-10,51,61.96
2004-09-17,54,60.69
2004-09-24,65,59.89
2004-10-01,58,61.52
2004-10-08,55,59.96
2004-10-15,57,61.07
2004-10-22,54,64.47
2004-10-29,51,66.14
2004-11-05,47,66.39
2004-11-12,54,68.24
2004-11-19,52,66
2004-11-26,43,67.1
2004-12-03,53,67.55
2004-12-10,51,66.44
2004-12-17,49,66.59
2004-12-31,52,68.03
2005-01-07,60,64.99
2005-01-14,60,63.56
2005-01-21,59,65.74
2005-01-28,59,66.25
2005-02-04,54,70
2005-02-11,60,69.02
2005-02-18,59,67.1
2005-02-25,59,66.21
2005-03-04,58,68.98
2005-03-11,65,69.52
2005-03-18,58,69.49
2005-04-01,62,68.27
2005-04-08,63,68.5
2005-04-15,60,66.4
2005-04-22,65,68.15
2005-04-29,64,70.03
2005-05-06,66,70.79
2005-05-13,100,70
2005-05-20,62,70.89
2005-05-27,73,71.1
2005-06-03,70,72.16
2005-06-10,66,72.21
2005-06-17,67,75.17
2005-06-24,69,73.67
2005-07-01,75,73.55
2005-07-08,78,69.87
2005-07-15,78,70.87
2005-07-22,79,72.38
2005-07-29,75,71.48
2005-08-05,80,71.21
2005-08-12,79,71.73
2005-08-19,77,71.34
2005-08-26,72,69.82
2005-09-02,75,70.1
2005-09-09,71,71.22
2005-09-16,68,71.83
2005-09-23,72,71.51
2005-09-30,73,71.22
2005-10-07,74,69.49
2005-10-14,67,69
2005-10-21,72,70.6
2005-10-28,71,73.09
2005-11-04,72,73.78
2005-11-11,71,75.03
2005-11-18,71,75.72
2005-11-25,66,76.66
2005-12-02,70,75.85
2005-12-09,69,74.82
2005-12-16,67,75.85
2005-12-23,71,76.52
2005-12-30,66,75.56
2006-01-06,69,78.53
2006-01-13,71,77.04
2006-01-20,66,75.72
2006-01-27,71,80.04
2006-02-03,69,79.12
2006-02-10,66,80
2006-02-17,65,80.13
2006-02-24,68,83.72
2006-03-03,71,82.09
2006-03-10,64,82.85
2006-03-17,62,85.04
2006-03-24,66,83.3
2006-03-31,61,82.73
2006-04-07,60,82.23
2006-04-21,67,81.46
2006-04-28,65,83.03
2006-05-05,73,81.63
2006-05-12,64,80.27
2006-05-19,74,80.74
2006-05-26,74,81.27
2006-06-02,68,82.92
2006-06-09,67,82.75
2006-06-16,62,80.3
2006-06-23,65,76.86
2006-06-30,60,77.94
2006-07-07,60,76.3
2006-07-14,60,75.88
2006-07-21,64,82.7
2006-07-28,69,83.29
2006-08-04,70,83.05
2006-08-11,67,81.14
2006-08-18,66,81.74
2006-08-25,63,78.86
2006-09-01,62,78.96
2006-09-08,61,77.45
2006-09-15,62,77.66
2006-09-22,59,77.87
2006-09-29,61,79.81
2006-10-06,63,79.35
2006-10-13,59,80.56
2006-10-20,57,81.04
2006-10-27,63,80.08
2006-11-03,57,77.81
2006-11-10,59,79.44
2006-11-17,52,79.37
2006-11-24,51,79.2
2006-12-01,54,77.99
2006-12-08,50,78.95
2006-12-15,52,81.78
2006-12-22,55,81.73
2006-12-29,62,82.44
2007-01-05,57,83.03
2007-01-12,52,83.25
2007-01-19,51,82.74
2007-01-26,53,84.49
2007-02-02,53,85.47
2007-02-09,51,85.53
2007-02-16,53,87.56
2007-02-23,53,87.43
2007-03-02,49,84.94
2007-03-09,58,85.82
2007-03-16,54,84.17
2007-03-23,54,86.32
2007-03-30,59,84.52
2007-04-13,58,83.96
2007-04-20,56,81.45
2007-04-27,61,82.8
2007-05-04,58,83.25
2007-05-11,59,81.96
2007-05-18,62,81.67
2007-05-25,62,80.11
2007-06-01,63,81.85
2007-06-08,69,80.25
2007-06-15,67,80.41
2007-06-22,67,78.62
2007-06-29,64,76.91
2007-07-06,67,77.88
2007-07-13,68,78.23
2007-07-20,69,79.18
2007-07-27,70,74.84
2007-08-03,71,72.08
2007-08-10,73,74.59
2007-08-17,72,73.71
2007-08-24,70,73.78
2007-08-31,69,70.6
2007-09-07,64,70.31
2007-09-14,69,70.65
2007-09-21,66,71.93
2007-09-28,65,68.67
2007-10-05,70,72.5
2007-10-12,66,67.97
2007-10-19,64,61.33
2007-10-26,58,59.25
2007-11-02,62,54.92
2007-11-09,61,53.47
2007-11-16,55,51.95
2007-11-23,53,52
2007-11-30,57,54.57
2007-12-07,55,55.25
2007-12-14,58,49.87
2007-12-21,59,48.38
2007-12-28,58,46.14
2008-01-04,58,42.4
2008-01-11,56,43.98
2008-01-18,58,41.71
2008-01-25,56,47.4
2008-02-01,56,55.35
2008-02-08,55,51.91
2008-02-15,57,51.8
2008-02-22,56,50.65
2008-02-29,56,47.75
2008-03-07,59,45
2008-03-14,58,47.02
2008-03-28,56,46.04
2008-04-04,59,47
2008-04-11,68,44.46
2008-04-18,72,46.52
2008-04-25,69,47.1
2008-05-02,65,49.14
2008-05-09,62,44.87
2008-05-16,63,44.05
2008-05-23,61,42.81
2008-05-30,59,43.09
2008-06-06,57,39.77
2008-06-13,56,34.94
2008-06-20,60,32.09
2008-06-27,57,32.55
2008-07-11,55,25.69
2008-07-18,58,25.32
2008-07-25,56,27.06
2008-08-01,58,30.59
2008-08-08,59,32
2008-08-15,59,27.98
2008-08-22,54,25.5
2008-08-29,54,26.84
2008-09-05,52,32.97
2008-09-12,55,37.48
2008-09-19,53,52.83
2008-09-26,54,43.98
2008-10-03,51,43.55
2008-10-10,53,33.37
2008-10-17,48,36.31
2008-10-24,50,32.24
