"Date","WY","Price"
2004-02-06,36,61.95
2004-02-13,38,63.46
2004-02-20,36,64.96
2004-02-27,40,65.25
2004-03-05,40,66.55
2004-03-12,32,63.13
2004-03-19,32,64.15
2004-03-26,32,64.66
2004-04-02,39,65.45
2004-04-16,39,67.35
2004-04-23,43,66.59
2004-04-30,43,59.2
2004-05-07,39,56.04
2004-05-14,38,58.24
2004-05-21,38,58.65
2004-05-28,48,60.48
2004-06-04,44,59.65
2004-06-18,50,61.15
2004-06-25,44,60.3
2004-07-02,44,61.98
2004-07-09,52,59.97
2004-07-16,54,60.35
2004-07-23,57,59.98
2004-07-30,58,62
2004-08-06,50,60.16
2004-08-13,46,60.47
2004-08-20,48,63.3
2004-08-27,45,62.64
2004-09-03,42,64.21
2004-09-10,33,65.12
2004-09-17,36,64.32
2004-09-24,42,63.76
2004-10-01,36,66.52
2004-10-08,28,65.12
2004-10-15,39,62.58
2004-10-22,37,60.3
2004-10-29,29,62.64
2004-11-05,39,65.5
2004-11-12,29,66.85
2004-11-19,33,65.26
2004-11-26,26,66.5
2004-12-03,36,67.19
2004-12-10,35,66.98
2004-12-17,34,66.86
2004-12-31,39,67.22
2005-01-07,46,67.56
2005-01-14,40,66.62
2005-01-21,36,63.19
2005-01-28,42,62.66
2005-02-04,39,64.43
2005-02-11,40,62.92
2005-02-18,38,65.81
2005-02-25,46,67.85
2005-03-04,43,69.38
2005-03-11,42,68.38
2005-03-18,40,68.37
2005-04-01,42,68.45
2005-04-08,53,70.82
2005-04-15,40,66.17
2005-04-22,46,63.47
2005-04-29,43,68.61
2005-05-06,48,67.51
2005-05-13,44,62.86
2005-05-20,50,64.97
2005-05-27,49,64.02
2005-06-03,43,64.11
2005-06-10,49,64.15
2005-06-17,58,67.89
2005-06-24,53,65.11
2005-07-01,68,63.89
2005-07-08,57,64.73
2005-07-15,58,64.28
2005-07-22,61,68.34
2005-07-29,57,68.98
2005-08-05,63,67.67
2005-08-12,59,67.29
2005-08-19,58,64.89
2005-08-26,49,63.74
2005-09-02,48,65.25
2005-09-09,50,65.81
2005-09-16,51,67.96
2005-09-23,45,67.75
2005-09-30,48,68.75
2005-10-07,46,64.6
2005-10-14,45,61.69
2005-10-21,40,62.11
2005-10-28,41,63.22
2005-11-04,42,62.8
2005-11-11,40,62.22
2005-11-18,43,64.61
2005-11-25,38,64.83
2005-12-02,42,67.36
2005-12-09,44,66.3
2005-12-16,39,66.27
2005-12-23,45,67
