"Date","JPM","Price"
2004-02-06,30,39.73
2004-02-13,24,40.16
2004-02-20,41,40.57
2004-02-27,26,41.02
2004-03-05,24,43.01
2004-03-12,24,41.52
2004-03-19,24,41.33
2004-03-26,26,41.25
2004-04-02,28,41.53
2004-04-16,22,39.26
2004-04-23,22,38.3
2004-04-30,29,37.6
2004-05-07,25,36.48
2004-05-14,29,35.66
2004-05-21,25,36.08
2004-05-28,22,36.84
2004-06-04,26,37.28
2004-06-18,26,37.23
2004-06-25,27,37.99
2004-07-02,28,38.08
2004-07-09,34,36.83
2004-07-16,20,35.87
2004-07-23,20,36.53
2004-07-30,33,37.33
2004-08-06,31,36.09
2004-08-13,18,36.87
2004-08-20,27,38.65
2004-08-27,22,39.72
2004-09-03,20,39.85
2004-09-10,19,39.8
2004-09-17,31,39.65
2004-09-24,28,39.75
2004-10-01,18,40.34
2004-10-08,24,39.65
2004-10-15,21,38.74
2004-10-22,26,37.47
2004-10-29,34,38.6
2004-11-05,19,39.35
2004-11-12,16,39.17
2004-11-19,20,37.42
2004-11-26,21,37.69
2004-12-03,31,38.06
2004-12-10,24,37.63
2004-12-17,28,38.52
2004-12-31,18,39.01
2005-01-07,19,38.4
2005-01-14,26,37.81
2005-01-21,21,36.85
2005-01-28,23,37
2005-02-04,21,37.69
2005-02-11,25,37.48
2005-02-18,28,36.51
2005-02-25,28,36.97
2005-03-04,24,37.51
2005-03-11,26,36.11
2005-03-18,28,36.01
2005-04-01,22,34.25
2005-04-08,23,34.5
2005-04-15,37,33.93
2005-04-22,29,34.87
2005-04-29,22,35.49
2005-05-06,24,35.61
2005-05-13,32,34.46
2005-05-20,15,36.06
2005-05-27,22,35.8
2005-06-03,32,35.55
2005-06-10,27,35.43
2005-06-17,34,36.08
2005-06-24,32,35.57
2005-07-01,28,35.06
2005-07-08,29,34.81
2005-07-15,30,35.86
2005-07-22,34,35.6
2005-07-29,24,35.14
2005-08-05,27,35.25
2005-08-12,33,34.31
2005-08-19,22,34.54
2005-08-26,17,33.65
2005-09-02,28,34.11
2005-09-09,30,34.82
2005-09-16,30,34.99
2005-09-23,36,34.07
2005-09-30,38,33.93
2005-10-07,34,33.9
2005-10-14,25,34.08
2005-10-21,41,35.13
2005-10-28,30,36.44
2005-11-04,37,37.31
2005-11-11,36,38.26
2005-11-18,33,38.03
2005-11-25,27,38.86
2005-12-02,31,38.99
2005-12-09,41,39.12
2005-12-16,32,39.79
2005-12-23,42,40.2
2005-12-30,33,39.69
2006-01-06,48,40.02
2006-01-13,43,39.92
2006-01-20,40,38.05
2006-01-27,50,39.75
2006-02-03,33,39.53
2006-02-10,36,39.92
2006-02-17,44,40.78
2006-02-24,29,41.66
2006-03-03,31,41.59
2006-03-10,32,41.13
2006-03-17,50,41.4
2006-03-24,48,42.1
2006-03-31,39,41.64
2006-04-07,39,41.7
2006-04-21,43,42.5
2006-04-28,35,45.38
2006-05-05,43,46.65
2006-05-12,46,44.32
2006-05-19,41,42.75
2006-05-26,40,43.23
2006-06-02,34,43.81
2006-06-09,37,42.1
2006-06-16,23,40.16
2006-06-23,29,40.87
2006-06-30,25,42
2006-07-07,31,42.41
2006-07-14,39,40.89
2006-07-21,40,43.15
2006-07-28,35,45.48
2006-08-04,37,45.12
2006-08-11,29,43.93
2006-08-18,35,45.71
2006-08-25,27,45.52
2006-09-01,24,45.73
2006-09-08,37,45.26
2006-09-15,34,46.95
2006-09-22,39,46.82
2006-09-29,36,46.96
2006-10-06,37,46.86
2006-10-13,40,48.16
2006-10-20,36,47.12
2006-10-27,33,47.29
2006-11-03,34,46.89
2006-11-10,37,47.61
2006-11-17,35,47.66
2006-11-24,40,47.27
2006-12-01,39,46.01
2006-12-08,36,46.76
2006-12-15,30,48.3
2006-12-22,32,47.89
2006-12-29,28,48.3
2007-01-05,29,47.79
2007-01-12,38,47.99
2007-01-19,41,48.76
2007-01-26,43,49.7
2007-02-02,37,50.93
2007-02-09,38,50.42
2007-02-16,42,51.25
2007-02-23,36,51.03
2007-03-02,38,48.19
2007-03-09,42,48.82
2007-03-16,41,47.03
2007-03-23,31,48.52
2007-03-30,41,48.38
2007-04-13,42,49.09
2007-04-20,44,52.54
2007-04-27,36,52.55
2007-05-04,42,52.63
2007-05-11,34,52.15
2007-05-18,35,52.54
2007-05-25,35,51.64
2007-06-01,38,51.9
2007-06-08,35,50.41
2007-06-15,45,50.56
2007-06-22,43,48.72
2007-06-29,40,48.45
2007-07-06,34,48.97
2007-07-13,37,50.05
2007-07-20,47,47.56
2007-07-27,35,44.23
2007-08-03,38,43.65
2007-08-10,40,44.25
2007-08-17,32,47.01
2007-08-24,34,45.95
2007-08-31,38,44.52
