"Date","ETFC","Price"
2007-02-02,4,24.24
2007-04-20,5,21.62
2007-04-27,3,22.01
2007-05-04,3,22.91
2007-05-11,3,23.25
2007-05-18,4,22.78
2007-05-25,4,22.6
2007-06-01,4,24.06
2007-06-08,5,25.21
2007-07-27,5,19.16
2007-08-03,5,15.95
2007-08-10,4,17.01
2007-08-17,14,14.5
2007-08-24,10,15.24
2007-08-31,6,15.58
2007-09-07,6,14.68
2007-09-14,7,14.39
2007-09-21,9,13.53
2007-09-28,8,13.05
2007-10-05,6,13.35
2007-10-12,6,13.63
2007-10-19,9,10.71
2007-10-26,9,10.7
2007-11-02,10,9.46
2007-11-09,8,8.59
2007-11-16,100,5.44
2007-11-23,53,5.33
2007-11-30,76,4.6
2007-12-07,76,4.13
2007-12-14,42,3.87
2007-12-21,39,3.6
2007-12-28,40,3.54
2008-01-04,35,3.23
2008-01-11,60,3.08
2008-01-18,40,2.84
2008-01-25,50,3.76
2008-02-01,59,4.97
2008-02-08,55,5.17
2008-02-15,57,5.13
2008-02-22,38,4.79
2008-02-29,43,4.27
2008-03-07,42,3.74
2008-03-14,35,3.63
2008-03-28,33,3.74
2008-04-04,31,4.25
2008-04-11,33,3.75
2008-04-18,46,3.97
2008-04-25,29,4
2008-05-02,35,4.21
2008-05-09,30,3.85
2008-05-16,30,4.31
2008-05-23,26,3.92
2008-05-30,18,4.1
2008-06-06,23,3.98
2008-06-13,23,3.7
2008-06-20,21,3.59
2008-06-27,22,3.1
2008-07-11,25,2.72
2008-07-18,37,3.66
2008-07-25,40,3.09
2008-08-01,28,3.05
2008-08-08,21,3.05
2008-08-15,20,3.1
2008-08-22,15,3
2008-08-29,18,3.2
2008-09-05,16,3.35
2008-09-12,20,3.3
2008-09-19,25,3.91
2008-09-26,24,3.45
2008-10-03,23,3.05
2008-10-10,28,2.23
2008-10-17,24,2.37
2008-10-24,21,1.97
2008-10-31,27,1.82
2008-11-07,15,1.71
2008-11-14,14,1.35
2008-11-21,22,0.9
2008-11-28,22,1.35
2008-12-05,18,1.27
2008-12-12,16,1.08
2008-12-19,17,1.19
2008-12-26,11,1.11
2009-01-02,17,1.31
2009-01-09,14,1.34
2009-01-16,11,1.14
2009-01-23,11,1.16
2009-01-30,14,1.14
2009-02-06,10,1.27
2009-02-13,10,1.14
2009-02-20,8,0.89
2009-02-27,14,0.8
2009-03-06,13,0.61
2009-03-13,11,0.75
2009-03-20,19,1.18
2009-03-27,14,1.32
2009-04-03,12,1.36
2009-04-17,26,2.58
2009-04-24,22,2.48
2009-05-01,31,1.58
2009-05-08,22,1.97
2009-05-15,18,1.46
2009-05-22,16,1.38
2009-05-29,14,1.44
2009-06-05,15,1.48
2009-06-12,17,1.97
2009-06-19,23,1.26
2009-06-26,21,1.28
2009-07-10,15,1.19
2009-07-17,16,1.23
2009-07-24,20,1.42
2009-07-31,21,1.5
2009-08-07,16,1.38
2009-08-14,16,1.35
2009-08-21,19,1.41
2009-08-28,20,1.64
2009-09-04,26,1.55
2009-09-11,19,1.66
2009-09-18,31,1.84
2009-09-25,30,1.77
2009-10-02,19,1.68
2009-10-09,21,1.7
2009-10-16,17,1.75
2009-10-23,16,1.66
2009-10-30,20,1.46
2009-11-06,20,1.55
2009-11-13,13,1.53
2009-11-20,21,1.64
2009-11-27,14,1.59
2009-12-04,15,1.7
2009-12-11,12,1.66
2009-12-18,13,1.78
2010-01-08,13,1.8
2010-01-15,15,1.84
2010-01-22,14,1.64
2010-01-29,14,1.52
2010-02-05,12,1.46
2010-02-12,12,1.49
2010-02-19,11,1.56
2010-02-26,12,1.61
2010-03-05,13,1.66
2010-03-12,12,1.65
2010-03-19,9,1.57
2010-03-26,15,1.55
2010-04-09,10,1.71
2010-04-16,13,1.74
2010-04-23,16,1.9
2010-04-30,15,1.69
2010-05-07,13,1.5
2010-05-14,12,1.57
2010-05-21,10,1.46
2010-05-28,10,1.48
2010-06-04,14,14.06
2010-06-11,5,13.88
2010-06-18,4,13.83
2010-06-25,2,13.03
2010-07-02,4,11.61
2010-07-09,6,12.2
2010-07-16,8,12.96
2010-07-23,8,14.36
2010-07-30,10,14.63
2010-08-06,7,15.12
2010-08-13,7,13.95
2010-08-20,6,13.62
2010-08-27,4,12.84
2010-09-03,5,14.13
2010-09-10,5,14.19
2010-09-17,5,14
2010-09-24,5,15.27
2010-10-01,5,14.89
2010-10-08,6,14.8
2010-10-15,6,14.67
2010-10-22,5,14.04
2010-10-29,5,14.3
2010-11-05,5,15.3
2010-11-12,4,14.98
2010-11-19,6,15.15
2010-11-26,3,14.84
2010-12-03,4,15.59
2010-12-10,5,15.97
2010-12-17,5,15.42
2010-12-31,4,16
2011-01-07,5,16.34
2011-01-14,3,16.7
2011-01-21,4,15.92
2011-01-28,5,16.35
2011-02-04,4,17.17
2011-02-11,5,17.89
2011-02-18,5,17.73
2011-02-25,4,15.89
2011-03-04,3,15.73
2011-03-11,3,15.5
2011-03-18,2,15.11
2011-03-25,3,15.8
2011-04-01,3,15.94
2011-04-08,4,16.01
2011-04-15,3,15.81
2011-04-29,4,16.24
2011-05-06,4,15.92
2011-05-13,3,16.06
2011-05-20,2,15.6
2011-05-27,3,15.71
2011-06-03,2,14.49
2011-06-10,2,13.66
2011-06-17,2,13.72
2011-06-24,2,13.38
2011-07-01,3,14.45
2011-07-08,2,13.8
2011-07-15,2,12.91
2011-07-22,6,15.64
2011-07-29,6,15.88
2011-08-05,3,12.59
2011-08-12,5,11.39
2011-08-19,3,10.41
2011-08-26,3,10.82
2011-09-02,3,11.4
2011-09-09,3,10.74
2011-09-16,3,11.63
2011-09-23,3,9.72
2011-09-30,3,9.11
2011-10-07,4,8.72
2011-10-14,4,9.8
2011-10-21,4,10.01
2011-10-28,3,11.63
2011-11-04,3,10.57
2011-11-11,3,9.09
2011-11-18,4,8.23
2011-11-25,3,8.14
2011-12-02,2,9.07
2011-12-09,3,8.91
2011-12-16,3,7.72
2011-12-23,2,7.95
2011-12-30,2,7.96
2012-01-06,3,8.48
2012-01-13,2,9.24
2012-01-20,2,9.66
2012-01-27,3,8.19
2012-02-03,2,9.19
2012-02-10,2,9.21
2012-02-17,2,9.35
2012-02-24,2,9.66
2012-03-02,2,9.99
2012-03-09,2,9.67
2012-03-16,2,11.04
2012-03-23,2,11.27
2012-03-30,2,10.95
2012-04-13,2,10.06
2012-04-20,2,10.48
2012-04-27,2,10.73
2012-05-04,2,9.98
2012-05-11,1,9.59
2012-05-18,2,8.46
2012-05-25,2,8.68
2012-06-01,2,8.05
2012-06-08,1,8.19
2012-06-15,1,7.97
2012-06-22,2,7.82
2012-06-29,1,8.04
2012-07-06,1,7.84
2012-07-13,2,7.87
2012-07-20,2,7.39
2012-07-27,2,7.53
2012-08-03,3,7.86
2012-08-10,3,8.42
2012-08-17,2,8.57
2012-08-24,2,8.5
2012-08-31,2,8.57
2012-09-07,2,9.06
2012-09-14,1,9.88
2012-09-21,2,9.27
2012-09-28,1,8.8
