"Date","EQR","Price"
2007-02-09,65,52.75
2007-02-16,67,52.2
2007-02-23,70,52.16
2007-03-02,72,48.95
2007-03-09,74,48.36
2007-03-16,77,47.63
2007-03-23,69,49.32
2007-06-08,69,48.11
2007-06-15,57,47.11
2007-06-22,57,46.13
2007-10-12,55,42.12
2007-10-19,58,39.52
2007-12-14,50,34.62
2008-01-25,65,37.61
2008-02-01,52,38.75
2008-02-08,52,37.4
2008-02-15,52,38.6
2008-02-22,42,40.09
2008-02-29,54,38.18
2008-03-07,45,37.21
2008-03-14,45,38.62
2008-03-28,59,40.35
2008-04-04,66,43.29
2008-04-11,50,40.35
2008-04-18,50,42.39
2008-04-25,50,43.8
2008-05-02,51,43.63
2008-05-09,53,41.65
2008-05-16,54,44.07
2008-05-23,56,40.97
2008-07-11,46,39.27
2008-07-18,46,41.3
2008-07-25,47,42.72
2008-08-01,50,44.12
2008-08-08,59,45.6
2008-08-15,41,44.89
2008-08-22,41,42.75
2008-08-29,41,42.2
2008-09-05,41,42.35
2008-09-12,41,42.85
2008-09-19,40,47.53
2008-09-26,40,45.51
2008-10-03,40,39.14
2008-10-10,36,41
2008-10-17,36,32.51
2008-10-24,43,30.08
2008-10-31,50,34.93
2008-11-07,43,33.06
2008-11-14,34,27.66
2008-11-21,48,25.35
2008-11-28,35,30.43
2008-12-05,54,33.64
2008-12-12,42,31.65
2008-12-19,49,29.53
2008-12-26,42,28.11
2009-01-02,42,28.23
2009-01-09,42,25.82
2009-01-16,42,27.27
2009-01-23,41,25.13
2009-01-30,41,23.93
2009-02-06,41,23.07
2009-02-13,41,21.05
2009-02-20,41,20.47
2009-02-27,47,17.6
2009-03-06,53,17.09
2009-03-13,40,20.33
2009-03-20,31,16.99
2009-03-27,33,18.5
2009-04-03,39,21.67
2009-04-17,35,22.67
2009-04-24,40,23.21
2009-05-01,46,21.47
2009-05-08,40,24.26
2009-05-15,39,22.04
2009-05-22,39,22.38
2009-05-29,35,24.34
2009-06-05,35,24.64
2009-06-12,38,23.91
2009-06-19,41,22.39
2009-06-26,44,22.27
2009-07-10,30,19.26
2009-07-17,32,20.03
2009-07-24,33,21.23
2009-07-31,30,24
2009-08-07,30,30.05
2009-08-14,30,27.28
2009-08-21,30,27.65
2009-08-28,28,27.8
2009-09-04,28,26.66
2009-09-11,28,29.15
2009-09-18,28,31.75
2009-09-25,27,30.24
2009-10-02,27,28.62
2009-10-09,27,30.21
2009-11-20,41,31.95
2010-01-08,32,33.35
2010-01-15,24,33.37
2010-01-22,27,31.93
2010-01-29,31,32.05
2010-02-05,33,32.97
2010-02-12,27,33.2
2010-02-19,27,35.46
2010-02-26,29,36.08
2010-03-05,32,37.27
2010-03-12,35,38.07
2010-03-19,30,39.31
2010-03-26,30,39.35
2010-04-09,32,41.95
2010-04-16,32,41.11
2010-04-23,28,44.6
2010-04-30,38,45.27
2010-05-07,28,43.43
2010-05-14,29,45.62
2010-05-21,32,43.96
2010-05-28,36,45.13
2010-06-04,24,41.23
2010-06-11,26,44.55
2010-06-18,29,45.76
2010-06-25,31,44.56
2010-07-02,31,40.67
2010-07-09,32,44.05
2010-07-16,36,42.69
2010-07-23,36,45.15
2010-07-30,25,45.85
2010-08-06,25,45.85
2010-08-13,43,44.88
2010-08-20,24,44.85
2010-08-27,24,45.89
2010-09-03,23,48.86
2010-09-10,21,47.63
2010-09-17,35,48.87
2010-09-24,33,49.26
2010-10-01,30,47.82
2010-10-08,22,48.63
2010-10-15,24,49.95
2010-10-22,29,50.83
2010-10-29,33,48.63
2010-11-05,20,50.84
2010-11-12,21,49.31
2010-11-19,29,49.91
2010-11-26,23,50.01
2010-12-03,38,52
2010-12-10,35,51.56
2010-12-17,35,49.83
2010-12-31,26,51.95
2011-01-07,27,50.38
2011-01-14,40,50.91
2011-01-21,31,51.48
2011-01-28,27,52.89
2011-02-04,34,53.08
2011-02-11,23,54.55
2011-02-18,24,54.03
2011-02-25,38,53.36
2011-03-04,40,53.32
2011-03-11,29,54.55
2011-03-18,24,54.69
2011-03-25,35,54.45
2011-04-01,31,56.67
2011-04-08,30,55.57
2011-04-15,34,56.8
2011-04-29,42,59.74
2011-05-06,44,58.62
2011-05-13,28,59.16
2011-05-20,38,59.92
2011-05-27,33,60.6
2011-06-03,38,60.2
2011-06-10,53,59.21
2011-06-17,30,59.08
