"Date","HBAN","Price"
2008-01-11,15,12.48
2008-01-18,14,10.66
2008-01-25,13,11.74
2008-02-01,13,14.11
2008-02-08,13,12.6
2008-02-15,13,12.71
2008-02-22,16,12.72
2008-02-29,19,12.22
2008-03-07,23,11.48
2008-03-14,26,11.46
2008-03-28,15,10.7
2008-04-04,15,11.08
2008-04-11,18,9.91
2008-04-18,23,9.69
2008-04-25,24,9.69
2008-06-06,17,8.06
2008-06-13,16,6.53
2008-06-20,30,6.67
2008-06-27,28,6.11
2008-07-11,15,5.64
2008-07-18,26,7.03
2008-07-25,30,7
2008-08-01,23,7.34
2008-08-08,18,7.84
2008-08-15,29,7.97
2008-08-22,12,7.51
2008-08-29,13,7.32
2008-09-05,15,8.35
2008-09-12,16,8.6
2008-09-19,28,12.75
2008-09-26,14,9.33
2008-10-03,29,10.72
2008-10-10,24,7.39
2008-10-17,35,9.25
2008-10-24,24,8
2008-10-31,15,9.45
2008-11-07,14,9.48
2008-11-14,16,7.79
2008-11-21,17,6.26
2008-11-28,10,8
2008-12-05,14,7.94
2008-12-12,10,7.31
2008-12-19,10,7.31
2008-12-26,10,7.02
2009-01-02,10,7.98
2009-01-09,10,6.64
2009-01-16,10,4.56
2009-01-23,23,3.27
2009-01-30,16,2.88
2009-02-06,35,2.36
2009-02-13,30,1.69
2009-02-20,48,1.36
2009-02-27,44,1.46
2009-03-06,45,1.02
2009-03-13,50,1.56
2009-03-20,35,1.76
2009-03-27,40,1.68
2009-04-03,49,2.01
2009-04-17,80,3.89
2009-04-24,73,3.24
2009-05-01,57,2.69
2009-05-08,80,5.2
2009-05-15,100,4.63
2009-05-22,71,4.24
2009-05-29,42,3.92
2009-06-05,63,4.08
2009-06-12,73,4.15
2009-06-19,95,4.54
2009-06-26,65,4.36
2009-07-10,69,3.87
2009-07-17,69,3.93
2009-07-24,90,3.67
2009-07-31,55,4.09
2009-08-07,75,4.68
2009-08-14,61,4.59
2009-08-21,57,4.62
2009-08-28,47,4.49
2009-09-04,46,4.11
2009-09-11,35,4.05
2009-09-18,38,4.35
2009-09-25,34,4.13
2009-10-02,46,4.45
2009-10-09,41,4.55
2009-10-16,44,4.58
2009-10-23,44,4.2
2009-10-30,34,3.81
2009-11-06,37,3.87
2009-11-13,38,3.8
2009-11-20,38,3.78
2009-11-27,29,3.59
2009-12-04,34,3.69
2009-12-11,22,3.73
2009-12-18,23,3.72
2010-01-08,38,4.22
2010-01-15,31,4.28
2010-01-22,27,4.69
2010-01-29,30,4.79
2010-02-05,31,4.63
2010-02-12,22,4.68
2010-02-19,16,4.85
2010-02-26,24,4.81
2010-03-05,20,4.96
2010-03-12,35,5.47
2010-03-19,38,5.32
2010-03-26,30,5.47
2010-04-09,37,5.86
2010-04-16,40,5.56
2010-04-23,53,7.17
2010-04-30,34,6.76
2010-05-07,34,6.01
2010-05-14,29,6.53
2010-05-21,36,6.24
2010-05-28,24,6.16
2010-06-04,18,5.83
2010-06-11,22,6.11
2010-06-18,28,6.05
2010-06-25,16,6
2010-07-02,25,5.34
2010-07-09,22,5.91
2010-07-16,25,5.73
2010-07-23,28,6.06
2010-07-30,27,6.06
2010-08-06,20,6.25
2010-08-13,20,5.66
2010-08-20,18,5.39
2010-08-27,20,5.44
2010-09-03,15,5.72
2010-09-10,12,5.85
2010-09-17,24,5.8
2010-09-24,17,5.84
2010-10-01,15,5.71
2010-10-08,14,5.86
2010-10-15,14,5.69
2010-10-22,14,5.69
2010-10-29,16,5.66
2010-11-05,18,5.94
2010-11-12,12,5.9
2010-11-19,11,5.72
2010-11-26,10,5.55
2010-12-03,10,6.41
2010-12-10,16,6.84
2010-12-17,25,6.23
2010-12-31,14,6.87
2011-01-07,33,7.09
2011-01-14,23,7.25
2011-01-21,20,7.02
2011-01-28,23,7.07
2011-02-04,16,7.46
2011-02-11,23,7.53
2011-02-18,18,7.22
2011-02-25,18,6.94
2011-03-04,18,6.65
2011-03-11,17,6.77
2011-03-18,10,6.69
2011-03-25,17,6.59
2011-04-01,10,6.81
2011-04-08,15,6.73
2011-04-15,22,6.52
2011-04-29,15,6.79
2011-05-06,19,6.64
2011-05-13,13,6.58
2011-05-20,17,6.37
2011-05-27,9,6.53
2011-06-03,13,6.18
2011-06-10,15,6.2
2011-06-17,9,6.41
2011-06-24,11,6.1
2011-07-01,11,6.63
2011-07-08,12,6.53
2011-07-15,12,6.14
2011-07-22,17,6.14
2011-07-29,13,6.05
2011-08-05,17,5.39
2011-08-12,20,4.96
2011-08-19,17,4.56
2011-08-26,16,4.9
2011-09-02,15,4.65
2011-09-09,13,4.6
2011-09-16,12,5.1
2011-09-23,14,4.6
2011-09-30,11,4.8
2011-10-07,10,4.96
2011-10-14,13,5.23
2011-10-21,13,4.9
2011-10-28,13,5.47
2011-11-04,13,5.25
2011-11-11,11,5.31
2011-11-18,9,5.16
2011-11-25,12,4.72
2011-12-02,14,5.21
2011-12-09,9,5.26
2011-12-16,13,5.09
2011-12-23,16,5.65
2011-12-30,11,5.49
2012-01-06,17,5.8
2012-01-13,13,5.97
2012-01-20,13,5.92
2012-01-27,13,5.7
2012-02-03,14,5.89
2012-02-10,11,5.91
2012-02-17,14,6.09
2012-02-24,10,5.91
