"Date","sell.GE","Price"
2007-01-12,69,37.89
2007-01-19,67,36.95
2008-05-16,100,32.13
2008-05-23,41,30.43
2008-07-11,53,27.66
2008-09-26,37,25.25
2008-10-03,38,21.57
2008-10-10,39,21.5
2008-12-19,38,16.5
2009-02-27,31,8.51
2009-03-06,67,7.06
2009-03-13,28,9.62
2009-03-20,30,9.54
2009-03-27,32,10.78
2009-04-03,34,10.94
2009-06-19,29,12.1
2009-06-26,28,11.75
2009-07-10,28,10.78
2009-07-17,28,11.65
2009-08-28,40,14.08
2009-09-04,34,13.87
2009-10-16,29,16.08
2009-10-23,28,15.2
2009-10-30,28,14.26
2009-11-06,26,15.33
2009-11-13,25,15.66
2009-11-20,25,15.59
2009-11-27,25,15.94
2009-12-04,25,16.2
2009-12-11,24,15.92
2009-12-18,24,15.59
2010-02-12,24,15.55
2010-02-19,23,16.17
2010-02-26,23,16.06
2010-03-05,21,16.35
2010-03-12,21,17.04
2010-03-19,21,18.07
2010-03-26,21,18.34
2010-04-09,24,18.52
2010-04-16,25,18.97
2010-04-23,27,19.07
2010-04-30,29,18.86
2010-05-07,31,16.88
2010-05-14,33,17.64
2010-05-21,22,16.42
2010-05-28,22,16.35
2010-06-04,27,15.71
2010-06-11,33,15.56
2010-06-18,29,15.95
2010-06-25,24,14.91
2010-07-02,24,13.88
2010-07-09,23,14.95
2010-07-16,21,14.55
2010-07-23,21,15.71
2010-07-30,21,16.12
2010-08-06,25,16.45
2010-10-01,18,16.36
2010-10-08,26,17.12
2010-10-15,19,16.3
2010-10-22,18,16.06
2010-10-29,19,16.02
2010-11-05,20,16.73
2010-11-12,21,16.25
2010-11-19,23,16.22
2010-11-26,21,15.8
2010-12-03,21,16.78
2010-12-10,22,17.72
2010-12-17,23,17.7
2010-12-31,19,18.29
2011-01-07,19,18.43
2011-01-14,20,18.82
2011-01-21,25,19.74
2011-01-28,22,20.2
2011-02-04,22,20.56
2011-02-11,16,21.33
2011-02-18,16,21.44
2011-02-25,18,20.82
2011-03-04,20,20.37
2011-03-11,21,20.36
2011-03-18,21,19.25
2011-03-25,19,19.75
2011-04-01,20,20.34
2011-04-08,21,20.19
2011-04-15,23,20.04
2011-04-29,16,20.45
2011-05-06,16,20.01
2011-05-13,16,19.89
2011-05-20,18,19.62
2011-05-27,21,19.44
2011-06-03,19,18.82
2011-06-10,19,18.32
2011-06-17,19,18.49
2011-06-24,20,17.97
2011-07-01,21,19.2
2011-07-08,22,18.99
2011-07-15,23,18.41
2011-07-22,18,19.04
2011-07-29,18,17.91
2011-08-05,22,16.51
2011-08-12,28,15.88
2011-08-19,16,15.09
2011-08-26,17,15.54
2011-09-02,18,15.76
2011-09-09,18,15.09
2011-09-16,19,16.33
2011-09-23,19,15.21
2011-09-30,17,15.22
2011-10-07,17,15.5
2011-10-14,18,16.6
2011-10-21,21,16.31
2011-10-28,18,17.25
2011-11-04,14,16.39
2011-11-11,14,16.3
2011-11-18,14,15.65
2011-11-25,14,14.7
2011-12-02,15,16.09
2011-12-09,13,16.84
2011-12-16,14,17.01
2011-12-23,14,18.23
2011-12-30,15,17.91
2012-01-06,16,18.65
2012-01-13,15,18.84
2012-01-20,14,19.15
2012-01-27,14,19.03
2012-02-03,16,19.02
2012-02-10,18,18.88
2012-02-17,15,19.28
2012-02-24,16,19.24
2012-03-02,17,18.97
2012-03-09,18,19.04
2012-03-16,19,20.2
2012-03-23,15,19.78
2012-03-30,13,20.07
2012-04-13,17,18.88
2012-04-20,19,19.36
2012-04-27,14,19.78
2012-05-04,16,19.34
2012-05-11,19,19.01
2012-05-18,21,18.95
2012-05-25,17,19.2
2012-06-01,20,18.54
2012-06-08,15,19.2
2012-06-15,18,20
2012-06-22,18,19.81
2012-06-29,18,20.84
2012-07-06,15,20
2012-07-13,15,19.77
2012-07-20,23,19.87
2012-07-27,17,20.92
2012-08-03,13,20.96
2012-08-10,18,21.1
2012-08-17,19,21
2012-08-24,20,20.8
2012-08-31,17,20.71
2012-09-07,17,21.59
2012-09-14,17,22.11
2012-09-21,16,22.53
2012-09-28,16,22.71
2012-10-05,23,23.12
2012-10-12,14,22.48
2012-10-19,18,22.03
2012-10-26,23,21.11
2012-11-02,13,21.31
2012-11-09,13,21
2012-11-16,18,20.15
2012-11-23,13,21.04
2012-11-30,21,21.13
2012-12-07,18,21.46
2012-12-14,13,21.62
2012-12-21,13,20.88
2012-12-28,13,20.44
2013-01-04,11,21.2
2013-01-11,11,21.13
2013-01-18,11,22.04
2013-01-25,13,22.29
2013-02-01,16,22.62
2013-02-08,19,22.5
2013-02-15,14,23.29
2013-02-22,20,23.39
2013-03-01,13,23.19
2013-03-08,11,23.77
2013-03-15,14,23.44
2013-03-22,23,23.37
2013-04-05,18,22.93
2013-04-12,20,23.46
2013-04-19,22,21.75
2013-04-26,23,22.21
2013-05-03,17,22.57
2013-05-10,17,22.9
2013-05-17,16,23.46
2013-05-24,22,23.53
2013-05-31,24,23.32
2013-06-07,13,23.86
2013-06-14,13,23.52
2013-06-21,14,23.36
2013-06-28,15,23.19
2013-07-05,14,23.24
2013-07-12,19,23.76
2013-07-19,16,24.72
2013-07-26,21,24.65
2013-08-02,12,24.7
2013-08-09,12,24.25
2013-08-16,16,23.95
2013-08-23,13,23.78
2013-08-30,17,23.14
2013-09-06,20,23.16
2013-09-13,11,23.78
2013-09-20,18,24.01
2013-09-27,14,24.05
2013-10-04,12,24.05
2013-10-11,10,24.4
2013-10-18,12,25.55
2013-10-25,10,25.88
2013-11-01,19,26.54
2013-11-08,14,27.05
2013-11-15,14,27.2
2013-11-22,16,27.08
2013-11-29,17,26.66
2013-12-06,17,26.94
2013-12-13,16,26.84
2013-12-20,10,27.36
2013-12-27,12,27.83
2014-01-03,13,27.48
2014-01-10,13,26.96
2014-01-17,12,26.58
2014-01-24,16,24.95
2014-01-31,16,25.13
2014-02-07,11,25.19
2014-02-14,11,25.74
2014-02-21,11,24.94
2014-02-28,15,25.47
2014-03-07,13,26.13
2014-03-14,13,25.11
2014-03-21,10,25.4
2014-03-28,15,25.88
2014-04-04,10,26.02
2014-04-11,16,25.43
2014-04-25,21,26.6
