"Date","The.Coca.Cola.Company","Price"
2005-11-18,100,42.2
2006-01-13,72,41.31
2006-03-03,66,41.8
2006-03-10,70,42.77
2006-03-17,73,42.79
2006-03-24,76,42.66
2006-08-04,63,43.85
2006-09-15,67,44.6
2006-09-22,63,43.99
2006-09-29,63,44.68
2006-10-06,63,44.76
2006-10-13,63,44.02
2006-10-20,63,46.75
2006-10-27,57,46.87
2006-11-03,57,46.5
2006-11-10,49,46.47
2006-11-17,49,47.26
2006-11-24,49,46.92
2006-12-01,49,46.57
2007-02-09,61,47.76
2007-02-16,71,47.87
2007-02-23,81,47.26
2007-03-02,55,45.89
2007-03-09,60,47.57
2007-03-16,64,47.21
2007-03-23,55,48.05
2007-03-30,47,48
2007-04-13,63,49.88
2007-04-20,71,52.09
2007-04-27,46,52.06
2007-05-04,42,53.21
2007-05-11,42,52.69
2007-05-18,46,52.63
2007-05-25,46,51.89
2007-06-01,62,52.8
2007-06-08,58,51.67
2007-06-15,58,51.58
2007-06-22,58,51.62
2007-06-29,38,52.31
2007-07-06,40,52.6
2007-07-13,43,53.11
2007-07-20,44,53.21
2007-07-27,46,52.28
2007-08-03,50,53.28
2007-08-10,54,54.98
2007-08-17,58,54.45
2007-08-24,61,54
2007-08-31,65,53.78
2007-09-07,34,54.59
2007-09-14,34,56.4
2007-09-21,34,56.55
2007-09-28,34,57.47
2007-10-05,44,58.07
2007-10-12,34,57.8
2007-10-19,62,58.76
2007-10-26,57,61.57
2007-11-02,44,60.51
2007-11-09,44,60.83
2007-11-16,37,62.62
2007-11-23,52,62.3
2007-11-30,67,62.1
2007-12-07,39,63.15
2007-12-14,43,63.81
2007-12-21,36,63.07
2007-12-28,36,62.27
2008-01-04,36,61.85
2008-01-11,36,63.77
2008-01-18,35,60.74
2008-01-25,35,58.41
2008-02-01,35,59.26
2008-02-08,42,59.25
2008-02-15,41,58.76
2008-02-22,43,58.26
2008-02-29,42,58.46
2008-03-07,33,58.85
2008-03-14,44,57.53
2008-03-28,46,60.94
2008-04-04,47,60.25
2008-04-11,27,60.29
2008-04-18,55,60.11
2008-04-25,31,59.33
2008-05-02,33,58.77
2008-05-09,36,56.15
2008-05-16,35,57.07
2008-05-23,27,58.63
2008-05-30,54,57.26
2008-06-06,36,55.8
2008-06-13,36,55.42
2008-06-20,39,53.66
2008-06-27,42,51.84
2008-07-11,29,50.27
2008-07-18,30,50.03
2008-07-25,31,52.06
2008-08-01,36,53.14
2008-08-08,29,55.41
2008-08-15,29,55.06
2008-08-22,29,54.37
2008-08-29,29,52.07
2008-09-05,30,51.93
2008-09-12,30,54.5
2008-09-19,30,52.72
2008-09-26,25,52.48
2008-10-03,25,52.57
2008-10-10,29,41.5
2008-10-17,33,44.2
2008-10-24,37,41.61
2008-10-31,40,44.06
2008-11-07,37,46.25
2008-11-14,39,45.02
2008-11-21,37,44
2008-11-28,23,46.87
2008-12-05,23,45.98
2008-12-12,42,44.57
2008-12-19,23,44.43
2008-12-26,24,44.58
2009-01-02,25,45.9
2009-01-09,26,44.6
2009-01-16,26,43.84
2009-01-23,30,42.2
2009-01-30,25,42.72
2009-02-06,25,43.55
2009-02-13,37,43.85
2009-02-20,32,42.84
2009-02-27,25,40.85
2009-03-06,48,39.1
2009-03-13,31,41.22
2009-03-20,44,42.64
2009-03-27,30,45.1
2009-04-03,50,44.97
2009-04-17,36,45.02
2009-04-24,31,42.79
2009-05-01,29,42.47
2009-05-08,41,42.92
2009-05-15,32,44.96
2009-05-22,34,47.3
2009-05-29,26,49.16
2009-06-05,38,49.44
2009-06-12,24,48.89
2009-06-19,20,48.81
2009-06-26,26,48.13
2009-07-10,28,48.31
2009-07-17,29,50.32
2009-07-24,31,49.36
2009-07-31,33,49.84
2009-08-07,34,49.34
2009-08-14,35,48.47
2009-08-21,36,49.91
2009-08-28,29,49.06
2009-09-04,31,49.95
2009-09-11,24,51.51
2009-09-18,24,53.76
2009-09-25,32,52.97
2009-10-02,27,53.87
2009-10-09,18,54.65
2009-10-16,32,55.01
2009-10-23,35,53.24
2009-10-30,27,53.31
2009-11-06,27,54.49
2009-11-13,27,56.46
2009-11-20,22,57.48
2009-11-27,24,57.18
2009-12-04,25,57.49
2009-12-11,40,59.11
2009-12-18,26,56.92
2010-01-08,28,55.15
2010-01-15,29,56.29
2010-01-22,19,54.24
2010-01-29,22,54.25
2010-02-05,30,53.09
2010-02-12,22,53.98
2010-02-19,32,55.72
2010-02-26,28,52.72
2010-03-05,22,54.7
2010-03-12,36,53.35
2010-03-19,25,54.75
2010-03-26,33,54.65
2010-04-09,18,54.59
2010-04-16,25,54.97
2010-04-23,28,53.88
2010-04-30,32,53.45
2010-05-07,29,52.67
2010-05-14,27,53.34
2010-05-21,21,51.59
2010-05-28,23,51.4
2010-06-04,25,51.27
2010-06-11,24,51.65
2010-06-18,23,52.31
2010-06-25,19,50.26
2010-07-02,19,50.05
