"Date","XOM","Price"
2004-02-27,14,42.17
2004-03-05,10,42.49
2004-03-12,10,42.03
2004-03-19,10,41.5
2004-03-26,9,40.74
2004-04-02,9,41.91
2004-04-16,9,43.86
2004-04-23,9,42.97
2004-04-30,12,42.55
2004-05-07,14,43.25
2004-05-14,14,43.27
2004-05-21,14,42.6
2004-05-28,11,43.25
2004-06-04,11,43.37
2004-06-18,11,44.98
2004-06-25,12,44.25
2004-07-02,13,44.72
2004-07-09,13,45.45
2004-07-16,9,45.83
2004-07-23,9,45.32
2004-07-30,9,46.3
2004-08-06,17,45.12
2004-08-13,12,44.92
2004-08-20,16,45.25
2004-08-27,10,45.44
2004-09-03,10,47.06
2004-09-10,10,47.37
2004-09-17,10,48.37
2004-09-24,15,47.83
2004-10-01,10,48.89
2004-10-08,11,49.84
2004-10-15,11,49.02
2004-10-22,11,48.7
2004-10-29,11,49.22
2004-11-05,12,50.39
2004-11-12,10,50.42
2004-11-19,10,50.38
2004-11-26,11,51.65
2004-12-03,12,50.27
2004-12-10,14,50.15
2004-12-17,11,49.8
2004-12-31,11,51.26
2005-01-07,8,49.79
2005-01-14,7,51.07
2005-01-21,8,50.44
2005-01-28,11,51.27
2005-02-04,18,55.29
2005-02-11,11,56.11
2005-02-18,12,59.41
2005-02-25,24,63.26
2005-03-04,23,63.57
2005-03-11,24,61.05
2005-03-18,9,62.65
2005-04-01,11,60.55
2005-04-08,19,60.01
2005-04-15,16,56.19
2005-04-22,23,59.42
2005-04-29,18,57.03
2005-05-06,22,57.6
2005-05-13,18,53.7
2005-05-20,14,54.01
2005-05-27,21,56.8
2005-06-03,16,57.15
2005-06-10,21,58.38
2005-06-17,22,60.89
2005-06-24,24,58.15
2005-07-01,18,58.31
2005-07-08,19,59.4
2005-07-15,20,58.16
2005-07-22,17,59.5
2005-07-29,25,58.75
2005-08-05,25,58.09
2005-08-12,25,61.05
2005-08-19,25,58.82
2005-08-26,22,58.41
2005-09-02,34,60.68
2005-09-09,17,63.2
2005-09-16,22,63.7
2005-09-23,33,63.83
2005-09-30,28,63.54
2005-10-07,32,59.6
2005-10-14,30,58.64
2005-10-21,33,55.37
2005-10-28,36,56.31
2005-11-04,31,57.9
2005-11-11,25,56.52
2005-11-18,27,58.25
2005-11-25,18,60.11
2005-12-02,27,59.07
2005-12-09,23,58.5
2005-12-16,21,58.06
2005-12-23,25,57.1
2005-12-30,26,56.17
2006-01-06,24,59.43
2006-01-13,23,60.97
2006-01-20,26,60.53
2006-01-27,31,61.29
2006-02-03,43,61.39
2006-02-10,25,59.43
2006-02-17,26,60.55
2006-02-24,23,60.42
2006-03-03,21,60.98
2006-03-10,28,59.18
2006-03-17,27,61.05
2006-03-24,32,61.17
2006-03-31,32,60.86
2006-04-07,29,61.33
2006-04-21,44,65
2006-04-28,48,63.08
2006-05-05,43,64
2006-05-12,35,62.24
2006-05-19,26,60.45
2006-05-26,26,61.58
2006-06-02,24,61.65
2006-06-09,25,58.8
2006-06-16,25,58.8
2006-06-23,25,58.1
2006-06-30,24,61.35
2006-07-07,26,62.84
2006-07-14,36,64.9
2006-07-21,31,63.93
2006-07-28,51,67
2006-08-04,37,68.69
2006-08-11,46,69.73
2006-08-18,35,69.1
2006-08-25,38,70.43
2006-09-01,39,68.1
2006-09-08,32,66.81
2006-09-15,32,64.65
2006-09-22,27,64.91
2006-09-29,23,67.1
2006-10-06,29,67.52
2006-10-13,25,68.4
2006-10-20,27,69.55
2006-10-27,37,71.46
2006-11-03,27,72.15
2006-11-10,34,74.42
2006-11-17,27,73.08
2006-11-24,20,72.38
2006-12-01,41,77.2
2006-12-08,32,75.5
2006-12-15,36,77.3
2006-12-22,36,75.41
2006-12-29,31,76.63
2007-01-05,36,73.24
2007-01-12,34,72.66
2007-01-19,30,73.53
2007-01-26,26,73.61
2007-02-02,37,75.54
2007-02-09,29,75.22
2007-02-16,33,75.29
2007-02-23,25,75.22
2007-03-02,36,70.01
2007-03-09,36,71.12
2007-03-16,26,69.86
