"Date","buy.PG","Price"
2008-10-03,75,71.02
2008-10-10,80,59.56
2008-12-12,65,58.94
2009-02-06,70,54
2009-02-13,58,51.09
2009-02-20,58,50.25
2009-02-27,58,48.17
2009-03-06,75,45.71
2009-03-13,58,46.95
2009-03-20,58,45.59
2009-03-27,56,48.57
2009-04-03,58,49.63
2009-04-17,58,51.66
2009-04-24,58,49.51
2009-05-01,58,49.5
2009-05-08,59,51.57
2009-05-15,59,50.67
2009-05-22,60,53.03
2009-05-29,61,51.94
2009-07-17,79,55.92
2009-09-25,73,58.01
2009-10-02,70,56.75
2009-10-09,76,57.56
2009-10-16,53,57.44
2009-10-23,53,57.64
2009-10-30,53,58
2009-11-06,53,61.04
2010-01-15,45,60.82
2010-01-22,76,60.31
2010-03-26,61,63.69
2010-04-09,45,62.73
2010-04-16,46,62.85
2010-04-23,47,63.54
2010-04-30,48,62.16
2010-05-07,48,60.31
2010-05-14,49,62.54
2010-05-21,50,61.85
2010-05-28,51,61.09
2010-06-04,52,60.8
2010-06-11,53,61.01
2010-06-18,59,61.3
2010-06-25,58,59.79
2010-07-02,68,59.38
2010-07-09,78,61.75
2010-07-16,80,61.99
2010-07-23,51,61.91
2010-07-30,54,61.16
2010-08-06,56,60.02
2010-08-13,59,59.82
2010-08-20,68,59.98
2010-08-27,40,59.8
2010-09-03,40,60.29
2010-09-10,40,60.4
2010-09-17,43,60.97
2010-09-24,41,61.64
2010-10-01,41,60.16
2010-10-08,38,61.86
2010-10-15,39,62.76
2010-10-22,41,63.4
2010-10-29,42,63.57
2010-11-05,44,65
2010-11-12,36,64.33
2010-11-19,69,64.05
2010-11-26,65,62.13
2010-12-03,42,62.33
2010-12-10,57,63.2
2010-12-17,40,64.81
2010-12-31,41,64.33
2011-01-07,39,64.5
2011-01-14,44,65.53
2011-01-21,41,65.91
2011-01-28,41,64.2
2011-02-04,41,63.61
2011-02-11,43,64.73
2011-02-18,39,64.3
2011-02-25,46,62.84
2011-03-04,51,62.03
2011-03-11,32,61.49
2011-03-18,32,60.6
2011-03-25,49,60.88
2011-04-01,52,62.08
2011-04-08,39,61.9
2011-04-15,39,64.18
2011-04-29,44,64.9
2011-05-06,36,65.27
2011-05-13,59,66.86
2011-05-20,42,67.36
2011-05-27,39,66.2
2011-06-03,63,65.43
2011-06-10,52,64.7
2011-06-17,39,64.69
2011-06-24,39,62.59
2011-07-01,39,64.27
2011-07-08,39,64.93
2011-07-15,46,64.83
2011-07-22,39,64.25
2011-07-29,42,61.49
2011-08-05,52,60.59
2011-08-12,41,61.14
2011-08-19,32,60.96
2011-08-26,34,62.57
2011-09-02,33,62.55
2011-09-09,39,61.84
2011-09-16,38,64.33
2011-09-23,38,61.25
2011-09-30,39,63.18
2011-10-07,40,63.91
2011-10-14,31,64.89
2011-10-21,49,66.26
2011-10-28,40,64.73
2011-11-04,31,63.03
2011-11-11,49,63.89
2011-11-18,45,63.24
2011-11-25,62,61
2011-12-02,58,64.66
2011-12-09,38,64.97
2011-12-16,47,65.14
2011-12-23,51,66.67
2011-12-30,55,66.71
2012-01-06,61,66.36
2012-01-13,61,65.81
2012-01-20,57,66.23
2012-01-27,39,64.3
2012-02-03,44,62.77
2012-02-10,43,63.88
2012-02-17,26,64.91
2012-02-24,39,66.71
2012-03-02,49,66.67
2012-03-09,47,66.93
2012-03-16,25,67.25
2012-03-23,46,67.43
2012-03-30,44,67.21
2012-04-13,43,65.81
2012-04-20,38,67.51
2012-04-27,46,64.44
2012-05-04,36,64.28
2012-05-11,42,63.68
2012-05-18,46,63.52
2012-05-25,25,62.49
2012-06-01,25,61.55
2012-06-08,55,62.75
2012-06-15,33,62.88
2012-06-22,38,59.83
2012-06-29,38,61.25
2012-07-06,46,61.28
2012-07-13,40,65.09
2012-07-20,40,64.73
2012-07-27,38,65.09
2012-08-03,49,65.5
2012-08-10,46,66.77
2012-08-17,44,67
2012-08-24,44,67.02
2012-08-31,35,67.19
2012-09-07,60,68.52
2012-09-14,63,69.16
2012-09-21,34,69.42
2012-09-28,43,69.36
2012-10-05,36,69.63
2012-10-12,42,67.94
2012-10-19,71,68.57
2012-10-26,51,69.44
2012-11-02,43,69.19
2012-11-09,41,67.01
2012-11-16,46,66.82
2012-11-23,55,69.59
2012-11-30,51,69.83
2012-12-07,46,70.29
2012-12-14,67,69.93
2012-12-21,52,68.72
2012-12-28,52,67.15
2013-01-04,60,69.09
2013-01-11,40,69.22
2013-01-18,48,69.94
2013-01-25,49,73.25
2013-02-01,42,75.92
2013-02-08,42,75.75
2013-02-15,59,76.54
2013-02-22,49,76.99
2013-03-01,41,76.49
2013-03-08,56,77.18
2013-03-15,72,76.34
2013-03-22,46,77.27
2013-04-05,43,78.23
2013-04-12,49,80.08
2013-04-19,39,81.43
2013-04-26,61,77.1
2013-05-03,56,78.19
2013-05-10,49,78.76
2013-05-17,51,80.02
2013-05-24,50,81.88
2013-05-31,49,76.76
2013-06-07,41,77.75
2013-06-14,39,78.03
2013-06-21,49,77.43
2013-06-28,37,76.99
2013-07-05,44,78.34
2013-07-12,63,81.55
2013-07-19,53,81.37
2013-07-26,60,80.39
2013-08-02,60,81.29
2013-08-09,77,81.64
2013-08-16,48,79.9
2013-08-23,53,80.01
2013-08-30,26,77.89
2013-09-06,41,77.15
2013-09-13,72,79.05
2013-09-20,63,79.39
2013-09-27,35,77.21
2013-10-04,50,76.02
2013-10-11,45,78.48
2013-10-18,53,79.41
2013-10-25,39,80
2013-11-01,57,81.15
2013-11-08,34,82.51
2013-11-15,48,84.84
2013-11-22,41,84.95
2013-11-29,53,84.22
2013-12-06,55,84.52
2013-12-13,62,82.37
2013-12-20,46,81.84
2013-12-27,80,82.01
2014-01-03,55,80.45
2014-01-10,53,80.3
2014-01-17,51,79.88
2014-01-24,59,79.18
2014-01-31,44,76.62
2014-02-07,59,77.31
2014-02-14,72,79.4
2014-02-21,55,77.97
2014-02-28,62,78.66
2014-03-07,46,78.38
2014-03-14,89,78.98
2014-03-21,55,77.88
2014-03-28,47,79.76
2014-04-04,40,79.77
2014-04-11,48,80.76
2014-04-25,67,81.41
