"Date","The.Boeing.Company","Price"
2006-01-27,100,68.56
2007-02-09,81,90
2007-02-16,82,90.94
2007-04-13,74,91.03
2007-04-20,65,93.29
2007-04-27,65,94.02
2007-06-08,72,98.19
2007-06-15,75,98.15
2007-06-22,78,95.92
2007-06-29,81,96.16
2007-07-06,84,98.88
2007-07-13,56,101.88
2007-07-20,56,103.86
2007-07-27,55,103.71
2007-08-03,55,104.24
2007-08-10,61,98.44
2007-08-17,54,95.93
2007-08-24,52,98.47
2007-08-31,52,96.7
2007-09-07,60,94.84
2007-09-14,69,99.35
2007-09-21,89,102.59
2007-09-28,62,104.99
2007-10-05,67,102.25
2007-10-12,72,96.69
2007-10-19,65,93.9
2007-10-26,70,96.02
2007-11-02,75,97.76
2007-11-09,49,94.21
2007-11-16,49,89.99
2007-11-23,59,89.54
2007-11-30,70,92.54
2007-12-07,61,93.16
2007-12-14,56,88.42
2007-12-21,56,89.07
2007-12-28,56,88.25
2008-01-04,56,85.82
2008-01-11,52,80.52
2008-01-18,54,78.4
2008-01-25,58,77.03
2008-02-01,58,82.76
2008-02-08,51,79.33
2008-02-15,58,85.18
2008-02-22,53,83.04
2008-02-29,48,82.79
2008-03-07,64,76.6
2008-03-14,52,76.23
2008-03-28,52,73.47
2008-04-04,55,75.65
2008-04-11,78,76.86
2008-04-18,55,78.66
2008-04-25,56,84.84
2008-05-02,45,85.69
2008-05-09,53,84.06
2008-05-16,62,85.17
2008-05-23,43,81.48
2008-05-30,43,82.77
2008-06-06,38,73.16
2008-06-13,39,75.12
2008-06-20,40,75.83
2008-06-27,48,66.92
2008-07-11,47,63.28
2008-07-18,48,68.14
2008-07-25,56,63.83
2008-08-01,47,62.01
2008-08-08,47,67.86
2008-08-15,47,64.45
2008-08-22,47,65.55
2008-08-29,53,65.56
2008-09-05,54,62.89
2008-09-12,43,63.3
2008-09-19,57,59.76
2008-09-26,46,58.32
2008-10-03,42,53.83
2008-10-10,52,41.8
2008-10-17,51,44.55
2008-10-24,47,45.24
2008-10-31,33,52.42
2008-11-07,52,46.58
2008-11-14,39,41.04
2008-11-21,39,39.58
2008-11-28,39,42.63
2008-12-05,39,39.53
2008-12-12,50,39.2
2008-12-19,40,41.24
2008-12-26,39,40.53
2009-01-02,39,45.25
2009-01-09,39,44.45
