"Date","V","Price"
2008-03-28,43,62.76
2008-04-04,44,64.48
2008-04-11,42,66.11
2008-04-18,43,69
2008-04-25,43,75.1
2008-05-02,44,82.75
2008-05-09,43,82.86
2008-05-16,42,82.37
2008-05-23,43,76.35
2008-05-30,40,86.36
2008-06-06,41,83.65
2008-06-13,41,81.53
2008-06-20,40,83.57
2008-06-27,40,82.6
2008-07-11,39,74.55
2008-07-18,45,73.4
2008-07-25,44,71.96
2008-08-01,42,71.73
2008-08-08,42,72.6
2008-08-15,47,75.79
2008-08-22,44,74.09
2008-08-29,41,75.9
2008-09-05,43,71.76
2008-09-12,42,71.65
2008-09-19,43,69.57
2008-09-26,44,62.04
2008-10-03,42,56.84
2008-10-10,43,52
2008-10-17,44,52.22
2008-10-24,46,47.98
2008-10-31,47,55.35
2008-11-07,48,53.5
2008-11-14,46,54.24
2008-11-21,47,46.38
2008-11-28,44,52.56
2008-12-05,44,53.18
2008-12-12,43,52.95
2008-12-19,41,54.97
2008-12-26,40,53.25
2009-01-02,43,53.44
2009-01-09,44,55.62
2009-01-16,46,47.41
2009-01-23,44,44.32
2009-01-30,45,49.35
2009-02-06,45,55.41
2009-02-13,46,55.95
2009-02-20,46,55.66
2009-02-27,47,56.71
2009-03-06,48,50.19
2009-03-13,47,52.05
2009-03-20,47,52.53
2009-03-27,47,54.25
2009-04-03,46,60.08
2009-04-17,44,58
2009-04-24,46,60.38
2009-05-01,45,65.01
2009-05-08,46,68.43
2009-05-15,45,65.07
2009-05-22,45,65.75
2009-05-29,45,67.71
2009-06-05,43,69.28
2009-06-12,43,64.36
2009-06-19,44,61.37
2009-06-26,41,63.82
2009-07-10,41,59.86
2009-07-17,41,64.1
2009-07-24,42,67.29
2009-07-31,44,65.46
2009-08-07,42,69.17
2009-08-14,45,67.8
2009-08-21,48,69
2009-08-28,47,70.5
2009-09-04,44,70.36
2009-09-11,45,72.29
2009-09-18,46,73.79
2009-09-25,46,70.66
2009-10-02,43,67.79
2009-10-09,48,72.94
2009-10-16,45,74.29
2009-10-23,46,74.12
2009-10-30,48,75.76
2009-11-06,59,79.67
2009-11-13,53,80
2009-11-20,50,80
2009-11-27,51,80.33
2009-12-04,49,80.27
2009-12-11,49,81.34
2009-12-18,46,88.97
2010-01-08,48,87
2010-01-15,47,86.14
2010-01-22,48,82.73
2010-01-29,47,82.03
2010-02-05,48,82.56
2010-02-12,48,84.78
2010-02-19,49,86.81
2010-02-26,48,85.28
2010-03-05,55,88.51
2010-03-12,50,93.25
2010-03-19,50,88.84
2010-03-26,48,90.25
2010-04-09,50,92.52
2010-04-16,51,93.85
2010-04-23,49,96.59
2010-04-30,48,90.23
2010-05-07,48,82.29
2010-05-14,51,77.26
2010-05-21,50,74.2
2010-05-28,49,72.46
2010-06-04,48,72.13
2010-06-11,47,76.08
2010-06-18,49,77.04
2010-06-25,48,76.66
2010-07-02,46,73.18
2010-07-09,44,77.38
2010-07-16,42,71.45
2010-07-23,45,75.59
2010-07-30,46,73.35
2010-08-06,47,72.14
2010-08-13,46,72.22
2010-08-20,50,70.1
