"Date","The.Goldman.Sachs.Group..Inc.","Price"
2004-02-06,94,101.34
2004-02-13,94,105.85
2004-02-20,97,106.52
2004-02-27,95,105.87
2004-03-05,100,109.05
2004-03-12,90,104.93
2004-03-19,92,102.66
2004-03-26,82,103.75
2004-04-02,95,105.95
2004-04-16,88,103.36
2004-04-23,89,100.41
2004-04-30,89,96.75
2004-05-07,91,93.04
2004-05-14,85,94.01
2004-05-21,86,91.74
2004-05-28,85,93.91
2004-06-04,83,91.52
2004-06-18,90,89.18
2004-06-25,90,94.55
2004-07-02,84,93.61
2004-07-09,86,90.05
2004-07-16,92,87.25
2004-07-23,90,87.55
2004-07-30,91,88.19
2004-08-06,90,84.55
2004-08-13,90,84.25
2004-08-20,90,87.81
2004-08-27,90,90.48
2004-09-03,83,90.2
2004-09-10,76,93.13
2004-09-17,80,92.05
2004-09-24,81,93.48
2004-10-01,82,93.92
2004-10-08,81,94.24
2004-10-15,74,94.16
2004-10-22,77,92.7
2004-10-29,79,98.38
2004-11-05,75,100.85
2004-11-12,69,104.66
2004-11-19,78,103.04
2004-11-26,61,104.84
2004-12-03,75,106.47
2004-12-10,74,109.4
2004-12-17,72,103.75
2004-12-31,67,104.04
2005-01-07,78,104.78
2005-01-14,80,104.22
2005-01-21,75,103.33
2005-01-28,83,106.12
2005-02-04,80,110.02
2005-02-11,79,112.77
2005-02-18,78,109
2005-02-25,80,110.1
2005-03-04,74,111.53
2005-03-11,77,109.55
2005-03-18,75,109.98
2005-04-01,73,109.3
2005-04-08,69,112.93
2005-04-15,72,106.49
2005-04-22,73,104.19
2005-04-29,73,106.79
2005-05-06,75,104.68
2005-05-13,72,97.82
2005-05-20,75,101.08
2005-05-27,74,95.5
2005-06-03,70,97.3
2005-06-10,73,99.05
2005-06-17,74,103.8
2005-06-24,77,103.67
2005-07-01,71,102.71
2005-07-08,68,105.65
2005-07-15,80,108.5
2005-07-22,80,109.13
2005-07-29,77,107.48
2005-08-05,76,109.7
2005-08-12,78,113.65
2005-08-19,76,111.27
2005-08-26,72,109.75
2005-09-02,67,113.21
2005-09-09,64,116.17
2005-09-16,69,118.4
2005-09-23,70,119.47
2005-09-30,67,121.58
2005-10-07,71,117.57
2005-10-14,70,114.55
2005-10-21,70,118.77
2005-10-28,68,124.56
2005-11-04,67,130.96
2005-11-11,65,130
2005-11-18,67,131.58
2005-11-25,52,134.12
2005-12-02,66,131.08
2005-12-09,62,129.66
2005-12-16,62,126.5
2005-12-23,56,128.11
2005-12-30,53,127.71
2006-01-06,64,128.84
2006-01-13,69,133.26
2006-01-20,64,131.44
2006-01-27,68,138.94
2006-02-03,68,142.74
2006-02-10,68,140.81
2006-02-17,64,145.54
2006-02-24,65,144.16
2006-03-03,65,146
2006-03-10,65,141.53
2006-03-17,62,150.36
2006-03-24,63,152.17
2006-03-31,65,156.96
2006-04-07,62,161.02
2006-04-21,63,165.89
2006-04-28,62,160.29
2006-05-05,64,164.39
2006-05-12,62,156.11
2006-05-19,59,149.41
2006-05-26,57,152.94
2006-06-02,56,154.09
2006-06-09,63,149.89
2006-06-16,61,144
2006-06-23,61,147.92
2006-06-30,58,150.43
2006-07-07,52,148.51
2006-07-14,63,140.1
2006-07-21,65,142.04
2006-07-28,62,151.72
2006-08-04,61,152.99
2006-08-11,59,151.11
2006-08-18,63,154.68
2006-08-25,60,150.07
2006-09-01,56,149.14
2006-09-08,51,149.8
2006-09-15,56,162.71
2006-09-22,56,167.52
2006-09-29,58,169.17
2006-10-06,55,175.65
2006-10-13,55,183.85
2006-10-20,57,180.4
2006-10-27,56,188.67
2006-11-03,55,187.13
2006-11-10,52,187.06
2006-11-17,54,195.04
2006-11-24,42,201.6
2006-12-01,53,194.5
2006-12-08,50,205.1
2006-12-15,51,199.84
2006-12-22,47,198.09
2006-12-29,41,199.35
2007-01-05,51,199.05
2007-01-12,56,213.99
2007-01-19,54,210.29
2007-01-26,54,213.5
2007-02-02,55,213.43
2007-02-09,53,213.28
2007-02-16,53,216.92
2007-02-23,54,216.5
2007-03-02,51,195.67
2007-03-09,55,201.7
2007-03-16,52,199
2007-03-23,52,211.89
2007-03-30,52,206.63
2007-04-13,53,206.5
2007-04-20,53,220
2007-04-27,53,224.28
2007-05-04,52,227.34
2007-05-11,50,227.5
2007-05-18,52,230.34
2007-05-25,50,225.53
2007-06-01,48,230.71
2007-06-08,53,225.06
2007-06-15,50,226.19
2007-06-22,51,222.4
2007-06-29,50,216.75
2007-07-06,45,223.64
2007-07-13,54,222.18
2007-07-20,53,205.94
2007-07-27,52,192.65
2007-08-03,51,179.68
2007-08-10,53,180.5
2007-08-17,52,175
2007-08-24,52,179.73
2007-08-31,49,176.01
2007-09-07,44,178.98
2007-09-14,50,190.59
2007-09-21,49,209.98
2007-09-28,48,216.74
2007-10-05,46,228.5
2007-10-12,47,233.56
2007-10-19,49,217.69
2007-10-26,45,235.92
2007-11-02,44,229.6
2007-11-09,44,211.33
2007-11-16,44,225.25
2007-11-23,34,216.48
2007-11-30,44,226.64
2007-12-07,42,217.89
2007-12-14,41,210.67
2007-12-21,40,209.6
2007-12-28,30,211.94
2008-01-04,38,199.93
2008-01-11,45,198.74
2008-01-18,44,187.21
2008-01-25,44,191.37
2008-02-01,45,207.78
2008-02-08,44,187.07
2008-02-15,43,178.41
2008-02-22,42,177.71
2008-02-29,43,169.63
2008-03-07,43,160.07
2008-03-14,41,156.86
2008-03-28,43,164.45
2008-04-04,44,175.4
2008-04-11,43,167.3
2008-04-18,42,179.93
2008-04-25,44,192
2008-05-02,42,200.27
2008-05-09,43,188.09
2008-05-16,40,187.14
2008-05-23,41,172.64
2008-05-30,38,176.41
2008-06-06,41,169.44
2008-06-13,40,178.29
2008-06-20,39,183.77
2008-06-27,41,174.56
2008-07-11,42,162.48
2008-07-18,43,182.84
2008-07-25,42,178.66
2008-08-01,41,182
2008-08-08,40,175.95
2008-08-15,42,163.18
2008-08-22,40,159.81
2008-08-29,37,163.97
2008-09-05,32,163.24
2008-09-12,37,154.21
2008-09-19,36,129.8
2008-09-26,36,137.99
2008-10-03,34,128
2008-10-10,37,88.8
2008-10-17,33,114.3
2008-10-24,34,100.4
2008-10-31,34,92.5
2008-11-07,32,77.78
2008-11-14,34,66.73
2008-11-21,33,53.31
2008-11-28,27,78.99
2008-12-05,33,70.72
2008-12-12,33,67.74
2008-12-19,30,80.73
2008-12-26,21,75.97
2009-01-02,26,86.76
2009-01-09,34,83.92
2009-01-16,34,73.05
2009-01-23,32,74.91
2009-01-30,34,80.73
2009-02-06,34,96.57
2009-02-13,33,96.45
2009-02-20,33,84.59
2009-02-27,34,91.08
2009-03-06,33,75.65
2009-03-13,33,98.8
2009-03-20,33,97.32
2009-03-27,33,108.08
2009-04-03,35,119.4
2009-04-17,34,120.6
2009-04-24,34,121.3
2009-05-01,33,127.08
2009-05-08,33,139.59
2009-05-15,33,134.4
2009-05-22,32,136.35
2009-05-29,30,144.57
2009-06-05,34,149.01
2009-06-12,32,145.64
2009-06-19,33,143.13
2009-06-26,31,146.74
2009-07-10,33,141.87
2009-07-17,33,156.84
2009-07-24,33,164.72
2009-07-31,34,163.3
2009-08-07,33,163.65
2009-08-14,33,162.73
2009-08-21,33,163.51
2009-08-28,32,164.42
2009-09-04,30,162.97
2009-09-11,28,174.7
2009-09-18,32,183.18
2009-09-25,32,179.5
2009-10-02,30,179.61
2009-10-09,31,189.3
2009-10-16,30,184.37
2009-10-23,30,180.36
2009-10-30,29,170.17
2009-11-06,30,171.78
2009-11-13,30,176.76
2009-11-20,30,170.01
2009-11-27,23,164.16
2009-12-04,30,167.24
2009-12-11,29,166
2009-12-18,27,163.19
2010-01-08,26,174.31
2010-01-15,25,165.21
2010-01-22,25,154.12
2010-01-29,25,148.72
2010-02-05,25,154.16
2010-02-12,24,153.93
2010-02-19,24,156.18
2010-02-26,25,156.35
2010-03-05,25,167.18
2010-03-12,26,174.96
2010-03-19,25,177.9
2010-03-26,25,172.87
2010-04-09,26,179.12
2010-04-16,24,160.7
2010-04-23,25,157.4
2010-04-30,24,145.2
2010-05-07,23,142.99
2010-05-14,24,143.23
2010-05-21,23,140.62
2010-05-28,22,144.26
2010-06-04,22,142.25
2010-06-11,23,135.64
2010-06-18,23,138.18
2010-06-25,23,139.66
2010-07-02,22,131.08
2010-07-09,20,138.06
2010-07-16,22,146.17
2010-07-23,23,147.38
2010-07-30,22,150.82
2010-08-06,22,155.18
2010-08-13,22,148.08
2010-08-20,23,148.24
2010-08-27,22,139.75
2010-09-03,21,147.29
2010-09-10,19,150.39
2010-09-17,21,150.98
2010-09-24,21,147.28
2010-10-01,20,147.7
2010-10-08,20,152.66
2010-10-15,20,150.69
2010-10-22,20,157.76
2010-10-29,20,161.13
2010-11-05,19,171.07
2010-11-12,20,165.83
2010-11-19,19,166.67
2010-11-26,15,158.22
2010-12-03,19,162.31
2010-12-10,18,168.47
2010-12-17,17,164.04
2010-12-31,13,168.16
2011-01-07,19,170.69
2011-01-14,18,175
2011-01-21,19,166.2
2011-01-28,19,161.77
2011-02-04,18,164.83
2011-02-11,19,166.66
2011-02-18,19,168.04
2011-02-25,18,165.12
2011-03-04,18,161
2011-03-11,19,160.68
2011-03-18,18,159.96
2011-03-25,19,157.97
2011-04-01,19,160.23
2011-04-08,19,160.96
2011-04-15,19,155.13
2011-04-29,19,151.01
2011-05-06,18,150.1
2011-05-13,19,141.46
2011-05-20,18,134.99
2011-05-27,17,138.66
2011-06-03,17,135.33
2011-06-10,18,135.92
2011-06-17,18,137.23
2011-06-24,18,130.91
2011-07-01,17,136.65
2011-07-08,16,134.08
2011-07-15,18,130.16
2011-07-22,18,135.49
2011-07-29,18,134.97
2011-08-05,18,125.18
2011-08-12,17,116.47
2011-08-19,17,111.76
2011-08-26,17,111.75
2011-09-02,16,107.06
2011-09-09,14,102.25
2011-09-16,17,107.49
2011-09-23,17,95.18
2011-09-30,17,94.55
2011-10-07,16,92.69
2011-10-14,15,96.73
2011-10-21,16,102.09
2011-10-28,16,115.86
2011-11-04,16,105.04
2011-11-11,16,101.66
2011-11-18,15,91.91
2011-11-25,12,88.75
2011-12-02,15,97.25
2011-12-09,14,101.45
2011-12-16,15,90.1
2011-12-23,12,93.79
2011-12-30,10,90.43
2012-01-06,14,93.42
2012-01-13,15,98.96
2012-01-20,15,108.74
2012-01-27,15,111.77
2012-02-03,16,117.53
2012-02-10,15,114.12
2012-02-17,15,115.91
2012-02-24,15,115.87
2012-03-02,15,119.96
2012-03-09,15,117.29
2012-03-16,14,122.93
2012-03-23,14,126.18
2012-03-30,15,124.37
2012-04-13,14,115.09
2012-04-20,14,112.44
2012-04-27,14,114.41
2012-05-04,14,108.99
2012-05-11,14,102.13
2012-05-18,15,95.49
2012-05-25,14,96.7
2012-06-01,13,92.64
2012-06-08,15,94.54
2012-06-15,15,95.66
2012-06-22,14,93.63
2012-06-29,14,95.86
2012-07-06,12,95.47
2012-07-13,15,97.43
2012-07-20,14,94.16
2012-07-27,15,101.64
2012-08-03,15,100.98
2012-08-10,14,103.02
2012-08-17,15,103.6
2012-08-24,15,104.96
2012-08-31,14,105.72
2012-09-07,13,116.33
2012-09-14,14,121.36
2012-09-21,14,116.72
2012-09-28,14,113.68
2012-10-05,13,119.31
2012-10-12,13,120.2
2012-10-19,13,123.62
2012-10-26,13,119.44
2012-11-02,12,123.25
2012-11-09,13,116.15
2012-11-16,13,115.84
2012-11-23,10,120.31
2012-11-30,13,117.79
2012-12-07,12,116.57
2012-12-14,12,119.36
2012-12-21,11,128.44
2012-12-28,7,125.52
2013-01-04,10,134.51
2013-01-11,13,137.13
2013-01-18,13,144.45
2013-01-25,13,144.46
2013-02-01,14,149.9
2013-02-08,13,151.6
2013-02-15,13,154.99
2013-02-22,12,154.09
2013-03-01,13,150.53
2013-03-08,13,152.98
2013-03-15,12,154.84
2013-03-22,12,146.6
2013-04-05,12,143.69
2013-04-12,12,149.12
2013-04-19,12,138.72
2013-04-26,12,144.11
2013-05-03,12,145.37
2013-05-10,12,149.1
2013-05-17,11,158.18
2013-05-24,11,158.72
2013-05-31,11,162.08
2013-06-07,12,166.01
2013-06-14,12,162.92
2013-06-21,12,154.25
2013-06-28,11,151.25
2013-07-05,10,153.24
2013-07-12,12,160.11
2013-07-19,12,164.36
2013-07-26,12,165.26
2013-08-02,12,167.62
2013-08-09,12,162.13
2013-08-16,12,160.66
2013-08-23,11,158.65
2013-08-30,11,152.13
2013-09-06,10,156.66
2013-09-13,11,164
2013-09-20,11,169.75
2013-09-27,12,159.85
2013-10-04,11,156.55
2013-10-11,12,160
2013-10-18,11,158.69
2013-10-25,11,162.09
2013-11-01,11,162.05
2013-11-08,11,163.17
2013-11-15,11,164.4
2013-11-22,11,168.1
2013-11-29,9,168.94
2013-12-06,11,167.21
2013-12-13,11,168.39
2013-12-20,10,175.16
2013-12-27,6,176.35
2014-01-03,8,178.15
2014-01-10,11,178.39
2014-01-17,11,176.28
2014-01-24,11,167.64
2014-01-31,11,164.12
2014-02-07,11,161.93
2014-02-14,11,163.72
2014-02-21,11,164.5
2014-02-28,12,166.45
2014-03-07,12,174.26
2014-03-14,12,165.35
2014-03-21,11,166.95
2014-03-28,11,162.3
2014-04-04,11,163.24
2014-04-11,11,152.72
2014-04-25,11,158.24
